cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0092_c0077,41.7733661,-87.799816,Open Space,3
r0092_c0081,41.7733661,-87.7925525,Residential,8
r0092_c0109,41.7733661,-87.7417081,Residential,5
r0093_c0077,41.7747174,-87.799816,Residential,39
r0093_c0078,41.7747174,-87.7980001,Residential,39
r0093_c0079,41.7747174,-87.7961843,Residential,59
r0093_c0080,41.7747174,-87.7943684,Residential,105
r0093_c0081,41.7747174,-87.7925525,Residential,48
r0093_c0082,41.7747174,-87.7907366,Residential,90
r0093_c0083,41.7747174,-87.7889208,Residential,102
r0093_c0084,41.7747174,-87.7871049,Residential,105
r0093_c0085,41.7747174,-87.785289,Residential,66
r0093_c0086,41.7747174,-87.7834732,Residential,52
r0093_c0087,41.7747174,-87.7816573,Residential,84
r0093_c0088,41.7747174,-87.7798414,Residential,60
r0093_c0089,41.7747174,-87.7780255,Commercial,19
r0093_c0090,41.7747174,-87.7762097,Residential,64
r0093_c0091,41.7747174,-87.7743938,Residential,66
r0093_c0092,41.7747174,-87.7725779,Residential,46
r0093_c0093,41.7747174,-87.7707621,Residential,27
r0093_c0094,41.7747174,-87.7689462,Residential,28
r0093_c0095,41.7747174,-87.7671303,Residential,28
r0093_c0096,41.7747174,-87.7653145,Residential,39
r0093_c0097,41.7747174,-87.7634986,Residential,31
r0093_c0098,41.7747174,-87.7616827,Residential,29
r0093_c0099,41.7747174,-87.7598668,Residential,26
r0093_c0101,41.7747174,-87.7562351,Residential,29
r0093_c0102,41.7747174,-87.7544192,Residential,42
r0093_c0103,41.7747174,-87.7526034,Residential,46
r0093_c0104,41.7747174,-87.7507875,Residential,16
r0093_c0105,41.7747174,-87.7489716,Residential,17
r0093_c0106,41.7747174,-87.7471557,Residential,10
r0093_c0109,41.7747174,-87.7417081,Residential,21
r0093_c0110,41.7747174,-87.7398923,Residential,16
r0093_c0111,41.7747174,-87.7380764,Residential,10
r0093_c0114,41.7747174,-87.7326288,Residential,10
r0094_c0077,41.7760688,-87.799816,Residential,41
r0094_c0078,41.7760688,-87.7980001,Residential,29
r0094_c0079,41.7760688,-87.7961843,Residential,31
r0094_c0080,41.7760688,-87.7943684,Mixed-Use,41
