cell_id,amenity_density,amenity_ratio_food_drink
r0092_c0077,355.56,0.0
r0092_c0081,133.33,0.0
r0092_c0109,800.0,0.1667
r0093_c0077,177.78,0.0
r0093_c0078,0.0,0.0
r0093_c0079,0.0,0.0
r0093_c0080,0.0,0.0
r0093_c0081,0.0,0.0
r0093_c0082,0.0,0.0
r0093_c0083,133.33,0.0
r0093_c0084,44.44,0.0
r0093_c0085,44.44,0.0
r0093_c0086,44.44,0.0
r0093_c0087,133.33,0.0
r0093_c0088,0.0,0.0
r0093_c0089,0.0,0.0
r0093_c0090,44.44,0.0
r0093_c0091,0.0,0.0
r0093_c0092,0.0,0.0
r0093_c0093,44.44,0.0
r0093_c0094,0.0,0.0
r0093_c0095,0.0,0.0
r0093_c0096,0.0,0.0
r0093_c0097,0.0,0.0
r0093_c0098,133.33,0.6667
r0093_c0099,177.78,0.0
r0093_c0101,44.44,1.0
r0093_c0102,0.0,0.0
r0093_c0103,0.0,0.0
r0093_c0104,0.0,0.0
r0093_c0105,88.89,0.0
r0093_c0106,266.67,0.0
r0093_c0109,133.33,0.6667
r0093_c0110,0.0,0.0
r0093_c0111,177.78,0.0
r0093_c0114,622.22,0.0
r0094_c0077,177.78,0.25
r0094_c0078,0.0,0.0
r0094_c0079,0.0,0.0
r0094_c0080,177.78,0.0
r0094_c0081,0.0,0.0
r0094_c0082,44.44,0.0
r0094_c0083,44.44,0.0
r0094_c0084,0.0,0.0
r0094_c0085,0.0,0.0
r0094_c0086,0.0,0.0
r0094_c0087,177.78,0.0
r0094_c0088,0.0,0.0
r0094_c0089,0.0,0.0
r0094_c0090,0.0,0.0
r0094_c0091,0.0,0.0
r0094_c0092,0.0,0.0
r0094_c0093,0.0,0.0
r0094_c0094,0.0,0.0
r0094_c0095,0.0,0.0
r0094_c0096,0.0,0.0
r0094_c0097,88.89,0.0
r0094_c0098,44.44,0.0
r0094_c0099,0.0,0.0
r0094_c0100,44.44,0.0
r0094_c0101,0.0,0.0
r0094_c0102,0.0,0.0
r0094_c0103,133.33,0.0
r0094_c0104,44.44,0.0
r0094_c0105,0.0,0.0
r0094_c0106,0.0,0.0
r0094_c0109,222.22,0.6
r0094_c0110,0.0,0.0
r0094_c0111,0.0,0.0
r0094_c0112,133.33,0.0
r0094_c0113,177.78,0.0
r0094_c0114,44.44,0.0
r0095_c0077,311.11,0.0
r0095_c0078,44.44,0.0
r0095_c0079,0.0,0.0
r0095_c0080,0.0,0.0
r0095_c0081,0.0,0.0
r0095_c0082,88.89,0.0
r0095_c0083,0.0,0.0
r0095_c0084,0.0,0.0
r0095_c0085,133.33,0.3333
r0095_c0086,44.44,0.0
r0095_c0087,44.44,0.0
r0095_c0088,44.44,0.0
r0095_c0089,44.44,1.0
r0095_c0090,88.89,0.0
r0095_c0091,177.78,0.25
r0095_c0092,44.44,1.0
r0095_c0093,88.89,0.0
r0095_c0094,0.0,0.0
r0095_c0095,133.33,0.3333
r0095_c0096,88.89,0.0
r0095_c0097,44.44,0.0
r0095_c0098,177.78,0.0
r0095_c0099,0.0,0.0
r0095_c0100,44.44,0.0
r0095_c0101,0.0,0.0
r0095_c0102,88.89,0.0
r0095_c0103,355.56,0.0
r0095_c0104,177.78,0.0
r0095_c0105,44.44,0.0
r0095_c0106,0.0,0.0
r0095_c0109,577.78,0.1538
r0095_c0110,0.0,0.0
r0095_c0111,44.44,0.0
r0095_c0114,0.0,0.0
r0096_c0077,222.22,0.2
r0096_c0080,0.0,0.0
r0096_c0081,44.44,0.0
r0096_c0082,0.0,0.0
r0096_c0083,0.0,0.0
r0096_c0084,0.0,0.0
r0096_c0085,0.0,0.0
r0096_c0086,0.0,0.0
r0096_c0087,44.44,0.0
r0096_c0088,0.0,0.0
r0096_c0089,44.44,0.0
r0096_c0090,0.0,0.0
r0096_c0091,0.0,0.0
r0096_c0092,88.89,0.0
r0096_c0093,0.0,0.0
r0096_c0094,0.0,0.0
r0096_c0095,0.0,0.0
r0096_c0096,0.0,0.0
r0096_c0097,88.89,0.5
r0096_c0098,222.22,0.2
r0096_c0106,133.33,0.0
r0096_c0109,1377.78,0.0645
r0096_c0110,355.56,0.375
r0096_c0111,44.44,0.0
r0096_c0112,88.89,0.0
r0096_c0113,177.78,0.0
r0096_c0114,88.89,0.0
r0096_c0115,88.89,0.0
r0096_c0116,88.89,0.5
r0096_c0117,0.0,0.0
r0096_c0118,0.0,0.0
r0096_c0119,488.89,0.1818
r0096_c0120,444.44,0.0
r0096_c0121,88.89,0.0
r0096_c0122,133.33,0.3333
r0096_c0123,88.89,1.0
r0096_c0124,0.0,0.0
r0096_c0125,0.0,0.0
r0096_c0126,266.67,0.0
r0096_c0127,266.67,0.0
r0096_c0128,133.33,0.3333
r0096_c0129,133.33,0.0
r0096_c0130,533.33,0.0833
r0096_c0131,177.78,0.5
r0096_c0132,222.22,0.2
r0096_c0133,133.33,0.0
r0096_c0134,44.44,0.0
r0096_c0135,133.33,0.3333
r0096_c0136,222.22,0.0
r0096_c0137,133.33,0.0
r0097_c0079,44.44,0.0
r0097_c0080,0.0,0.0
r0097_c0081,0.0,0.0
r0097_c0082,44.44,0.0
r0097_c0083,44.44,0.0
r0097_c0084,0.0,0.0
r0097_c0085,0.0,0.0
r0097_c0086,0.0,0.0
r0097_c0087,0.0,0.0
r0097_c0088,0.0,0.0
r0097_c0089,266.67,0.0
r0097_c0090,0.0,0.0
r0097_c0091,0.0,0.0
r0097_c0092,0.0,0.0
r0097_c0093,266.67,0.0
r0097_c0094,0.0,0.0
r0097_c0095,44.44,0.0
r0097_c0096,0.0,0.0
r0097_c0097,0.0,0.0
r0097_c0098,44.44,0.0
r0097_c0109,44.44,0.0
