cell_id,avg_floors,avg_yearbuilt,total_bldg_area,building_count
r0092_c0077,,,44901.0,46.0
r0092_c0081,1.9,,60846.0,54.0
r0092_c0109,1.7,,71671.0,45.0
r0093_c0077,2.0,,51731.0,42.0
r0093_c0078,,,62942.0,66.0
r0093_c0079,,,56877.0,48.0
r0093_c0080,2.5,,64197.0,54.0
r0093_c0081,1.8,,68959.0,66.0
r0093_c0082,1.9,,62991.0,60.0
r0093_c0083,1.9,,62529.0,50.0
r0093_c0084,1.9,,61356.0,61.0
r0093_c0085,2.3,,43344.0,45.0
r0093_c0086,2.2,,58745.0,65.0
r0093_c0087,1.8,,65673.0,68.0
r0093_c0088,2.0,,48905.0,58.0
r0093_c0089,2.0,,48247.0,46.0
r0093_c0090,2.0,,51337.0,53.0
r0093_c0091,1.8,,48770.0,40.0
r0093_c0092,2.0,,75812.0,66.0
r0093_c0093,1.9,,72773.0,68.0
r0093_c0094,1.8,,79328.0,70.0
r0093_c0095,1.8,,48641.0,34.0
r0093_c0096,1.6,,75516.0,21.0
r0093_c0097,1.5,,106032.0,6.0
r0093_c0098,2.0,,89174.0,2.0
r0093_c0099,3.0,,137185.0,1.0
r0093_c0101,1.7,,49955.0,37.0
r0093_c0102,1.4,,70399.0,69.0
r0093_c0103,1.4,,50844.0,44.0
r0093_c0104,1.4,,69236.0,62.0
r0093_c0105,1.9,,60231.0,83.0
r0093_c0106,1.5,,56536.0,66.0
r0093_c0109,1.9,,72723.0,82.0
r0093_c0110,1.9,,67474.0,64.0
r0093_c0111,1.8,,73701.0,79.0
r0093_c0114,1.8,,72983.0,77.0
r0094_c0077,1.0,,58203.0,52.0
r0094_c0078,,,64165.0,73.0
r0094_c0079,1.5,,67400.0,61.0
r0094_c0080,2.0,,63689.0,55.0
r0094_c0081,1.8,,82307.0,67.0
r0094_c0082,1.8,,59675.0,62.0
r0094_c0083,2.0,,88493.0,79.0
r0094_c0084,2.0,,52076.0,67.0
r0094_c0085,1.9,,60960.0,57.0
r0094_c0086,1.9,,54386.0,49.0
r0094_c0087,1.9,,66629.0,66.0
r0094_c0088,1.9,,47889.0,56.0
r0094_c0089,2.0,,67359.0,60.0
r0094_c0090,2.0,,81039.0,45.0
r0094_c0091,1.9,,47152.0,41.0
r0094_c0092,2.0,,80236.0,81.0
r0094_c0093,1.7,,80033.0,80.0
r0094_c0094,1.8,,73875.0,71.0
r0094_c0095,1.6,,73185.0,63.0
r0094_c0096,1.6,,38130.0,24.0
r0094_c0097,3.0,,234181.0,2.0
r0094_c0098,1.0,,30154.0,1.0
r0094_c0099,,,130653.0,2.0
r0094_c0100,1.3,,83819.0,16.0
r0094_c0101,1.7,,63874.0,87.0
r0094_c0102,1.7,,71523.0,80.0
r0094_c0103,1.9,,51347.0,56.0
r0094_c0104,1.8,,133201.0,62.0
r0094_c0105,1.9,,61637.0,85.0
r0094_c0106,1.6,,72554.0,76.0
r0094_c0109,1.7,,67800.0,78.0
r0094_c0110,1.8,,50129.0,48.0
r0094_c0111,2.0,,70896.0,72.0
r0094_c0112,1.9,,64895.0,57.0
r0094_c0113,2.0,,68167.0,80.0
r0094_c0114,1.8,,62104.0,66.0
r0095_c0077,,,73937.0,71.0
r0095_c0078,1.4,,60600.0,68.0
r0095_c0079,1.1,,89366.0,77.0
r0095_c0080,1.5,,78562.0,85.0
r0095_c0081,1.7,,76379.0,72.0
r0095_c0082,1.2,,66352.0,72.0
r0095_c0083,1.8,,89386.0,70.0
r0095_c0084,1.7,,53164.0,65.0
r0095_c0085,1.7,,73739.0,59.0
r0095_c0086,1.7,,64801.0,58.0
r0095_c0087,1.6,,85034.0,86.0
r0095_c0088,1.6,,61999.0,67.0
r0095_c0089,1.6,,70204.0,60.0
r0095_c0090,1.7,,77270.0,76.0
r0095_c0091,1.5,,71409.0,64.0
r0095_c0092,1.8,,85119.0,71.0
r0095_c0093,3.1,,96884.0,34.0
r0095_c0094,,,140120.0,4.0
r0095_c0095,1.5,,46345.0,45.0
r0095_c0096,1.1,,53717.0,25.0
r0095_c0097,,,121025.0,1.0
r0095_c0098,1.0,,50221.0,1.0
r0095_c0099,1.0,,167896.0,5.0
r0095_c0100,1.8,,59723.0,28.0
r0095_c0101,1.9,,139291.0,78.0
r0095_c0102,1.8,,41725.0,39.0
