cell_id,landuse_entropy
r0092_c0077,-0.0
r0092_c0081,-0.0
r0092_c0109,-0.0
r0093_c0077,1.7546
r0093_c0078,2.0758
r0093_c0079,2.1256
r0093_c0080,1.4409
r0093_c0081,2.6689
r0093_c0082,2.0825
r0093_c0083,0.8135
r0093_c0084,0.6306
r0093_c0085,1.0506
r0093_c0086,2.6106
r0093_c0087,1.8419
r0093_c0088,1.535
r0093_c0089,2.2138
r0093_c0090,2.0046
r0093_c0091,1.5326
r0093_c0092,1.9601
r0093_c0093,2.4766
r0093_c0094,2.2485
r0093_c0095,2.7094
r0093_c0096,2.7656
r0093_c0097,3.2661
r0093_c0098,2.9144
r0093_c0099,2.2086
r0093_c0101,0.2164
r0093_c0102,0.2006
r0093_c0103,0.9486
r0093_c0104,0.7742
r0093_c0105,1.2752
r0093_c0106,1.5059
r0093_c0109,1.9628
r0093_c0110,1.3222
r0093_c0111,1.5329
r0093_c0114,0.971
r0094_c0077,1.6856
r0094_c0078,1.4999
r0094_c0079,1.4948
r0094_c0080,0.3843
r0094_c0081,1.6471
r0094_c0082,1.7497
r0094_c0083,1.588
r0094_c0084,1.3983
r0094_c0085,1.2761
r0094_c0086,1.4741
r0094_c0087,1.5279
r0094_c0088,0.7577
r0094_c0089,-0.0
r0094_c0090,0.3238
r0094_c0091,0.4364
r0094_c0092,0.9964
r0094_c0093,0.9665
r0094_c0094,1.4595
r0094_c0095,2.0679
r0094_c0096,1.8006
r0094_c0097,2.5957
r0094_c0098,3.3078
r0094_c0099,1.1347
r0094_c0100,2.1438
r0094_c0101,0.2913
r0094_c0102,-0.0
r0094_c0103,1.9264
r0094_c0104,1.8438
r0094_c0105,1.9339
r0094_c0106,1.5346
r0094_c0109,2.2807
r0094_c0110,1.0885
r0094_c0111,1.7635
r0094_c0112,-0.0
r0094_c0113,1.1488
r0094_c0114,1.5365
r0095_c0077,2.1556
r0095_c0078,1.4303
r0095_c0079,2.0464
r0095_c0080,2.1747
r0095_c0081,1.3234
r0095_c0082,2.2746
r0095_c0083,1.6145
r0095_c0084,2.0667
r0095_c0085,2.3131
r0095_c0086,2.0496
r0095_c0087,2.4578
r0095_c0088,1.8431
r0095_c0089,2.0338
r0095_c0090,2.3403
r0095_c0091,2.0086
r0095_c0092,1.9323
r0095_c0093,2.4025
r0095_c0094,2.1106
r0095_c0095,2.8343
r0095_c0096,2.22
r0095_c0097,2.9335
r0095_c0098,2.8587
r0095_c0099,2.0774
r0095_c0100,2.8118
r0095_c0101,1.2832
r0095_c0102,1.0943
r0095_c0103,0.8001
r0095_c0104,1.2037
r0095_c0105,2.2266
r0095_c0106,2.357
r0095_c0109,0.952
r0095_c0110,1.2857
r0095_c0111,1.4238
r0095_c0114,2.1373
r0096_c0077,1.585
r0096_c0080,1.3788
r0096_c0081,0.9183
r0096_c0082,0.896
r0096_c0083,0.7078
r0096_c0084,1.5135
r0096_c0085,1.8317
r0096_c0086,1.4428
r0096_c0087,2.5696
r0096_c0088,1.7071
r0096_c0089,-0.0
r0096_c0090,1.4031
r0096_c0091,1.3844
r0096_c0092,1.7641
r0096_c0093,2.3135
r0096_c0094,1.9868
r0096_c0095,2.4421
r0096_c0096,2.6262
r0096_c0097,2.8924
r0096_c0098,3.321
r0096_c0106,0.0
r0096_c0109,2.156
r0096_c0110,3.1172
r0096_c0111,3.0419
r0096_c0112,2.9019
r0096_c0113,2.682
r0096_c0114,3.0061
r0096_c0115,2.636
r0096_c0116,2.2921
r0096_c0117,2.9185
r0096_c0118,2.5282
r0096_c0119,2.7725
r0096_c0120,2.7014
r0096_c0121,2.0202
r0096_c0122,2.6394
r0096_c0123,2.8199
r0096_c0124,1.0759
r0096_c0125,1.6767
r0096_c0126,1.65
r0096_c0127,-0.0
r0096_c0128,1.9508
r0096_c0129,0.9864
r0096_c0130,2.2516
r0096_c0131,1.8464
r0096_c0132,1.8424
r0096_c0133,1.9056
r0096_c0134,1.9508
r0096_c0135,1.7004
r0096_c0136,2.1559
r0096_c0137,1.0
r0097_c0079,0.8113
r0097_c0080,0.65
r0097_c0081,-0.0
r0097_c0082,2.3666
r0097_c0083,1.9926
r0097_c0084,0.8502
r0097_c0085,1.6895
r0097_c0086,1.2353
r0097_c0087,2.1611
r0097_c0088,1.1256
r0097_c0089,-0.0
r0097_c0090,1.5016
r0097_c0091,1.3786
r0097_c0092,1.757
r0097_c0093,1.7533
r0097_c0094,1.5881
r0097_c0095,2.6384
r0097_c0096,2.2588
r0097_c0097,2.0824
r0097_c0098,3.1097
r0097_c0109,1.352
r0097_c0110,2.0194
r0097_c0111,1.9021
r0097_c0112,2.2057
r0097_c0113,1.978
r0097_c0114,1.5626
r0097_c0115,2.5181
r0097_c0116,2.2635
r0097_c0117,1.7256
r0097_c0118,1.981
r0097_c0119,2.5199
r0097_c0120,2.1579
r0097_c0121,1.7144
r0097_c0122,1.4591
r0097_c0123,2.3656
r0097_c0124,1.2647
r0097_c0125,1.614
r0097_c0126,2.0527
r0097_c0127,2.5579
r0097_c0128,2.3612
r0097_c0129,2.3452
r0097_c0130,2.3969
r0097_c0131,2.7371
r0097_c0132,1.5793
r0097_c0133,1.8637
r0097_c0134,1.3224
r0097_c0135,1.0477
r0097_c0136,1.7765
r0097_c0137,1.5628
r0097_c0138,1.8723
r0097_c0139,2.8416
r0097_c0140,3.1393
r0097_c0141,2.7356
r0098_c0080,0.971
r0098_c0081,1.4591
r0098_c0082,2.2725
r0098_c0083,1.4303
r0098_c0084,0.5116
r0098_c0085,1.4492
r0098_c0086,1.7526
r0098_c0087,1.8177
r0098_c0088,1.1838
r0098_c0089,1.0985
r0098_c0090,1.5056
r0098_c0091,1.2692
r0098_c0092,1.9129
r0098_c0093,2.2
r0098_c0094,1.7989
r0098_c0095,1.575
r0098_c0096,2.3871
r0098_c0097,1.9456
r0098_c0098,2.6763
r0098_c0109,1.7947
r0098_c0110,1.8608
r0098_c0111,2.0113
r0098_c0112,2.5861
r0098_c0113,2.0145
r0098_c0114,2.138
r0098_c0115,1.779
r0098_c0116,1.8568
r0098_c0117,1.6204
r0098_c0118,1.1446
r0098_c0119,2.1066
r0098_c0120,2.177
r0098_c0121,2.0359
r0098_c0122,2.0898
r0098_c0123,1.7971
r0098_c0124,2.4319
r0098_c0125,2.439
r0098_c0126,1.8758
r0098_c0127,2.3815
r0098_c0128,2.3964
r0098_c0129,2.5402
r0098_c0130,2.3703
r0098_c0131,1.9859
r0098_c0132,1.7507
r0098_c0133,1.7102
r0098_c0134,0.8181
r0098_c0135,0.8697
r0098_c0136,1.5936
r0098_c0137,1.3507
r0098_c0138,1.5469
r0098_c0139,1.8603
r0098_c0140,1.9172
r0098_c0141,2.6756
r0099_c0077,1.0
r0099_c0078,1.5219
r0099_c0080,1.585
r0099_c0081,0.5917
r0099_c0082,2.2475
r0099_c0083,0.8306
r0099_c0084,0.623
r0099_c0085,1.4877
r0099_c0086,1.5967
r0099_c0087,1.5576
r0099_c0088,0.2868
r0099_c0089,0.618
r0099_c0090,0.8662
r0099_c0091,1.4666
r0099_c0092,1.3072
r0099_c0093,1.5696
r0099_c0094,1.6583
r0099_c0095,1.6506
r0099_c0096,1.4441
r0099_c0097,1.4453
r0099_c0098,2.0967
r0099_c0109,2.0079
r0099_c0110,1.7204
r0099_c0111,2.3522
r0099_c0112,2.4743
