cell_id,road_density_primary
r0092_c0077,0.0
r0092_c0081,0.0
r0092_c0109,0.0
r0093_c0077,35.89
r0093_c0078,0.0
r0093_c0079,0.0
r0093_c0080,0.0
r0093_c0081,13.41
r0093_c0082,4.5
r0093_c0083,4.45
r0093_c0084,2.26
r0093_c0085,13.62
r0093_c0086,17.48
r0093_c0087,0.0
r0093_c0088,0.0
r0093_c0089,18.66
r0093_c0090,0.0
r0093_c0091,2.46
r0093_c0092,18.1
r0093_c0093,0.0
r0093_c0094,0.0
r0093_c0095,17.95
r0093_c0096,7.04
r0093_c0097,15.26
r0093_c0098,0.0
r0093_c0099,9.63
r0093_c0101,13.81
r0093_c0102,0.0
r0093_c0103,18.13
r0093_c0104,0.0
r0093_c0105,0.0
r0093_c0106,18.08
r0093_c0109,0.0
r0093_c0110,0.0
r0093_c0111,0.0
r0093_c0114,0.0
r0094_c0077,0.0
r0094_c0078,0.0
r0094_c0079,0.0
r0094_c0080,17.95
r0094_c0081,0.0
r0094_c0082,0.0
r0094_c0083,0.0
r0094_c0084,0.0
r0094_c0085,15.45
r0094_c0086,0.0
r0094_c0087,0.0
r0094_c0088,0.0
r0094_c0089,0.0
r0094_c0090,0.0
r0094_c0091,0.0
r0094_c0092,0.0
r0094_c0093,0.0
r0094_c0094,0.0
r0094_c0095,0.0
r0094_c0096,0.0
r0094_c0097,0.0
r0094_c0098,0.0
r0094_c0099,0.0
r0094_c0100,0.0
r0094_c0101,0.0
r0094_c0102,0.0
r0094_c0103,0.0
r0094_c0104,0.0
r0094_c0105,0.0
r0094_c0106,0.0
r0094_c0109,0.0
r0094_c0110,0.0
r0094_c0111,13.5
r0094_c0112,4.52
r0094_c0113,0.0
r0094_c0114,17.94
r0095_c0077,0.0
r0095_c0078,0.0
r0095_c0079,0.0
r0095_c0080,0.0
r0095_c0081,0.0
r0095_c0082,0.0
r0095_c0083,0.0
r0095_c0084,0.0
r0095_c0085,0.0
r0095_c0086,0.0
r0095_c0087,0.0
r0095_c0088,0.0
r0095_c0089,0.0
r0095_c0090,0.0
r0095_c0091,14.93
r0095_c0092,0.0
r0095_c0093,0.0
r0095_c0094,0.0
r0095_c0095,0.0
r0095_c0096,14.28
r0095_c0097,0.0
r0095_c0098,0.0
r0095_c0099,0.0
r0095_c0100,0.0
r0095_c0101,0.0
r0095_c0102,18.08
r0095_c0103,0.0
r0095_c0104,0.0
r0095_c0105,0.0
r0095_c0106,0.0
r0095_c0109,0.0
r0095_c0110,18.01
r0095_c0111,0.0
r0095_c0114,0.0
r0096_c0077,22.35
r0096_c0080,4.51
r0096_c0081,0.0
r0096_c0082,15.63
r0096_c0083,0.0
r0096_c0084,17.84
r0096_c0085,3.88
r0096_c0086,16.11
r0096_c0087,0.0
r0096_c0088,0.0
r0096_c0089,9.87
r0096_c0090,7.87
r0096_c0091,7.17
r0096_c0092,7.23
r0096_c0093,9.06
r0096_c0094,0.0
r0096_c0095,15.93
r0096_c0096,6.49
r0096_c0097,9.73
r0096_c0098,7.59
r0096_c0106,14.63
r0096_c0109,0.0
r0096_c0110,2.84
r0096_c0111,11.99
r0096_c0112,16.11
r0096_c0113,15.55
r0096_c0114,0.0
r0096_c0115,13.83
r0096_c0116,0.0
r0096_c0117,14.92
r0096_c0118,5.95
r0096_c0119,29.79
r0096_c0120,5.17
r0096_c0121,0.0
r0096_c0122,16.59
r0096_c0123,6.47
r0096_c0124,0.0
r0096_c0125,16.72
r0096_c0126,0.0
r0096_c0127,15.19
r0096_c0128,2.94
r0096_c0129,13.59
r0096_c0130,6.06
r0096_c0131,4.41
r0096_c0132,0.0
r0096_c0133,0.0
r0096_c0134,8.95
r0096_c0135,0.0
r0096_c0136,0.0
r0096_c0137,0.0
r0097_c0079,0.0
r0097_c0080,18.03
r0097_c0081,0.0
r0097_c0082,0.0
r0097_c0083,0.0
r0097_c0084,0.0
r0097_c0085,16.46
r0097_c0086,0.0
r0097_c0087,0.0
r0097_c0088,0.0
r0097_c0089,0.0
r0097_c0090,0.0
r0097_c0091,15.66
r0097_c0092,0.0
r0097_c0093,0.0
r0097_c0094,0.0
r0097_c0095,0.0
r0097_c0096,15.72
r0097_c0097,0.0
r0097_c0098,0.0
r0097_c0109,0.0
r0097_c0110,20.19
r0097_c0111,0.0
r0097_c0112,8.94
r0097_c0113,0.0
r0097_c0114,0.0
r0097_c0115,0.0
r0097_c0116,0.0
r0097_c0117,0.0
r0097_c0118,0.0
r0097_c0119,0.0
r0097_c0120,4.2
r0097_c0121,0.0
r0097_c0122,0.0
r0097_c0123,0.0
r0097_c0124,0.0
r0097_c0125,0.0
r0097_c0126,0.0
r0097_c0127,0.0
r0097_c0128,0.0
r0097_c0129,7.08
r0097_c0130,3.22
r0097_c0131,5.89
r0097_c0132,6.08
r0097_c0133,8.98
r0097_c0134,4.08
r0097_c0135,0.0
r0097_c0136,15.29
r0097_c0137,0.0
r0097_c0138,12.72
r0097_c0139,22.94
r0097_c0140,11.79
r0097_c0141,9.41
r0098_c0080,1.19
r0098_c0081,0.0
r0098_c0082,0.0
r0098_c0083,0.0
r0098_c0084,0.0
r0098_c0085,0.0
r0098_c0086,0.0
r0098_c0087,0.0
r0098_c0088,0.0
r0098_c0089,0.0
r0098_c0090,0.0
r0098_c0091,0.0
r0098_c0092,0.0
r0098_c0093,0.0
r0098_c0094,0.0
r0098_c0095,0.0
r0098_c0096,0.0
r0098_c0097,0.0
r0098_c0098,0.0
r0098_c0109,0.0
r0098_c0110,0.0
r0098_c0111,0.0
r0098_c0112,2.33
r0098_c0113,4.53
r0098_c0114,0.0
r0098_c0115,18.01
r0098_c0116,0.0
r0098_c0117,0.0
r0098_c0118,16.39
r0098_c0119,0.0
r0098_c0120,6.68
r0098_c0121,1.55
r0098_c0122,0.0
r0098_c0123,17.08
r0098_c0124,0.0
r0098_c0125,0.0
r0098_c0126,0.0
r0098_c0127,0.0
r0098_c0128,0.0
r0098_c0129,8.38
r0098_c0130,0.0
r0098_c0131,0.0
r0098_c0132,0.0
r0098_c0133,0.0
r0098_c0134,13.99
r0098_c0135,0.0
r0098_c0136,0.0
r0098_c0137,0.0
r0098_c0138,9.16
r0098_c0139,8.78
r0098_c0140,0.0
r0098_c0141,0.0
r0099_c0077,0.0
r0099_c0078,0.0
r0099_c0080,0.0
r0099_c0081,0.0
r0099_c0082,0.0
r0099_c0083,0.0
r0099_c0084,0.0
r0099_c0085,0.0
r0099_c0086,0.0
r0099_c0087,0.0
r0099_c0088,0.0
r0099_c0089,0.0
r0099_c0090,0.0
r0099_c0091,8.95
r0099_c0092,0.0
r0099_c0093,0.0
r0099_c0094,0.0
r0099_c0095,0.0
r0099_c0096,7.0
r0099_c0097,0.0
r0099_c0098,0.0
r0099_c0109,0.0
r0099_c0110,0.0
r0099_c0111,0.0
r0099_c0112,5.1
r0099_c0113,0.0
r0099_c0114,0.0
r0099_c0115,0.0
r0099_c0116,0.0
r0099_c0118,1.56
r0099_c0119,0.0
r0099_c0120,0.0
r0099_c0121,6.24
r0099_c0122,0.0
r0099_c0123,0.0
r0099_c0124,0.0
r0099_c0125,0.0
r0099_c0126,0.0
r0099_c0127,0.0
r0099_c0128,0.0
r0099_c0129,4.39
r0099_c0130,0.0
r0099_c0131,0.0
r0099_c0132,0.0
r0099_c0133,0.0
r0099_c0134,5.59
