cell_id,intersection_density
r0092_c0077,266.67
r0092_c0081,266.67
r0092_c0109,977.78
r0093_c0077,266.67
r0093_c0078,0.0
r0093_c0079,133.33
r0093_c0080,0.0
r0093_c0081,0.0
r0093_c0082,88.89
r0093_c0083,133.33
r0093_c0084,177.78
r0093_c0085,88.89
r0093_c0086,177.78
r0093_c0087,222.22
r0093_c0088,0.0
r0093_c0089,133.33
r0093_c0090,177.78
r0093_c0091,177.78
r0093_c0092,88.89
r0093_c0093,88.89
r0093_c0094,44.44
r0093_c0095,0.0
r0093_c0096,88.89
r0093_c0097,266.67
r0093_c0098,222.22
r0093_c0099,400.0
r0093_c0101,311.11
r0093_c0102,88.89
r0093_c0103,88.89
r0093_c0104,0.0
r0093_c0105,88.89
r0093_c0106,444.44
r0093_c0109,311.11
r0093_c0110,0.0
r0093_c0111,133.33
r0093_c0114,222.22
r0094_c0077,177.78
r0094_c0078,44.44
r0094_c0079,0.0
r0094_c0080,0.0
r0094_c0081,44.44
r0094_c0082,0.0
r0094_c0083,0.0
r0094_c0084,0.0
r0094_c0085,0.0
r0094_c0086,0.0
r0094_c0087,44.44
r0094_c0088,0.0
r0094_c0089,0.0
r0094_c0090,0.0
r0094_c0091,0.0
r0094_c0092,0.0
r0094_c0093,0.0
r0094_c0094,0.0
r0094_c0095,0.0
r0094_c0096,0.0
r0094_c0097,0.0
r0094_c0098,44.44
r0094_c0099,0.0
r0094_c0100,0.0
r0094_c0101,0.0
r0094_c0102,88.89
r0094_c0103,0.0
r0094_c0104,0.0
r0094_c0105,44.44
r0094_c0106,44.44
r0094_c0109,311.11
r0094_c0110,0.0
r0094_c0111,44.44
r0094_c0112,0.0
r0094_c0113,88.89
r0094_c0114,0.0
r0095_c0077,488.89
r0095_c0078,133.33
r0095_c0079,0.0
r0095_c0080,0.0
r0095_c0081,0.0
r0095_c0082,44.44
r0095_c0083,44.44
r0095_c0084,0.0
r0095_c0085,44.44
r0095_c0086,0.0
r0095_c0087,222.22
r0095_c0088,0.0
r0095_c0089,0.0
r0095_c0090,88.89
r0095_c0091,44.44
r0095_c0092,0.0
r0095_c0093,88.89
r0095_c0094,44.44
r0095_c0095,0.0
r0095_c0096,0.0
r0095_c0097,44.44
r0095_c0098,88.89
r0095_c0099,0.0
r0095_c0100,0.0
r0095_c0101,0.0
r0095_c0102,44.44
r0095_c0103,400.0
r0095_c0104,0.0
r0095_c0105,88.89
r0095_c0106,44.44
r0095_c0109,177.78
r0095_c0110,0.0
r0095_c0111,0.0
r0095_c0114,44.44
r0096_c0077,222.22
r0096_c0080,0.0
r0096_c0081,0.0
r0096_c0082,0.0
r0096_c0083,44.44
r0096_c0084,0.0
r0096_c0085,0.0
r0096_c0086,0.0
r0096_c0087,88.89
r0096_c0088,0.0
r0096_c0089,0.0
r0096_c0090,0.0
r0096_c0091,0.0
r0096_c0092,0.0
r0096_c0093,0.0
r0096_c0094,44.44
r0096_c0095,88.89
r0096_c0096,0.0
r0096_c0097,0.0
r0096_c0098,0.0
r0096_c0106,266.67
r0096_c0109,177.78
r0096_c0110,44.44
r0096_c0111,44.44
r0096_c0112,0.0
r0096_c0113,88.89
r0096_c0114,44.44
r0096_c0115,88.89
r0096_c0116,44.44
r0096_c0117,88.89
r0096_c0118,266.67
r0096_c0119,355.56
r0096_c0120,133.33
r0096_c0121,88.89
r0096_c0122,88.89
r0096_c0123,88.89
r0096_c0124,44.44
