cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
r0092_c0077,41.7733661,-87.799816,Open Space,3,355.56,0.0,,,44901.0,46.0,-0.0,0.0,0.0,0.0,177.78,266.67,0.0
r0092_c0081,41.7733661,-87.7925525,Residential,8,133.33,0.0,1.9,,60846.0,54.0,-0.0,0.0,0.0,0.0,0.0,266.67,0.0
r0092_c0109,41.7733661,-87.7417081,Residential,5,800.0,0.1667,1.7,,71671.0,45.0,-0.0,44.44,0.0,0.0,355.56,977.78,0.0
r0093_c0077,41.7747174,-87.799816,Residential,39,177.78,0.0,2.0,,51731.0,42.0,1.7546,44.44,0.0,35.89,133.33,266.67,0.0
r0093_c0078,41.7747174,-87.7980001,Residential,39,0.0,0.0,,,62942.0,66.0,2.0758,0.0,0.0,0.0,44.44,0.0,0.0
r0093_c0079,41.7747174,-87.7961843,Residential,59,0.0,0.0,,,56877.0,48.0,2.1256,0.0,0.0,0.0,88.89,133.33,0.0
r0093_c0080,41.7747174,-87.7943684,Residential,105,0.0,0.0,2.5,,64197.0,54.0,1.4409,0.0,0.0,0.0,88.89,0.0,0.0
r0093_c0081,41.7747174,-87.7925525,Residential,48,0.0,0.0,1.8,,68959.0,66.0,2.6689,0.0,0.0,13.41,0.0,0.0,0.0
r0093_c0082,41.7747174,-87.7907366,Residential,90,0.0,0.0,1.9,,62991.0,60.0,2.0825,0.0,0.0,4.5,88.89,88.89,0.0
r0093_c0083,41.7747174,-87.7889208,Residential,102,133.33,0.0,1.9,,62529.0,50.0,0.8135,0.0,0.0,4.45,88.89,133.33,0.0
r0093_c0084,41.7747174,-87.7871049,Residential,105,44.44,0.0,1.9,,61356.0,61.0,0.6306,0.0,0.0,2.26,44.44,177.78,0.0
r0093_c0085,41.7747174,-87.785289,Residential,66,44.44,0.0,2.3,,43344.0,45.0,1.0506,0.0,0.0,13.62,44.44,88.89,0.0
r0093_c0086,41.7747174,-87.7834732,Residential,52,44.44,0.0,2.2,,58745.0,65.0,2.6106,0.0,0.0,17.48,88.89,177.78,0.0
r0093_c0087,41.7747174,-87.7816573,Residential,84,133.33,0.0,1.8,,65673.0,68.0,1.8419,44.44,0.0,0.0,44.44,222.22,0.0
r0093_c0088,41.7747174,-87.7798414,Residential,60,0.0,0.0,2.0,,48905.0,58.0,1.535,0.0,0.0,0.0,88.89,0.0,0.0
r0093_c0089,41.7747174,-87.7780255,Commercial,19,0.0,0.0,2.0,,48247.0,46.0,2.2138,0.0,0.0,18.66,44.44,133.33,0.0
r0093_c0090,41.7747174,-87.7762097,Residential,64,44.44,0.0,2.0,,51337.0,53.0,2.0046,0.0,0.0,0.0,88.89,177.78,0.0
r0093_c0091,41.7747174,-87.7743938,Residential,66,0.0,0.0,1.8,,48770.0,40.0,1.5326,0.0,0.0,2.46,88.89,177.78,0.0
r0093_c0092,41.7747174,-87.7725779,Residential,46,0.0,0.0,2.0,,75812.0,66.0,1.9601,0.0,0.0,18.1,0.0,88.89,0.0
r0093_c0093,41.7747174,-87.7707621,Residential,27,44.44,0.0,1.9,,72773.0,68.0,2.4766,0.0,0.0,0.0,133.33,88.89,0.0
r0093_c0094,41.7747174,-87.7689462,Residential,28,0.0,0.0,1.8,,79328.0,70.0,2.2485,0.0,0.0,0.0,88.89,44.44,0.0
r0093_c0095,41.7747174,-87.7671303,Residential,28,0.0,0.0,1.8,,48641.0,34.0,2.7094,0.0,0.0,17.95,88.89,0.0,0.0
r0093_c0096,41.7747174,-87.7653145,Residential,39,0.0,0.0,1.6,,75516.0,21.0,2.7656,0.0,0.0,7.04,0.0,88.89,0.0
r0093_c0097,41.7747174,-87.7634986,Residential,31,0.0,0.0,1.5,,106032.0,6.0,3.2661,0.0,0.0,15.26,88.89,266.67,0.0
r0093_c0098,41.7747174,-87.7616827,Residential,29,133.33,0.6667,2.0,,89174.0,2.0,2.9144,0.0,0.0,0.0,88.89,222.22,44.44
r0093_c0099,41.7747174,-87.7598668,Residential,26,177.78,0.0,3.0,,137185.0,1.0,2.2086,0.0,0.0,9.63,88.89,400.0,0.0
r0093_c0101,41.7747174,-87.7562351,Residential,29,44.44,1.0,1.7,,49955.0,37.0,0.2164,44.44,0.0,13.81,88.89,311.11,0.0
r0093_c0102,41.7747174,-87.7544192,Residential,42,0.0,0.0,1.4,,70399.0,69.0,0.2006,0.0,0.0,0.0,88.89,88.89,0.0
r0093_c0103,41.7747174,-87.7526034,Residential,46,0.0,0.0,1.4,,50844.0,44.0,0.9486,0.0,0.0,18.13,44.44,88.89,0.0
r0093_c0104,41.7747174,-87.7507875,Residential,16,0.0,0.0,1.4,,69236.0,62.0,0.7742,0.0,0.0,0.0,44.44,0.0,0.0
r0093_c0105,41.7747174,-87.7489716,Residential,17,88.89,0.0,1.9,,60231.0,83.0,1.2752,0.0,0.0,0.0,133.33,88.89,0.0
r0093_c0106,41.7747174,-87.7471557,Residential,10,266.67,0.0,1.5,,56536.0,66.0,1.5059,0.0,0.0,18.08,177.78,444.44,0.0
r0093_c0109,41.7747174,-87.7417081,Residential,21,133.33,0.6667,1.9,,72723.0,82.0,1.9628,0.0,0.0,0.0,266.67,311.11,0.0
r0093_c0110,41.7747174,-87.7398923,Residential,16,0.0,0.0,1.9,,67474.0,64.0,1.3222,0.0,0.0,0.0,0.0,0.0,0.0
r0093_c0111,41.7747174,-87.7380764,Residential,10,177.78,0.0,1.8,,73701.0,79.0,1.5329,0.0,0.0,0.0,0.0,133.33,0.0
r0093_c0114,41.7747174,-87.7326288,Residential,10,622.22,0.0,1.8,,72983.0,77.0,0.971,133.33,0.0,0.0,0.0,222.22,0.0
r0094_c0077,41.7760688,-87.799816,Residential,41,177.78,0.25,1.0,,58203.0,52.0,1.6856,0.0,0.0,0.0,0.0,177.78,0.0
r0094_c0078,41.7760688,-87.7980001,Residential,29,0.0,0.0,,,64165.0,73.0,1.4999,0.0,0.0,0.0,0.0,44.44,0.0
r0094_c0079,41.7760688,-87.7961843,Residential,31,0.0,0.0,1.5,,67400.0,61.0,1.4948,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0080,41.7760688,-87.7943684,Mixed-Use,41,177.78,0.0,2.0,,63689.0,55.0,0.3843,0.0,0.0,17.95,0.0,0.0,0.0
r0094_c0081,41.7760688,-87.7925525,Residential,46,0.0,0.0,1.8,,82307.0,67.0,1.6471,0.0,0.0,0.0,0.0,44.44,0.0
r0094_c0082,41.7760688,-87.7907366,Residential,37,44.44,0.0,1.8,,59675.0,62.0,1.7497,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0083,41.7760688,-87.7889208,Residential,46,44.44,0.0,2.0,,88493.0,79.0,1.588,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0084,41.7760688,-87.7871049,Residential,49,0.0,0.0,2.0,,52076.0,67.0,1.3983,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0085,41.7760688,-87.785289,Residential,43,0.0,0.0,1.9,,60960.0,57.0,1.2761,0.0,0.0,15.45,0.0,0.0,0.0
r0094_c0086,41.7760688,-87.7834732,Residential,45,0.0,0.0,1.9,,54386.0,49.0,1.4741,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0087,41.7760688,-87.7816573,Residential,34,177.78,0.0,1.9,,66629.0,66.0,1.5279,0.0,0.0,0.0,88.89,44.44,0.0
r0094_c0088,41.7760688,-87.7798414,Residential,47,0.0,0.0,1.9,,47889.0,56.0,0.7577,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0089,41.7760688,-87.7780255,Residential,41,0.0,0.0,2.0,,67359.0,60.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0090,41.7760688,-87.7762097,Residential,42,0.0,0.0,2.0,,81039.0,45.0,0.3238,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0091,41.7760688,-87.7743938,Residential,41,0.0,0.0,1.9,,47152.0,41.0,0.4364,0.0,0.0,0.0,44.44,0.0,0.0
r0094_c0092,41.7760688,-87.7725779,Residential,54,0.0,0.0,2.0,,80236.0,81.0,0.9964,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0093,41.7760688,-87.7707621,Residential,49,0.0,0.0,1.7,,80033.0,80.0,0.9665,0.0,0.0,0.0,44.44,0.0,0.0
r0094_c0094,41.7760688,-87.7689462,Residential,55,0.0,0.0,1.8,,73875.0,71.0,1.4595,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0095,41.7760688,-87.7671303,Residential,45,0.0,0.0,1.6,,73185.0,63.0,2.0679,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0096,41.7760688,-87.7653145,Residential,44,0.0,0.0,1.6,,38130.0,24.0,1.8006,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0097,41.7760688,-87.7634986,Residential,42,88.89,0.0,3.0,,234181.0,2.0,2.5957,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0098,41.7760688,-87.7616827,Residential,44,44.44,0.0,1.0,,30154.0,1.0,3.3078,0.0,0.0,0.0,0.0,44.44,0.0
r0094_c0099,41.7760688,-87.7598668,Residential,41,0.0,0.0,,,130653.0,2.0,1.1347,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0100,41.7760688,-87.758051,Residential,35,44.44,0.0,1.3,,83819.0,16.0,2.1438,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0101,41.7760688,-87.7562351,Residential,60,0.0,0.0,1.7,,63874.0,87.0,0.2913,0.0,0.0,0.0,0.0,0.0,0.0
r0094_c0102,41.7760688,-87.7544192,Residential,69,0.0,0.0,1.7,,71523.0,80.0,-0.0,0.0,0.0,0.0,0.0,88.89,0.0
