cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0016_c0055,38.8125762,-77.0247838,Mixed-Use,5
r0016_c0056,38.8125762,-77.0230475,Mixed-Use,4
r0016_c0061,38.8125762,-77.0143662,Mixed-Use,3
r0016_c0062,38.8125762,-77.0126299,Mixed-Use,5
r0017_c0054,38.8139276,-77.02652,Mixed-Use,4
r0017_c0056,38.8139276,-77.0230475,Mixed-Use,3
r0017_c0059,38.8139276,-77.0178387,Mixed-Use,6
r0017_c0062,38.8139276,-77.0126299,Mixed-Use,4
r0018_c0054,38.8152789,-77.02652,Mixed-Use,6
r0018_c0055,38.8152789,-77.0247838,Mixed-Use,5
r0018_c0056,38.8152789,-77.0230475,Mixed-Use,7
r0018_c0057,38.8152789,-77.0213112,Mixed-Use,5
r0018_c0058,38.8152789,-77.019575,Mixed-Use,3
r0018_c0062,38.8152789,-77.0126299,Mixed-Use,4
r0019_c0054,38.8166303,-77.02652,Mixed-Use,8
r0019_c0055,38.8166303,-77.0247838,Mixed-Use,9
r0019_c0056,38.8166303,-77.0230475,Mixed-Use,7
r0019_c0057,38.8166303,-77.0213112,Mixed-Use,4
r0019_c0058,38.8166303,-77.019575,Mixed-Use,8
r0019_c0060,38.8166303,-77.0161025,Mixed-Use,4
r0019_c0062,38.8166303,-77.0126299,Mixed-Use,6
r0019_c0063,38.8166303,-77.0108937,Mixed-Use,6
r0020_c0054,38.8179817,-77.02652,Industrial,10
r0020_c0055,38.8179817,-77.0247838,Mixed-Use,5
r0020_c0056,38.8179817,-77.0230475,Mixed-Use,3
r0020_c0057,38.8179817,-77.0213112,Mixed-Use,5
r0020_c0058,38.8179817,-77.019575,Mixed-Use,5
r0020_c0059,38.8179817,-77.0178387,Mixed-Use,4
r0020_c0060,38.8179817,-77.0161025,Mixed-Use,4
r0020_c0061,38.8179817,-77.0143662,Mixed-Use,4
r0020_c0062,38.8179817,-77.0126299,Mixed-Use,13
r0021_c0055,38.819333,-77.0247838,Industrial,4
r0021_c0056,38.819333,-77.0230475,Industrial,4
r0021_c0057,38.819333,-77.0213112,Mixed-Use,5
r0021_c0058,38.819333,-77.019575,Mixed-Use,11
r0021_c0059,38.819333,-77.0178387,Mixed-Use,7
r0021_c0061,38.819333,-77.0143662,Mixed-Use,7
r0021_c0064,38.819333,-77.0091574,Residential,3
r0021_c0065,38.819333,-77.0074211,Residential,5
r0022_c0054,38.8206844,-77.02652,Other,10
r0022_c0055,38.8206844,-77.0247838,Other,9
r0022_c0056,38.8206844,-77.0230475,Other,7
r0022_c0057,38.8206844,-77.0213112,Other,6
r0022_c0058,38.8206844,-77.019575,Other,5
r0022_c0060,38.8206844,-77.0161025,Mixed-Use,8
r0022_c0061,38.8206844,-77.0143662,Mixed-Use,7
r0022_c0063,38.8206844,-77.0108937,Residential,10
r0022_c0064,38.8206844,-77.0091574,Residential,16
r0022_c0065,38.8206844,-77.0074211,Residential,22
r0022_c0066,38.8206844,-77.0056849,Residential,25
r0023_c0046,38.8220357,-77.0404101,Residential,3
r0023_c0054,38.8220357,-77.02652,Other,10
r0023_c0055,38.8220357,-77.0247838,Other,10
r0023_c0056,38.8220357,-77.0230475,Other,10
r0023_c0057,38.8220357,-77.0213112,Other,10
r0023_c0058,38.8220357,-77.019575,Other,10
r0023_c0059,38.8220357,-77.0178387,Other,5
r0023_c0064,38.8220357,-77.0091574,Residential,14
r0023_c0065,38.8220357,-77.0074211,Residential,25
r0023_c0066,38.8220357,-77.0056849,Residential,17
r0024_c0054,38.8233871,-77.02652,Other,10
r0024_c0055,38.8233871,-77.0247838,Other,10
r0024_c0056,38.8233871,-77.0230475,Other,10
r0024_c0057,38.8233871,-77.0213112,Other,10
r0024_c0058,38.8233871,-77.019575,Other,10
r0024_c0059,38.8233871,-77.0178387,Other,7
r0024_c0063,38.8233871,-77.0108937,Residential,6
