cell_id,amenity_density,amenity_ratio_food_drink
r0016_c0055,222.22,0.0
r0016_c0056,311.11,0.0
r0016_c0061,177.78,0.0
r0016_c0062,44.44,0.0
r0017_c0054,44.44,0.0
r0017_c0056,0.0,0.0
r0017_c0059,133.33,0.0
r0017_c0062,44.44,0.0
r0018_c0054,44.44,0.0
r0018_c0055,44.44,0.0
r0018_c0056,44.44,0.0
r0018_c0057,133.33,0.0
r0018_c0058,44.44,0.0
r0018_c0062,133.33,0.0
r0019_c0054,88.89,0.0
r0019_c0055,133.33,0.0
r0019_c0056,44.44,0.0
r0019_c0057,44.44,0.0
r0019_c0058,44.44,0.0
r0019_c0060,88.89,0.0
r0019_c0062,88.89,0.0
r0019_c0063,444.44,0.0
r0020_c0054,44.44,0.0
r0020_c0055,133.33,0.0
r0020_c0056,0.0,0.0
r0020_c0057,44.44,0.0
r0020_c0058,88.89,0.0
r0020_c0059,0.0,0.0
r0020_c0060,177.78,0.0
r0020_c0061,88.89,0.0
r0020_c0062,222.22,0.0
r0021_c0055,44.44,0.0
r0021_c0056,44.44,0.0
r0021_c0057,88.89,0.0
r0021_c0058,0.0,0.0
r0021_c0059,44.44,0.0
r0021_c0061,177.78,0.0
r0021_c0064,266.67,0.0
r0021_c0065,266.67,0.0
r0022_c0054,133.33,0.0
r0022_c0055,133.33,0.0
r0022_c0056,133.33,0.0
r0022_c0057,88.89,0.0
r0022_c0058,44.44,0.0
r0022_c0060,88.89,0.0
r0022_c0061,311.11,0.0
r0022_c0063,177.78,0.0
r0022_c0064,88.89,0.0
r0022_c0065,0.0,0.0
r0022_c0066,533.33,0.3333
r0023_c0046,1822.22,0.0488
r0023_c0054,311.11,0.0
r0023_c0055,133.33,0.0
r0023_c0056,533.33,0.0
r0023_c0057,266.67,0.0
r0023_c0058,400.0,0.0
r0023_c0059,133.33,0.0
r0023_c0064,355.56,0.0
r0023_c0065,177.78,0.0
r0023_c0066,0.0,0.0
r0024_c0054,266.67,0.0
r0024_c0055,266.67,0.0
r0024_c0056,133.33,0.0
r0024_c0057,88.89,0.0
r0024_c0058,0.0,0.0
r0024_c0059,133.33,0.0
r0024_c0063,222.22,0.0
r0024_c0064,133.33,0.0
r0024_c0065,177.78,0.0
r0024_c0066,44.44,0.0
r0024_c0068,533.33,0.0
r0024_c0069,666.67,0.0
r0024_c0070,133.33,0.0
r0025_c0054,177.78,0.0
r0025_c0055,0.0,0.0
r0025_c0056,222.22,0.2
