cell_id,avg_floors,avg_yearbuilt,total_bldg_area,building_count
r0016_c0055,,,,
r0016_c0056,,,,
r0016_c0061,,,37068.0,19.0
r0016_c0062,,,31944.0,42.0
r0017_c0054,,,26085.0,9.0
r0017_c0056,,,,
r0017_c0059,,,645.0,1.0
r0017_c0062,,,26707.0,21.0
r0018_c0054,,,27181.0,6.0
r0018_c0055,,,25773.0,1.0
r0018_c0056,,,6822.0,2.0
r0018_c0057,,,22280.0,5.0
r0018_c0058,,,30253.0,7.0
r0018_c0062,,,41628.0,12.0
r0019_c0054,,,33446.0,8.0
r0019_c0055,,,19334.0,12.0
r0019_c0056,,,120.0,1.0
r0019_c0057,,,39592.0,3.0
r0019_c0058,,,17140.0,5.0
r0019_c0060,,,4175.0,3.0
r0019_c0062,,,31814.0,9.0
r0019_c0063,,,55667.0,37.0
r0020_c0054,,,50542.0,40.0
r0020_c0055,,,39874.0,34.0
r0020_c0056,,,,
r0020_c0057,,,31876.0,6.0
r0020_c0058,,,91266.0,7.0
r0020_c0059,,,12834.0,9.0
r0020_c0060,,,3657.0,2.0
r0020_c0061,,,,
r0020_c0062,,,22753.0,18.0
r0021_c0055,,,19883.0,21.0
r0021_c0056,,,23957.0,4.0
r0021_c0057,,,27833.0,5.0
r0021_c0058,,,49004.0,4.0
r0021_c0059,,,19309.0,4.0
r0021_c0061,,,,
r0021_c0064,,,,
r0021_c0065,,,1574.0,1.0
r0022_c0054,,,96395.0,16.0
r0022_c0055,,,104399.0,6.0
r0022_c0056,,,,
r0022_c0057,,,4780.0,6.0
r0022_c0058,,,65895.0,6.0
r0022_c0060,,,5273.0,3.0
r0022_c0061,,,2315.0,3.0
r0022_c0063,,,41571.0,26.0
r0022_c0064,,,80061.0,22.0
r0022_c0065,,,52727.0,30.0
r0022_c0066,,,47525.0,64.0
r0023_c0046,,,,
r0023_c0054,,,36797.0,31.0
r0023_c0055,,,37108.0,36.0
r0023_c0056,,,67.0,1.0
r0023_c0057,,,,
r0023_c0058,,,15574.0,3.0
r0023_c0059,,,50170.0,9.0
r0023_c0064,,,50153.0,47.0
r0023_c0065,,,49422.0,54.0
r0023_c0066,,,40961.0,40.0
r0024_c0054,,,32970.0,27.0
r0024_c0055,,,52004.0,49.0
r0024_c0056,,,91303.0,16.0
r0024_c0057,,,7986.0,9.0
r0024_c0058,,,22350.0,1.0
r0024_c0059,,,9385.0,3.0
r0024_c0063,,,,
r0024_c0064,,,2904.0,1.0
r0024_c0065,,,37183.0,45.0
r0024_c0066,,,57595.0,41.0
r0024_c0068,,,50817.0,61.0
r0024_c0069,,,44612.0,49.0
r0024_c0070,,,56213.0,34.0
r0025_c0054,,,34450.0,24.0
r0025_c0055,,,53435.0,55.0
r0025_c0056,,,49139.0,48.0
r0025_c0057,,,12174.0,10.0
r0025_c0058,,,514.0,1.0
r0025_c0059,,,,
r0025_c0062,,,,
r0025_c0063,,,19128.0,7.0
r0025_c0064,,,39493.0,40.0
r0025_c0065,,,39468.0,40.0
r0025_c0066,,,51459.0,54.0
r0025_c0068,,,37793.0,40.0
r0025_c0069,,,11645.0,10.0
r0025_c0070,,1852,75736.0,5.0
r0025_c0071,,1852,56865.0,3.0
r0026_c0054,,,292.0,3.0
r0026_c0055,,,10812.0,8.0
r0026_c0056,,,514.0,4.0
r0026_c0057,,,,
r0026_c0058,,,,
r0026_c0059,,,,
r0026_c0062,,,,
r0026_c0063,,,48095.0,25.0
r0026_c0064,,,41308.0,75.0
r0026_c0065,,,46250.0,59.0
r0026_c0066,,,36078.0,26.0
r0026_c0067,,,44239.0,41.0
r0026_c0068,,,79607.0,17.0
r0026_c0069,,1852,25787.0,1.0
r0026_c0070,,1852,32760.0,2.0
r0026_c0071,,,95285.0,1.0
r0026_c0072,,,,
r0027_c0054,,,,
r0027_c0055,,,3106.0,4.0
r0027_c0056,,,1890.0,3.0
r0027_c0057,,,,
r0027_c0058,,,,
r0027_c0059,,,2336.0,7.0
r0027_c0062,,,,
r0027_c0063,,,54543.0,26.0
r0027_c0064,,,22414.0,21.0
r0027_c0065,,,38373.0,34.0
r0027_c0066,,,24320.0,25.0
r0027_c0067,,1852,41589.0,12.0
r0027_c0068,,,23589.0,5.0
r0027_c0069,,1852,49069.0,3.0
r0027_c0070,,1852,131592.0,2.0
r0027_c0071,,,35984.0,1.0
r0027_c0073,,,,
r0028_c0054,,,,
r0028_c0055,,,,
r0028_c0056,,,7131.0,4.0
r0028_c0057,,,,
r0028_c0058,,,49293.0,1.0
r0028_c0059,,,120794.0,4.0
r0028_c0062,,,,
r0028_c0063,,,26511.0,43.0
r0028_c0064,,,,
r0028_c0065,,,,
r0028_c0066,,,,
r0028_c0067,,1852,27155.0,1.0
r0028_c0068,,1852,38563.0,3.0
r0028_c0069,,,,
r0028_c0070,,,,
r0028_c0071,,,,
