cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0011_c0018,40.7017918,-74.0136772,Open Space,3
r0012_c0018,40.7031431,-74.0136772,Commercial,5
r0012_c0019,40.7031431,-74.0118928,Commercial,18
r0012_c0020,40.7031431,-74.0101084,Residential,11
r0012_c0021,40.7031431,-74.008324,Commercial,3
r0013_c0018,40.7044945,-74.0136772,Institutional,3
r0013_c0019,40.7044945,-74.0118928,Commercial,18
r0013_c0020,40.7044945,-74.0101084,Commercial,23
r0013_c0021,40.7044945,-74.008324,Mixed-Use,8
r0013_c0022,40.7044945,-74.0065396,Commercial,5
r0014_c0016,40.7058458,-74.017246,Mixed-Use,3
r0014_c0017,40.7058458,-74.0154616,Mixed-Use,4
r0014_c0018,40.7058458,-74.0136772,Commercial,5
r0014_c0019,40.7058458,-74.0118928,Commercial,11
r0014_c0020,40.7058458,-74.0101084,Mixed-Use,8
r0014_c0021,40.7058458,-74.008324,Commercial,9
r0014_c0022,40.7058458,-74.0065396,Commercial,7
r0014_c0023,40.7058458,-74.0047552,Commercial,15
r0015_c0016,40.7071972,-74.017246,Mixed-Use,4
r0015_c0018,40.7071972,-74.0136772,Commercial,11
r0015_c0019,40.7071972,-74.0118928,Commercial,6
r0015_c0020,40.7071972,-74.0101084,Commercial,7
r0015_c0021,40.7071972,-74.008324,Commercial,12
r0015_c0022,40.7071972,-74.0065396,Residential,13
r0015_c0023,40.7071972,-74.0047552,Commercial,8
r0015_c0024,40.7071972,-74.0029708,Mixed-Use,26
r0015_c0025,40.7071972,-74.0011864,Mixed-Use,16
r0016_c0016,40.7085485,-74.017246,Mixed-Use,6
r0016_c0017,40.7085485,-74.0154616,Commercial,3
r0016_c0018,40.7085485,-74.0136772,Commercial,20
r0016_c0019,40.7085485,-74.0118928,Institutional,6
r0016_c0020,40.7085485,-74.0101084,Commercial,9
r0016_c0021,40.7085485,-74.008324,Commercial,12
r0016_c0022,40.7085485,-74.0065396,Mixed-Use,12
r0016_c0023,40.7085485,-74.0047552,Mixed-Use,17
r0016_c0024,40.7085485,-74.0029708,Mixed-Use,3
r0016_c0025,40.7085485,-74.0011864,Mixed-Use,33
r0017_c0016,40.7098999,-74.017246,Mixed-Use,4
r0017_c0018,40.7098999,-74.0136772,Mixed-Use,9
r0017_c0019,40.7098999,-74.0118928,Mixed-Use,9
r0017_c0020,40.7098999,-74.0101084,Commercial,19
r0017_c0021,40.7098999,-74.008324,Mixed-Use,34
r0017_c0022,40.7098999,-74.0065396,Commercial,25
r0017_c0023,40.7098999,-74.0047552,Institutional,7
r0017_c0024,40.7098999,-74.0029708,Residential,3
r0017_c0028,40.7098999,-73.9958333,Industrial,3
r0018_c0020,40.7112512,-74.0101084,Commercial,5
r0018_c0021,40.7112512,-74.008324,Residential,9
r0018_c0022,40.7112512,-74.0065396,Mixed-Use,18
r0018_c0025,40.7112512,-74.0011864,Commercial,3
r0018_c0028,40.7112512,-73.9958333,Mixed-Use,19
r0018_c0029,40.7112512,-73.9940489,Open Space,15
r0018_c0031,40.7112512,-73.9904801,Mixed-Use,4
r0018_c0033,40.7112512,-73.9869113,Mixed-Use,6
r0018_c0035,40.7112512,-73.9833425,Residential,3
r0018_c0036,40.7112512,-73.9815581,Residential,3
r0019_c0020,40.7126026,-74.0101084,Commercial,6
r0019_c0021,40.7126026,-74.008324,Mixed-Use,11
r0019_c0025,40.7126026,-74.0011864,Commercial,3
r0019_c0026,40.7126026,-73.9994021,Residential,13
r0019_c0027,40.7126026,-73.9976177,Mixed-Use,43
r0019_c0028,40.7126026,-73.9958333,Mixed-Use,59
r0019_c0029,40.7126026,-73.9940489,Mixed-Use,30
r0019_c0030,40.7126026,-73.9922645,Institutional,7
r0019_c0031,40.7126026,-73.9904801,Mixed-Use,25
r0019_c0032,40.7126026,-73.9886957,Mixed-Use,21
r0019_c0034,40.7126026,-73.9851269,Residential,5
r0020_c0019,40.713954,-74.0118928,Commercial,3
r0020_c0020,40.713954,-74.0101084,Commercial,16
r0020_c0021,40.713954,-74.008324,Mixed-Use,32
r0020_c0022,40.713954,-74.0065396,Commercial,14
r0020_c0023,40.713954,-74.0047552,Commercial,6
r0020_c0024,40.713954,-74.0029708,Institutional,3
r0020_c0025,40.713954,-74.0011864,Institutional,3
r0020_c0026,40.713954,-73.9994021,Residential,26
r0020_c0027,40.713954,-73.9976177,Mixed-Use,44
r0020_c0028,40.713954,-73.9958333,Mixed-Use,51
r0020_c0029,40.713954,-73.9940489,Commercial,38
r0020_c0030,40.713954,-73.9922645,Mixed-Use,42
r0020_c0031,40.713954,-73.9904801,Mixed-Use,39
r0020_c0032,40.713954,-73.9886957,Mixed-Use,20
r0020_c0033,40.713954,-73.9869113,Institutional,35
r0020_c0034,40.713954,-73.9851269,Residential,22
r0020_c0035,40.713954,-73.9833425,Mixed-Use,8
r0020_c0036,40.713954,-73.9815581,Residential,16
r0021_c0020,40.7153053,-74.0101084,Mixed-Use,38
r0021_c0021,40.7153053,-74.008324,Mixed-Use,40
r0021_c0022,40.7153053,-74.0065396,Mixed-Use,21
r0021_c0023,40.7153053,-74.0047552,Commercial,8
r0021_c0024,40.7153053,-74.0029708,Commercial,3
r0021_c0026,40.7153053,-73.9994021,Open Space,32
r0021_c0027,40.7153053,-73.9976177,Mixed-Use,51
r0021_c0029,40.7153053,-73.9940489,Mixed-Use,32
r0021_c0030,40.7153053,-73.9922645,Mixed-Use,54
r0021_c0031,40.7153053,-73.9904801,Mixed-Use,49
r0021_c0032,40.7153053,-73.9886957,Residential,3
r0021_c0034,40.7153053,-73.9851269,Residential,5
r0021_c0035,40.7153053,-73.9833425,Commercial,6
r0021_c0036,40.7153053,-73.9815581,Residential,3
r0021_c0037,40.7153053,-73.9797737,Residential,4
r0022_c0017,40.7166567,-74.0154616,Residential,5
r0022_c0018,40.7166567,-74.0136772,Institutional,3
r0022_c0019,40.7166567,-74.0118928,Institutional,4
r0022_c0020,40.7166567,-74.0101084,Mixed-Use,38
r0022_c0021,40.7166567,-74.008324,Mixed-Use,35
r0022_c0022,40.7166567,-74.0065396,Commercial,11
r0022_c0023,40.7166567,-74.0047552,Mixed-Use,12
r0022_c0024,40.7166567,-74.0029708,Mixed-Use,12
r0022_c0025,40.7166567,-74.0011864,Institutional,5
r0022_c0026,40.7166567,-73.9994021,Mixed-Use,38
r0022_c0027,40.7166567,-73.9976177,Commercial,47
r0022_c0028,40.7166567,-73.9958333,Commercial,32
r0022_c0029,40.7166567,-73.9940489,Open Space,16
r0022_c0030,40.7166567,-73.9922645,Mixed-Use,34
r0022_c0031,40.7166567,-73.9904801,Mixed-Use,57
r0022_c0032,40.7166567,-73.9886957,Residential,9
r0022_c0033,40.7166567,-73.9869113,Mixed-Use,6
r0022_c0034,40.7166567,-73.9851269,Residential,7
r0022_c0035,40.7166567,-73.9833425,Mixed-Use,6
r0023_c0019,40.718008,-74.0118928,Residential,3
r0023_c0020,40.718008,-74.0101084,Mixed-Use,38
r0023_c0021,40.718008,-74.008324,Mixed-Use,16
r0023_c0022,40.718008,-74.0065396,Mixed-Use,25
r0023_c0023,40.718008,-74.0047552,Mixed-Use,47
r0023_c0024,40.718008,-74.0029708,Mixed-Use,32
r0023_c0025,40.718008,-74.0011864,Commercial,29
r0023_c0026,40.718008,-73.9994021,Commercial,31
r0023_c0027,40.718008,-73.9976177,Mixed-Use,56
r0023_c0028,40.718008,-73.9958333,Mixed-Use,40
r0023_c0029,40.718008,-73.9940489,Mixed-Use,35
