cell_id,amenity_density,amenity_ratio_food_drink
r0011_c0018,10844.44,0.0451
r0012_c0018,8844.44,0.0201
r0012_c0019,2177.78,0.3061
r0012_c0020,4755.56,0.0841
r0012_c0021,2977.78,0.0
r0013_c0018,3688.89,0.0241
r0013_c0019,2088.89,0.3191
r0013_c0020,5466.67,0.2114
r0013_c0021,4844.44,0.0734
r0013_c0022,7155.56,0.0311
r0014_c0016,16177.78,0.0055
r0014_c0017,4444.44,0.0
r0014_c0018,2444.44,0.0545
r0014_c0019,2222.22,0.22
r0014_c0020,1155.56,0.2308
r0014_c0021,1644.44,0.5676
r0014_c0022,2711.11,0.0984
r0014_c0023,5644.44,0.0394
r0015_c0016,8177.78,0.0
r0015_c0018,2577.78,0.1552
r0015_c0019,1511.11,0.2059
r0015_c0020,1644.44,0.0811
r0015_c0021,3822.22,0.1977
r0015_c0022,2888.89,0.2615
r0015_c0023,3333.33,0.0667
r0015_c0024,2844.44,0.2188
r0015_c0025,3377.78,0.1316
r0016_c0016,6177.78,0.0144
r0016_c0017,4577.78,0.0097
r0016_c0018,2044.44,0.2609
r0016_c0019,1111.11,0.12
r0016_c0020,2355.56,0.0566
r0016_c0021,2933.33,0.1212
r0016_c0022,2311.11,0.1538
r0016_c0023,5777.78,0.0846
r0016_c0024,3422.22,0.0
r0016_c0025,4000.0,0.0889
r0017_c0016,15822.22,0.0562
r0017_c0018,8844.44,0.0251
r0017_c0019,2177.78,0.1429
r0017_c0020,2666.67,0.1667
r0017_c0021,3911.11,0.3523
r0017_c0022,3244.44,0.2055
r0017_c0023,4800.0,0.0185
r0017_c0024,2933.33,0.0
r0017_c0028,8133.33,0.0
r0018_c0020,2488.89,0.1071
r0018_c0021,1688.89,0.1579
r0018_c0022,5733.33,0.062
r0018_c0025,6177.78,0.0072
r0018_c0028,3022.22,0.0588
r0018_c0029,6488.89,0.0205
r0018_c0031,3555.56,0.0
r0018_c0033,2311.11,0.0
r0018_c0035,3644.44,0.0
r0018_c0036,3955.56,0.0
r0019_c0020,1911.11,0.1628
r0019_c0021,3911.11,0.0682
r0019_c0025,1777.78,0.0
r0019_c0026,2044.44,0.0652
r0019_c0027,4311.11,0.0825
r0019_c0028,666.67,0.1333
r0019_c0029,1511.11,0.1765
r0019_c0030,3377.78,0.0
r0019_c0031,1600.0,0.1389
r0019_c0032,844.44,0.2105
r0019_c0034,355.56,0.0
r0020_c0019,6488.89,0.0205
r0020_c0020,2088.89,0.0638
r0020_c0021,1466.67,0.3939
r0020_c0022,3288.89,0.0811
r0020_c0023,3911.11,0.0
r0020_c0024,2533.33,0.0351
r0020_c0025,2044.44,0.0
r0020_c0026,5022.22,0.115
r0020_c0027,4444.44,0.14
r0020_c0028,2488.89,0.125
r0020_c0029,2622.22,0.322
r0020_c0030,1422.22,0.3438
r0020_c0031,2400.0,0.2963
r0020_c0032,2977.78,0.0597
r0020_c0033,1111.11,0.32
r0020_c0034,844.44,0.0526
r0020_c0035,622.22,0.0
r0020_c0036,1244.44,0.2143
r0021_c0020,3777.78,0.1765
r0021_c0021,3022.22,0.25
r0021_c0022,2888.89,0.1538
r0021_c0023,977.78,0.0909
r0021_c0024,7466.67,0.006
r0021_c0026,10088.89,0.0969
r0021_c0027,5822.22,0.2595
r0021_c0029,1511.11,0.1176
r0021_c0030,2177.78,0.3878
r0021_c0031,1466.67,0.303
r0021_c0032,2444.44,0.0182
r0021_c0034,222.22,0.0
r0021_c0035,1288.89,0.1034
r0021_c0036,1066.67,0.0833
r0021_c0037,1244.44,0.0714
r0022_c0017,30355.56,0.019
r0022_c0018,6711.11,0.0
r0022_c0019,5066.67,0.0
r0022_c0020,2977.78,0.1343
r0022_c0021,1333.33,0.3333
r0022_c0022,977.78,0.0455
r0022_c0023,755.56,0.2941
r0022_c0024,844.44,0.0526
r0022_c0025,5111.11,0.0087
r0022_c0026,2711.11,0.3279
r0022_c0027,3911.11,0.2159
r0022_c0028,3644.44,0.1098
r0022_c0029,3555.56,0.15
r0022_c0030,977.78,0.2727
r0022_c0031,800.0,0.2222
r0022_c0032,844.44,0.3158
r0022_c0033,1200.0,0.1481
r0022_c0034,622.22,0.0714
r0022_c0035,266.67,0.0
r0023_c0019,6355.56,0.0
