cell_id,avg_floors,avg_yearbuilt,total_bldg_area,building_count
r0011_c0018,,,0.0,3.0
r0012_c0018,28.9,1930,2142087.0,4.0
r0012_c0019,16.1,1958,1387382.0,10.0
r0012_c0020,6.6,1873,1281484.0,20.0
r0012_c0021,29.0,1942,3602735.0,2.0
r0013_c0018,10.0,1897,527145.0,2.0
r0013_c0019,13.6,1927,2252291.0,15.0
r0013_c0020,9.5,1890,2914437.0,23.0
r0013_c0021,19.1,1943,2231624.0,10.0
r0013_c0022,25.0,1958,1804530.0,4.0
r0014_c0016,27.0,2006,1002722.0,3.0
r0014_c0017,35.7,1921,1718019.0,4.0
r0014_c0018,24.2,1924,2200249.0,6.0
r0014_c0019,27.2,1928,3846129.0,10.0
r0014_c0020,25.3,1947,2315164.0,8.0
r0014_c0021,30.1,1921,3952219.0,8.0
r0014_c0022,28.8,1958,5268199.0,10.0
r0014_c0023,25.0,1973,2075645.0,11.0
r0015_c0016,17.0,2001,877681.0,3.0
r0015_c0018,22.4,1977,1097642.0,9.0
r0015_c0019,25.0,1925,2982952.0,8.0
r0015_c0020,29.2,1910,3718302.0,9.0
r0015_c0021,20.0,1922,3289417.0,10.0
r0015_c0022,22.0,1962,2767022.0,14.0
r0015_c0023,21.7,1945,2940378.0,11.0
r0015_c0024,4.5,1911,313581.0,26.0
r0015_c0025,4.8,1862,317451.0,29.0
r0016_c0016,13.2,1987,744121.0,5.0
r0016_c0017,44.0,1987,428589.0,1.0
r0016_c0018,16.7,1932,2554542.0,19.0
r0016_c0019,24.6,1936,2086141.0,8.0
r0016_c0020,26.8,1921,3327828.0,6.0
r0016_c0021,14.4,1923,2504640.0,12.0
r0016_c0022,24.4,1946,2678369.0,11.0
r0016_c0023,11.1,1943,1248995.0,17.0
r0016_c0024,20.0,1981,208576.0,2.0
r0016_c0025,5.5,1900,540189.0,37.0
r0017_c0016,16.3,1986,604843.0,4.0
r0017_c0018,27.7,1943,958620.0,5.0
r0017_c0019,9.1,1953,400407.0,12.0
r0017_c0020,16.2,1940,2962360.0,16.0
r0017_c0021,9.7,1917,1254343.0,27.0
r0017_c0022,10.9,1921,2000411.0,29.0
r0017_c0023,10.8,1934,1289848.0,13.0
r0017_c0024,8.0,1970,2819174.0,12.0
r0017_c0028,,,0.0,0.0
r0018_c0020,30.0,1937,1527136.0,3.0
r0018_c0021,16.5,1936,1151837.0,6.0
r0018_c0022,15.1,1930,1640459.0,23.0
r0018_c0025,7.0,1944,1111001.0,2.0
r0018_c0028,5.7,1911,1585536.0,31.0
r0018_c0029,5.6,1914,155674.0,14.0
r0018_c0031,10.3,1982,739757.0,13.0
r0018_c0033,7.7,1989,321402.0,12.0
