cell_id,landuse_entropy
r0011_c0018,-0.0
r0012_c0018,0.3323
r0012_c0019,1.0703
r0012_c0020,1.9788
r0012_c0021,0.3506
r0013_c0018,1.337
r0013_c0019,0.6634
r0013_c0020,1.0718
r0013_c0021,1.5593
r0013_c0022,1.0576
r0014_c0016,0.8362
r0014_c0017,0.6005
r0014_c0018,0.9524
r0014_c0019,0.4051
r0014_c0020,2.1233
r0014_c0021,1.4645
r0014_c0022,0.9306
r0014_c0023,1.505
r0015_c0016,0.9487
r0015_c0018,0.9774
r0015_c0019,1.5553
r0015_c0020,1.2745
r0015_c0021,1.0291
r0015_c0022,1.4332
r0015_c0023,1.8598
r0015_c0024,2.0321
r0015_c0025,1.4088
r0016_c0016,-0.0
r0016_c0017,-0.0
r0016_c0018,1.7602
r0016_c0019,1.2128
r0016_c0020,0.1122
r0016_c0021,0.5289
r0016_c0022,0.9868
r0016_c0023,1.2406
r0016_c0024,1.1667
r0016_c0025,2.7146
r0017_c0016,0.8939
r0017_c0018,1.9541
r0017_c0019,2.2868
r0017_c0020,0.5258
r0017_c0021,2.2066
r0017_c0022,1.9512
r0017_c0023,1.4909
r0017_c0024,0.7418
r0017_c0028,-0.0
r0018_c0020,-0.0
r0018_c0021,1.5079
r0018_c0022,1.9673
r0018_c0025,0.9988
r0018_c0028,0.3153
r0018_c0029,1.5057
r0018_c0031,1.1669
r0018_c0033,1.1517
r0018_c0035,0.8552
r0018_c0036,0.8778
r0019_c0020,-0.0
r0019_c0021,1.8211
r0019_c0025,0.7358
r0019_c0026,0.3854
r0019_c0027,2.205
r0019_c0028,1.7058
r0019_c0029,1.4902
r0019_c0030,1.1953
r0019_c0031,1.1268
r0019_c0032,0.6444
r0019_c0034,0.3148
r0020_c0019,0.7729
r0020_c0020,1.4857
r0020_c0021,1.5109
r0020_c0022,1.6291
r0020_c0023,1.2857
r0020_c0024,0.8016
r0020_c0025,-0.0
r0020_c0026,1.5642
r0020_c0027,1.3028
r0020_c0028,1.5165
r0020_c0029,1.4737
r0020_c0030,2.1823
r0020_c0031,1.8306
r0020_c0032,1.6236
r0020_c0033,1.9509
r0020_c0034,1.4182
r0020_c0035,2.0214
r0020_c0036,1.7637
r0021_c0020,1.6395
r0021_c0021,1.4343
r0021_c0022,1.5834
r0021_c0023,0.6993
r0021_c0024,0.6723
r0021_c0026,1.4059
r0021_c0027,1.1848
r0021_c0029,1.6353
r0021_c0030,1.5738
r0021_c0031,1.1063
r0021_c0032,0.3181
r0021_c0034,0.6076
r0021_c0035,2.1156
r0021_c0036,0.873
r0021_c0037,1.3386
r0022_c0017,0.9094
r0022_c0018,1.3766
r0022_c0019,1.0862
r0022_c0020,0.9222
r0022_c0021,1.4801
r0022_c0022,1.4092
r0022_c0023,1.9052
r0022_c0024,1.3738
r0022_c0025,1.5097
r0022_c0026,1.2963
r0022_c0027,1.1789
r0022_c0028,1.0352
r0022_c0029,1.8081
