cell_id,road_density_primary
r0011_c0018,7.66
r0012_c0018,6.74
r0012_c0019,0.0
r0012_c0020,0.0
r0012_c0021,0.0
r0013_c0018,6.13
r0013_c0019,0.0
r0013_c0020,0.0
r0013_c0021,0.0
r0013_c0022,0.0
r0014_c0016,14.63
r0014_c0017,2.64
r0014_c0018,0.0
r0014_c0019,0.0
r0014_c0020,0.0
r0014_c0021,14.49
r0014_c0022,20.54
r0014_c0023,9.18
r0015_c0016,12.31
r0015_c0018,17.23
r0015_c0019,18.8
r0015_c0020,12.76
r0015_c0021,9.83
r0015_c0022,0.0
r0015_c0023,6.9
r0015_c0024,0.0
r0015_c0025,0.0
r0016_c0016,20.8
r0016_c0017,20.34
r0016_c0018,7.34
r0016_c0019,0.0
r0016_c0020,7.11
r0016_c0021,5.65
r0016_c0022,1.78
r0016_c0023,10.07
r0016_c0024,0.0
r0016_c0025,0.0
r0017_c0016,0.66
r0017_c0018,14.52
r0017_c0019,0.0
r0017_c0020,10.14
r0017_c0021,0.0
r0017_c0022,6.87
r0017_c0023,0.0
r0017_c0024,3.38
r0017_c0028,0.0
r0018_c0020,0.0
r0018_c0021,10.1
r0018_c0022,4.9
r0018_c0025,0.0
r0018_c0028,0.0
r0018_c0029,0.0
r0018_c0031,0.0
r0018_c0033,0.0
r0018_c0035,0.0
r0018_c0036,0.0
r0019_c0020,3.42
r0019_c0021,0.0
r0019_c0025,0.0
r0019_c0026,0.0
r0019_c0027,0.0
r0019_c0028,0.0
r0019_c0029,0.0
r0019_c0030,0.0
r0019_c0031,0.0
r0019_c0032,0.0
r0019_c0034,5.08
r0020_c0019,4.64
r0020_c0020,13.86
r0020_c0021,0.0
r0020_c0022,10.63
r0020_c0023,2.04
r0020_c0024,8.01
r0020_c0025,0.0
r0020_c0026,0.0
r0020_c0027,0.0
r0020_c0028,0.0
r0020_c0029,0.0
r0020_c0030,0.0
r0020_c0031,0.0
r0020_c0032,0.0
r0020_c0033,0.0
r0020_c0034,12.76
r0020_c0035,0.0
r0020_c0036,0.0
r0021_c0020,0.0
r0021_c0021,3.88
r0021_c0022,21.89
r0021_c0023,0.0
r0021_c0024,6.74
r0021_c0026,0.0
r0021_c0027,0.0
r0021_c0029,0.0
r0021_c0030,0.0
r0021_c0031,0.0
r0021_c0032,0.0
r0021_c0034,0.0
r0021_c0035,11.91
r0021_c0036,0.0
r0021_c0037,1.22
r0022_c0017,0.0
r0022_c0018,7.26
r0022_c0019,0.0
r0022_c0020,7.42
r0022_c0021,9.46
r0022_c0022,0.0
r0022_c0023,0.0
r0022_c0024,0.0
r0022_c0025,9.81
r0022_c0026,0.0
r0022_c0027,0.0
r0022_c0028,0.0
r0022_c0029,0.0
r0022_c0030,0.0
r0022_c0031,0.0
r0022_c0032,0.0
r0022_c0033,0.0
r0022_c0034,3.51
r0022_c0035,0.0
r0023_c0019,13.0
r0023_c0020,7.41
r0023_c0021,1.46
r0023_c0022,0.0
r0023_c0023,0.0
r0023_c0024,4.48
r0023_c0025,13.08
r0023_c0026,0.0
r0023_c0027,0.0
r0023_c0028,0.0
r0023_c0029,0.0
r0023_c0030,0.0
r0023_c0031,0.0
r0023_c0032,0.0
r0023_c0033,0.0
r0023_c0034,14.15
r0023_c0035,0.0
r0023_c0039,0.0
r0024_c0020,0.0
r0024_c0021,7.49
r0024_c0022,0.0
r0024_c0023,3.68
r0024_c0024,24.51
r0024_c0025,0.0
r0024_c0026,0.0
r0024_c0027,0.0
r0024_c0028,0.0
r0024_c0029,0.0
r0024_c0030,0.0
r0024_c0031,0.0
r0024_c0032,0.0
r0024_c0033,0.0
r0024_c0034,3.56
r0024_c0035,3.59
r0025_c0020,6.73
r0025_c0021,4.3
r0025_c0022,10.44
r0025_c0023,0.0
r0025_c0024,16.64
r0025_c0025,0.0
r0025_c0026,0.0
r0025_c0027,0.0
r0025_c0028,0.0
r0025_c0029,0.0
r0025_c0030,0.0
r0025_c0031,0.0
r0025_c0032,0.0
r0025_c0033,10.33
r0025_c0034,0.0
r0025_c0035,0.0
r0025_c0036,0.0
r0025_c0037,23.76
r0025_c0038,0.0
r0026_c0019,0.0
r0026_c0020,8.71
r0026_c0021,0.0
r0026_c0022,9.21
r0026_c0023,6.95
r0026_c0024,26.09
r0026_c0025,0.0
r0026_c0026,0.0
r0026_c0027,0.0
r0026_c0028,0.0
r0026_c0029,0.0
r0026_c0030,0.0
r0026_c0031,0.0
r0026_c0032,0.0
r0026_c0033,0.53
r0026_c0034,8.12
r0026_c0035,14.1
r0026_c0036,0.0
r0026_c0037,19.67
r0026_c0038,1.51
r0027_c0020,0.0
r0027_c0021,10.73
r0027_c0022,11.27
r0027_c0023,3.44
r0027_c0024,0.0
r0027_c0025,0.0
r0027_c0026,0.0
r0027_c0027,0.0
