cell_id,nightlife_density
r0011_c0018,44.44
r0012_c0018,0.0
r0012_c0019,88.89
r0012_c0020,0.0
r0012_c0021,0.0
r0013_c0018,0.0
r0013_c0019,88.89
r0013_c0020,88.89
r0013_c0021,44.44
r0013_c0022,44.44
r0014_c0016,0.0
r0014_c0017,0.0
r0014_c0018,0.0
r0014_c0019,0.0
r0014_c0020,88.89
r0014_c0021,133.33
r0014_c0022,0.0
r0014_c0023,0.0
r0015_c0016,0.0
r0015_c0018,0.0
r0015_c0019,0.0
r0015_c0020,0.0
r0015_c0021,177.78
r0015_c0022,0.0
r0015_c0023,0.0
r0015_c0024,44.44
r0015_c0025,44.44
r0016_c0016,0.0
r0016_c0017,44.44
r0016_c0018,0.0
r0016_c0019,44.44
r0016_c0020,0.0
r0016_c0021,44.44
r0016_c0022,44.44
r0016_c0023,44.44
r0016_c0024,0.0
r0016_c0025,44.44
r0017_c0016,88.89
r0017_c0018,0.0
r0017_c0019,44.44
r0017_c0020,0.0
r0017_c0021,44.44
r0017_c0022,88.89
r0017_c0023,0.0
r0017_c0024,0.0
r0017_c0028,0.0
r0018_c0020,0.0
r0018_c0021,0.0
r0018_c0022,44.44
r0018_c0025,0.0
r0018_c0028,0.0
r0018_c0029,0.0
r0018_c0031,0.0
r0018_c0033,0.0
r0018_c0035,0.0
r0018_c0036,0.0
r0019_c0020,0.0
r0019_c0021,44.44
r0019_c0025,0.0
r0019_c0026,0.0
r0019_c0027,44.44
r0019_c0028,0.0
r0019_c0029,44.44
r0019_c0030,0.0
r0019_c0031,0.0
r0019_c0032,0.0
r0019_c0034,0.0
r0020_c0019,44.44
r0020_c0020,88.89
r0020_c0021,88.89
r0020_c0022,0.0
r0020_c0023,0.0
r0020_c0024,44.44
r0020_c0025,0.0
r0020_c0026,0.0
r0020_c0027,88.89
r0020_c0028,0.0
r0020_c0029,0.0
r0020_c0030,88.89
r0020_c0031,44.44
r0020_c0032,0.0
r0020_c0033,0.0
r0020_c0034,0.0
r0020_c0035,0.0
r0020_c0036,0.0
r0021_c0020,44.44
r0021_c0021,44.44
r0021_c0022,44.44
r0021_c0023,0.0
r0021_c0024,0.0
r0021_c0026,0.0
r0021_c0027,0.0
r0021_c0029,44.44
