cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0006_c0026,39.88256,-75.2289943,Industrial,3
r0010_c0016,39.8879654,-75.2466349,Commercial,3
r0010_c0050,39.8879654,-75.186657,Industrial,11
r0011_c0017,39.8893167,-75.2448708,Mixed-Use,5
r0012_c0016,39.8906681,-75.2466349,Residential,4
r0012_c0058,39.8906681,-75.1725445,Commercial,3
r0013_c0011,39.8920194,-75.2554552,Residential,5
r0013_c0015,39.8920194,-75.248399,Residential,9
r0013_c0016,39.8920194,-75.2466349,Residential,15
r0013_c0058,39.8920194,-75.1725445,Commercial,3
r0014_c0011,39.8933708,-75.2554552,Residential,21
r0014_c0012,39.8933708,-75.2536911,Mixed-Use,12
r0014_c0013,39.8933708,-75.2519271,Residential,45
r0014_c0014,39.8933708,-75.250163,Residential,9
r0014_c0015,39.8933708,-75.248399,Residential,20
r0014_c0016,39.8933708,-75.2466349,Residential,3
r0014_c0058,39.8933708,-75.1725445,Commercial,3
r0015_c0011,39.8947221,-75.2554552,Residential,9
r0015_c0012,39.8947221,-75.2536911,Residential,6
r0015_c0013,39.8947221,-75.2519271,Residential,23
r0015_c0014,39.8947221,-75.250163,Residential,60
r0015_c0015,39.8947221,-75.248399,Residential,37
r0015_c0057,39.8947221,-75.1743086,Commercial,3
r0016_c0014,39.8960735,-75.250163,Residential,28
r0016_c0018,39.8960735,-75.2431068,Mixed-Use,5
r0016_c0022,39.8960735,-75.2360506,Industrial,3
r0017_c0018,39.8974248,-75.2431068,Residential,18
r0018_c0012,39.8987762,-75.2536911,Mixed-Use,7
r0018_c0013,39.8987762,-75.2519271,Residential,15
r0018_c0017,39.8987762,-75.2448708,Residential,20
r0019_c0012,39.9001275,-75.2536911,Residential,14
r0019_c0013,39.9001275,-75.2519271,Residential,57
r0019_c0014,39.9001275,-75.250163,Residential,22
r0019_c0015,39.9001275,-75.248399,Residential,13
r0019_c0016,39.9001275,-75.2466349,Residential,23
r0019_c0017,39.9001275,-75.2448708,Residential,32
r0019_c0020,39.9001275,-75.2395787,Mixed-Use,3
r0019_c0045,39.9001275,-75.1954772,Industrial,3
r0020_c0012,39.9014789,-75.2536911,Residential,10
r0020_c0013,39.9014789,-75.2519271,Residential,52
r0020_c0014,39.9014789,-75.250163,Residential,54
r0020_c0015,39.9014789,-75.248399,Residential,39
r0020_c0016,39.9014789,-75.2466349,Residential,16
r0020_c0025,39.9014789,-75.2307584,Industrial,3
r0020_c0067,39.9014789,-75.156668,Industrial,5
r0020_c0068,39.9014789,-75.1549039,Industrial,4
r0020_c0070,39.9014789,-75.1513758,Industrial,3
r0021_c0013,39.9028302,-75.2519271,Residential,37
r0021_c0014,39.9028302,-75.250163,Residential,77
r0021_c0015,39.9028302,-75.248399,Residential,63
r0021_c0016,39.9028302,-75.2466349,Mixed-Use,24
r0021_c0019,39.9028302,-75.2413427,Commercial,3
r0021_c0020,39.9028302,-75.2395787,Industrial,3
r0021_c0027,39.9028302,-75.2272303,Industrial,9
r0021_c0047,39.9028302,-75.1919491,Residential,4
r0021_c0067,39.9028302,-75.156668,Industrial,3
r0021_c0070,39.9028302,-75.1513758,Industrial,3
r0022_c0014,39.9041816,-75.250163,Residential,65
r0022_c0015,39.9041816,-75.248399,Residential,50
r0022_c0016,39.9041816,-75.2466349,Residential,50
r0022_c0017,39.9041816,-75.2448708,Residential,10
r0022_c0018,39.9041816,-75.2431068,Residential,8
r0022_c0060,39.9041816,-75.1690164,Mixed-Use,4
r0022_c0069,39.9041816,-75.1531399,Industrial,3
r0023_c0014,39.9055329,-75.250163,Residential,44
r0023_c0015,39.9055329,-75.248399,Residential,77
r0023_c0016,39.9055329,-75.2466349,Residential,55
r0023_c0017,39.9055329,-75.2448708,Residential,77
r0023_c0018,39.9055329,-75.2431068,Residential,26
r0023_c0019,39.9055329,-75.2413427,Residential,3
r0023_c0028,39.9055329,-75.2254662,Industrial,3
r0023_c0046,39.9055329,-75.1937132,Industrial,3
r0024_c0014,39.9068843,-75.250163,Residential,52
r0024_c0015,39.9068843,-75.248399,Residential,27
r0024_c0016,39.9068843,-75.2466349,Residential,39
r0024_c0017,39.9068843,-75.2448708,Residential,40
r0024_c0018,39.9068843,-75.2431068,Residential,62
r0024_c0019,39.9068843,-75.2413427,Residential,27
r0024_c0020,39.9068843,-75.2395787,Residential,20
r0024_c0021,39.9068843,-75.2378146,Mixed-Use,10
r0024_c0022,39.9068843,-75.2360506,Residential,23
r0024_c0023,39.9068843,-75.2342865,Residential,7
r0024_c0027,39.9068843,-75.2272303,Industrial,3
r0024_c0030,39.9068843,-75.2219381,Industrial,3
r0024_c0050,39.9068843,-75.186657,Residential,11
r0024_c0051,39.9068843,-75.1848929,Residential,20
r0024_c0052,39.9068843,-75.1831288,Residential,11
r0024_c0077,39.9068843,-75.1390274,Mixed-Use,3
r0025_c0015,39.9082356,-75.248399,Residential,7
r0025_c0016,39.9082356,-75.2466349,Residential,12
r0025_c0017,39.9082356,-75.2448708,Residential,26
r0025_c0018,39.9082356,-75.2431068,Residential,49
r0025_c0019,39.9082356,-75.2413427,Residential,55
r0025_c0020,39.9082356,-75.2395787,Residential,13
r0025_c0021,39.9082356,-75.2378146,Residential,44
r0025_c0022,39.9082356,-75.2360506,Residential,77
r0025_c0023,39.9082356,-75.2342865,Residential,57
r0025_c0047,39.9082356,-75.1919491,Residential,15
r0025_c0048,39.9082356,-75.1901851,Residential,27
