cell_id,avg_floors,avg_yearbuilt,total_bldg_area,building_count
r0006_c0026,,1965,38693.0,2.0
r0010_c0016,6.0,2000,87084.0,3.0
r0010_c0050,,,,
r0011_c0017,3.0,1999,55077.0,6.0
r0012_c0016,2.5,1930,3362.0,4.0
r0012_c0058,,2007,584023.0,3.0
r0013_c0011,1.0,1996,4468.0,2.0
r0013_c0015,2.0,1935,2560.0,4.0
r0013_c0016,1.9,1932,17243.0,20.0
r0013_c0058,,1935,4418.0,3.0
r0014_c0011,2.0,1989,25730.0,13.0
r0014_c0012,1.3,1982,20424.0,17.0
r0014_c0013,1.4,1957,32424.0,35.0
r0014_c0014,1.3,1971,26964.0,18.0
r0014_c0015,1.8,1966,35372.0,17.0
r0014_c0016,1.5,1946,20816.0,10.0
r0014_c0058,5.3,2019,221626.0,4.0
r0015_c0011,2.0,2000,5376.0,2.0
r0015_c0012,1.6,1971,21100.0,12.0
r0015_c0013,1.8,1963,182559.0,16.0
r0015_c0014,1.7,1965,83472.0,58.0
r0015_c0015,1.5,1972,62762.0,42.0
r0015_c0057,4.0,1970,94240.0,3.0
r0016_c0014,2.0,1960,36642.0,25.0
r0016_c0018,2.0,1925,4920.0,5.0
r0016_c0022,3.5,1980,125687.0,2.0
r0017_c0018,1.4,1925,9912.0,12.0
r0018_c0012,,,0.0,1.0
r0018_c0013,1.7,1961,28843.0,20.0
r0018_c0017,2.0,1920,40980.0,17.0
r0019_c0012,1.0,1965,8160.0,6.0
r0019_c0013,1.4,1965,73160.0,55.0
r0019_c0014,1.6,1948,35793.0,28.0
r0019_c0015,2.0,1928,23040.0,17.0
r0019_c0016,2.0,1932,10780.0,13.0
r0019_c0017,2.0,1935,30679.0,37.0
r0019_c0020,,1970,69617.0,4.0
r0019_c0045,,2019,3242.0,1.0
r0020_c0012,,,,
r0020_c0013,1.1,1969,46760.0,48.0
r0020_c0014,1.6,1949,64699.0,53.0
r0020_c0015,2.0,1928,61890.0,47.0
r0020_c0016,1.9,1949,26950.0,21.0
r0020_c0025,1.0,2023,14844.0,2.0
r0020_c0067,,2008,36410.0,4.0
r0020_c0068,,1958,42952.0,4.0
r0020_c0070,,,0.0,2.0
r0021_c0013,1.2,1966,21630.0,17.0
r0021_c0014,1.4,1965,98850.0,77.0
r0021_c0015,2.0,1957,95877.0,73.0
r0021_c0016,1.4,1946,33022.0,33.0
r0021_c0019,,1978,83380.0,1.0
r0021_c0020,,1998,6561.0,2.0
r0021_c0027,,1990,52164.0,1.0
r0021_c0047,3.7,1993,196830.0,4.0
