cell_id,landuse_entropy
r0006_c0026,-0.0
r0010_c0016,-0.0
r0010_c0050,0.0
r0011_c0017,0.9978
r0012_c0016,-0.0
r0012_c0058,-0.0
r0013_c0011,-0.0
r0013_c0015,-0.0
r0013_c0016,-0.0
r0013_c0058,-0.0
r0014_c0011,-0.0
r0014_c0012,0.5292
r0014_c0013,0.1127
r0014_c0014,-0.0
r0014_c0015,-0.0
r0014_c0016,-0.0
r0014_c0058,-0.0
r0015_c0011,-0.0
r0015_c0012,-0.0
r0015_c0013,0.3057
r0015_c0014,0.1992
r0015_c0015,-0.0
r0015_c0057,-0.0
r0016_c0014,-0.0
r0016_c0018,0.4645
r0016_c0022,-0.0
r0017_c0018,-0.0
r0018_c0012,0.0
r0018_c0013,-0.0
r0018_c0017,0.5579
r0019_c0012,-0.0
r0019_c0013,-0.0
r0019_c0014,0.0423
r0019_c0015,-0.0
r0019_c0016,-0.0
r0019_c0017,-0.0
r0019_c0020,0.2928
r0019_c0045,-0.0
r0020_c0012,0.0
r0020_c0013,-0.0
r0020_c0014,-0.0
r0020_c0015,0.7902
r0020_c0016,-0.0
r0020_c0025,-0.0
r0020_c0067,-0.0
r0020_c0068,-0.0
r0020_c0070,0.5238
r0021_c0013,-0.0
r0021_c0014,-0.0
r0021_c0015,-0.0
r0021_c0016,-0.0
r0021_c0019,-0.0
r0021_c0020,-0.0
r0021_c0027,-0.0
r0021_c0047,-0.0
r0021_c0067,-0.0
r0021_c0070,0.4435
r0022_c0014,-0.0
r0022_c0015,0.9022
r0022_c0016,-0.0
r0022_c0017,-0.0
r0022_c0018,0.3099
r0022_c0060,0.2477
r0022_c0069,-0.0
r0023_c0014,0.6448
r0023_c0015,1.3868
r0023_c0016,1.2629
r0023_c0017,-0.0
r0023_c0018,-0.0
r0023_c0019,-0.0
r0023_c0028,0.9413
r0023_c0046,0.1787
r0024_c0014,-0.0
r0024_c0015,0.3651
r0024_c0016,0.0065
r0024_c0017,1.0
r0024_c0018,0.5368
r0024_c0019,-0.0
r0024_c0020,0.0537
r0024_c0021,0.9771
r0024_c0022,0.2269
r0024_c0023,-0.0
r0024_c0027,0.0
r0024_c0030,-0.0
r0024_c0050,-0.0
r0024_c0051,-0.0
r0024_c0052,-0.0
r0024_c0077,0.2711
r0025_c0015,-0.0
r0025_c0016,0.8656
r0025_c0017,-0.0
r0025_c0018,0.9997
r0025_c0019,-0.0
r0025_c0020,-0.0
r0025_c0021,0.981
r0025_c0022,-0.0
r0025_c0023,-0.0
r0025_c0047,0.0
r0025_c0048,-0.0
r0025_c0049,1.2612
r0025_c0050,-0.0
r0025_c0051,-0.0
r0025_c0052,-0.0
r0025_c0055,-0.0
r0025_c0056,-0.0
r0025_c0057,0.7069
r0025_c0058,-0.0
r0025_c0059,-0.0
r0026_c0014,-0.0
r0026_c0015,-0.0
r0026_c0016,-0.0
r0026_c0017,0.9901
r0026_c0018,0.9972
r0026_c0019,-0.0
r0026_c0020,-0.0
r0026_c0021,-0.0
r0026_c0022,-0.0
r0026_c0023,-0.0
r0026_c0024,-0.0
r0026_c0047,0.0
r0026_c0048,-0.0
r0026_c0049,0.9543
r0026_c0050,1.1984
r0026_c0051,0.0003
r0026_c0052,1.2702
r0026_c0053,0.609
r0026_c0054,0.7617
r0026_c0055,0.4516
r0026_c0056,-0.0
r0026_c0057,-0.0
r0026_c0058,0.9496
r0026_c0059,0.6805
r0027_c0014,0.0
r0027_c0015,0.3228
r0027_c0016,-0.0
r0027_c0017,0.0211
r0027_c0018,0.7344
r0027_c0019,0.4891
r0027_c0020,0.0644
r0027_c0021,-0.0
r0027_c0022,0.9209
r0027_c0023,0.6231
r0027_c0024,-0.0
r0027_c0025,-0.0
r0027_c0048,-0.0
r0027_c0049,-0.0
r0027_c0050,1.1332
r0027_c0051,1.0034
r0027_c0052,1.0589
r0027_c0053,-0.0
r0027_c0054,-0.0
r0027_c0055,-0.0
r0027_c0056,0.5896
r0027_c0057,0.9971
r0027_c0058,-0.0
r0027_c0059,0.7023
r0028_c0016,0.7455
r0028_c0017,-0.0
r0028_c0018,1.7213
r0028_c0019,0.255
r0028_c0020,0.6426
r0028_c0021,-0.0
r0028_c0022,-0.0
r0028_c0024,1.1308
r0028_c0025,0.0847
r0028_c0026,-0.0
r0028_c0028,-0.0
r0028_c0048,-0.0
r0028_c0049,-0.0
r0028_c0050,1.0
r0028_c0051,0.7808
r0028_c0052,0.9677
r0028_c0053,0.1047
r0028_c0054,-0.0
r0028_c0055,0.1628
r0028_c0056,0.2023
r0028_c0057,1.2623
r0028_c0058,0.9844
r0028_c0059,0.4388
r0028_c0060,-0.0
r0028_c0064,0.9291
r0028_c0065,-0.0
r0028_c0066,0.4387
r0028_c0071,-0.0
r0028_c0075,-0.0
r0029_c0017,0.8041
r0029_c0018,1.3149
r0029_c0019,0.9776
r0029_c0020,0.5324
r0029_c0022,-0.0
r0029_c0023,0.8719
r0029_c0024,0.9958
r0029_c0025,-0.0
r0029_c0026,-0.0
r0029_c0027,-0.0
r0029_c0031,-0.0
r0029_c0051,-0.0
r0029_c0052,-0.0
r0029_c0053,0.2666
r0029_c0054,0.2549
r0029_c0055,1.1413
r0029_c0056,-0.0
r0029_c0057,0.0969
r0029_c0058,-0.0
r0029_c0059,-0.0
r0029_c0060,0.1012
r0029_c0061,0.1838
r0029_c0062,-0.0
r0029_c0063,0.4827
r0029_c0064,-0.0
r0029_c0065,0.1288
r0029_c0066,-0.0
r0029_c0067,1.0
r0029_c0069,-0.0
r0029_c0070,-0.0
r0029_c0071,-0.0
r0030_c0016,-0.0
r0030_c0018,0.1382
r0030_c0019,0.7351
r0030_c0020,0.7802
r0030_c0021,1.3842
r0030_c0022,0.3907
r0030_c0023,0.5117
r0030_c0024,0.441
r0030_c0026,-0.0
r0030_c0027,0.1972
r0030_c0032,-0.0
r0030_c0052,-0.0
r0030_c0054,0.523
r0030_c0055,0.3753
r0030_c0056,0.3081
r0030_c0057,0.1793
r0030_c0058,0.4601
r0030_c0060,-0.0
r0030_c0061,-0.0
r0030_c0062,0.5961
r0030_c0063,1.2791
r0030_c0064,1.0518
r0030_c0065,0.8935
r0030_c0066,0.5853
r0030_c0067,0.8909
r0030_c0068,0.9818
r0030_c0069,0.4921
r0030_c0070,-0.0
r0030_c0071,0.591
r0030_c0072,1.0082
r0031_c0016,-0.0
r0031_c0017,1.5117
r0031_c0018,0.9796
r0031_c0019,1.0042
r0031_c0020,1.2936
r0031_c0021,0.9283
r0031_c0022,0.3232
r0031_c0023,0.1088
r0031_c0024,0.2607
r0031_c0025,0.3763
r0031_c0026,0.091
r0031_c0027,-0.0
r0031_c0028,-0.0
r0031_c0054,0.0
r0031_c0055,1.3556
r0031_c0056,-0.0
r0031_c0057,0.5127
r0031_c0059,0.8813
r0031_c0060,0.3809
r0031_c0061,0.7931
r0031_c0062,0.2884
r0031_c0063,0.4088
r0031_c0064,0.2878
r0031_c0065,0.2143
r0031_c0066,0.1309
r0031_c0067,0.0996
r0031_c0068,-0.0
r0031_c0069,-0.0
r0031_c0070,-0.0
r0031_c0071,-0.0
r0031_c0072,0.5775
