cell_id,road_density_primary
r0006_c0026,0.0
r0010_c0016,0.0
r0010_c0050,0.0
r0011_c0017,0.0
r0012_c0016,0.0
r0012_c0058,0.0
r0013_c0011,2.77
r0013_c0015,0.0
r0013_c0016,0.0
r0013_c0058,0.0
r0014_c0011,0.0
r0014_c0012,0.0
r0014_c0013,0.0
r0014_c0014,29.71
r0014_c0015,0.0
r0014_c0016,0.0
r0014_c0058,0.0
r0015_c0011,0.0
r0015_c0012,0.0
r0015_c0013,0.0
r0015_c0014,0.0
r0015_c0015,16.56
r0015_c0057,0.0
r0016_c0014,0.0
r0016_c0018,20.03
r0016_c0022,0.0
r0017_c0018,0.0
r0018_c0012,0.0
r0018_c0013,0.0
r0018_c0017,0.0
r0019_c0012,0.0
r0019_c0013,0.0
r0019_c0014,0.0
r0019_c0015,18.66
r0019_c0016,0.0
r0019_c0017,0.0
r0019_c0020,0.0
r0019_c0045,0.0
r0020_c0012,0.0
r0020_c0013,0.0
r0020_c0014,2.97
r0020_c0015,0.0
r0020_c0016,0.0
r0020_c0025,2.1
r0020_c0067,0.0
r0020_c0068,0.0
r0020_c0070,11.26
r0021_c0013,0.0
r0021_c0014,0.0
r0021_c0015,11.15
r0021_c0016,0.0
r0021_c0019,1.87
r0021_c0020,0.0
r0021_c0027,0.0
r0021_c0047,0.0
r0021_c0067,0.0
r0021_c0070,3.36
r0022_c0014,0.0
r0022_c0015,0.0
r0022_c0016,23.71
r0022_c0017,0.0
r0022_c0018,11.99
r0022_c0060,0.0
r0022_c0069,0.0
r0023_c0014,0.0
r0023_c0015,0.0
r0023_c0016,0.0
r0023_c0017,22.75
r0023_c0018,1.57
r0023_c0019,14.9
r0023_c0028,0.0
r0023_c0046,0.0
r0024_c0014,0.0
r0024_c0015,0.0
r0024_c0016,0.0
r0024_c0017,2.15
r0024_c0018,5.71
r0024_c0019,7.03
r0024_c0020,9.64
r0024_c0021,0.0
r0024_c0022,8.07
r0024_c0023,0.0
r0024_c0027,13.48
r0024_c0030,5.3
r0024_c0050,0.0
r0024_c0051,0.0
r0024_c0052,6.43
r0024_c0077,12.87
r0025_c0015,0.0
r0025_c0016,18.52
r0025_c0017,0.0
r0025_c0018,0.0
r0025_c0019,0.0
r0025_c0020,15.0
r0025_c0021,0.0
r0025_c0022,41.44
r0025_c0023,0.0
r0025_c0047,0.0
r0025_c0048,0.0
r0025_c0049,0.0
r0025_c0050,0.0
r0025_c0051,0.0
r0025_c0052,15.13
r0025_c0055,15.94
r0025_c0056,12.88
r0025_c0057,11.64
r0025_c0058,22.9
r0025_c0059,0.0
r0026_c0014,0.0
r0026_c0015,1.35
r0026_c0016,4.85
r0026_c0017,0.0
r0026_c0018,0.0
r0026_c0019,0.0
r0026_c0020,0.0
r0026_c0021,0.0
r0026_c0022,0.0
r0026_c0023,0.0
r0026_c0024,36.49
r0026_c0047,0.0
r0026_c0048,0.0
r0026_c0049,0.0
r0026_c0050,0.0
r0026_c0051,0.0
r0026_c0052,0.0
r0026_c0053,6.24
r0026_c0054,0.0
r0026_c0055,14.04
r0026_c0056,14.1
r0026_c0057,13.69
r0026_c0058,24.59
r0026_c0059,7.22
r0027_c0014,0.0
r0027_c0015,0.0
r0027_c0016,12.53
r0027_c0017,0.0
r0027_c0018,0.0
r0027_c0019,0.0
r0027_c0020,12.42
r0027_c0021,0.0
r0027_c0022,23.4
r0027_c0023,23.06
r0027_c0024,0.0
r0027_c0025,0.0
r0027_c0048,0.0
r0027_c0049,0.0
r0027_c0050,14.08
r0027_c0051,1.58
r0027_c0052,26.96
r0027_c0053,10.75
r0027_c0054,16.24
r0027_c0055,0.0
r0027_c0056,0.0
r0027_c0057,0.0
r0027_c0058,17.66
r0027_c0059,0.0
r0028_c0016,0.0
r0028_c0017,0.0
r0028_c0018,0.0
r0028_c0019,0.0
r0028_c0020,0.0
r0028_c0021,0.0
r0028_c0022,0.0
r0028_c0024,0.0
r0028_c0025,0.0
r0028_c0026,0.0
r0028_c0028,12.53
r0028_c0048,9.51
r0028_c0049,18.62
r0028_c0050,0.0
r0028_c0051,0.0
r0028_c0052,0.0
r0028_c0053,0.0
r0028_c0054,0.0
r0028_c0055,0.0
r0028_c0056,0.0
r0028_c0057,0.0
r0028_c0058,0.82
r0028_c0059,4.41
r0028_c0060,0.0
r0028_c0064,0.0
r0028_c0065,0.0
r0028_c0066,45.99
r0028_c0071,0.0
r0028_c0075,8.23
r0029_c0017,0.0
r0029_c0018,0.0
r0029_c0019,17.13
r0029_c0020,0.0
r0029_c0022,0.0
r0029_c0023,0.0
r0029_c0024,13.18
r0029_c0025,6.38
r0029_c0026,0.0
r0029_c0027,13.45
r0029_c0031,0.0
r0029_c0051,22.04
r0029_c0052,25.3
r0029_c0053,0.0
r0029_c0054,0.0
r0029_c0055,0.0
r0029_c0056,0.0
r0029_c0057,0.0
r0029_c0058,0.0
r0029_c0059,30.37
r0029_c0060,0.0
r0029_c0061,0.0
r0029_c0062,0.0
r0029_c0063,0.0
r0029_c0064,0.0
r0029_c0065,0.0
r0029_c0066,0.0
r0029_c0067,0.0
r0029_c0069,0.0
r0029_c0070,0.0
r0029_c0071,6.03
r0030_c0016,0.0
r0030_c0018,0.0
r0030_c0019,0.0
r0030_c0020,0.0
r0030_c0021,0.0
r0030_c0022,0.0
r0030_c0023,0.0
r0030_c0024,0.0
r0030_c0026,0.0
r0030_c0027,23.12
r0030_c0032,0.0
r0030_c0052,0.0
r0030_c0054,0.0
r0030_c0055,0.0
r0030_c0056,0.0
r0030_c0057,0.0
r0030_c0058,0.0
r0030_c0060,0.0
r0030_c0061,0.0
r0030_c0062,0.0
r0030_c0063,0.0
r0030_c0064,0.0
r0030_c0065,42.19
r0030_c0066,0.0
r0030_c0067,0.0
r0030_c0068,1.33
r0030_c0069,0.0
r0030_c0070,12.28
r0030_c0071,0.0
r0030_c0072,0.0
r0031_c0016,23.76
r0031_c0017,2.43
r0031_c0018,0.0
r0031_c0019,0.0
r0031_c0020,0.0
r0031_c0021,67.86
r0031_c0022,0.0
r0031_c0023,0.0
r0031_c0024,2.36
r0031_c0025,0.0
r0031_c0026,19.7
r0031_c0027,0.0
r0031_c0028,7.8
r0031_c0054,0.0
r0031_c0055,6.48
r0031_c0056,0.0
r0031_c0057,0.0
r0031_c0059,7.68
r0031_c0060,10.69
r0031_c0061,9.23
r0031_c0062,0.0
r0031_c0063,0.0
r0031_c0064,0.0
r0031_c0065,0.0
r0031_c0066,0.0
r0031_c0067,0.0
r0031_c0068,0.0
r0031_c0069,0.0
r0031_c0070,0.0
r0031_c0071,24.16
r0031_c0072,0.0
r0031_c0073,0.0
r0032_c0016,8.62
r0032_c0017,14.26
r0032_c0018,0.0
r0032_c0019,0.0
r0032_c0020,0.0
r0032_c0021,0.0
r0032_c0022,0.0
r0032_c0023,16.45
r0032_c0024,0.0
r0032_c0025,0.0
r0032_c0026,0.0
r0032_c0027,8.64
r0032_c0028,5.1
r0032_c0029,6.56
r0032_c0032,0.0
r0032_c0033,0.0
r0032_c0034,0.0
r0032_c0035,0.0
r0032_c0036,0.0
r0032_c0051,0.0
