cell_id,nightlife_density
r0006_c0026,0.0
r0010_c0016,0.0
r0010_c0050,0.0
r0011_c0017,0.0
r0012_c0016,0.0
r0012_c0058,0.0
r0013_c0011,0.0
r0013_c0015,0.0
r0013_c0016,0.0
r0013_c0058,0.0
r0014_c0011,0.0
r0014_c0012,0.0
r0014_c0013,0.0
r0014_c0014,0.0
r0014_c0015,0.0
r0014_c0016,0.0
r0014_c0058,0.0
r0015_c0011,0.0
r0015_c0012,0.0
r0015_c0013,0.0
r0015_c0014,0.0
r0015_c0015,0.0
r0015_c0057,0.0
r0016_c0014,0.0
r0016_c0018,0.0
r0016_c0022,0.0
r0017_c0018,0.0
r0018_c0012,0.0
r0018_c0013,0.0
r0018_c0017,0.0
r0019_c0012,0.0
r0019_c0013,0.0
r0019_c0014,0.0
r0019_c0015,0.0
r0019_c0016,0.0
r0019_c0017,0.0
r0019_c0020,0.0
r0019_c0045,0.0
r0020_c0012,0.0
r0020_c0013,0.0
r0020_c0014,0.0
r0020_c0015,0.0
r0020_c0016,0.0
r0020_c0025,0.0
r0020_c0067,0.0
r0020_c0068,0.0
r0020_c0070,0.0
r0021_c0013,0.0
r0021_c0014,0.0
r0021_c0015,0.0
r0021_c0016,0.0
r0021_c0019,0.0
r0021_c0020,0.0
r0021_c0027,0.0
r0021_c0047,0.0
r0021_c0067,0.0
r0021_c0070,0.0
r0022_c0014,0.0
r0022_c0015,0.0
r0022_c0016,0.0
r0022_c0017,0.0
r0022_c0018,0.0
r0022_c0060,88.89
r0022_c0069,0.0
r0023_c0014,0.0
r0023_c0015,0.0
r0023_c0016,0.0
r0023_c0017,0.0
r0023_c0018,0.0
r0023_c0019,0.0
r0023_c0028,0.0
r0023_c0046,0.0
r0024_c0014,0.0
r0024_c0015,0.0
r0024_c0016,0.0
r0024_c0017,0.0
r0024_c0018,0.0
r0024_c0019,0.0
r0024_c0020,0.0
r0024_c0021,0.0
r0024_c0022,0.0
r0024_c0023,0.0
r0024_c0027,0.0
r0024_c0030,44.44
r0024_c0050,0.0
r0024_c0051,0.0
r0024_c0052,0.0
r0024_c0077,0.0
r0025_c0015,0.0
r0025_c0016,0.0
r0025_c0017,0.0
r0025_c0018,0.0
r0025_c0019,0.0
r0025_c0020,0.0
r0025_c0021,0.0
r0025_c0022,0.0
r0025_c0023,0.0
r0025_c0047,0.0
r0025_c0048,0.0
r0025_c0049,0.0
r0025_c0050,0.0
r0025_c0051,0.0
r0025_c0052,0.0
r0025_c0055,0.0
r0025_c0056,0.0
r0025_c0057,0.0
r0025_c0058,0.0
r0025_c0059,0.0
r0026_c0014,0.0
r0026_c0015,0.0
r0026_c0016,0.0
r0026_c0017,0.0
r0026_c0018,0.0
r0026_c0019,0.0
r0026_c0020,0.0
r0026_c0021,0.0
r0026_c0022,0.0
r0026_c0023,0.0
r0026_c0024,0.0
r0026_c0047,0.0
r0026_c0048,0.0
r0026_c0049,0.0
r0026_c0050,0.0
r0026_c0051,0.0
r0026_c0052,0.0
r0026_c0053,0.0
r0026_c0054,0.0
r0026_c0055,0.0
r0026_c0056,0.0
r0026_c0057,0.0
r0026_c0058,0.0
r0026_c0059,0.0
r0027_c0014,0.0
r0027_c0015,0.0
r0027_c0016,0.0
r0027_c0017,0.0
r0027_c0018,44.44
r0027_c0019,0.0
r0027_c0020,0.0
r0027_c0021,0.0
r0027_c0022,0.0
r0027_c0023,0.0
r0027_c0024,0.0
r0027_c0025,0.0
r0027_c0048,0.0
r0027_c0049,0.0
r0027_c0050,0.0
r0027_c0051,0.0
r0027_c0052,0.0
r0027_c0053,0.0
r0027_c0054,0.0
r0027_c0055,0.0
r0027_c0056,0.0
r0027_c0057,44.44
r0027_c0058,0.0
r0027_c0059,0.0
r0028_c0016,0.0
r0028_c0017,0.0
r0028_c0018,44.44
r0028_c0019,0.0
r0028_c0020,0.0
r0028_c0021,0.0
r0028_c0022,0.0
r0028_c0024,0.0
r0028_c0025,0.0
r0028_c0026,0.0
r0028_c0028,0.0
r0028_c0048,0.0
r0028_c0049,0.0
r0028_c0050,0.0
r0028_c0051,0.0
r0028_c0052,0.0
r0028_c0053,0.0
r0028_c0054,0.0
r0028_c0055,0.0
r0028_c0056,44.44
r0028_c0057,0.0
r0028_c0058,0.0
r0028_c0059,0.0
r0028_c0060,0.0
r0028_c0064,44.44
r0028_c0065,0.0
r0028_c0066,0.0
r0028_c0071,0.0
r0028_c0075,0.0
r0029_c0017,0.0
r0029_c0018,44.44
r0029_c0019,0.0
r0029_c0020,0.0
r0029_c0022,44.44
r0029_c0023,0.0
r0029_c0024,0.0
r0029_c0025,0.0
r0029_c0026,0.0
r0029_c0027,0.0
r0029_c0031,0.0
r0029_c0051,0.0
r0029_c0052,0.0
r0029_c0053,0.0
r0029_c0054,0.0
r0029_c0055,0.0
r0029_c0056,0.0
r0029_c0057,0.0
r0029_c0058,0.0
r0029_c0059,0.0
r0029_c0060,0.0
r0029_c0061,0.0
r0029_c0062,0.0
r0029_c0063,0.0
r0029_c0064,0.0
r0029_c0065,0.0
r0029_c0066,0.0
r0029_c0067,0.0
r0029_c0069,0.0
r0029_c0070,0.0
r0029_c0071,0.0
r0030_c0016,0.0
r0030_c0018,0.0
r0030_c0019,0.0
r0030_c0020,0.0
r0030_c0021,0.0
r0030_c0022,0.0
r0030_c0023,0.0
r0030_c0024,0.0
r0030_c0026,0.0
r0030_c0027,0.0
r0030_c0032,0.0
r0030_c0052,0.0
r0030_c0054,0.0
r0030_c0055,0.0
r0030_c0056,44.44
r0030_c0057,0.0
r0030_c0058,0.0
r0030_c0060,0.0
r0030_c0061,0.0
r0030_c0062,0.0
r0030_c0063,0.0
r0030_c0064,0.0
r0030_c0065,0.0
r0030_c0066,0.0
r0030_c0067,0.0
r0030_c0068,0.0
r0030_c0069,0.0
r0030_c0070,0.0
r0030_c0071,0.0
r0030_c0072,0.0
r0031_c0016,0.0
r0031_c0017,0.0
r0031_c0018,0.0
r0031_c0019,0.0
r0031_c0020,44.44
r0031_c0021,0.0
r0031_c0022,0.0
r0031_c0023,0.0
r0031_c0024,0.0
r0031_c0025,0.0
r0031_c0026,0.0
r0031_c0027,0.0
r0031_c0028,0.0
r0031_c0054,0.0
r0031_c0055,0.0
r0031_c0056,0.0
r0031_c0057,0.0
r0031_c0059,0.0
r0031_c0060,0.0
r0031_c0061,0.0
r0031_c0062,0.0
r0031_c0063,0.0
r0031_c0064,0.0
r0031_c0065,0.0
r0031_c0066,0.0
r0031_c0067,0.0
r0031_c0068,0.0
r0031_c0069,0.0
r0031_c0070,0.0
r0031_c0071,0.0
r0031_c0072,0.0
r0031_c0073,0.0
r0032_c0016,0.0
r0032_c0017,0.0
r0032_c0018,0.0
r0032_c0019,0.0
r0032_c0020,0.0
r0032_c0021,0.0
r0032_c0022,0.0
r0032_c0023,0.0
r0032_c0024,0.0
r0032_c0025,0.0
r0032_c0026,0.0
r0032_c0027,0.0
r0032_c0028,0.0
r0032_c0029,0.0
r0032_c0032,0.0
r0032_c0033,0.0
r0032_c0034,0.0
r0032_c0035,0.0
r0032_c0036,44.44
r0032_c0051,0.0
