cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
r0006_c0026,39.88256,-75.2289943,Industrial,3,222.22,0.0,,1965,38693.0,2.0,-0.0,0.0,88.89,0.0,0.0,1066.67,0.0
r0010_c0016,39.8879654,-75.2466349,Commercial,3,533.33,0.0833,6.0,2000,87084.0,3.0,-0.0,0.0,0.0,0.0,0.0,1422.22,0.0
r0010_c0050,39.8879654,-75.186657,Industrial,11,844.44,0.0,,,,,0.0,0.0,0.0,0.0,44.44,311.11,0.0
r0011_c0017,39.8893167,-75.2448708,Mixed-Use,5,222.22,0.0,3.0,1999,55077.0,6.0,0.9978,44.44,0.0,0.0,0.0,666.67,0.0
r0012_c0016,39.8906681,-75.2466349,Residential,4,0.0,0.0,2.5,1930,3362.0,4.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0012_c0058,39.8906681,-75.1725445,Commercial,3,1777.78,0.025,,2007,584023.0,3.0,-0.0,0.0,0.0,0.0,88.89,711.11,0.0
r0013_c0011,39.8920194,-75.2554552,Residential,5,444.44,0.0,1.0,1996,4468.0,2.0,-0.0,0.0,0.0,2.77,0.0,0.0,0.0
r0013_c0015,39.8920194,-75.248399,Residential,9,0.0,0.0,2.0,1935,2560.0,4.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0013_c0016,39.8920194,-75.2466349,Residential,15,88.89,0.0,1.9,1932,17243.0,20.0,-0.0,0.0,0.0,0.0,133.33,44.44,0.0
r0013_c0058,39.8920194,-75.1725445,Commercial,3,177.78,0.0,,1935,4418.0,3.0,-0.0,0.0,44.44,0.0,44.44,311.11,0.0
r0014_c0011,39.8933708,-75.2554552,Residential,21,133.33,0.0,2.0,1989,25730.0,13.0,-0.0,0.0,0.0,0.0,0.0,88.89,0.0
r0014_c0012,39.8933708,-75.2536911,Mixed-Use,12,44.44,0.0,1.3,1982,20424.0,17.0,0.5292,0.0,0.0,0.0,0.0,133.33,0.0
r0014_c0013,39.8933708,-75.2519271,Residential,45,0.0,0.0,1.4,1957,32424.0,35.0,0.1127,0.0,0.0,0.0,0.0,44.44,0.0
r0014_c0014,39.8933708,-75.250163,Residential,9,0.0,0.0,1.3,1971,26964.0,18.0,-0.0,0.0,0.0,29.71,0.0,44.44,0.0
r0014_c0015,39.8933708,-75.248399,Residential,20,0.0,0.0,1.8,1966,35372.0,17.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0014_c0016,39.8933708,-75.2466349,Residential,3,0.0,0.0,1.5,1946,20816.0,10.0,-0.0,0.0,0.0,0.0,0.0,133.33,0.0
r0014_c0058,39.8933708,-75.1725445,Commercial,3,1688.89,0.0,5.3,2019,221626.0,4.0,-0.0,0.0,133.33,0.0,0.0,622.22,0.0
r0015_c0011,39.8947221,-75.2554552,Residential,9,88.89,0.0,2.0,2000,5376.0,2.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0015_c0012,39.8947221,-75.2536911,Residential,6,0.0,0.0,1.6,1971,21100.0,12.0,-0.0,0.0,0.0,0.0,0.0,133.33,0.0
r0015_c0013,39.8947221,-75.2519271,Residential,23,44.44,0.0,1.8,1963,182559.0,16.0,0.3057,0.0,0.0,0.0,0.0,88.89,0.0
r0015_c0014,39.8947221,-75.250163,Residential,60,44.44,0.0,1.7,1965,83472.0,58.0,0.1992,0.0,0.0,0.0,0.0,44.44,0.0
r0015_c0015,39.8947221,-75.248399,Residential,37,44.44,0.0,1.5,1972,62762.0,42.0,-0.0,0.0,0.0,16.56,0.0,44.44,0.0
r0015_c0057,39.8947221,-75.1743086,Commercial,3,1155.56,0.0385,4.0,1970,94240.0,3.0,-0.0,0.0,88.89,0.0,177.78,1111.11,0.0
r0016_c0014,39.8960735,-75.250163,Residential,28,533.33,0.0,2.0,1960,36642.0,25.0,-0.0,0.0,0.0,0.0,0.0,177.78,0.0
r0016_c0018,39.8960735,-75.2431068,Mixed-Use,5,222.22,0.0,2.0,1925,4920.0,5.0,0.4645,0.0,0.0,20.03,0.0,133.33,0.0
r0016_c0022,39.8960735,-75.2360506,Industrial,3,355.56,0.0,3.5,1980,125687.0,2.0,-0.0,0.0,44.44,0.0,0.0,933.33,0.0
r0017_c0018,39.8974248,-75.2431068,Residential,18,0.0,0.0,1.4,1925,9912.0,12.0,-0.0,0.0,0.0,0.0,0.0,88.89,0.0
r0018_c0012,39.8987762,-75.2536911,Mixed-Use,7,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.89,0.0
r0018_c0013,39.8987762,-75.2519271,Residential,15,133.33,0.0,1.7,1961,28843.0,20.0,-0.0,0.0,0.0,0.0,0.0,400.0,0.0
r0018_c0017,39.8987762,-75.2448708,Residential,20,44.44,0.0,2.0,1920,40980.0,17.0,0.5579,0.0,0.0,0.0,0.0,0.0,0.0
r0019_c0012,39.9001275,-75.2536911,Residential,14,0.0,0.0,1.0,1965,8160.0,6.0,-0.0,0.0,0.0,0.0,0.0,133.33,0.0
r0019_c0013,39.9001275,-75.2519271,Residential,57,0.0,0.0,1.4,1965,73160.0,55.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0019_c0014,39.9001275,-75.250163,Residential,22,0.0,0.0,1.6,1948,35793.0,28.0,0.0423,0.0,0.0,0.0,0.0,222.22,0.0
r0019_c0015,39.9001275,-75.248399,Residential,13,0.0,0.0,2.0,1928,23040.0,17.0,-0.0,0.0,0.0,18.66,0.0,0.0,0.0
r0019_c0016,39.9001275,-75.2466349,Residential,23,0.0,0.0,2.0,1932,10780.0,13.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0019_c0017,39.9001275,-75.2448708,Residential,32,0.0,0.0,2.0,1935,30679.0,37.0,-0.0,0.0,0.0,0.0,0.0,88.89,0.0
r0019_c0020,39.9001275,-75.2395787,Mixed-Use,3,266.67,0.3333,,1970,69617.0,4.0,0.2928,88.89,0.0,0.0,88.89,222.22,0.0
r0019_c0045,39.9001275,-75.1954772,Industrial,3,88.89,0.0,,2019,3242.0,1.0,-0.0,0.0,0.0,0.0,44.44,177.78,0.0
r0020_c0012,39.9014789,-75.2536911,Residential,10,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0020_c0013,39.9014789,-75.2519271,Residential,52,0.0,0.0,1.1,1969,46760.0,48.0,-0.0,0.0,0.0,0.0,0.0,266.67,0.0
r0020_c0014,39.9014789,-75.250163,Residential,54,0.0,0.0,1.6,1949,64699.0,53.0,-0.0,0.0,0.0,2.97,0.0,88.89,0.0
r0020_c0015,39.9014789,-75.248399,Residential,39,44.44,0.0,2.0,1928,61890.0,47.0,0.7902,0.0,0.0,0.0,0.0,0.0,0.0
r0020_c0016,39.9014789,-75.2466349,Residential,16,0.0,0.0,1.9,1949,26950.0,21.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0020_c0025,39.9014789,-75.2307584,Industrial,3,488.89,0.0,1.0,2023,14844.0,2.0,-0.0,88.89,0.0,2.1,0.0,488.89,0.0
r0020_c0067,39.9014789,-75.156668,Industrial,5,88.89,0.0,,2008,36410.0,4.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0020_c0068,39.9014789,-75.1549039,Industrial,4,0.0,0.0,,1958,42952.0,4.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0020_c0070,39.9014789,-75.1513758,Industrial,3,0.0,0.0,,,0.0,2.0,0.5238,0.0,0.0,11.26,0.0,0.0,0.0
r0021_c0013,39.9028302,-75.2519271,Residential,37,0.0,0.0,1.2,1966,21630.0,17.0,-0.0,0.0,0.0,0.0,0.0,88.89,0.0
r0021_c0014,39.9028302,-75.250163,Residential,77,0.0,0.0,1.4,1965,98850.0,77.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0021_c0015,39.9028302,-75.248399,Residential,63,0.0,0.0,2.0,1957,95877.0,73.0,-0.0,0.0,0.0,11.15,0.0,88.89,0.0
r0021_c0016,39.9028302,-75.2466349,Mixed-Use,24,0.0,0.0,1.4,1946,33022.0,33.0,-0.0,0.0,0.0,0.0,0.0,222.22,0.0
r0021_c0019,39.9028302,-75.2413427,Commercial,3,577.78,0.2308,,1978,83380.0,1.0,-0.0,44.44,0.0,1.87,0.0,488.89,0.0
r0021_c0020,39.9028302,-75.2395787,Industrial,3,577.78,0.2308,,1998,6561.0,2.0,-0.0,222.22,0.0,0.0,44.44,622.22,0.0
r0021_c0027,39.9028302,-75.2272303,Industrial,9,400.0,0.0,,1990,52164.0,1.0,-0.0,88.89,0.0,0.0,0.0,755.56,0.0
r0021_c0047,39.9028302,-75.1919491,Residential,4,133.33,0.0,3.7,1993,196830.0,4.0,-0.0,0.0,0.0,0.0,0.0,355.56,0.0
r0021_c0067,39.9028302,-75.156668,Industrial,3,44.44,0.0,,1967,108971.0,3.0,-0.0,0.0,0.0,0.0,0.0,622.22,0.0
r0021_c0070,39.9028302,-75.1513758,Industrial,3,44.44,0.0,,2008,81855.0,4.0,0.4435,0.0,0.0,3.36,0.0,133.33,0.0
r0022_c0014,39.9041816,-75.250163,Residential,65,222.22,0.0,1.0,1944,63980.0,50.0,-0.0,0.0,0.0,0.0,0.0,311.11,0.0
r0022_c0015,39.9041816,-75.248399,Residential,50,0.0,0.0,1.5,1959,63742.0,49.0,0.9022,0.0,0.0,0.0,0.0,44.44,0.0
r0022_c0016,39.9041816,-75.2466349,Residential,50,44.44,0.0,1.8,1965,70495.0,54.0,-0.0,0.0,0.0,23.71,0.0,133.33,0.0
r0022_c0017,39.9041816,-75.2448708,Residential,10,0.0,0.0,2.0,1965,24480.0,18.0,-0.0,0.0,0.0,0.0,0.0,88.89,0.0
