cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0043_c0100,37.6977467,-123.0033326,Mixed-Use,3
r0051_c0400,37.7085575,-122.4903661,Open Space,4
r0051_c0401,37.7085575,-122.4886562,Open Space,5
r0051_c0404,37.7085575,-122.4835265,Residential,6
r0051_c0412,37.7085575,-122.4698474,Residential,6
r0051_c0414,37.7085575,-122.4664276,Residential,6
r0051_c0415,37.7085575,-122.4647177,Residential,10
r0051_c0416,37.7085575,-122.4630078,Residential,10
r0051_c0417,37.7085575,-122.461298,Residential,10
r0051_c0418,37.7085575,-122.4595881,Residential,9
r0051_c0419,37.7085575,-122.4578782,Residential,9
r0051_c0420,37.7085575,-122.4561683,Residential,10
r0051_c0421,37.7085575,-122.4544584,Residential,10
r0051_c0422,37.7085575,-122.4527485,Commercial,10
r0051_c0423,37.7085575,-122.4510386,Residential,9
r0051_c0424,37.7085575,-122.4493287,Residential,10
r0051_c0425,37.7085575,-122.4476188,Residential,9
r0051_c0426,37.7085575,-122.445909,Residential,7
r0051_c0427,37.7085575,-122.4441991,Residential,9
r0051_c0428,37.7085575,-122.4424892,Residential,9
r0051_c0429,37.7085575,-122.4407793,Residential,7
r0051_c0430,37.7085575,-122.4390694,Residential,9
r0051_c0431,37.7085575,-122.4373595,Residential,7
r0051_c0432,37.7085575,-122.4356496,Residential,8
r0051_c0433,37.7085575,-122.4339397,Residential,9
r0051_c0434,37.7085575,-122.4322299,Residential,10
r0051_c0435,37.7085575,-122.43052,Residential,7
r0051_c0436,37.7085575,-122.4288101,Residential,10
r0051_c0438,37.7085575,-122.4253903,Mixed-Use,33
r0051_c0439,37.7085575,-122.4236804,Commercial,4
r0051_c0440,37.7085575,-122.4219705,Commercial,8
r0051_c0441,37.7085575,-122.4202606,Residential,8
r0051_c0442,37.7085575,-122.4185507,Residential,10
r0051_c0443,37.7085575,-122.4168409,Residential,10
r0051_c0444,37.7085575,-122.415131,Residential,9
r0051_c0445,37.7085575,-122.4134211,Residential,5
r0051_c0446,37.7085575,-122.4117112,Industrial,9
r0051_c0447,37.7085575,-122.4100013,Industrial,10
r0051_c0448,37.7085575,-122.4082914,Residential,11
r0051_c0449,37.7085575,-122.4065815,Residential,7
r0051_c0452,37.7085575,-122.4014519,Industrial,4
r0051_c0453,37.7085575,-122.399742,Industrial,10
r0051_c0454,37.7085575,-122.3980321,Industrial,10
r0051_c0455,37.7085575,-122.3963222,Industrial,7
r0052_c0400,37.7099089,-122.4903661,Open Space,3
r0052_c0404,37.7099089,-122.4835265,Residential,6
r0052_c0412,37.7099089,-122.4698474,Residential,8
r0052_c0413,37.7099089,-122.4681375,Mixed-Use,4
r0052_c0415,37.7099089,-122.4647177,Residential,4
r0052_c0416,37.7099089,-122.4630078,Residential,6
r0052_c0417,37.7099089,-122.461298,Residential,6
r0052_c0418,37.7099089,-122.4595881,Residential,6
r0052_c0419,37.7099089,-122.4578782,Residential,4
r0052_c0420,37.7099089,-122.4561683,Residential,7
r0052_c0421,37.7099089,-122.4544584,Residential,8
r0052_c0422,37.7099089,-122.4527485,Residential,10
r0052_c0423,37.7099089,-122.4510386,Residential,10
r0052_c0424,37.7099089,-122.4493287,Commercial,10
r0052_c0425,37.7099089,-122.4476188,Residential,6
r0052_c0426,37.7099089,-122.445909,Residential,6
r0052_c0427,37.7099089,-122.4441991,Residential,10
r0052_c0428,37.7099089,-122.4424892,Residential,9
r0052_c0429,37.7099089,-122.4407793,Residential,10
r0052_c0430,37.7099089,-122.4390694,Residential,8
r0052_c0431,37.7099089,-122.4373595,Residential,9
r0052_c0432,37.7099089,-122.4356496,Residential,8
r0052_c0433,37.7099089,-122.4339397,Residential,5
r0052_c0434,37.7099089,-122.4322299,Residential,10
r0052_c0435,37.7099089,-122.43052,Residential,9
r0052_c0436,37.7099089,-122.4288101,Residential,9
r0052_c0437,37.7099089,-122.4271002,Residential,4
r0052_c0438,37.7099089,-122.4253903,Residential,3
r0052_c0439,37.7099089,-122.4236804,Residential,7
r0052_c0440,37.7099089,-122.4219705,Residential,9
r0052_c0441,37.7099089,-122.4202606,Residential,9
r0052_c0442,37.7099089,-122.4185507,Residential,10
r0052_c0443,37.7099089,-122.4168409,Residential,10
r0052_c0444,37.7099089,-122.415131,Residential,10
r0052_c0445,37.7099089,-122.4134211,Residential,10
r0052_c0446,37.7099089,-122.4117112,Residential,10
r0052_c0447,37.7099089,-122.4100013,Residential,10
r0052_c0448,37.7099089,-122.4082914,Residential,10
r0052_c0449,37.7099089,-122.4065815,Residential,10
r0052_c0450,37.7099089,-122.4048716,Residential,4
r0052_c0452,37.7099089,-122.4014519,Industrial,3
r0052_c0453,37.7099089,-122.399742,Residential,10
r0052_c0454,37.7099089,-122.3980321,Industrial,6
r0052_c0455,37.7099089,-122.3963222,Industrial,7
r0052_c0456,37.7099089,-122.3946123,Commercial,5
r0052_c0457,37.7099089,-122.3929024,Commercial,10
r0052_c0462,37.7099089,-122.384353,Other,7
r0052_c0463,37.7099089,-122.3826431,Other,8
r0053_c0397,37.7112602,-122.4954957,Open Space,3
r0053_c0399,37.7112602,-122.4920759,Open Space,5
r0053_c0400,37.7112602,-122.4903661,Open Space,3
r0053_c0411,37.7112602,-122.4715573,Residential,3
r0053_c0412,37.7112602,-122.4698474,Residential,10
r0053_c0413,37.7112602,-122.4681375,Residential,7
r0053_c0414,37.7112602,-122.4664276,Residential,6
r0053_c0415,37.7112602,-122.4647177,Residential,6
r0053_c0416,37.7112602,-122.4630078,Residential,3
r0053_c0417,37.7112602,-122.461298,Residential,6
r0053_c0418,37.7112602,-122.4595881,Residential,6
r0053_c0419,37.7112602,-122.4578782,Residential,6
r0053_c0422,37.7112602,-122.4527485,Residential,8
r0053_c0423,37.7112602,-122.4510386,Residential,10
r0053_c0424,37.7112602,-122.4493287,Residential,10
r0053_c0425,37.7112602,-122.4476188,Commercial,10
r0053_c0426,37.7112602,-122.445909,Commercial,8
r0053_c0427,37.7112602,-122.4441991,Residential,7
r0053_c0428,37.7112602,-122.4424892,Residential,10
r0053_c0429,37.7112602,-122.4407793,Residential,10
r0053_c0430,37.7112602,-122.4390694,Residential,9
r0053_c0431,37.7112602,-122.4373595,Residential,10
r0053_c0432,37.7112602,-122.4356496,Residential,9
r0053_c0433,37.7112602,-122.4339397,Residential,9
r0053_c0434,37.7112602,-122.4322299,Residential,8
r0053_c0435,37.7112602,-122.43052,Residential,10
r0053_c0436,37.7112602,-122.4288101,Residential,10
r0053_c0437,37.7112602,-122.4271002,Residential,6
r0053_c0438,37.7112602,-122.4253903,Residential,3
r0053_c0440,37.7112602,-122.4219705,Residential,9
r0053_c0441,37.7112602,-122.4202606,Residential,10
r0053_c0442,37.7112602,-122.4185507,Residential,10
r0053_c0443,37.7112602,-122.4168409,Residential,10
r0053_c0444,37.7112602,-122.415131,Residential,10
r0053_c0445,37.7112602,-122.4134211,Residential,10
r0053_c0446,37.7112602,-122.4117112,Residential,10
r0053_c0447,37.7112602,-122.4100013,Residential,10
r0053_c0448,37.7112602,-122.4082914,Residential,10
r0053_c0449,37.7112602,-122.4065815,Residential,10
r0053_c0450,37.7112602,-122.4048716,Residential,10
r0053_c0453,37.7112602,-122.399742,Residential,10
r0053_c0454,37.7112602,-122.3980321,Residential,10
r0053_c0455,37.7112602,-122.3963222,Residential,7
r0053_c0456,37.7112602,-122.3946123,Residential,6
r0053_c0457,37.7112602,-122.3929024,Commercial,9
r0053_c0458,37.7112602,-122.3911925,Residential,6
r0053_c0459,37.7112602,-122.3894826,Residential,5
r0053_c0460,37.7112602,-122.3877728,Residential,7
r0053_c0461,37.7112602,-122.3860629,Mixed-Use,7
r0053_c0462,37.7112602,-122.384353,Other,10
r0053_c0463,37.7112602,-122.3826431,Other,10
r0054_c0394,37.7126116,-122.5006254,Other,3
r0054_c0395,37.7126116,-122.4989155,Other,3
r0054_c0399,37.7126116,-122.4920759,Open Space,3
r0054_c0404,37.7126116,-122.4835265,Residential,4
r0054_c0405,37.7126116,-122.4818166,Residential,4
r0054_c0409,37.7126116,-122.4749771,Mixed-Use,5
r0054_c0411,37.7126116,-122.4715573,Residential,4
r0054_c0412,37.7126116,-122.4698474,Residential,3
r0054_c0413,37.7126116,-122.4681375,Residential,4
r0054_c0414,37.7126116,-122.4664276,Residential,4
r0054_c0415,37.7126116,-122.4647177,Residential,4
r0054_c0416,37.7126116,-122.4630078,Residential,8
r0054_c0417,37.7126116,-122.461298,Residential,9
r0054_c0418,37.7126116,-122.4595881,Residential,9
r0054_c0419,37.7126116,-122.4578782,Residential,9
r0054_c0420,37.7126116,-122.4561683,Residential,9
r0054_c0421,37.7126116,-122.4544584,Residential,4
r0054_c0422,37.7126116,-122.4527485,Commercial,3
r0054_c0423,37.7126116,-122.4510386,Residential,7
r0054_c0424,37.7126116,-122.4493287,Residential,10
r0054_c0425,37.7126116,-122.4476188,Residential,10
r0054_c0426,37.7126116,-122.445909,Residential,10
r0054_c0427,37.7126116,-122.4441991,Residential,10
r0054_c0428,37.7126116,-122.4424892,Residential,10
r0054_c0429,37.7126116,-122.4407793,Residential,10
r0054_c0430,37.7126116,-122.4390694,Residential,10
r0054_c0431,37.7126116,-122.4373595,Residential,9
r0054_c0432,37.7126116,-122.4356496,Residential,9
r0054_c0433,37.7126116,-122.4339397,Residential,9
r0054_c0434,37.7126116,-122.4322299,Residential,5
r0054_c0435,37.7126116,-122.43052,Residential,4
r0054_c0440,37.7126116,-122.4219705,Residential,7
r0054_c0441,37.7126116,-122.4202606,Residential,10
r0054_c0442,37.7126116,-122.4185507,Residential,10
r0054_c0443,37.7126116,-122.4168409,Residential,7
r0054_c0444,37.7126116,-122.415131,Residential,9
r0054_c0445,37.7126116,-122.4134211,Residential,10
r0054_c0446,37.7126116,-122.4117112,Residential,10
r0054_c0447,37.7126116,-122.4100013,Residential,10
r0054_c0448,37.7126116,-122.4082914,Residential,10
r0054_c0449,37.7126116,-122.4065815,Residential,10
r0054_c0450,37.7126116,-122.4048716,Residential,10
r0054_c0451,37.7126116,-122.4031618,Residential,9
r0054_c0452,37.7126116,-122.4014519,Residential,5
r0054_c0453,37.7126116,-122.399742,Residential,10
r0054_c0454,37.7126116,-122.3980321,Residential,9
r0054_c0455,37.7126116,-122.3963222,Residential,4
r0054_c0456,37.7126116,-122.3946123,Residential,10
r0054_c0457,37.7126116,-122.3929024,Residential,6
r0054_c0460,37.7126116,-122.3877728,Mixed-Use,5
r0054_c0461,37.7126116,-122.3860629,Other,10
r0054_c0462,37.7126116,-122.384353,Other,10
r0054_c0463,37.7126116,-122.3826431,Other,10
r0055_c0398,37.7139629,-122.4937858,Open Space,4
r0055_c0409,37.7139629,-122.4749771,Residential,5
r0055_c0410,37.7139629,-122.4732672,Residential,10
r0055_c0411,37.7139629,-122.4715573,Residential,6
r0055_c0412,37.7139629,-122.4698474,Residential,7
r0055_c0413,37.7139629,-122.4681375,Residential,9
r0055_c0414,37.7139629,-122.4664276,Residential,9
r0055_c0415,37.7139629,-122.4647177,Residential,9
r0055_c0416,37.7139629,-122.4630078,Residential,8
r0055_c0417,37.7139629,-122.461298,Residential,9
r0055_c0418,37.7139629,-122.4595881,Residential,6
r0055_c0419,37.7139629,-122.4578782,Residential,10
r0055_c0420,37.7139629,-122.4561683,Residential,9
r0055_c0421,37.7139629,-122.4544584,Residential,5
r0055_c0422,37.7139629,-122.4527485,Residential,5
r0055_c0424,37.7139629,-122.4493287,Residential,6
r0055_c0425,37.7139629,-122.4476188,Residential,9
r0055_c0426,37.7139629,-122.445909,Residential,10
r0055_c0427,37.7139629,-122.4441991,Residential,10
r0055_c0428,37.7139629,-122.4424892,Residential,10
r0055_c0429,37.7139629,-122.4407793,Residential,10
r0055_c0430,37.7139629,-122.4390694,Residential,10
r0055_c0431,37.7139629,-122.4373595,Residential,8
r0055_c0432,37.7139629,-122.4356496,Residential,7
r0055_c0433,37.7139629,-122.4339397,Residential,8
r0055_c0439,37.7139629,-122.4236804,Industrial,3
r0055_c0440,37.7139629,-122.4219705,Residential,4
