cell_id,amenity_density,amenity_ratio_food_drink
r0043_c0100,0.0,0.0
r0051_c0400,444.44,0.0
r0051_c0401,0.0,0.0
r0051_c0404,1600.0,0.0
r0051_c0412,533.33,0.0
r0051_c0414,44.44,0.0
r0051_c0415,577.78,0.0769
r0051_c0416,222.22,0.2
r0051_c0417,622.22,0.2857
r0051_c0418,400.0,0.3333
r0051_c0419,266.67,0.1667
r0051_c0420,222.22,0.2
r0051_c0421,177.78,0.0
r0051_c0422,711.11,0.0
r0051_c0423,133.33,0.0
r0051_c0424,488.89,0.0
r0051_c0425,0.0,0.0
r0051_c0426,533.33,0.0
r0051_c0427,0.0,0.0
r0051_c0428,0.0,0.0
r0051_c0429,400.0,0.0
r0051_c0430,44.44,0.0
r0051_c0431,266.67,0.0
r0051_c0432,0.0,0.0
r0051_c0433,0.0,0.0
r0051_c0434,0.0,0.0
r0051_c0435,44.44,0.0
r0051_c0436,44.44,0.0
r0051_c0438,88.89,0.0
r0051_c0439,0.0,0.0
r0051_c0440,44.44,0.0
r0051_c0441,0.0,0.0
r0051_c0442,88.89,0.0
r0051_c0443,0.0,0.0
r0051_c0444,222.22,0.6
r0051_c0445,444.44,0.0
r0051_c0446,0.0,0.0
r0051_c0447,222.22,0.0
r0051_c0448,88.89,0.0
r0051_c0449,266.67,0.1667
r0051_c0452,400.0,0.0
r0051_c0453,88.89,0.0
r0051_c0454,0.0,0.0
r0051_c0455,0.0,0.0
r0052_c0400,0.0,0.0
r0052_c0404,0.0,0.0
r0052_c0412,0.0,0.0
r0052_c0413,2533.33,0.1404
r0052_c0415,0.0,0.0
r0052_c0416,0.0,0.0
r0052_c0417,0.0,0.0
r0052_c0418,0.0,0.0
r0052_c0419,44.44,0.0
r0052_c0420,0.0,0.0
r0052_c0421,0.0,0.0
r0052_c0422,88.89,0.0
r0052_c0423,88.89,0.0
r0052_c0424,88.89,1.0
r0052_c0425,311.11,0.0
r0052_c0426,577.78,0.0
r0052_c0427,0.0,0.0
r0052_c0428,0.0,0.0
r0052_c0429,0.0,0.0
r0052_c0430,0.0,0.0
r0052_c0431,0.0,0.0
r0052_c0432,0.0,0.0
r0052_c0433,88.89,0.0
r0052_c0434,0.0,0.0
r0052_c0435,0.0,0.0
r0052_c0436,0.0,0.0
r0052_c0437,0.0,0.0
r0052_c0438,0.0,0.0
r0052_c0439,0.0,0.0
r0052_c0440,0.0,0.0
r0052_c0441,0.0,0.0
r0052_c0442,88.89,0.0
r0052_c0443,0.0,0.0
r0052_c0444,0.0,0.0
r0052_c0445,0.0,0.0
r0052_c0446,0.0,0.0
r0052_c0447,88.89,0.0
r0052_c0448,133.33,0.0
r0052_c0449,0.0,0.0
r0052_c0450,0.0,0.0
r0052_c0452,44.44,0.0
r0052_c0453,0.0,0.0
r0052_c0454,133.33,0.0
r0052_c0455,0.0,0.0
r0052_c0456,0.0,0.0
r0052_c0457,44.44,0.0
r0052_c0462,0.0,0.0
r0052_c0463,44.44,0.0
r0053_c0397,44.44,0.0
r0053_c0399,44.44,0.0
r0053_c0400,400.0,0.0
r0053_c0411,44.44,0.0
r0053_c0412,44.44,0.0
r0053_c0413,5866.67,0.0
r0053_c0414,1466.67,0.0606
r0053_c0415,44.44,0.0
r0053_c0416,44.44,0.0
r0053_c0417,0.0,0.0
r0053_c0418,0.0,0.0
r0053_c0419,133.33,0.0
r0053_c0422,44.44,0.0
r0053_c0423,0.0,0.0
r0053_c0424,0.0,0.0
r0053_c0425,88.89,0.0
r0053_c0426,311.11,0.0
r0053_c0427,0.0,0.0
r0053_c0428,0.0,0.0
r0053_c0429,0.0,0.0
r0053_c0430,0.0,0.0
r0053_c0431,0.0,0.0
r0053_c0432,0.0,0.0
r0053_c0433,0.0,0.0
r0053_c0434,0.0,0.0
r0053_c0435,0.0,0.0
r0053_c0436,0.0,0.0
r0053_c0437,88.89,0.0
r0053_c0438,0.0,0.0
r0053_c0440,0.0,0.0
r0053_c0441,177.78,0.0
r0053_c0442,44.44,0.0
r0053_c0443,0.0,0.0
r0053_c0444,0.0,0.0
r0053_c0445,0.0,0.0
r0053_c0446,0.0,0.0
r0053_c0447,0.0,0.0
r0053_c0448,0.0,0.0
r0053_c0449,0.0,0.0
r0053_c0450,222.22,0.0
r0053_c0453,0.0,0.0
r0053_c0454,0.0,0.0
r0053_c0455,0.0,0.0
r0053_c0456,0.0,0.0
r0053_c0457,0.0,0.0
r0053_c0458,88.89,0.0
r0053_c0459,222.22,0.0
r0053_c0460,222.22,0.0
r0053_c0461,0.0,0.0
r0053_c0462,0.0,0.0
r0053_c0463,0.0,0.0
r0054_c0394,266.67,0.0
r0054_c0395,88.89,0.0
r0054_c0399,0.0,0.0
r0054_c0404,88.89,0.0
r0054_c0405,88.89,0.0
r0054_c0409,177.78,0.0
r0054_c0411,44.44,0.0
r0054_c0412,0.0,0.0
r0054_c0413,44.44,0.0
r0054_c0414,44.44,0.0
r0054_c0415,133.33,0.0
r0054_c0416,0.0,0.0
r0054_c0417,0.0,0.0
r0054_c0418,0.0,0.0
r0054_c0419,0.0,0.0
r0054_c0420,222.22,0.0
r0054_c0421,44.44,0.0
r0054_c0422,44.44,1.0
r0054_c0423,44.44,0.0
r0054_c0424,0.0,0.0
r0054_c0425,0.0,0.0
r0054_c0426,88.89,0.0
r0054_c0427,222.22,0.4
r0054_c0428,0.0,0.0
r0054_c0429,0.0,0.0
r0054_c0430,0.0,0.0
r0054_c0431,0.0,0.0
r0054_c0432,0.0,0.0
r0054_c0433,0.0,0.0
r0054_c0434,177.78,0.0
r0054_c0435,1244.44,0.0357
r0054_c0440,44.44,0.0
r0054_c0441,133.33,0.0
r0054_c0442,0.0,0.0
r0054_c0443,222.22,0.0
r0054_c0444,88.89,0.0
r0054_c0445,0.0,0.0
r0054_c0446,44.44,0.0
r0054_c0447,266.67,0.0
r0054_c0448,177.78,0.0
r0054_c0449,133.33,0.3333
r0054_c0450,0.0,0.0
