city,cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
NYC,r0011_c0018,40.7017918,-74.0136772,Open Space,3,10844.44,0.0451,,,0.0,3.0,-0.0,88.89,44.44,7.66,933.33,355.56,44.44
NYC,r0012_c0018,40.7031431,-74.0136772,Commercial,5,8844.44,0.0201,28.9,1930,2142087.0,4.0,0.3323,88.89,44.44,6.74,266.67,222.22,0.0
NYC,r0012_c0019,40.7031431,-74.0118928,Commercial,18,2177.78,0.3061,16.1,1958,1387382.0,10.0,1.0703,355.56,44.44,0.0,222.22,266.67,88.89
NYC,r0012_c0020,40.7031431,-74.0101084,Residential,11,4755.56,0.0841,6.6,1873,1281484.0,20.0,1.9788,222.22,177.78,0.0,88.89,88.89,0.0
NYC,r0012_c0021,40.7031431,-74.008324,Commercial,3,2977.78,0.0,29.0,1942,3602735.0,2.0,0.3506,0.0,44.44,0.0,0.0,133.33,0.0
NYC,r0013_c0018,40.7044945,-74.0136772,Institutional,3,3688.89,0.0241,10.0,1897,527145.0,2.0,1.337,133.33,44.44,6.13,711.11,222.22,0.0
NYC,r0013_c0019,40.7044945,-74.0118928,Commercial,18,2088.89,0.3191,13.6,1927,2252291.0,15.0,0.6634,266.67,133.33,0.0,0.0,177.78,88.89
NYC,r0013_c0020,40.7044945,-74.0101084,Commercial,23,5466.67,0.2114,9.5,1890,2914437.0,23.0,1.0718,400.0,133.33,0.0,44.44,88.89,88.89
NYC,r0013_c0021,40.7044945,-74.008324,Mixed-Use,8,4844.44,0.0734,19.1,1943,2231624.0,10.0,1.5593,133.33,44.44,0.0,177.78,177.78,44.44
NYC,r0013_c0022,40.7044945,-74.0065396,Commercial,5,7155.56,0.0311,25.0,1958,1804530.0,4.0,1.0576,44.44,133.33,0.0,44.44,88.89,44.44
NYC,r0014_c0016,40.7058458,-74.017246,Mixed-Use,3,16177.78,0.0055,27.0,2006,1002722.0,3.0,0.8362,44.44,0.0,14.63,88.89,266.67,0.0
NYC,r0014_c0017,40.7058458,-74.0154616,Mixed-Use,4,4444.44,0.0,35.7,1921,1718019.0,4.0,0.6005,88.89,88.89,2.64,311.11,88.89,0.0
NYC,r0014_c0018,40.7058458,-74.0136772,Commercial,5,2444.44,0.0545,24.2,1924,2200249.0,6.0,0.9524,133.33,177.78,0.0,222.22,133.33,0.0
NYC,r0014_c0019,40.7058458,-74.0118928,Commercial,11,2222.22,0.22,27.2,1928,3846129.0,10.0,0.4051,266.67,88.89,0.0,266.67,0.0,0.0
NYC,r0014_c0020,40.7058458,-74.0101084,Mixed-Use,8,1155.56,0.2308,25.3,1947,2315164.0,8.0,2.1233,355.56,0.0,0.0,266.67,88.89,88.89
NYC,r0014_c0021,40.7058458,-74.008324,Commercial,9,1644.44,0.5676,30.1,1921,3952219.0,8.0,1.4645,88.89,0.0,14.49,0.0,177.78,133.33
NYC,r0014_c0022,40.7058458,-74.0065396,Commercial,7,2711.11,0.0984,28.8,1958,5268199.0,10.0,0.9306,577.78,44.44,20.54,311.11,222.22,0.0
NYC,r0014_c0023,40.7058458,-74.0047552,Commercial,15,5644.44,0.0394,25.0,1973,2075645.0,11.0,1.505,44.44,0.0,9.18,0.0,222.22,0.0
NYC,r0015_c0016,40.7071972,-74.017246,Mixed-Use,4,8177.78,0.0,17.0,2001,877681.0,3.0,0.9487,44.44,44.44,12.31,88.89,88.89,0.0
NYC,r0015_c0018,40.7071972,-74.0136772,Commercial,11,2577.78,0.1552,22.4,1977,1097642.0,9.0,0.9774,222.22,44.44,17.23,711.11,222.22,0.0
NYC,r0015_c0019,40.7071972,-74.0118928,Commercial,6,1511.11,0.2059,25.0,1925,2982952.0,8.0,1.5553,222.22,44.44,18.8,400.0,0.0,0.0
NYC,r0015_c0020,40.7071972,-74.0101084,Commercial,7,1644.44,0.0811,29.2,1910,3718302.0,9.0,1.2745,311.11,133.33,12.76,133.33,44.44,0.0
NYC,r0015_c0021,40.7071972,-74.008324,Commercial,12,3822.22,0.1977,20.0,1922,3289417.0,10.0,1.0291,177.78,44.44,9.83,177.78,133.33,177.78
NYC,r0015_c0022,40.7071972,-74.0065396,Residential,13,2888.89,0.2615,22.0,1962,2767022.0,14.0,1.4332,88.89,44.44,0.0,0.0,177.78,0.0
NYC,r0015_c0023,40.7071972,-74.0047552,Commercial,8,3333.33,0.0667,21.7,1945,2940378.0,11.0,1.8598,266.67,44.44,6.9,88.89,133.33,0.0
NYC,r0015_c0024,40.7071972,-74.0029708,Mixed-Use,26,2844.44,0.2188,4.5,1911,313581.0,26.0,2.0321,533.33,0.0,0.0,88.89,133.33,44.44
NYC,r0015_c0025,40.7071972,-74.0011864,Mixed-Use,16,3377.78,0.1316,4.8,1862,317451.0,29.0,1.4088,88.89,0.0,0.0,44.44,88.89,44.44
NYC,r0016_c0016,40.7085485,-74.017246,Mixed-Use,6,6177.78,0.0144,13.2,1987,744121.0,5.0,-0.0,88.89,0.0,20.8,133.33,222.22,0.0
NYC,r0016_c0017,40.7085485,-74.0154616,Commercial,3,4577.78,0.0097,44.0,1987,428589.0,1.0,-0.0,44.44,44.44,20.34,44.44,44.44,44.44
NYC,r0016_c0018,40.7085485,-74.0136772,Commercial,20,2044.44,0.2609,16.7,1932,2554542.0,19.0,1.7602,177.78,0.0,7.34,222.22,177.78,0.0
NYC,r0016_c0019,40.7085485,-74.0118928,Institutional,6,1111.11,0.12,24.6,1936,2086141.0,8.0,1.2128,0.0,44.44,0.0,577.78,44.44,44.44
NYC,r0016_c0020,40.7085485,-74.0101084,Commercial,9,2355.56,0.0566,26.8,1921,3327828.0,6.0,0.1122,44.44,266.67,7.11,88.89,177.78,0.0
