osm_id,osm_type,lat,lon,distance_m,primary_tag,primary_value,name,brand,shop,amenity,office,craft,tourism,leisure,cuisine,opening_hours,phone,website,wheelchair,outdoor_seating,takeaway,delivery,level,addr_street,addr_housenumber,addr_postcode,label
9571832581,node,40.7756602,-73.9535891,16.0,amenity,restaurant,Bistro Nando,,,restaurant,,,,,mediterranean,"Mo-Fr 12:30-23:00; Sa, Su 10:00-23:00",,,,yes,yes,yes,0,2nd Avenue,1589,10028,food_drink
9571832580,node,40.7755903,-73.9536446,24.7,shop,alcohol,Crown Wines & Liquors,,alcohol,,,,,,,Mo-We 11:30-20:00; Th-Sa 11:30-23:00; Su 12:00-21:00,+1 212-472-8610,https://crownwinesnyc.com,,,,12:00-20:00,0,2nd Avenue,1587,10028,retail
9029195973,node,40.7755666,-73.9531857,29.3,shop,toys,Promises Fulfilled,,toys,,,,,,,,,,,,,,,,,,retail
9770640989,node,40.7755389,-73.9536712,30.4,shop,kiosk,Baba Convenience Store,,kiosk,,,,,,,,,,,,,,,2nd Avenue,1585,,food_drink
9029195975,node,40.7755346,-73.953207,30.7,shop,tobacco,1592 Grab & Go,,tobacco,,,,,,,,,,yes,,,,0,2nd Avenue,1952,,retail
6377007361,node,40.7754854,-73.953238,33.7,amenity,pub,The Penrose,,,pub,,,,,,"Mo-Fr 11:00-04:00; Sa, Su 09:30-04:00",,,,sidewalk,,,,2nd Avenue,1590,,food_drink
9770640988,node,40.7755074,-73.9536926,34.3,amenity,cafe,Bonjour Crepes & Waffles,,,cafe,,,,,,,,https://bonjourcrepesandwine.com/,,,,,,2nd Avenue,1585,,food_drink
4571057189,node,40.7754148,-73.9532859,39.2,amenity,restaurant,Wa Jeal Sichuan Chili House,,,restaurant,,,,,chinese,Sa 12:00-23:30; Su 12:00-23:00; Mo 11:00-23:30; Tu-Fr 11:30-23:30,+1 212-396-3339,http://wajealrestaurant.com,,,,yes,,,,10028,food_drink
6237222967,node,40.775369,-73.9533215,43.3,amenity,restaurant,Omakase Shihou,,,restaurant,,,,,,,,,,,,,,,,,food_drink
6206645850,node,40.7761403,-73.9532229,47.2,amenity,restaurant,Joju,,,restaurant,,,,,vietnamese,,,,,,,,,2nd Avenue,1603,,food_drink
2724057626,node,40.7753109,-73.9533516,49.1,amenity,restaurant,Sushi Ren,,,restaurant,,,,,japanese;sushi,11:30-23:00,+1 212-710-8888,https://www.ren82.com,,sidewalk;street,yes,yes,0,2nd Avenue,1584,10028,food_drink
9173303873,node,40.776176,-73.9531977,51.7,amenity,fast_food,7th Street Burger,,,fast_food,,,,,burger,Mo-Th 11:00-24:00; Fr-Sa 11:00-03:00; Su 11:00-24:00,+1-646-454-1541,https://www.7thstreetburger.com/,,,yes,,0,2nd Avenue,1603,10028,food_drink
9770640990,node,40.776203,-73.9531689,55.4,amenity,restaurant,Asian 83,,,restaurant,,,,,chinese,,,,,,yes,,,2nd Avenue,1605,,food_drink
9770640991,node,40.7762315,-73.9531555,58.8,shop,beauty,Blondis Nail & Spa,,beauty,,,,,,,,,,,,,,,,,,personal_care
9770640992,node,40.776268,-73.95313,63.4,shop,nutrition_supplements,Vitahealth Apothecary,,nutrition_supplements,,,,,,,Mo-Fr 08:30-18:30; Sa 10:00-17:00,+1 212-722-1110,,yes,,,yes,,2nd Avenue,1609,,retail
9275881443,node,40.7762953,-73.9531193,66.5,amenity,pub,Caledonia,,,pub,,,,,pub,"Mo-We 17:00-02:00; Th 17:00-04:00; Fr, Sa 16:00-04:00; Su 16:00-24:00",+1 212-734-4300,https://www.caledoniabar.com,,,,,,2nd Avenue,1609,,food_drink
9029195977,node,40.7751976,-73.9531243,66.7,shop,hairdresser,Jean Romano Barber Shop,,hairdresser,,,,,,,Mo-Th 09:00-20:00; Fr-Sa 09:00-19:00; Su 10:00-18:00,+1-212-439-8362,,,,,,,East 82nd Street,301,10028,personal_care
5794912652,node,40.7752525,-73.9538884,66.9,shop,pastry,Insomnia Cookies,Insomnia Cookies,pastry,,,,,,,"Mo-Fr 09:00-03:00; Sa, Su 11:00-03:00",+1 929-325-1980,https://insomniacookies.com/locations/store/23,,,,yes,,2nd Avenue,1579,10028,food_drink
5766202314,node,40.7763429,-73.9530891,72.4,amenity,restaurant,Bua Thai Ramen & Robata Grill,,,restaurant,,,,,thai,Mo-Th 11:00-22:30; Fr 11:00-23:30; Sa 11:30-23:30; Su 11:30-22:30,+1 212-879-7999,https://buathairamennyc.com/,,yes,yes,yes,,2nd Avenue,1611,10028,food_drink
