location,osm_id,lat,lon,distance_m,label,highway_type,lanes,lot_area_sqft,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,com_ratio,res_ratio,median_income
times_square,796338420,40.7589488,-73.9853854,24.6,retail,secondary,1.0,1900.0,86.2,428.4,329.1,29.1,1.0,0.0,
times_square,258619240,40.7591532,-73.9849271,31.7,retail,residential,2.0,3324.0,41.7,420.4,345.6,41.6,1.0,0.0,
times_square,2613887631,40.7588653,-73.9854906,33.1,retail,secondary,1.0,4350.0,98.9,428.0,322.1,31.3,1.0,0.0,
times_square,3595084281,40.7591248,-73.9853772,34.2,retail,secondary,1.0,5200.0,76.0,442.3,332.8,45.0,1.0,0.0,
times_square,1740694091,40.7587753,-73.98472,34.9,food_drink,secondary,3.0,3234.0,70.4,376.7,302.4,35.9,1.0,0.0,
times_square,9472159125,40.7588805,-73.9855136,34.9,retail,secondary,1.0,4350.0,99.4,430.6,324.3,33.8,1.0,0.0,
times_square,2689589692,40.7586261,-73.9848141,38.8,retail,secondary,2.0,3234.0,88.4,369.3,286.4,31.7,1.0,0.0,
times_square,368051619,40.7589003,-73.9846166,40.7,leisure_entertainment,secondary,3.0,3324.0,55.3,382.2,316.0,47.3,1.0,0.0,
times_square,9674241492,40.7587927,-73.9846231,41.9,retail,secondary,3.0,3234.0,67.2,373.1,304.0,44.2,1.0,0.0,
times_square,2689589690,40.7592453,-73.9853339,43.2,food_drink,residential,1.0,1503.0,68.3,450.0,326.9,38.9,1.0,0.0,
times_square,10791218142,40.7586585,-73.9856026,50.1,retail,secondary,1.0,4350.0,120.8,419.2,302.6,40.1,1.0,0.0,
times_square,1273406878,40.7590118,-73.9844836,53.4,hospitality,residential,1.0,21758.0,42.9,385.6,328.4,62.5,0.1339643371252371,0.0,
times_square,13270526606,40.7593685,-73.9853155,55.2,food_drink,residential,1.0,1503.0,64.7,459.5,319.6,28.3,1.0,0.0,
times_square,12917522702,40.7584069,-73.9849369,56.5,retail,secondary,2.0,2090.0,114.6,359.0,263.2,43.0,1.0,0.0,
times_square,11904533394,40.7585627,-73.9856354,58.7,retail,secondary,1.0,4350.0,130.2,414.4,293.3,46.7,1.0,0.0,
times_square,2774949518,40.7582885,-73.9849989,68.5,retail,secondary,5.0,2090.0,128.7,353.9,250.9,53.8,1.0,0.0,
times_square,11904533393,40.7584618,-73.9856847,69.3,retail,secondary,1.0,74287.0,141.2,410.5,284.0,56.2,0.0527141542635053,0.0,
times_square,6418252593,40.7594748,-73.9847715,69.6,food_drink,residential,2.0,13899.0,20.9,441.8,350.9,23.3,0.1189765607274377,0.0,
times_square,258619232,40.7593907,-73.9856571,72.0,hospitality,residential,1.0,11293.0,93.4,480.0,295.6,53.7,0.040357496826694,0.0,
times_square,266149327,40.7591832,-73.9858937,73.9,leisure_entertainment,secondary,1.0,13957.0,115.8,477.0,296.9,78.6,1.0,0.0,
times_square,12244426994,40.7585073,-73.9858673,78.0,food_drink,secondary,1.0,74287.0,148.6,425.7,294.3,66.9,0.0527141542635053,0.0,
times_square,6596037385,40.7592676,-73.984303,78.6,food_drink,residential,1.0,16066.0,25.0,401.3,357.3,68.1,0.208179222633184,0.0,
times_square,11904533392,40.7583484,-73.9857286,81.0,retail,secondary,1.0,74287.0,153.1,405.7,273.5,67.1,0.0527141542635053,0.0,
times_square,5985838985,40.7596521,-73.9852254,84.3,food_drink,living_street,1.0,11293.0,63.9,479.9,308.0,21.6,0.040357496826694,0.0,
times_square,6308385086,40.7595892,-73.9846122,87.0,retail,secondary,3.0,13899.0,22.3,445.4,356.2,37.1,0.1189765607274377,0.0,
times_square,266149308,40.7594728,-73.9858534,89.9,hospitality,residential,1.0,3300.0,110.3,486.9,277.1,68.5,1.0,0.0,
times_square,11904533390,40.7580901,-73.9851597,90.2,retail,secondary,5.0,38700.0,153.9,350.2,231.8,74.4,1.0,0.0,
times_square,12175585351,40.7589043,-73.9861848,91.4,leisure_entertainment,secondary,1.0,74287.0,148.3,465.8,304.9,89.0,0.0527141542635053,0.0,
times_square,11904533391,40.7582271,-73.9857669,93.6,retail,secondary,1.0,74287.0,165.5,400.4,262.3,79.0,0.0527141542635053,0.0,
times_square,5083429924,40.7596799,-73.9845482,98.4,retail,secondary,3.0,13899.0,31.7,451.3,356.3,44.6,0.1189765607274377,0.0,
times_square,10861612276,40.7584383,-73.9840932,99.1,retail,secondary,2.0,5025.0,113.0,314.6,267.2,95.6,1.0,0.0,
times_square,2689589693,40.7583345,-73.9841851,99.5,food_drink,secondary,2.0,5025.0,121.8,310.2,254.8,93.7,1.0,0.0,
times_square,12237980160,40.7583401,-73.9860225,99.6,food_drink,secondary,1.0,74287.0,170.8,425.3,282.7,87.3,0.0527141542635053,0.0,
times_square,2639531871,40.7597371,-73.9845837,102.7,hospitality,residential,3.0,13899.0,38.2,458.3,350.8,37.7,0.1189765607274377,0.0,
times_square,163474780,40.7585993,-73.9862598,103.2,hospitality,secondary,1.0,74287.0,169.2,454.9,317.4,95.5,0.0527141542635053,0.0,
times_square,4755575515,40.7579715,-73.9852247,103.8,health,secondary,1.0,38700.0,168.2,346.7,220.3,87.9,1.0,0.0,
times_square,5884955676,40.7595077,-73.9841594,104.1,leisure_entertainment,secondary,3.0,1975.0,35.0,418.8,384.8,74.4,1.0,0.0,
times_square,2676979135,40.7592344,-73.9863162,109.0,food_drink,secondary,1.0,5020.0,150.0,462.7,269.1,111.8,,,
times_square,2722857800,40.75965,-73.985965,110.7,food_drink,residential,1.0,3300.0,122.7,466.0,257.3,79.1,1.0,0.0,
times_square,4385240481,40.758744,-73.986415,112.1,food_drink,secondary,1.0,74287.0,159.9,443.9,308.8,106.9,0.0527141542635053,0.0,
times_square,13730649404,40.7581141,-73.9841954,115.9,finance,secondary,2.0,3013.0,145.4,292.2,230.3,107.5,1.0,0.0,
times_square,12917522703,40.7580768,-73.9842248,117.5,food_drink,secondary,2.0,3013.0,149.0,290.8,225.9,108.6,1.0,0.0,
times_square,13730649403,40.7580884,-73.984193,118.2,food_drink,secondary,2.0,3013.0,148.3,289.9,227.5,109.6,1.0,0.0,
times_square,1317983503,40.7593769,-73.9863656,119.1,hospitality,secondary,1.0,5020.0,149.9,463.0,254.3,112.6,,,
times_square,5884922536,40.7599806,-73.9850423,120.3,retail,living_street,1.0,50657.0,77.3,499.1,304.4,15.5,1.0,0.0,
times_square,266170755,40.7578829,-73.984494,124.1,leisure_entertainment,secondary,1.0,10125.0,168.2,292.2,202.8,111.9,1.0,0.0,
times_square,12917522704,40.7580366,-73.9841496,125.0,retail,secondary,2.0,1506.0,154.7,283.2,222.3,116.2,0.4,0.6,
times_square,266170542,40.7585629,-73.9836775,125.5,food_drink,residential,1.0,1883.0,118.0,307.1,287.7,125.6,1.0,0.0,
times_square,12246616257,40.7585572,-73.9865632,129.0,food_drink,secondary,1.0,74287.0,158.9,429.0,320.7,121.5,0.0527141542635053,0.0,
times_square,7172247185,40.7580118,-73.9841151,129.0,food_drink,secondary,2.0,1506.0,158.0,279.2,220.1,120.2,0.8,0.2,
times_square,2717293852,40.7597407,-73.9861863,130.8,food_drink,residential,1.0,29500.0,143.3,446.0,236.5,99.5,,,
times_square,10960870136,40.7577347,-73.985331,131.0,food_drink,secondary,1.0,44475.0,196.0,339.8,197.9,115.0,1.0,0.0,
times_square,1752822408,40.758063,-73.9862053,131.6,leisure_entertainment,secondary,1.0,65764.0,203.5,421.8,263.3,118.1,1.0,0.0,
times_square,12917522705,40.7580046,-73.984058,132.7,food_drink,secondary,2.0,1506.0,160.0,275.4,220.1,124.3,0.4291845493562232,0.5708154506437768,
