osm_id,lat,lon,amenity_label,street_width_m,plot_area_m2,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,residential_ratio,commercial_ratio,median_income
349323821,40.7625151,-73.9766897,food_drink,7.0,179.4,126.5,470.4,264.3,213.3,0.0459,0.055,
368043739,40.7555187,-73.9819926,office_professional,3.5,1313.4,66.8,22.0,115.6,134.6,0.0,0.2278,
368043742,40.7530813,-73.9841818,leisure_entertainment,7.0,435.2,91.7,199.8,20.6,31.1,0.0192,0.0577,
368045862,40.7666672,-73.9937765,leisure_entertainment,7.0,121.9,117.6,254.6,123.8,20.8,0.1538,0.0128,
368051619,40.7589003,-73.9846166,leisure_entertainment,7.0,1842.2,55.3,382.2,316.0,47.3,0.0116,0.1279,
368051660,40.7581985,-73.9895564,leisure_entertainment,7.0,561.0,46.7,174.9,119.4,169.3,0.0463,0.0741,
643414350,40.756994,-73.9865512,food_drink,7.0,59.6,103.9,357.1,198.8,229.2,0.0,0.1846,
661889865,40.7554192,-73.9930152,food_drink,7.0,178.8,160.8,329.1,355.3,224.0,0.0667,0.1091,
662894338,40.7522171,-73.9911323,food_drink,3.5,773.7,80.3,242.6,139.6,106.6,0.0,0.0938,
663070723,40.757084,-73.977893,food_drink,7.0,353.3,37.0,350.3,392.3,140.4,0.0106,0.0851,
663072725,40.7572492,-73.9784073,retail,7.0,499.6,31.6,315.7,406.9,133.4,0.0093,0.0748,
663084281,40.7559085,-73.9830221,finance,7.0,844.4,18.0,101.1,128.9,148.7,0.0,0.2667,
663084339,40.7535383,-73.9805923,retail,7.0,1187.3,40.1,227.3,169.6,55.9,0.0,0.2424,
663084489,40.7537116,-73.9809753,retail,7.0,1898.2,37.1,196.5,132.5,34.5,0.0,0.254,
663084767,40.7521545,-73.9821286,finance,7.0,341.9,28.2,212.8,181.5,34.2,0.0,0.0745,
663085715,40.750696,-73.982649,retail,7.0,867.5,72.2,267.7,256.1,202.1,0.0079,0.0709,
663086460,40.750366,-73.982918,finance,7.0,867.5,48.1,282.9,214.2,243.7,0.008,0.064,
663099302,40.75005,-73.9888498,retail,14.0,258.1,47.5,245.6,152.3,97.8,0.0,0.1765,
663103163,40.7524154,-73.9944494,leisure_entertainment,7.0,4181.3,108.4,75.6,201.9,95.6,0.0333,0.15,
663104998,40.7524435,-73.9935503,food_drink,7.0,3563.4,32.8,75.7,146.4,58.5,0.0274,0.137,
663105088,40.752885,-73.9926793,retail,7.0,1651.4,16.1,159.0,162.5,112.3,0.0202,0.1313,
663116698,40.7528389,-73.993253,food_drink,7.0,929.7,32.7,126.3,170.7,98.8,0.0225,0.1236,
663387539,40.7526109,-73.9929161,retail,10.5,434.5,25.0,123.3,136.9,79.0,0.0247,0.1358,
663387602,40.7529683,-73.9926431,food_drink,7.0,1651.4,13.5,167.9,171.3,122.0,0.0194,0.1165,
671071295,40.7569564,-73.9934438,food_drink,10.5,283.6,113.8,204.9,264.7,169.6,0.088,0.088,
763650163,40.7582151,-73.9866267,food_drink,7.0,5181.0,171.6,421.7,297.3,138.6,0.0139,0.0972,
883174326,40.7481684,-73.9845248,finance,7.0,543.0,34.8,184.8,84.2,103.2,0.0206,0.1031,
883181314,40.7491,-73.983903,food_drink,7.0,204.0,81.8,251.7,68.3,183.7,0.0204,0.0918,
883234965,40.7484288,-73.9850334,food_drink,17.5,409.0,59.9,185.3,117.9,153.4,0.0364,0.1,
883235940,40.7481846,-73.985687,food_drink,7.0,7692.5,76.6,142.4,176.5,182.6,0.0345,0.1724,
999526099,40.7688194,-73.982397,retail,7.0,9.7,36.1,169.6,89.0,53.5,0.3158,0.0263,
999526102,40.7683962,-73.9826745,retail,7.0,13615.7,72.2,153.3,124.8,54.6,0.2727,0.0455,
999526140,40.7690103,-73.982912,hospitality,3.5,1317.0,76.5,121.4,54.3,43.1,0.3409,0.0227,
1000793154,40.7558228,-73.9787965,retail,7.0,1326.6,40.2,261.7,320.4,254.3,0.0092,0.1101,
1000798085,40.7617166,-73.9862921,retail,3.5,227.4,50.4,311.2,184.6,189.4,0.1681,0.084,
1147520797,40.7649158,-73.9829157,food_drink,3.5,186.9,168.2,201.5,89.4,17.6,0.1023,0.0795,
1240483946,40.7601706,-73.9730036,food_drink,7.0,118.8,59.0,307.4,174.0,142.7,0.0864,0.1111,
1242371874,40.752085,-73.9895832,finance,7.0,1193.4,68.9,299.3,250.5,171.4,0.0,0.0729,
1272674973,40.7523267,-73.9942482,personal_care,7.0,2305.5,91.9,58.9,182.3,80.0,0.0328,0.1475,
1273406878,40.7590118,-73.9844836,hospitality,7.0,1842.2,42.9,385.6,328.4,62.5,0.012,0.1325,
1290043792,40.7580948,-73.9720223,food_drink,7.0,2913.0,51.5,185.3,150.2,185.2,0.0286,0.2286,
1292782896,40.7498004,-73.9796606,food_drink,7.0,442.9,129.4,134.3,346.3,34.8,0.0,0.0064,
1292790745,40.7504996,-73.9791604,food_drink,7.0,3296.2,130.4,131.5,420.7,65.3,0.0,0.0438,
1292790751,40.7504084,-73.9792269,finance,7.0,1026.7,134.5,139.3,410.7,54.6,0.0,0.0362,
1292790756,40.750855,-73.9789037,finance,7.0,3296.2,123.7,107.6,460.4,50.5,0.0,0.0614,
1292794347,40.750301,-73.978632,finance,7.0,2349.3,119.1,171.2,400.4,69.0,0.0067,0.0403,
1292794350,40.7502231,-73.9786924,food_drink,7.0,2349.3,120.1,176.1,391.4,59.8,0.0065,0.0327,
1292794352,40.7506137,-73.9784255,food_drink,7.0,2349.3,125.7,154.5,436.9,36.4,0.0076,0.0458,
1292807648,40.7514625,-73.9784858,retail,7.0,168.1,67.8,104.2,457.6,28.2,0.0,0.125,
1292819650,40.7518527,-73.9775605,food_drink,7.0,578.5,21.5,182.9,427.5,30.5,0.0,0.25,
1297648535,40.7531288,-73.9961373,retail,7.0,848.1,19.2,232.1,290.9,76.1,0.0429,0.1286,
1383905311,40.7664708,-73.9834647,office_professional,7.0,3535.5,107.3,96.7,226.2,52.5,0.11,0.05,
1383909209,40.7660008,-73.9828817,food_drink,7.0,231.4,84.3,163.9,188.3,19.5,0.0968,0.086,
1383909693,40.767389,-73.9814374,food_drink,7.0,2219.0,51.5,198.1,267.2,64.6,0.2683,0.0976,
1383917378,40.7671142,-73.9833679,food_drink,14.0,594.4,100.2,41.2,267.3,111.8,0.1358,0.0617,
1383918588,40.7672715,-73.9827246,finance,7.0,1304.8,48.1,89.5,248.3,98.7,0.2281,0.0877,
1383920650,40.7673868,-73.9826675,retail,7.0,1304.8,35.2,94.7,236.0,86.7,0.2549,0.098,
1383921230,40.7673137,-73.9826753,office_professional,17.5,1304.8,41.9,93.6,244.0,92.5,0.2407,0.0926,
1383924300,40.7669783,-73.9830777,personal_care,7.0,892.0,88.1,69.9,280.3,92.8,0.1375,0.0625,
1383927735,40.7675881,-73.9831167,food_drink,7.0,387.3,61.8,64.6,212.8,102.2,0.2245,0.102,
1383928351,40.7677295,-73.9834926,food_drink,7.0,1574.2,90.0,53.3,201.7,122.7,0.2245,0.0816,
1383929011,40.7678147,-73.9836951,food_drink,7.0,1574.2,107.0,57.2,197.2,120.8,0.2115,0.0769,
1383932922,40.7687711,-73.9853107,health,7.0,5.2,39.3,126.8,190.4,106.0,0.3077,0.0,
1383933476,40.7688846,-73.9852324,retail,7.0,590.7,25.2,113.6,181.0,98.9,0.2903,0.0,
1383934394,40.7675765,-73.984466,retail,7.0,1106.6,80.2,64.7,248.5,68.7,0.1446,0.0241,
1383935410,40.7675105,-73.9829426,food_drink,7.0,1304.8,48.8,74.7,221.0,96.6,0.2553,0.1064,
1383939144,40.7688735,-73.9826023,leisure_entertainment,7.0,1317.0,53.0,151.6,75.6,67.7,0.3171,0.0244,
1383940754,40.7674407,-73.9841161,retail,7.0,136.6,112.0,31.6,248.7,87.5,0.125,0.05,
1383942306,40.7663007,-73.9836656,personal_care,7.0,3535.5,127.0,112.2,205.9,57.6,0.1058,0.0481,
1383942697,40.7676336,-73.9812871,food_drink,7.0,2219.0,29.8,213.6,250.5,55.3,0.2286,0.1143,
1383947223,40.7664982,-73.9870728,finance,7.0,187.7,15.9,224.3,186.1,158.1,0.1366,0.0,
1383949229,40.7663399,-73.9826892,retail,7.0,1914.6,47.9,141.6,229.3,34.8,0.1341,0.0854,
1383950274,40.7663468,-73.9824049,finance,7.0,1914.6,28.9,157.8,240.6,55.9,0.1463,0.0976,
1383954690,40.7649496,-73.979109,food_drink,4.0,1115.8,92.9,143.4,173.1,317.7,0.1169,0.1299,
1383955011,40.7654404,-73.9803003,food_drink,7.0,977.3,15.8,30.2,231.0,229.4,0.1972,0.1549,
1383955419,40.7653848,-73.980359,food_drink,7.0,977.3,20.4,27.6,226.5,222.8,0.1944,0.1528,
1383955759,40.765737,-73.9801162,food_drink,7.0,1277.8,9.3,52.2,259.9,248.2,0.2031,0.1562,
1383956024,40.7655843,-73.979685,finance,7.0,688.9,14.9,81.9,239.2,283.6,0.1528,0.1667,
1383956543,40.7656073,-73.9808744,food_drink,7.0,2008.2,35.2,22.4,264.9,189.8,0.1944,0.1389,
1383956828,40.7671365,-73.9814703,food_drink,7.0,2219.0,67.4,194.8,290.9,88.3,0.3,0.125,
1383956918,40.7659988,-73.9816603,finance,7.0,1308.6,15.5,101.6,248.1,115.1,0.1892,0.1216,
1383956921,40.7651882,-73.9817828,finance,7.0,2612.9,96.6,101.4,187.3,103.3,0.0875,0.1625,
1383958514,40.764238,-73.9843795,health,7.0,2184.9,78.3,211.4,55.6,139.6,0.096,0.04,
1413105218,40.7537134,-73.9914496,retail,7.0,769.9,56.5,297.3,266.4,239.2,0.0,0.0517,
1413108278,40.7537052,-73.9914123,retail,7.0,769.9,59.8,298.9,266.5,239.9,0.0,0.0526,
1426190404,40.7514749,-73.9804635,food_drink,7.0,704.2,14.5,65.3,340.8,165.5,0.0,0.0879,
1426215370,40.7509562,-73.9804514,food_drink,7.0,193.7,49.3,95.7,372.8,151.9,0.0,0.0588,
1426250385,40.7566623,-73.9858678,food_drink,7.0,8.4,104.7,329.6,130.4,213.9,0.0,0.2969,
1426275725,40.7566921,-73.9867194,food_drink,7.0,132.3,71.6,322.9,196.6,246.6,0.0,0.209,
1426276157,40.756593,-73.9867931,retail,7.0,2489.6,60.7,311.8,198.9,240.9,0.0,0.2121,
1426276530,40.7563513,-73.9870948,finance,7.0,2489.6,24.8,285.7,189.1,226.0,0.0,0.1644,
1426311638,40.7556031,-73.987571,food_drink,7.0,2302.5,47.5,211.0,111.0,154.2,0.0,0.1486,
1427212436,40.75218,-73.9795023,food_drink,7.0,227.3,30.8,66.0,341.0,120.8,0.0,0.2581,
1427212491,40.7523353,-73.9793753,food_drink,7.0,227.3,48.7,85.7,335.6,104.8,0.0,0.25,
1427212522,40.7524796,-73.9793029,retail,7.0,961.0,37.7,102.8,328.8,94.7,0.0,0.2388,
1427212548,40.7525447,-73.9792587,food_drink,7.0,961.0,33.4,110.9,326.7,89.8,0.0,0.2462,
1427212583,40.7525995,-73.9792197,finance,7.0,961.0,30.9,117.7,325.2,86.0,0.0,0.25,
1427212633,40.7525762,-73.979134,health,7.0,961.0,23.3,118.1,332.4,79.0,0.0,0.2542,
1427233328,40.7533827,-73.9766738,finance,1.5,10078.3,42.5,322.9,444.3,122.8,0.0,0.3333,
1427233358,40.7532708,-73.9773865,food_drink,3.5,10078.3,3.1,269.2,424.9,64.6,0.0,0.4516,
1427265072,40.7542362,-73.977239,food_drink,7.0,842.8,65.2,358.8,416.1,159.6,0.0,0.2857,
1427265079,40.7539377,-73.9768745,food_drink,7.0,910.0,64.1,352.3,450.1,147.4,0.0,0.3333,
1427265080,40.7543276,-73.9772122,food_drink,7.0,842.8,63.6,368.4,417.8,156.5,0.0,0.2857,
1427265082,40.7543596,-73.9763714,food_drink,7.0,1578.0,124.3,415.5,431.1,97.4,0.0,0.4,
1427265083,40.7538356,-73.9761648,food_drink,7.0,421.8,107.2,387.9,444.1,133.7,0.0606,0.2727,
1427273331,40.7527835,-73.9748802,retail,7.0,702.4,34.0,406.4,285.0,23.8,0.0345,0.1724,
1427273332,40.7529578,-73.9752216,food_drink,7.0,702.4,25.0,406.7,319.3,11.3,0.0364,0.1818,
1427273333,40.7526573,-73.9746261,food_drink,7.0,685.7,55.5,382.3,259.8,49.3,0.0308,0.1692,
1427273334,40.7526594,-73.9744845,hospitality,7.0,685.7,62.4,375.5,251.6,59.2,0.0303,0.1818,
1427273368,40.7523179,-73.9738176,food_drink,7.0,1352.3,129.2,313.0,185.7,100.0,0.0759,0.1772,
1427273465,40.7524384,-73.9747251,retail,7.0,2567.5,74.5,368.4,250.1,62.1,0.0317,0.1429,
1427273513,40.7524627,-73.9751098,food_drink,7.0,2567.5,69.7,391.9,277.7,50.9,0.0351,0.1579,
1427285893,40.7518554,-73.975518,finance,7.0,3639.4,34.2,354.0,277.6,123.7,0.0233,0.2326,
1427285902,40.7520527,-73.9759313,food_drink,7.0,852.0,15.7,322.0,317.9,119.4,0.0238,0.2381,
1427285966,40.7511476,-73.9765152,retail,7.0,2542.5,11.3,273.8,317.4,133.8,0.0,0.1077,
1427285993,40.7509775,-73.9767577,food_drink,10.5,2542.5,18.5,258.2,332.2,116.3,0.0,0.0845,
1427286041,40.7508482,-73.9762726,food_drink,7.0,973.1,24.8,263.7,289.2,107.7,0.0,0.1014,
1427286079,40.750611,-73.9768239,food_drink,7.0,1171.6,41.4,248.4,331.1,119.9,0.0105,0.0632,
1427286094,40.7509934,-73.9773762,retail,7.0,3376.8,69.9,207.9,383.5,66.1,0.0,0.0875,
1427286096,40.7510468,-73.9769024,food_drink,10.5,2542.5,32.7,244.4,345.9,102.8,0.0,0.0833,
1427286256,40.7514335,-73.9777549,retail,7.0,2292.0,21.6,165.7,426.6,37.6,0.0,0.1186,
1427286257,40.7519302,-73.978195,food_drink,7.0,1949.4,45.3,132.4,439.2,27.8,0.0,0.2558,
1427499765,40.7519234,-73.9797222,food_drink,7.0,1129.7,10.5,35.2,351.8,127.5,0.0,0.1857,
1427499791,40.7517125,-73.9799108,food_drink,7.0,1663.6,6.6,20.7,362.5,139.8,0.0,0.141,
1427499828,40.7517125,-73.9803061,food_drink,7.0,431.8,19.6,51.7,341.0,159.9,0.0,0.1125,
1427499830,40.7516376,-73.980881,retail,7.0,704.2,54.0,98.9,301.3,127.8,0.0,0.0989,
1427499831,40.7511837,-73.9806977,food_drink,7.0,1288.6,40.3,95.8,341.2,176.9,0.0,0.0784,
1427499833,40.7510771,-73.9807748,retail,7.0,1288.6,52.9,107.5,343.0,180.2,0.0,0.0594,
1427521090,40.7499023,-73.9831807,food_drink,7.0,406.0,70.0,278.7,158.6,276.6,0.0168,0.0588,
1427521105,40.7502629,-73.983558,finance,7.0,866.0,26.9,234.3,194.1,275.0,0.0075,0.0821,
1427521106,40.7500792,-73.9831088,finance,7.0,1600.5,55.0,276.8,179.2,279.0,0.0168,0.0672,
1427521107,40.7498546,-73.9833154,retail,7.0,406.0,72.2,270.8,151.0,269.6,0.0167,0.0583,
1428036328,40.7528897,-73.9811056,food_drink,7.0,654.9,28.5,184.9,199.0,43.0,0.0,0.2029,
1428036347,40.7532596,-73.9808098,finance,7.0,644.1,19.3,205.8,178.2,39.6,0.0,0.2239,
1428036360,40.753808,-73.9804143,retail,7.0,399.4,70.7,210.8,165.9,79.3,0.0,0.3077,
1428036380,40.7542617,-73.9800487,retail,7.0,1865.5,30.4,196.3,180.3,133.3,0.0,0.3099,
1428036410,40.754972,-73.9800815,finance,7.0,2520.9,10.6,158.4,183.8,192.8,0.0,0.2151,
1428036492,40.7561557,-73.9776613,food_drink,7.0,758.2,86.9,354.5,422.5,217.7,0.0,0.1341,
1428036564,40.7555913,-73.9770542,retail,7.0,4003.2,50.8,409.2,416.4,140.8,0.0,0.1884,
1428036585,40.7554348,-73.977162,retail,14.0,4003.2,31.6,399.3,430.7,142.0,0.0,0.1746,
1428036605,40.7555641,-73.9774674,finance,14.0,3435.7,34.9,374.3,413.6,171.2,0.0,0.1733,
1428036618,40.7552783,-73.977656,retail,7.0,552.1,14.4,357.6,390.1,177.8,0.0,0.194,
1428036640,40.7551081,-73.9778087,retail,7.0,552.1,23.4,345.6,373.6,188.3,0.0,0.2059,
1428036643,40.7547985,-73.9776337,retail,7.0,4098.7,27.1,364.3,383.5,174.5,0.0,0.2364,
1428036650,40.7545385,-73.9840441,food_drink,7.0,12.9,13.2,201.0,158.1,20.2,0.0204,0.2653,
1428185662,40.7499227,-73.9811684,retail,7.0,480.2,26.1,181.7,260.2,139.8,0.0092,0.0275,
1428185672,40.7490233,-73.9822288,food_drink,7.0,560.6,82.6,176.6,131.4,176.9,0.0211,0.0421,
1428427548,40.7538901,-73.9787699,food_drink,7.0,2977.8,55.2,265.9,293.8,125.7,0.0,0.3621,
