location,osm_id,lat,lon,distance_m,label,highway_type,lanes,lot_area_sqft,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,com_ratio,res_ratio,median_income
harlem,11981765092,40.8113098,-73.9462795,37.2,retail,residential,,7500.0,41.2,308.7,147.6,206.5,0.155842683894367,0.844157316105633,
harlem,11982036799,40.8116564,-73.9460305,40.0,retail,primary,2.0,11411.0,8.9,264.8,182.0,244.0,0.157334089052628,0.842665910947372,
harlem,11981765093,40.8112624,-73.9463129,40.7,personal_care,residential,,7500.0,47.1,314.6,143.3,201.6,0.155842683894367,0.844157316105633,
harlem,11981765094,40.8111327,-73.9464042,52.6,food_drink,primary,2.0,7500.0,63.3,331.0,132.1,188.3,0.155842683894367,0.844157316105633,
harlem,11982036805,40.8119396,-73.9458331,67.6,personal_care,residential,,1869.0,39.8,229.2,212.7,229.5,0.1736312073156615,0.8263687926843385,
harlem,11981765082,40.8105639,-73.9468317,118.5,office_professional,primary,2.0,1875.0,24.6,371.4,103.3,139.6,0.0693481276005547,0.9306518723994452,
harlem,11981765081,40.8105048,-73.9468761,125.8,personal_care,primary,2.0,1875.0,17.8,366.7,102.8,135.8,0.0695410292072322,0.9304589707927676,
harlem,6314496485,40.8104354,-73.9469283,134.4,food_drink,primary,2.0,1875.0,10.9,361.3,102.9,131.7,0.0695410292072322,0.9304589707927676,
harlem,11980400028,40.8103591,-73.9469252,142.5,health,primary,2.0,10000.0,13.2,353.5,99.2,124.6,0.1838016134801096,0.8161983865198903,
harlem,11980400027,40.8103162,-73.947018,149.3,food_drink,primary,2.0,10000.0,12.3,352.4,105.0,125.8,0.1838016134801096,0.8161983865198903,
harlem,11980400026,40.8102576,-73.9469818,154.7,retail,residential,,10000.0,19.4,345.2,100.2,118.9,0.1838016134801096,0.8161983865198903,
harlem,11980400025,40.8102571,-73.9470624,156.6,retail,residential,,10000.0,18.4,348.2,106.8,123.5,0.1838016134801096,0.8161983865198903,
harlem,11980400011,40.8096289,-73.947501,234.8,health,residential,,3364.0,63.4,308.9,147.3,124.6,0.1202427739913437,0.8797572260086562,
harlem,13310953021,40.8102044,-73.9441012,254.6,retail,secondary,3.0,885.0,9.4,319.5,146.9,108.0,0.2450980392156862,0.7549019607843137,
harlem,6296851635,40.8102607,-73.9439964,258.0,food_drink,secondary,3.0,1846.0,11.1,328.2,156.6,103.2,0.25,0.75,
harlem,12550855287,40.8096578,-73.9482156,259.8,leisure_entertainment,residential,,12479.0,57.1,279.6,204.8,184.6,1.0,0.0,
harlem,5402622059,40.8108361,-73.9435614,261.5,food_drink,secondary,2.0,4996.0,45.6,332.8,211.2,128.4,0.1387283236994219,0.861271676300578,
harlem,5004045121,40.8139532,-73.9467615,262.6,food_drink,residential,,1799.0,119.4,190.8,131.8,276.5,1.0,0.0,
harlem,12550855288,40.8095106,-73.948298,277.3,retail,primary,4.0,12479.0,46.2,271.0,215.4,190.3,1.0,0.0,
harlem,10742609217,40.8095139,-73.9445738,283.0,food_drink,secondary,2.0,2000.0,46.3,235.0,120.2,123.3,0.25,0.75,
harlem,6296848316,40.8137417,-73.9445114,291.1,health,primary,2.0,4992.0,45.8,0.0,156.4,89.1,0.4652658389048074,0.5347341610951926,
harlem,11940452884,40.8104444,-73.9431569,309.3,retail,secondary,2.0,12971.0,12.7,374.6,229.8,76.1,0.1566308450257858,0.8433691549742142,
harlem,2562438633,40.8092477,-73.9485008,311.1,finance,primary,,12500.0,31.3,253.2,240.8,208.7,1.0,0.0,
harlem,2767531713,40.8139066,-73.9486681,314.8,personal_care,secondary,4.0,14647.0,48.6,350.3,232.2,341.2,1.0,0.0,
harlem,1967406009,40.8109307,-73.9428375,317.1,food_drink,residential,,2500.0,63.9,342.8,271.3,128.4,0.0800284545616219,0.919971545438378,
harlem,6211784452,40.8134547,-73.9436358,317.2,leisure_entertainment,residential,,1249.0,97.0,80.3,125.7,36.2,1.0,0.0,
harlem,5298910428,40.8124665,-73.9500938,317.4,office_professional,residential,,1998.0,59.5,352.2,297.1,144.3,1.0,0.0,
harlem,7554344636,40.8088971,-73.9450332,324.9,food_drink,secondary,2.0,3386.0,8.9,160.9,134.0,105.3,0.292997542997543,0.707002457002457,
harlem,271798914,40.810129,-73.9498627,326.9,leisure_entertainment,residential,,17454.0,88.3,165.0,200.3,74.9,1.0,0.0,
harlem,271807581,40.8088135,-73.9452115,328.3,food_drink,residential,,2787.0,25.9,150.9,132.0,100.1,0.1907668828691339,0.8092331171308661,
harlem,2767552427,40.812132,-73.9426527,329.1,retail,secondary,2.0,3750.0,15.9,237.7,257.1,46.9,0.0576368876080691,0.9423631123919308,
harlem,419367529,40.810011,-73.9431823,330.4,food_drink,residential,,10978.0,52.6,331.5,222.9,32.5,0.1706990705580268,0.8293009294419732,
harlem,271810345,40.8110714,-73.9425988,333.5,food_drink,secondary,2.0,2500.0,88.8,337.7,295.8,121.9,0.2174138109535148,0.7825861890464851,
harlem,271808028,40.8087322,-73.9452922,334.7,food_drink,residential,,4678.0,36.1,142.0,127.9,102.5,0.1473932451781352,0.8526067548218648,
harlem,8270992264,40.8099499,-73.9430899,340.6,leisure_entertainment,residential,,5258.0,61.1,329.8,230.9,22.5,0.1348237709592791,0.8651762290407209,
harlem,2562438634,40.8086893,-73.9451659,342.6,food_drink,residential,,4678.0,31.1,137.1,118.2,113.0,0.1473932451781352,0.8526067548218648,
harlem,6680394972,40.8089411,-73.9486836,348.1,health,primary,,12749.0,21.5,241.4,268.7,214.5,1.0,0.0,
harlem,2767369848,40.8087213,-73.9481474,348.8,retail,primary,4.0,2523.0,42.6,284.2,243.0,195.7,1.0,0.0,
harlem,12887631691,40.8084607,-73.9466527,349.3,retail,primary,4.0,41435.0,59.4,164.8,187.3,122.8,1.0,0.0,
harlem,6680394971,40.808987,-73.9488349,350.8,retail,primary,,12749.0,27.6,228.0,278.0,208.9,1.0,0.0,
harlem,9049424117,40.8098577,-73.9499831,351.4,retail,primary,,7494.0,74.8,141.5,183.5,104.5,1.0,0.0,
harlem,6680394970,40.8090259,-73.9489416,352.4,leisure_entertainment,primary,,22571.0,33.5,218.5,275.9,205.9,1.0,0.0,
harlem,2767369894,40.8091977,-73.9492769,354.9,retail,primary,,7872.0,37.7,188.3,244.4,187.2,1.0,0.0,
harlem,4449731898,40.8142327,-73.9441134,355.0,food_drink,primary,2.0,1879.0,23.0,64.1,105.0,58.5,0.1433938634940513,0.8566061365059486,
harlem,12887631690,40.8084055,-73.9465169,355.2,retail,primary,4.0,,46.7,152.3,187.9,124.2,,,
harlem,1292296493,40.8087066,-73.9482997,355.6,food_drink,primary,2.0,2523.0,36.9,278.5,254.4,208.1,1.0,0.0,
harlem,2767369784,40.8084913,-73.9454233,357.4,leisure_entertainment,residential,,4678.0,33.1,116.4,114.4,119.7,0.1473932451781352,0.8526067548218648,
harlem,6680394969,40.809035,-73.9490688,357.9,leisure_entertainment,primary,,22571.0,36.3,207.7,265.3,199.7,1.0,0.0,
harlem,6296852085,40.8145607,-73.9481969,358.9,food_drink,secondary,4.0,2683.0,49.3,323.3,184.1,302.3,0.289210233592881,0.710789766407119,
harlem,5406266154,40.8092396,-73.9494538,361.5,retail,primary,,9768.0,50.8,173.1,228.9,178.6,1.0,0.0,
harlem,12887631689,40.8083439,-73.9463436,362.3,retail,primary,4.0,,31.7,137.1,171.8,126.9,,,
harlem,9049400016,40.8099674,-73.9502326,362.8,retail,primary,,9992.0,54.0,129.2,165.4,94.9,1.0,0.0,
harlem,271823346,40.8142704,-73.9440239,362.8,leisure_entertainment,primary,2.0,3746.0,31.6,71.7,96.8,50.0,0.15,0.85,
harlem,2767369937,40.809347,-73.9496298,363.5,retail,primary,,5046.0,64.9,158.1,212.5,163.8,1.0,0.0,
harlem,8827329058,40.8083727,-73.9473479,365.9,retail,primary,4.0,20183.0,36.0,206.6,223.9,163.8,1.0,0.0,
harlem,5420936939,40.8084179,-73.947616,366.1,leisure_entertainment,primary,4.0,5046.0,18.8,228.8,233.6,176.4,1.0,0.0,
harlem,9049400015,40.810012,-73.9503144,366.4,retail,primary,,9992.0,48.2,126.5,160.2,92.0,1.0,0.0,
harlem,12887631688,40.8082993,-73.9462173,367.8,retail,primary,4.0,,21.7,126.2,160.1,130.1,,,
harlem,4231923696,40.8086285,-73.9445189,370.1,food_drink,secondary,2.0,2805.0,45.9,142.8,94.8,157.9,0.1996007984031936,0.8003992015968064,
harlem,6680394967,40.8094281,-73.9498531,371.4,retail,primary,,5046.0,84.4,139.8,192.8,152.6,1.0,0.0,
harlem,9049400014,40.8100567,-73.9504391,373.3,food_drink,primary,,9992.0,39.9,121.6,151.8,91.3,1.0,0.0,
harlem,8333828578,40.808729,-73.9488499,375.5,food_drink,primary,2.0,12749.0,10.1,233.2,292.2,188.4,1.0,0.0,
harlem,271813871,40.8147182,-73.9482587,377.0,retail,secondary,4.0,5308.0,55.8,333.5,185.1,284.1,1.0,0.0,
harlem,2883793012,40.8081849,-73.9459886,382.2,retail,primary,4.0,,12.0,104.0,137.6,142.0,,,
harlem,2767369945,40.8096064,-73.9502428,385.2,leisure_entertainment,primary,,5005.0,62.3,111.1,159.2,134.4,1.0,0.0,
harlem,8019763087,40.810819,-73.9509742,386.4,food_drink,residential,,19983.0,43.7,172.5,167.9,40.5,1.0,0.0,
