location,osm_id,name,lat,lon,label,distance_m,lot_area_sqft,highway_type,lanes,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,res_ratio,com_ratio,median_income
harlem,11981765092,Clayton Deli,40.8113098,-73.9462795,retail,37.2,7500.0,residential,,41.2,308.7,147.6,206.5,0.844157316105633,0.155842683894367,
harlem,11982036799,Top Choice 99¢ Plus,40.8116564,-73.9460305,retail,40.0,11411.0,primary,2.0,8.9,264.8,182.0,244.0,0.842665910947372,0.157334089052628,
harlem,11981765093,Ms. Bubble,40.8112624,-73.9463129,personal_care,40.7,7500.0,residential,,47.1,314.6,143.3,201.6,0.844157316105633,0.155842683894367,
harlem,11981765094,Harlem Breakfast Club,40.8111327,-73.9464042,food_drink,52.6,7500.0,primary,3.0,63.3,331.0,132.1,188.3,0.844157316105633,0.155842683894367,
harlem,11982036805,Perfect Grace Beauty Bar,40.8119396,-73.9458331,personal_care,67.6,1869.0,residential,,39.8,229.2,212.7,229.5,0.8263687926843385,0.1736312073156615,
harlem,11981765082,Tax DRx,40.8105639,-73.9468317,office_professional,118.5,1875.0,primary,2.0,24.6,371.4,103.3,139.6,0.9306518723994452,0.0693481276005547,
harlem,11981765081,Shiny Nail Spa,40.8105048,-73.9468761,personal_care,125.8,1875.0,primary,2.0,17.8,366.7,102.8,135.8,0.9304589707927676,0.0695410292072322,
harlem,6314496485,Tropical Grill,40.8104354,-73.9469283,food_drink,134.4,1875.0,primary,2.0,10.9,361.3,102.9,131.7,0.9304589707927676,0.0695410292072322,
harlem,11980400028,Heart of Harlem,40.8103591,-73.9469252,health,142.5,10000.0,primary,2.0,13.2,353.5,99.2,124.6,0.8161983865198903,0.1838016134801096,
harlem,11980400027,Jerk House Caribbean,40.8103162,-73.947018,food_drink,149.3,10000.0,primary,2.0,12.3,352.4,105.0,125.8,0.8161983865198903,0.1838016134801096,
harlem,11980400026,Marseille Fashion,40.8102576,-73.9469818,retail,154.7,10000.0,residential,,19.4,345.2,100.2,118.9,0.8161983865198903,0.1838016134801096,
harlem,11980400025,A&S Deli,40.8102571,-73.9470624,retail,156.6,10000.0,residential,,18.4,348.2,106.8,123.5,0.8161983865198903,0.1838016134801096,
harlem,11980400011,Dermatology Specialists,40.8096289,-73.947501,health,234.8,3364.0,residential,,63.4,308.9,147.3,124.6,0.8797572260086562,0.1202427739913437,
harlem,13310953021,Modify preloved fashion,40.8102044,-73.9441012,retail,254.6,885.0,secondary,3.0,9.4,319.5,146.9,108.0,0.7549019607843137,0.2450980392156862,
harlem,6296851635,Jacob Restaurant,40.8102607,-73.9439964,food_drink,258.0,1846.0,secondary,3.0,11.1,328.2,156.6,103.2,0.75,0.25,
harlem,12550855287,Alhambra Ballroom,40.8096578,-73.9482156,leisure_entertainment,259.8,12479.0,residential,,57.1,279.6,204.8,184.6,0.0,1.0,
harlem,5402622059,Sushi Inoue,40.8108361,-73.9435614,food_drink,261.5,4996.0,secondary,2.0,45.6,332.8,211.2,128.4,0.861271676300578,0.1387283236994219,
harlem,5004045121,American Legion Post 398,40.8139532,-73.9467615,food_drink,262.6,1799.0,residential,,119.4,190.8,131.8,276.5,0.0,1.0,
harlem,12550855288,Shop Fair,40.8095106,-73.948298,retail,277.3,12479.0,primary,4.0,46.2,271.0,215.4,190.3,0.0,1.0,
harlem,10742609217,Uptown Veg 2,40.8095139,-73.9445738,food_drink,283.0,2000.0,secondary,2.0,46.3,235.0,120.2,123.3,0.75,0.25,
harlem,6296848316,Doctors Medical Group,40.8137417,-73.9445114,health,291.1,4992.0,primary,3.0,45.8,0.0,156.4,89.1,0.5347341610951926,0.4652658389048074,
harlem,11940452884,Pioneer Supermarket,40.8104444,-73.9431569,retail,309.3,12971.0,secondary,2.0,12.7,374.6,229.8,76.1,0.8433691549742142,0.1566308450257858,
harlem,2562438633,Citibank,40.8092477,-73.9485008,finance,311.1,12500.0,primary,,31.3,253.2,240.8,208.7,0.0,1.0,
harlem,2767531713,New Betty Brite Cleaners,40.8139066,-73.9486681,personal_care,314.8,14647.0,secondary,4.0,48.6,350.3,232.2,341.2,0.0,1.0,
harlem,1967406009,Astor Row Cafe,40.8109307,-73.9428375,food_drink,317.1,2500.0,residential,,63.9,342.8,271.3,128.4,0.919971545438378,0.0800284545616219,
harlem,6211784452,Bill's Place,40.8134547,-73.9436358,leisure_entertainment,317.2,1249.0,residential,,97.0,80.3,125.7,36.2,0.0,1.0,
harlem,5298910428,Harlem Mothers S.A.V.E.,40.8124665,-73.9500938,office_professional,317.4,1998.0,residential,,59.5,352.2,297.1,144.3,0.0,1.0,
harlem,7554344636,Babbalucci,40.8088971,-73.9450332,food_drink,324.9,3386.0,secondary,2.0,8.9,160.9,134.0,105.3,0.707002457002457,0.292997542997543,
harlem,271798914,Apollo Theater,40.810129,-73.9498627,leisure_entertainment,326.9,17454.0,residential,,88.3,165.0,200.3,74.9,0.0,1.0,
harlem,271807581,Cove Lounge,40.8088135,-73.9452115,food_drink,328.3,2787.0,residential,,25.9,150.9,132.0,100.1,0.8092331171308661,0.1907668828691339,
harlem,2767552427,Revolution Books,40.812132,-73.9426527,retail,329.1,3750.0,secondary,2.0,15.9,237.7,257.1,46.9,0.9423631123919308,0.0576368876080691,
harlem,419367529,Lenox Coffee,40.810011,-73.9431823,food_drink,330.4,10978.0,residential,,52.6,331.5,222.9,32.5,0.8293009294419732,0.1706990705580268,
harlem,271810345,African and American Best Food,40.8110714,-73.9425988,food_drink,333.5,2500.0,secondary,2.0,88.8,337.7,295.8,121.9,0.7825861890464851,0.2174138109535148,
harlem,271808028,,40.8087322,-73.9452922,food_drink,334.7,4678.0,residential,,36.1,142.0,127.9,102.5,0.8526067548218648,0.1473932451781352,
harlem,8270992264,National Jazz Museum in Harlem,40.8099499,-73.9430899,leisure_entertainment,340.6,5258.0,residential,,61.1,329.8,230.9,22.5,0.8651762290407209,0.1348237709592791,
harlem,2562438634,Corner Social,40.8086893,-73.9451659,food_drink,342.6,4678.0,residential,,31.1,137.1,118.2,113.0,0.8526067548218648,0.1473932451781352,
harlem,6680394972,Kennedy Chicken,40.8089411,-73.9486836,health,348.1,12749.0,primary,,21.5,241.4,268.7,214.5,0.0,1.0,
harlem,2767369848,Verizon,40.8087213,-73.9481474,retail,348.8,2523.0,primary,4.0,42.6,284.2,243.0,195.7,0.0,1.0,
harlem,12887631691,Target,40.8084607,-73.9466527,retail,349.3,41435.0,primary,4.0,59.4,164.8,187.3,122.8,0.0,1.0,
harlem,6680394971,MAC,40.808987,-73.9488349,retail,350.8,12749.0,primary,,27.6,228.0,278.0,208.9,0.0,1.0,
harlem,9049424117,GameStop,40.8098577,-73.9499831,retail,351.4,7494.0,primary,,74.8,141.5,183.5,104.5,0.0,1.0,
harlem,6680394970,Champs Sports,40.8090259,-73.9489416,leisure_entertainment,352.4,22571.0,primary,,33.5,218.5,275.9,205.9,0.0,1.0,
harlem,2767369894,Ashley HomeStore,40.8091977,-73.9492769,retail,354.9,7872.0,primary,,37.7,188.3,244.4,187.2,0.0,1.0,
harlem,4449731898,Yatenga French Bistro,40.8142327,-73.9441134,food_drink,355.0,1879.0,primary,2.0,23.0,64.1,105.0,58.5,0.8566061365059486,0.1433938634940513,
harlem,12887631690,Trader Joe's,40.8084055,-73.9465169,retail,355.2,,primary,4.0,46.7,152.3,187.9,124.2,,,
harlem,1292296493,,40.8087066,-73.9482997,food_drink,355.6,2523.0,primary,3.0,36.9,278.5,254.4,208.1,0.0,1.0,
harlem,2767369784,Planet Fitness,40.8084913,-73.9454233,leisure_entertainment,357.4,4678.0,residential,,33.1,116.4,114.4,119.7,0.8526067548218648,0.1473932451781352,
harlem,6680394969,Planet Fitness,40.809035,-73.9490688,leisure_entertainment,357.9,22571.0,primary,,36.3,207.7,265.3,199.7,0.0,1.0,
harlem,6296852085,Charles Country Pan Fried Chicken,40.8145607,-73.9481969,food_drink,358.9,2683.0,secondary,4.0,49.3,323.3,184.1,302.3,0.710789766407119,0.289210233592881,
harlem,5406266154,Kiss,40.8092396,-73.9494538,retail,361.5,9768.0,primary,,50.8,173.1,228.9,178.6,0.0,1.0,
harlem,12887631689,Pandora,40.8083439,-73.9463436,retail,362.3,,primary,4.0,31.7,137.1,171.8,126.9,,,
harlem,9049400016,Blick Art Materials,40.8099674,-73.9502326,retail,362.8,9992.0,primary,,54.0,129.2,165.4,94.9,0.0,1.0,
