location,osm_id,lat,lon,distance_m,label,highway_type,lanes,lot_area_sqft,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,com_ratio,res_ratio,median_income
lower__east_side,7674034588,40.7160465,-73.9864464,40.5,health,primary,2.0,36905.0,27.9,146.8,284.8,36.8,0.0674888888888888,0.9325111111111112,
lower__east_side,6566728985,40.7161587,-73.9867257,62.4,retail,residential,1.0,45083.0,26.1,148.8,258.2,21.6,0.2946114392712733,0.7053885607287266,
lower__east_side,4646776164,40.7161435,-73.9867797,63.8,retail,primary,2.0,45083.0,21.7,152.9,255.0,17.7,0.2946114392712733,0.7053885607287266,
lower__east_side,7674034587,40.7158089,-73.987045,63.9,finance,primary,1.0,15485.0,31.5,196.0,256.4,25.8,,,
lower__east_side,13746155619,40.7157459,-73.9871127,68.7,retail,residential,,15485.0,38.6,205.1,256.4,34.8,,,
lower__east_side,13746155620,40.7163202,-73.9863289,69.0,retail,residential,1.0,36905.0,56.8,115.3,274.8,58.2,0.0674888888888888,0.9325111111111112,
lower__east_side,2826581769,40.7155895,-73.9871819,75.3,retail,residential,,293600.0,56.6,222.5,263.6,52.7,0.0831498984240364,0.9168501015759636,
lower__east_side,7499270169,40.7162349,-73.986906,78.4,health,primary,2.0,15485.0,13.8,152.2,240.8,25.8,,,
lower__east_side,13063730288,40.7154586,-73.9872286,82.7,food_drink,residential,,293600.0,71.6,236.8,254.2,67.4,0.0831498984240364,0.9168501015759636,
lower__east_side,13709739699,40.7154338,-73.9872385,84.5,retail,residential,,293600.0,74.5,239.5,251.9,70.2,0.0831498984240364,0.9168501015759636,
lower__east_side,13709755890,40.7154378,-73.9873711,94.9,finance,residential,,293600.0,77.0,245.6,257.0,75.4,0.0831498984240364,0.9168501015759636,
lower__east_side,2826581784,40.7159851,-73.9874254,100.0,food_drink,primary,1.0,8642.0,32.2,202.9,219.1,46.0,0.0606589073814307,0.9393410926185692,
lower__east_side,2826581783,40.7160067,-73.9874972,106.5,food_drink,primary,1.0,8642.0,37.2,205.8,212.9,52.0,0.0606589073814307,0.9393410926185692,
lower__east_side,5604044815,40.7163717,-73.9875854,131.6,food_drink,residential,,8642.0,52.0,188.1,183.4,72.2,0.0606589073814307,0.9393410926185692,
lower__east_side,9224791783,40.7163988,-73.987669,139.1,food_drink,primary,3.0,8642.0,59.7,192.8,175.8,79.7,0.0606589073814307,0.9393410926185692,
lower__east_side,9371206973,40.7168549,-73.9856403,139.9,food_drink,residential,,20960.0,130.3,41.0,191.7,63.3,0.4657487825694061,0.5342512174305939,
lower__east_side,7674034589,40.716963,-73.986048,142.0,finance,residential,1.0,20960.0,122.2,43.9,208.7,58.5,0.4657487825694061,0.5342512174305939,
lower__east_side,12452501401,40.7170539,-73.9863415,150.6,leisure_entertainment,residential,,40690.0,115.4,60.7,223.0,39.0,0.5112919951701115,0.4887080048298884,
lower__east_side,8333740848,40.7143271,-73.9854388,169.0,food_drink,residential,1.0,2185.0,121.7,238.8,120.2,29.9,0.1657005631003643,0.8342994368996356,
lower__east_side,9371206974,40.7172232,-73.9856565,177.8,health,residential,,20960.0,131.6,0.0,164.9,79.2,0.4657487825694061,0.5342512174305939,
lower__east_side,12485270471,40.7141956,-73.9870365,178.4,food_drink,residential,1.0,4282.0,140.6,131.1,124.9,146.1,0.1877141114083251,0.8122858885916748,
lower__east_side,2826571503,40.7141721,-73.987061,181.6,food_drink,residential,1.0,4282.0,137.7,127.8,124.4,145.4,0.1877141114083251,0.8122858885916748,
lower__east_side,7674034887,40.7141697,-73.9873017,190.0,retail,residential,1.0,2115.0,135.5,118.4,138.8,127.8,0.1974528581301214,0.8025471418698785,
lower__east_side,12485270472,40.7140743,-73.9870467,191.4,food_drink,residential,1.0,4282.0,127.2,119.3,115.8,151.7,0.1877141114083251,0.8122858885916748,
lower__east_side,2841380838,40.7144781,-73.9879052,191.7,office_professional,secondary,2.0,2231.0,176.4,143.8,199.8,66.6,0.2281936447003625,0.7718063552996375,
lower__east_side,12485270401,40.7141626,-73.9873874,194.0,food_drink,secondary,2.0,2100.0,134.8,115.1,143.9,122.1,0.3343949044585987,0.6656050955414012,
lower__east_side,13746155618,40.7140377,-73.9870218,194.6,food_drink,residential,1.0,4282.0,123.7,117.1,111.4,155.5,0.1877141114083251,0.8122858885916748,
lower__east_side,8333740849,40.7141554,-73.9874744,198.2,food_drink,secondary,2.0,2100.0,134.4,112.1,149.2,116.5,0.6245893946503989,0.3754106053496011,
lower__east_side,12485270422,40.7140454,-73.9872559,200.8,food_drink,residential,1.0,2115.0,121.8,107.5,127.1,138.5,0.1974528581301214,0.8025471418698785,
lower__east_side,2826581781,40.7163413,-73.9885359,201.5,food_drink,secondary,,19484.0,20.2,261.7,124.6,73.4,0.0,1.0,
lower__east_side,12485263600,40.7141483,-73.9875607,202.6,food_drink,secondary,2.0,2100.0,134.4,109.6,154.6,111.1,0.2179044852006537,0.7820955147993462,
lower__east_side,12485270413,40.7140021,-73.9872497,205.1,personal_care,residential,1.0,2115.0,117.1,103.5,123.8,141.8,0.1974528581301214,0.8025471418698785,
lower__east_side,2567566950,40.7152783,-73.9838931,208.2,leisure_entertainment,primary,2.0,23921.0,53.5,262.4,281.2,46.9,1.0,0.0,
lower__east_side,12485270473,40.7138988,-73.9870212,209.3,health,residential,1.0,2040.0,108.6,105.1,101.5,164.1,0.1821493624772313,0.8178506375227687,
lower__east_side,13062290352,40.7176003,-73.9863546,211.4,leisure_entertainment,primary,3.0,40690.0,62.4,72.2,198.2,87.9,0.5112919951701115,0.4887080048298884,
lower__east_side,12485270412,40.7138918,-73.9872338,215.9,personal_care,residential,1.0,2107.0,104.9,93.6,115.9,150.4,0.1793882859449277,0.8206117140550722,
lower__east_side,2622180738,40.7163894,-73.9887152,217.5,food_drink,secondary,,1151.0,7.5,269.6,111.4,68.6,0.3290555155010815,0.6709444844989185,
lower__east_side,12485270411,40.7138528,-73.9872283,219.8,personal_care,residential,1.0,2107.0,100.7,90.3,113.3,153.6,0.1793882859449277,0.8206117140550722,
lower__east_side,368043384,40.715245,-73.9837408,221.5,leisure_entertainment,primary,2.0,23921.0,66.3,272.9,287.0,35.6,1.0,0.0,
lower__east_side,2826581777,40.7164072,-73.9887865,223.8,food_drink,secondary,,1151.0,7.8,271.3,106.5,67.5,0.3290555155010815,0.6709444844989185,
lower__east_side,2826571506,40.7137458,-73.9869989,225.1,retail,residential,1.0,2040.0,92.8,94.3,90.7,167.8,0.1821493624772313,0.8178506375227687,
lower__east_side,278256449,40.7147762,-73.9839215,225.2,finance,secondary,1.0,18700.0,71.3,308.9,239.7,22.5,1.0,0.0,
lower__east_side,12485270474,40.7137243,-73.9869971,227.4,retail,residential,,2040.0,90.6,92.9,89.4,168.4,0.1821493624772313,0.8178506375227687,
lower__east_side,2826571507,40.7137206,-73.9872093,233.1,retail,residential,,2107.0,86.2,79.7,105.4,163.6,0.1793882859449277,0.8206117140550722,
lower__east_side,9374707264,40.7175692,-73.9879462,249.9,food_drink,primary,1.0,43206.0,56.7,126.0,124.4,67.5,0.5290719617218911,0.4709280382781089,
lower__east_side,3117106008,40.7153696,-73.9892524,251.5,retail,residential,,43875.0,106.2,270.5,204.0,6.6,1.0,0.0,
lower__east_side,9374707263,40.7176123,-73.9879262,253.0,personal_care,primary,1.0,43206.0,56.4,121.4,127.1,72.3,0.5290719617218911,0.4709280382781089,
lower__east_side,9374707265,40.7175729,-73.9880757,256.5,food_drink,residential,,43206.0,46.8,133.4,113.8,61.1,0.5290719617218911,0.4709280382781089,
