location,osm_id,name,lat,lon,label,distance_m,lot_area_sqft,highway_type,lanes,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,res_ratio,com_ratio,median_income
lower_east_side,248757328,Sushi On Jones,40.7217454,-73.9903154,food_drink,29.4,2112.0,residential,,117.8,339.3,238.8,174.9,0.4914004914004914,0.5085995085995086,
lower_east_side,9630440540,Bowery Showroom,40.7218988,-73.9902703,retail,32.5,1183.0,residential,1.0,113.5,353.2,255.3,165.3,0.568892955169259,0.4311070448307411,
lower_east_side,9630440539,Rogue,40.7219194,-73.9903378,retail,38.4,2112.0,residential,1.0,119.3,353.7,254.4,159.6,0.4914004914004914,0.5085995085995086,
lower_east_side,12022102856,JJ Murphy Gallery,40.7219332,-73.9903883,leisure_entertainment,42.8,2112.0,residential,1.0,123.7,349.5,253.6,155.5,0.4914004914004914,0.5085995085995086,
lower_east_side,2554956143,Powers Lowenfels Gallery,40.7219487,-73.990434,leisure_entertainment,47.0,2112.0,residential,1.0,127.6,345.4,253.3,151.5,0.4914004914004914,0.5085995085995086,
lower_east_side,6236943855,Ms. Yoo,40.7211839,-73.9896938,food_drink,63.5,2200.0,primary,2.0,98.9,261.1,227.8,205.1,0.80004373018476,0.1999562698152399,
lower_east_side,13540964638,Cherry Bomb,40.7222953,-73.9899612,personal_care,64.4,980.0,residential,,88.0,354.3,306.5,138.0,,,
lower_east_side,4947115422,Spaghetti Incident,40.7223365,-73.9899431,food_drink,69.0,980.0,residential,,84.8,353.2,311.2,133.2,,,
lower_east_side,7097867537,Huan's Dry Cleaner,40.7211185,-73.9897032,personal_care,70.1,2200.0,primary,2.0,105.0,254.7,222.8,202.7,0.8571308159136884,0.1428691840863115,
lower_east_side,6236943854,Copper & Oak,40.7210247,-73.9897308,food_drink,79.4,3300.0,primary,2.0,114.7,246.0,214.8,198.4,0.865,0.135,
lower_east_side,2244694465,bOb Bar,40.7224339,-73.9899014,food_drink,80.0,3725.0,residential,,78.1,350.7,322.3,121.9,0.8661311914323963,0.1338688085676037,
