location,osm_id,lat,lon,distance_m,label,highway_type,lanes,lot_area_sqft,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,com_ratio,res_ratio,median_income
upper__east_side,5266894492,40.7730219,-73.9567701,57.8,personal_care,residential,1.0,2724.0,102.9,205.7,98.4,542.6,0.0672268907563025,0.9327731092436976,
upper__east_side,10572070781,40.7730324,-73.9568099,58.2,personal_care,residential,1.0,2724.0,99.4,205.5,96.6,542.3,0.0672268907563025,0.9327731092436976,
upper__east_side,9847048468,40.7734524,-73.9557735,61.4,food_drink,secondary,2.0,5108.0,39.4,153.1,194.5,480.0,0.2966778264228689,0.7033221735771311,
upper__east_side,9173426747,40.77401,-73.9572092,82.4,finance,secondary,2.0,8684.0,17.2,127.6,175.7,450.2,0.0563941848776408,0.9436058151223592,
upper__east_side,5266889691,40.772875,-73.9558334,89.3,food_drink,residential,1.0,3410.0,43.8,215.9,162.3,544.4,0.1977907150320943,0.8022092849679057,
upper__east_side,2623014572,40.7743532,-73.9569702,102.8,finance,secondary,2.0,21473.0,17.6,87.7,217.7,407.2,0.0272755478123305,0.9727244521876696,
upper__east_side,2623014696,40.7743561,-73.9569681,103.0,finance,secondary,2.0,21473.0,17.3,87.4,218.0,406.9,0.0272755478123305,0.9727244521876696,
upper__east_side,2977408620,40.7733511,-73.9577457,106.2,retail,primary,4.0,12089.0,31.7,202.0,97.9,535.4,0.0398472143950908,0.9601527856049092,
upper__east_side,11728018662,40.7725732,-73.9570578,113.3,personal_care,residential,1.0,2554.0,99.5,260.5,54.1,597.1,0.1428571428571428,0.8571428571428571,
upper__east_side,9559467211,40.7725552,-73.957013,113.6,food_drink,residential,1.0,2554.0,103.7,261.3,57.4,598.0,0.1428571428571428,0.8571428571428571,
upper__east_side,5266894493,40.7725833,-73.9558526,115.6,food_drink,primary,4.0,3028.0,67.5,248.0,154.9,576.8,0.1818648856922681,0.8181351143077318,
upper__east_side,5266898172,40.774115,-73.9576435,118.1,retail,primary,4.0,2550.0,47.2,132.6,182.7,455.2,0.1498913287866297,0.8501086712133703,
upper__east_side,5625653719,40.7739526,-73.9577773,118.7,retail,primary,4.0,2550.0,65.2,140.8,164.8,476.5,0.1498913287866297,0.8501086712133703,
upper__east_side,7041755297,40.7738405,-73.9578436,119.3,food_drink,primary,4.0,2550.0,72.6,149.0,152.7,490.1,0.2657788719785138,0.7342211280214861,
upper__east_side,2723965261,40.7737711,-73.9578856,120.5,food_drink,residential,1.0,2567.0,71.8,154.4,145.4,498.6,0.2965010963866908,0.7034989036133091,
upper__east_side,8630401986,40.7731721,-73.9578638,120.5,retail,primary,4.0,9705.0,11.1,217.4,79.3,557.7,0.0377515194986598,0.9622484805013402,
