cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,shop_type_entropy,brand_ratio
r0011_c0018,40.7017918,-74.0136772,Open Space,3,10800.0,0.0412,1.0,1951.0,0.0,5,-0.0,311.11,88.89,1.0,0.0
r0012_c0018,40.7031431,-74.0136772,Commercial,5,8844.44,0.0201,24.5,1928.0,2156916.0,5,0.3273,355.56,88.89,1.0,0.0
r0012_c0019,40.7031431,-74.0118928,Commercial,18,2177.78,0.3061,10.5,1892.0,1429573.0,18,1.4647,177.78,355.56,3.0,0.0
r0012_c0020,40.7031431,-74.0101084,Residential,11,4755.56,0.0841,8.5,1918.0,1224464.0,11,1.702,177.78,222.22,2.3219,0.2
r0012_c0021,40.7031431,-74.008324,Commercial,3,2977.78,0.0,31.3,1957.0,4576322.0,3,0.2989,88.89,0.0,0.0,0.0
r0013_c0018,40.7044945,-74.0136772,Institutional,3,3688.89,0.0241,10.0,1897.0,527145.0,2,1.337,400.0,133.33,1.585,0.6667
r0013_c0019,40.7044945,-74.0118928,Commercial,18,2088.89,0.3191,15.8,1930.0,3921143.0,17,0.4807,133.33,266.67,2.585,0.1667
r0013_c0020,40.7044945,-74.0101084,Commercial,23,5466.67,0.2114,8.7,1889.0,1789879.0,23,1.7499,44.44,400.0,2.4194,0.0
r0013_c0021,40.7044945,-74.008324,Mixed-Use,8,4844.44,0.0734,18.3,1946.0,2160790.0,9,1.468,222.22,133.33,0.9183,0.0
r0013_c0022,40.7044945,-74.0065396,Commercial,5,7155.56,0.0311,23.8,1951.0,1948095.0,5,0.2602,177.78,44.44,-0.0,0.0
r0014_c0016,40.7058458,-74.017246,Mixed-Use,3,16177.78,0.0055,27.0,2006.0,1002722.0,3,0.8362,355.56,44.44,-0.0,0.0
r0014_c0017,40.7058458,-74.0154616,Mixed-Use,4,4444.44,0.0,28.5,1928.0,1911045.0,6,1.1196,88.89,88.89,-0.0,0.0
r0014_c0018,40.7058458,-74.0136772,Commercial,5,2444.44,0.0545,29.2,1911.0,2868112.0,5,-0.0,133.33,133.33,1.585,0.0
r0014_c0019,40.7058458,-74.0118928,Commercial,11,2222.22,0.22,25.4,1936.0,3482818.0,11,0.7394,0.0,266.67,1.7925,0.1667
r0014_c0020,40.7058458,-74.0101084,Mixed-Use,8,1155.56,0.2308,29.1,1932.0,2782004.0,8,1.5122,88.89,355.56,2.75,0.375
r0014_c0021,40.7058458,-74.008324,Commercial,9,1644.44,0.5676,29.2,1926.0,4108291.0,9,1.3682,266.67,88.89,1.0,0.0
r0014_c0022,40.7058458,-74.0065396,Commercial,7,2711.11,0.0984,28.6,1978.0,4147709.0,7,0.6697,311.11,577.78,3.3927,0.2308
r0014_c0023,40.7058458,-74.0047552,Commercial,15,5644.44,0.0394,21.0,1959.0,2096744.0,13,1.5734,444.44,44.44,-0.0,0.0
r0015_c0016,40.7071972,-74.017246,Mixed-Use,4,8177.78,0.0,23.3,1997.0,890445.0,3,1.0791,44.44,44.44,-0.0,0.0
r0015_c0018,40.7071972,-74.0136772,Commercial,11,2577.78,0.1552,17.3,1952.0,1715784.0,12,0.8879,44.44,222.22,1.371,0.2
r0015_c0019,40.7071972,-74.0118928,Commercial,6,1422.22,0.2188,28.3,1922.0,2391379.0,7,1.5528,88.89,222.22,2.3219,0.4
r0015_c0020,40.7071972,-74.0101084,Commercial,7,1644.44,0.0811,30.5,1910.0,3593913.0,7,1.3432,266.67,311.11,2.5216,0.2857
r0015_c0021,40.7071972,-74.008324,Commercial,12,3822.22,0.1977,18.2,1914.0,3716528.0,12,0.936,266.67,177.78,2.0,0.0
r0015_c0022,40.7071972,-74.0065396,Residential,13,2888.89,0.2615,24.5,1974.0,2917086.0,14,1.5642,222.22,88.89,1.0,0.0
r0015_c0023,40.7071972,-74.0047552,Commercial,8,3333.33,0.0667,21.0,1951.0,2074154.0,8,1.7979,88.89,266.67,1.9183,0.1667
r0015_c0024,40.7071972,-74.0029708,Mixed-Use,26,2844.44,0.2188,4.8,1904.0,497864.0,36,2.0823,88.89,533.33,2.8554,0.1667
r0015_c0025,40.7071972,-74.0011864,Mixed-Use,16,3377.78,0.1316,4.5,1842.0,133168.0,19,1.2438,222.22,88.89,1.0,0.0
r0016_c0016,40.7085485,-74.017246,Mixed-Use,6,6177.78,0.0144,19.4,1987.0,1172710.0,6,-0.0,88.89,88.89,1.0,0.0
