cell_id,cell_lat,cell_lon,zone_type,cell_building_count
r0004_c0596,48.1253076,2.6731869,residential,5
r0004_c0597,48.1253076,2.6752388,residential,3
r0004_c0606,48.1253076,2.6937063,residential,13
r0006_c0521,48.1280103,2.5192914,residential,8
r0006_c0522,48.1280103,2.5213434,residential,3
r0006_c0601,48.1280103,2.6834466,residential,4
r0007_c0521,48.1293617,2.5192914,residential,3
r0007_c0594,48.1293617,2.669083,residential,7
r0007_c0595,48.1293617,2.6711349,residential,3
r0007_c0596,48.1293617,2.6731869,residential,5
r0007_c0597,48.1293617,2.6752388,residential,8
r0007_c0598,48.1293617,2.6772907,residential,5
r0007_c0601,48.1293617,2.6834466,residential,4
r0008_c0521,48.130713,2.5192914,residential,4
r0008_c0595,48.130713,2.6711349,residential,11
r0008_c0600,48.130713,2.6813946,commercial,6
r0008_c0601,48.130713,2.6834466,commercial,6
r0008_c0603,48.130713,2.6875504,residential,3
r0009_c0501,48.1320644,2.4782527,residential,5
r0009_c0522,48.1320644,2.5213434,residential,3
r0009_c0604,48.1320644,2.6896024,residential,5
r0010_c0501,48.1334157,2.4782527,residential,11
r0010_c0521,48.1334157,2.5192914,residential,10
r0010_c0522,48.1334157,2.5213434,residential,8
r0010_c0605,48.1334157,2.6916543,industrial,4
r0011_c0499,48.1347671,2.4741488,commercial,4
r0011_c0500,48.1347671,2.4762007,residential,23
r0011_c0501,48.1347671,2.4782527,residential,13
r0011_c0521,48.1347671,2.5192914,residential,12
r0011_c0522,48.1347671,2.5213434,residential,14
r0011_c0604,48.1347671,2.6896024,residential,5
r0011_c0605,48.1347671,2.6916543,industrial,10
r0012_c0498,48.1361184,2.4720969,industrial,3
r0012_c0499,48.1361184,2.4741488,residential,28
r0012_c0500,48.1361184,2.4762007,residential,71
r0012_c0501,48.1361184,2.4782527,commercial,13
r0012_c0505,48.1361184,2.4864604,residential,4
r0012_c0523,48.1361184,2.5233953,residential,5
r0012_c0605,48.1361184,2.6916543,residential,12
r0012_c0606,48.1361184,2.6937063,residential,4
r0013_c0499,48.1374698,2.4741488,commercial,8
r0013_c0500,48.1374698,2.4762007,residential,79
r0013_c0501,48.1374698,2.4782527,commercial,51
r0013_c0502,48.1374698,2.4803046,residential,18
r0013_c0503,48.1374698,2.4823565,residential,12
r0013_c0504,48.1374698,2.4844085,residential,16
r0013_c0505,48.1374698,2.4864604,residential,18
r0013_c0602,48.1374698,2.6854985,industrial,7
r0013_c0603,48.1374698,2.6875504,industrial,20
r0013_c0661,48.1374698,2.8065629,residential,13
