cell_id,avg_height,avg_floors,avg_construction_year,building_count,residential_ratio
r0004_c0596,4.7,1.1,1880,19,0.263
r0004_c0597,4.4,1.4,1834,7,0.429
r0004_c0606,3.9,1.2,1869,22,0.591
r0006_c0521,4.3,1.3,1880,20,0.4
r0006_c0522,3.8,1.2,1998,6,0.5
r0006_c0601,6.2,1.1,1687,4,0.75
r0007_c0521,3.7,1.1,1868,19,0.158
r0007_c0594,3.5,1.1,1884,18,0.389
r0007_c0595,4.5,1.4,1918,7,0.286
r0007_c0596,4.4,1.3,1888,7,0.571
r0007_c0597,3.9,1.1,1984,16,0.438
r0007_c0598,3.8,1.2,1820,14,0.286
r0007_c0601,3.9,1.3,1840,6,0.5
r0008_c0521,3.9,1.1,1936,19,0.158
r0008_c0595,3.6,1.2,1916,21,0.333
r0008_c0600,5.2,1.2,,7,0.0
r0008_c0601,4.0,1.0,,7,0.143
r0008_c0603,4.2,1.2,1864,10,0.3
r0009_c0501,4.8,1.0,1986,7,0.429
r0009_c0522,4.8,1.1,1936,8,0.25
r0009_c0604,4.3,1.1,1951,11,0.455
r0010_c0501,4.4,1.2,1902,25,0.36
r0010_c0521,4.1,1.1,1826,24,0.417
r0010_c0522,3.9,1.0,1879,13,0.385
r0010_c0605,3.4,1.0,2011,6,0.0
r0011_c0499,5.7,1.3,1860,10,0.1
r0011_c0500,5.2,1.4,1871,33,0.455
r0011_c0501,4.1,1.3,1842,25,0.36
r0011_c0521,4.6,1.2,1834,31,0.387
r0011_c0522,3.8,1.2,1876,51,0.255
r0011_c0604,4.4,1.2,1849,12,0.333
r0011_c0605,4.4,1.1,1885,16,0.188
r0012_c0498,5.6,1.0,,10,0.0
r0012_c0499,6.7,1.4,1823,44,0.409
r0012_c0500,5.4,1.5,1830,88,0.523
r0012_c0501,5.5,1.1,1810,14,0.143
r0012_c0505,3.2,1.0,,4,0.75
r0012_c0523,3.9,1.2,1935,10,0.3
r0012_c0605,4.4,1.2,1874,28,0.357
r0012_c0606,4.7,1.3,1877,10,0.3
r0013_c0499,5.5,1.2,1851,12,0.167
r0013_c0500,5.2,1.5,1844,105,0.467
r0013_c0501,4.6,1.3,1860,69,0.362
r0013_c0502,4.0,1.2,1904,33,0.364
r0013_c0503,4.0,1.0,1975,19,0.474
r0013_c0504,3.7,1.3,1977,23,0.609
r0013_c0505,3.5,1.3,2006,20,0.8
r0013_c0602,3.9,1.0,,11,0.0
r0013_c0603,4.2,1.0,1971,27,0.074
r0013_c0661,3.4,1.1,1848,21,0.619
r0014_c0500,4.6,1.4,1835,77,0.403
r0014_c0501,4.2,1.3,1876,47,0.362
r0014_c0502,4.1,1.3,1977,18,0.778
r0014_c0503,4.0,1.1,1976,17,0.118
r0014_c0565,3.2,1.0,2005,9,0.444
r0014_c0603,4.3,1.0,1976,11,0.0
r0014_c0604,4.3,1.1,1971,8,0.375
r0014_c0605,3.6,1.1,1960,15,0.6
r0014_c0661,3.7,1.1,1886,15,0.333
r0014_c0662,3.1,1.1,1863,9,0.333
r0014_c0666,3.6,1.2,1850,6,0.667
r0015_c0498,3.7,1.1,1996,9,0.444
r0015_c0499,4.1,1.4,1918,23,0.435
r0015_c0500,4.1,1.2,1904,45,0.422
r0015_c0501,3.8,1.1,1968,24,0.417
r0015_c0502,4.4,1.3,2002,12,0.667
r0015_c0506,3.9,1.1,1863,29,0.414
r0015_c0564,3.1,1.1,1851,50,0.26
r0015_c0565,3.4,1.2,1841,43,0.442
r0015_c0566,3.6,1.1,1950,34,0.235
r0015_c0567,3.3,1.1,1927,25,0.4
r0015_c0568,3.1,1.1,1869,37,0.378
r0015_c0569,3.8,1.2,1902,12,0.417
r0015_c0595,4.0,1.1,1992,10,0.3
r0015_c0596,4.1,1.2,1995,7,0.429
r0015_c0602,2.4,1.0,,6,0.667
r0015_c0605,4.2,1.1,1973,7,0.571
r0015_c0608,4.9,1.2,1910,6,0.667
r0015_c0609,3.3,1.0,,9,0.111
r0015_c0610,3.9,1.1,1960,6,0.5
r0015_c0660,3.8,1.3,1801,10,0.4
r0015_c0680,4.2,1.3,1787,8,0.375
r0016_c0496,3.3,1.0,,7,0.0
r0016_c0497,8.9,1.2,1941,15,0.067
r0016_c0498,5.0,1.3,1967,24,0.75
r0016_c0499,4.4,1.5,1980,21,0.619
