cell_id,shop_density_km2,brand_ratio
r0004_c0596,0.0,0.0
r0004_c0597,0.0,0.0
r0004_c0606,0.0,0.0
r0006_c0521,0.0,0.0
r0006_c0522,0.0,0.0
r0006_c0601,0.0,0.0
r0007_c0521,0.0,0.0
r0007_c0594,0.0,0.0
r0007_c0595,0.0,0.0
r0007_c0596,0.0,0.0
r0007_c0597,0.0,0.0
r0007_c0598,0.0,0.0
r0007_c0601,0.0,0.0
r0008_c0521,0.0,0.0
r0008_c0595,0.0,0.0
r0008_c0600,0.0,0.0
r0008_c0601,0.0,0.0
r0008_c0603,0.0,0.0
r0009_c0501,0.0,0.0
r0009_c0522,0.0,0.0
r0009_c0604,0.0,0.0
r0010_c0501,0.0,0.0
r0010_c0521,0.0,0.0
r0010_c0522,0.0,0.0
r0010_c0605,0.0,0.0
r0011_c0499,0.0,0.0
r0011_c0500,0.0,0.0
r0011_c0501,0.0,0.0
r0011_c0521,0.0,0.0
r0011_c0522,0.0,0.0
r0011_c0604,0.0,0.0
r0011_c0605,0.0,0.0
r0012_c0498,0.0,0.0
r0012_c0499,0.0,0.0
r0012_c0500,0.0,0.0
r0012_c0501,0.0,0.0
r0012_c0505,0.0,0.0
r0012_c0523,0.0,0.0
r0012_c0605,0.0,0.0
r0012_c0606,0.0,0.0
r0013_c0499,0.0,0.0
r0013_c0500,44.44,0.0
r0013_c0501,0.0,0.0
r0013_c0502,0.0,0.0
r0013_c0503,0.0,0.0
r0013_c0504,0.0,0.0
r0013_c0505,0.0,0.0
r0013_c0602,0.0,0.0
r0013_c0603,0.0,0.0
r0013_c0661,0.0,0.0
r0014_c0500,0.0,0.0
r0014_c0501,0.0,0.0
r0014_c0502,0.0,0.0
r0014_c0503,0.0,0.0
r0014_c0565,0.0,0.0
r0014_c0603,0.0,0.0
r0014_c0604,0.0,0.0
r0014_c0605,0.0,0.0
r0014_c0661,44.44,0.0
r0014_c0662,0.0,0.0
r0014_c0666,0.0,0.0
r0015_c0498,0.0,0.0
r0015_c0499,0.0,0.0
r0015_c0500,0.0,0.0
r0015_c0501,0.0,0.0
r0015_c0502,0.0,0.0
r0015_c0506,0.0,0.0
r0015_c0564,0.0,0.0
r0015_c0565,0.0,0.0
r0015_c0566,0.0,0.0
r0015_c0567,0.0,0.0
r0015_c0568,0.0,0.0
r0015_c0569,0.0,0.0
r0015_c0595,0.0,0.0
r0015_c0596,0.0,0.0
r0015_c0602,0.0,0.0
r0015_c0605,0.0,0.0
r0015_c0608,0.0,0.0
r0015_c0609,0.0,0.0
r0015_c0610,0.0,0.0
r0015_c0660,0.0,0.0
r0015_c0680,0.0,0.0
r0016_c0496,0.0,0.0
r0016_c0497,0.0,0.0
r0016_c0498,0.0,0.0
r0016_c0499,0.0,0.0
r0016_c0500,0.0,0.0
r0016_c0506,0.0,0.0
r0016_c0507,0.0,0.0
r0016_c0563,0.0,0.0
r0016_c0564,0.0,0.0
r0016_c0565,0.0,0.0
r0016_c0566,0.0,0.0
r0016_c0606,0.0,0.0
r0016_c0607,0.0,0.0
r0016_c0608,0.0,0.0
r0016_c0662,0.0,0.0
r0016_c0681,0.0,0.0
r0017_c0496,0.0,0.0
r0017_c0497,0.0,0.0
r0017_c0498,0.0,0.0
r0017_c0499,0.0,0.0
r0017_c0500,0.0,0.0
r0017_c0506,0.0,0.0
r0017_c0510,0.0,0.0
r0017_c0564,0.0,0.0
r0017_c0565,0.0,0.0
r0017_c0566,0.0,0.0
r0017_c0606,0.0,0.0
r0017_c0607,0.0,0.0
r0017_c0608,0.0,0.0
r0017_c0609,0.0,0.0
r0017_c0610,0.0,0.0
r0017_c0618,0.0,0.0
r0017_c0662,0.0,0.0
r0017_c0663,0.0,0.0
r0017_c0664,0.0,0.0
r0017_c0665,0.0,0.0
r0017_c0667,0.0,0.0
r0018_c0496,0.0,0.0
r0018_c0506,0.0,0.0
r0018_c0508,0.0,0.0
r0018_c0509,0.0,0.0
r0018_c0565,0.0,0.0
r0018_c0566,0.0,0.0
r0018_c0606,0.0,0.0
r0018_c0607,0.0,0.0
r0018_c0608,0.0,0.0
r0018_c0609,0.0,0.0
r0018_c0610,0.0,0.0
r0018_c0662,0.0,0.0
r0018_c0678,0.0,0.0
r0019_c0565,0.0,0.0
r0019_c0606,0.0,0.0
r0019_c0607,88.89,1.0
r0019_c0608,0.0,0.0
r0019_c0609,0.0,0.0
r0019_c0611,0.0,0.0
r0019_c0614,0.0,0.0
r0019_c0620,0.0,0.0
