cell_id,cell_lat,cell_lon,zone_type,cell_building_count,amenity_density,amenity_ratio_food_drink,avg_height,avg_floors,avg_construction_year,building_count,residential_ratio,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
r0004_c0596,48.1253076,2.6731869,residential,5,0.0,0.0,4.7,1.1,1880.0,19,0.263,1.3838,0.0,0.0,0.0
r0004_c0597,48.1253076,2.6752388,residential,3,0.0,0.0,4.4,1.4,1834.0,7,0.429,0.9852,0.0,0.0,0.0
r0004_c0606,48.1253076,2.6937063,residential,13,88.89,0.0,3.9,1.2,1869.0,22,0.591,1.3815,0.0,0.0,0.0
r0006_c0521,48.1280103,2.5192914,residential,8,0.0,0.0,4.3,1.3,1880.0,20,0.4,1.5589,0.0,0.0,0.0
r0006_c0522,48.1280103,2.5213434,residential,3,0.0,0.0,3.8,1.2,1998.0,6,0.5,1.0,0.0,0.0,0.0
r0006_c0601,48.1280103,2.6834466,residential,4,0.0,0.0,6.2,1.1,1687.0,4,0.75,0.8113,0.0,0.0,0.0
r0007_c0521,48.1293617,2.5192914,residential,3,0.0,0.0,3.7,1.1,1868.0,19,0.158,1.087,0.0,0.0,0.0
r0007_c0594,48.1293617,2.669083,residential,7,44.44,0.0,3.5,1.1,1884.0,18,0.389,1.5715,0.0,0.0,0.0
r0007_c0595,48.1293617,2.6711349,residential,3,0.0,0.0,4.5,1.4,1918.0,7,0.286,1.8424,0.0,0.0,0.0
r0007_c0596,48.1293617,2.6731869,residential,5,0.0,0.0,4.4,1.3,1888.0,7,0.571,1.3788,0.0,0.0,0.0
r0007_c0597,48.1293617,2.6752388,residential,8,0.0,0.0,3.9,1.1,1984.0,16,0.438,1.749,0.0,0.0,0.0
r0007_c0598,48.1293617,2.6772907,residential,5,0.0,0.0,3.8,1.2,1820.0,14,0.286,1.6894,0.0,0.0,0.0
r0007_c0601,48.1293617,2.6834466,residential,4,0.0,0.0,3.9,1.3,1840.0,6,0.5,1.7925,0.0,0.0,0.0
r0008_c0521,48.130713,2.5192914,residential,4,0.0,0.0,3.9,1.1,1936.0,19,0.158,1.1923,0.0,0.0,0.0
r0008_c0595,48.130713,2.6711349,residential,11,0.0,0.0,3.6,1.2,1916.0,21,0.333,1.9134,0.0,0.0,0.0
r0008_c0600,48.130713,2.6813946,commercial,6,44.44,0.0,5.2,1.2,,7,0.0,1.3788,0.0,0.0,0.0
r0008_c0601,48.130713,2.6834466,commercial,6,0.0,0.0,4.0,1.0,,7,0.143,1.6645,0.0,0.0,0.0
r0008_c0603,48.130713,2.6875504,residential,3,44.44,0.0,4.2,1.2,1864.0,10,0.3,1.4855,0.0,0.0,0.0
r0009_c0501,48.1320644,2.4782527,residential,5,0.0,0.0,4.8,1.0,1986.0,7,0.429,1.5567,0.0,0.0,0.0
r0009_c0522,48.1320644,2.5213434,residential,3,0.0,0.0,4.8,1.1,1936.0,8,0.25,1.75,0.0,0.0,0.0
r0009_c0604,48.1320644,2.6896024,residential,5,88.89,0.0,4.3,1.1,1951.0,11,0.455,1.4949,0.0,0.0,0.0
r0010_c0501,48.1334157,2.4782527,residential,11,44.44,0.0,4.4,1.2,1902.0,25,0.36,1.8423,0.0,0.0,0.0
r0010_c0521,48.1334157,2.5192914,residential,10,44.44,0.0,4.1,1.1,1826.0,24,0.417,1.4834,0.0,0.0,0.0
r0010_c0522,48.1334157,2.5213434,residential,8,0.0,0.0,3.9,1.0,1879.0,13,0.385,1.8262,0.0,0.0,0.0
r0010_c0605,48.1334157,2.6916543,industrial,4,0.0,0.0,3.4,1.0,2011.0,6,0.0,0.9183,0.0,0.0,0.0
r0011_c0499,48.1347671,2.4741488,commercial,4,0.0,0.0,5.7,1.3,1860.0,10,0.1,1.571,0.0,0.0,0.0
