cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
cell_00005269,29.499787069668297,-95.15833062545735,Residential,8
cell_00005270,29.499787069668297,-95.1567755596449,Commercial,13
cell_00005271,29.499787069668297,-95.15522049383242,Residential,3
cell_00005946,29.501136052077175,-95.16144075708229,Residential,3
cell_00005947,29.501136052077175,-95.15988569126984,Residential,12
cell_00005948,29.501136052077175,-95.15833062545735,Residential,20
cell_00005949,29.501136052077175,-95.1567755596449,Residential,16
cell_00005950,29.501136052077175,-95.15522049383242,Residential,20
cell_00005951,29.501136052077175,-95.15366542801996,Residential,6
cell_00006625,29.502485034486053,-95.16144075708229,Residential,9
cell_00006626,29.502485034486053,-95.15988569126984,Residential,17
cell_00006627,29.502485034486053,-95.15833062545735,Residential,14
cell_00006628,29.502485034486053,-95.1567755596449,Commercial,20
cell_00006629,29.502485034486053,-95.15522049383242,Residential,22
cell_00006630,29.502485034486053,-95.15366542801996,Commercial,4
cell_00006631,29.502485034486053,-95.15211036220748,Residential,19
cell_00006632,29.502485034486053,-95.15055529639503,Commercial,7
cell_00007301,29.50383401689493,-95.16610595451971,Residential,5
cell_00007302,29.50383401689493,-95.16455088870723,Residential,14
cell_00007303,29.50383401689493,-95.16299582289477,Residential,3
cell_00007304,29.50383401689493,-95.16144075708229,Residential,10
cell_00007305,29.50383401689493,-95.15988569126984,Residential,20
cell_00007306,29.50383401689493,-95.15833062545735,Residential,18
cell_00007307,29.50383401689493,-95.1567755596449,Residential,20
cell_00007308,29.50383401689493,-95.15522049383242,Residential,20
cell_00007309,29.50383401689493,-95.15366542801996,Residential,12
cell_00007310,29.50383401689493,-95.15211036220748,Institutional,22
cell_00007311,29.50383401689493,-95.15055529639503,Residential,7
cell_00007980,29.50518299930381,-95.16610595451971,Residential,12
cell_00007981,29.50518299930381,-95.16455088870723,Residential,28
cell_00007982,29.50518299930381,-95.16299582289477,Residential,18
cell_00007983,29.50518299930381,-95.16144075708229,Residential,12
cell_00007984,29.50518299930381,-95.15988569126984,Residential,15
cell_00007985,29.50518299930381,-95.15833062545735,Residential,23
cell_00007986,29.50518299930381,-95.1567755596449,Residential,20
cell_00007987,29.50518299930381,-95.15522049383242,Residential,14
cell_00007988,29.50518299930381,-95.15366542801996,Residential,16
cell_00007989,29.50518299930381,-95.15211036220748,Residential,20
cell_00007990,29.50518299930381,-95.15055529639503,Residential,8
cell_00008660,29.506531981712687,-95.16455088870723,Residential,18
cell_00008661,29.506531981712687,-95.16299582289477,Residential,9
cell_00008662,29.506531981712687,-95.16144075708229,Residential,13
cell_00008663,29.506531981712687,-95.15988569126984,Residential,16
cell_00008664,29.506531981712687,-95.15833062545735,Residential,21
cell_00008665,29.506531981712687,-95.1567755596449,Residential,14
cell_00009340,29.507880964121565,-95.16299582289477,Residential,14
cell_00009341,29.507880964121565,-95.16144075708229,Residential,7
cell_00009342,29.507880964121565,-95.15988569126984,Residential,11
cell_00009343,29.507880964121565,-95.15833062545735,Residential,12
cell_00010018,29.509229946530443,-95.16455088870723,Residential,4
cell_00010019,29.509229946530443,-95.16299582289477,Residential,13
cell_00010020,29.509229946530443,-95.16144075708229,Residential,12
cell_00010021,29.509229946530443,-95.15988569126984,Residential,11
cell_00010022,29.509229946530443,-95.15833062545735,Residential,13
cell_00010023,29.509229946530443,-95.1567755596449,Residential,5
cell_00010697,29.51057892893932,-95.16455088870723,Commercial,3
cell_00010698,29.51057892893932,-95.16299582289477,Residential,14
cell_00010699,29.51057892893932,-95.16144075708229,Residential,13
cell_00010700,29.51057892893932,-95.15988569126984,Residential,15
cell_00010701,29.51057892893932,-95.15833062545735,Residential,15
cell_00010702,29.51057892893932,-95.1567755596449,Residential,14
cell_00010703,29.51057892893932,-95.15522049383242,Residential,3
cell_00011377,29.5119279113482,-95.16299582289477,Residential,6
cell_00011378,29.5119279113482,-95.16144075708229,Residential,16
cell_00011379,29.5119279113482,-95.15988569126984,Residential,15
cell_00011380,29.5119279113482,-95.15833062545735,Residential,15
cell_00011381,29.5119279113482,-95.1567755596449,Residential,12
cell_00011382,29.5119279113482,-95.15522049383242,Residential,8
cell_00012055,29.513276893757077,-95.16455088870723,Residential,6
cell_00012056,29.513276893757077,-95.16299582289477,Residential,11
cell_00012057,29.513276893757077,-95.16144075708229,Residential,8
cell_00012058,29.513276893757077,-95.15988569126984,Residential,8
cell_00012059,29.513276893757077,-95.15833062545735,Residential,12
