cell_id,avg_floors,avg_yearbuilt,total_bldg_area,building_count
cell_00005269,1.0,2008,32010,8
cell_00005270,1.0,2010,48054,13
cell_00005271,1.0,,7459,3
cell_00005946,1.0,2010,8051,3
cell_00005947,1.0,2008,47449,12
cell_00005948,1.0,2010,79062,20
cell_00005949,1.0,2008,57591,16
cell_00005950,1.0,2015,94952,20
cell_00005951,1.0,,24179,6
cell_00006625,1.0,2011,33626,9
cell_00006626,1.0,2012,63443,17
cell_00006627,1.0,2008,52441,14
cell_00006628,1.0,2016,84529,20
cell_00006629,1.0,2016,97259,22
cell_00006630,1.0,2019,9242,4
cell_00006631,1.0,2019,79869,19
cell_00006632,1.0,2006,37164,11
cell_00007301,1.0,,15688,5
cell_00007302,1.0,2017,43548,14
cell_00007303,1.0,,7461,3
cell_00007304,1.0,2011,50056,10
cell_00007305,1.0,2006,72588,20
cell_00007306,1.0,2006,63174,18
cell_00007307,1.0,2008,82002,20
cell_00007308,1.0,2016,90120,20
cell_00007309,1.0,2020,38851,12
cell_00007310,1.0,2018,91886,22
cell_00007311,1.0,2016,37771,9
cell_00007980,1.0,2012,40587,12
cell_00007981,1.0,2011,88134,28
cell_00007982,1.0,2009,74014,18
cell_00007983,1.0,2009,60862,12
cell_00007984,1.0,2008,65168,15
cell_00007985,1.0,2010,92712,23
cell_00007986,1.0,2012,88574,20
cell_00007987,1.0,2013,53393,14
cell_00007988,1.0,2017,67216,16
cell_00007989,1.0,2019,88487,21
cell_00007990,1.0,2010,79813,17
cell_00008660,1.0,,50761,18
cell_00008661,1.0,2011,42062,9
cell_00008662,1.0,2007,66635,13
cell_00008663,1.0,2009,85863,16
cell_00008664,1.0,2010,88854,21
cell_00008665,1.0,2014,65619,15
cell_00009340,1.0,2011,71309,14
cell_00009341,1.0,2011,36169,7
cell_00009342,1.0,2006,58051,11
cell_00009343,1.0,2009,67562,12
cell_00010018,1.0,2009,19523,5
cell_00010019,1.0,2011,70521,13
cell_00010020,1.0,2010,64804,12
cell_00010021,1.0,2008,59408,11
cell_00010022,1.0,2007,66711,13
cell_00010023,1.0,2011,25547,5
cell_00010697,1.0,2015,6197,3
cell_00010698,1.0,2012,79096,14
cell_00010699,1.0,2009,72898,13
cell_00010700,1.0,2011,81867,15
cell_00010701,1.0,2008,77206,15
cell_00010702,1.0,2011,75889,14
cell_00010703,1.0,2014,18937,3
cell_00011377,1.0,2014,35021,7
cell_00011378,1.0,2010,88754,16
cell_00011379,1.0,2010,72379,15
cell_00011380,1.0,2010,72259,15
cell_00011381,1.0,2005,58025,12
cell_00011382,1.0,2007,41112,8
cell_00012055,1.0,2016,44844,8
cell_00012056,1.0,2003,39570,11
cell_00012057,1.0,2016,36157,8
cell_00012058,1.0,2003,33370,8
cell_00012059,1.0,2009,47620,12
cell_00012060,1.0,2005,54751,12
cell_00012061,1.0,2007,57925,12
cell_00012062,1.0,2005,31303,6
cell_00012086,1.0,,1014848,29
cell_00012733,1.0,2014,40059,7
cell_00012734,1.0,2007,29975,8
cell_00012735,1.0,2002,54417,14
cell_00012736,1.0,2004,67571,19
cell_00012737,1.0,2003,55131,16
cell_00012738,1.0,2004,48597,12
cell_00012739,1.0,2009,60365,13
cell_00012740,1.0,2004,47596,11
