cell_id,shop_density_km2,brand_ratio
cell_00005269,0.0,0.0
cell_00005270,0.0,0.0
cell_00005271,0.0,0.0
cell_00005946,0.0,0.0
cell_00005947,0.0,0.0
cell_00005948,0.0,0.0
cell_00005949,0.0,0.0
cell_00005950,0.0,0.0
cell_00005951,0.0,0.0
cell_00006625,0.0,0.0
cell_00006626,0.0,0.0
cell_00006627,0.0,0.0
cell_00006628,0.0,0.0
cell_00006629,0.0,0.0
cell_00006630,0.0,0.0
cell_00006631,0.0,0.0
cell_00006632,0.0,0.0
cell_00007301,0.0,0.0
cell_00007302,0.0,0.0
cell_00007303,0.0,0.0
cell_00007304,0.0,0.0
cell_00007305,0.0,0.0
cell_00007306,0.0,0.0
cell_00007307,0.0,0.0
cell_00007308,0.0,0.0
cell_00007309,0.0,0.0
cell_00007310,0.0,0.0
cell_00007311,0.0,0.0
cell_00007980,0.0,0.0
cell_00007981,0.0,0.0
cell_00007982,0.0,0.0
cell_00007983,0.0,0.0
cell_00007984,0.0,0.0
cell_00007985,0.0,0.0
cell_00007986,0.0,0.0
cell_00007987,0.0,0.0
cell_00007988,0.0,0.0
cell_00007989,0.0,0.0
cell_00007990,0.0,0.0
cell_00008660,0.0,0.0
cell_00008661,0.0,0.0
cell_00008662,0.0,0.0
cell_00008663,0.0,0.0
cell_00008664,0.0,0.0
cell_00008665,0.0,0.0
cell_00009340,0.0,0.0
cell_00009341,0.0,0.0
cell_00009342,0.0,0.0
cell_00009343,0.0,0.0
cell_00010018,0.0,0.0
cell_00010019,0.0,0.0
cell_00010020,0.0,0.0
cell_00010021,0.0,0.0
cell_00010022,0.0,0.0
cell_00010023,0.0,0.0
cell_00010697,0.0,0.0
cell_00010698,0.0,0.0
cell_00010699,0.0,0.0
cell_00010700,0.0,0.0
cell_00010701,0.0,0.0
cell_00010702,0.0,0.0
cell_00010703,0.0,0.0
cell_00011377,0.0,0.0
cell_00011378,0.0,0.0
cell_00011379,0.0,0.0
cell_00011380,0.0,0.0
cell_00011381,0.0,0.0
cell_00011382,0.0,0.0
cell_00012055,0.0,0.0
cell_00012056,0.0,0.0
cell_00012057,0.0,0.0
cell_00012058,0.0,0.0
cell_00012059,0.0,0.0
cell_00012060,0.0,0.0
cell_00012061,0.0,0.0
cell_00012062,0.0,0.0
cell_00012086,44.44,0.0
cell_00012733,0.0,0.0
cell_00012734,0.0,0.0
cell_00012735,0.0,0.0
cell_00012736,0.0,0.0
cell_00012737,0.0,0.0
cell_00012738,0.0,0.0
cell_00012739,0.0,0.0
cell_00012740,0.0,0.0
cell_00012741,0.0,0.0
cell_00013414,0.0,0.0
cell_00013415,0.0,0.0
cell_00013416,0.0,0.0
cell_00013417,0.0,0.0
cell_00013418,0.0,0.0
cell_00013419,0.0,0.0
cell_00014093,0.0,0.0
cell_00014094,0.0,0.0
cell_00014095,0.0,0.0
cell_00014096,0.0,0.0
cell_00014097,0.0,0.0
cell_00014773,0.0,0.0
cell_00014774,0.0,0.0
cell_00014775,0.0,0.0
cell_00014776,0.0,0.0
cell_00015439,0.0,0.0
cell_00015440,0.0,0.0
cell_00015441,0.0,0.0
cell_00015452,0.0,0.0
cell_00015453,44.44,1.0
cell_00015454,0.0,0.0
cell_00015455,0.0,0.0
cell_00015456,0.0,0.0
cell_00016117,0.0,0.0
cell_00016118,0.0,0.0
cell_00016119,0.0,0.0
cell_00016120,0.0,0.0
cell_00016121,0.0,0.0
cell_00016123,0.0,0.0
cell_00016124,0.0,0.0
cell_00016130,44.44,0.0
cell_00016133,0.0,0.0
cell_00016134,0.0,0.0
cell_00016135,0.0,0.0
cell_00016797,0.0,0.0
cell_00016798,0.0,0.0
cell_00016799,0.0,0.0
cell_00016800,0.0,0.0
cell_00016801,0.0,0.0
cell_00016802,0.0,0.0
cell_00016803,0.0,0.0
cell_00016804,0.0,0.0
cell_00016806,0.0,0.0
cell_00016812,0.0,0.0
cell_00016813,0.0,0.0
cell_00016814,0.0,0.0
cell_00016829,0.0,0.0
cell_00016851,0.0,0.0
cell_00016852,0.0,0.0
cell_00017474,0.0,0.0
cell_00017475,0.0,0.0
cell_00017476,0.0,0.0
cell_00017477,0.0,0.0
cell_00017478,0.0,0.0
cell_00017479,0.0,0.0
cell_00017480,0.0,0.0
cell_00017481,0.0,0.0
cell_00017482,0.0,0.0
cell_00017483,0.0,0.0
cell_00017484,0.0,0.0
cell_00017485,0.0,0.0
cell_00017486,0.0,0.0
cell_00017487,0.0,0.0
cell_00017488,44.44,0.0
cell_00017489,0.0,0.0
cell_00017490,44.44,1.0
cell_00017491,0.0,0.0
cell_00017492,0.0,0.0
cell_00017493,0.0,0.0
cell_00017494,0.0,0.0
cell_00017504,0.0,0.0
cell_00017512,44.44,1.0
cell_00017528,0.0,0.0
cell_00017529,0.0,0.0
cell_00017530,0.0,0.0
cell_00017531,0.0,0.0
cell_00018152,0.0,0.0
cell_00018153,0.0,0.0
cell_00018154,0.0,0.0
cell_00018155,0.0,0.0
cell_00018156,0.0,0.0
cell_00018157,0.0,0.0
cell_00018158,0.0,0.0
cell_00018159,0.0,0.0
cell_00018160,0.0,0.0
cell_00018161,0.0,0.0
cell_00018162,0.0,0.0
cell_00018163,0.0,0.0
cell_00018164,0.0,0.0
cell_00018165,0.0,0.0
cell_00018166,0.0,0.0
cell_00018167,0.0,0.0
cell_00018168,0.0,0.0
cell_00018169,0.0,0.0
cell_00018170,0.0,0.0
cell_00018171,0.0,0.0
cell_00018172,0.0,0.0
cell_00018173,0.0,0.0
cell_00018189,266.67,0.3333
cell_00018192,44.44,0.0
cell_00018195,0.0,0.0
cell_00018207,0.0,0.0
cell_00018208,0.0,0.0
cell_00018209,0.0,0.0
cell_00018210,0.0,0.0
cell_00018831,0.0,0.0
cell_00018832,0.0,0.0
cell_00018833,0.0,0.0
cell_00018834,0.0,0.0
cell_00018835,0.0,0.0
cell_00018836,0.0,0.0
cell_00018837,0.0,0.0
cell_00018838,0.0,0.0
cell_00018839,0.0,0.0
cell_00018840,0.0,0.0
cell_00018841,0.0,0.0
cell_00018843,0.0,0.0
cell_00018845,0.0,0.0
cell_00018848,0.0,0.0
cell_00018849,0.0,0.0
cell_00018850,0.0,0.0
cell_00018851,0.0,0.0
cell_00018852,0.0,0.0
cell_00018862,0.0,0.0
cell_00018863,0.0,0.0
cell_00018864,0.0,0.0
cell_00018867,0.0,0.0
cell_00018873,0.0,0.0
cell_00018874,0.0,0.0
cell_00018885,0.0,0.0
cell_00018886,0.0,0.0
cell_00018887,0.0,0.0
cell_00018888,0.0,0.0
cell_00019510,0.0,0.0
cell_00019511,0.0,0.0
cell_00019512,0.0,0.0
cell_00019514,0.0,0.0
cell_00019515,0.0,0.0
cell_00019516,0.0,0.0
cell_00019517,0.0,0.0
cell_00019518,0.0,0.0
cell_00019519,0.0,0.0
cell_00019520,0.0,0.0
cell_00019521,0.0,0.0
cell_00019522,0.0,0.0
cell_00019523,0.0,0.0
cell_00019524,0.0,0.0
cell_00019527,0.0,0.0
cell_00019528,0.0,0.0
cell_00019529,0.0,0.0
cell_00019530,0.0,0.0
cell_00019531,0.0,0.0
cell_00019542,0.0,0.0
cell_00019564,0.0,0.0
cell_00019565,0.0,0.0
cell_00019566,0.0,0.0
cell_00019567,0.0,0.0
cell_00020188,0.0,0.0
