cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
cell_00005269,29.499787069668297,-95.15833062545737,Residential,8,266.67,0.0,1.0,2008.0,32010,8,-0.0,0.0,0.0,0.0
cell_00005270,29.499787069668297,-95.1567755596449,Commercial,13,44.44,0.0,1.0,2010.0,48054,13,0.3311,0.0,0.0,0.0
cell_00005271,29.499787069668297,-95.15522049383242,Residential,3,0.0,0.0,1.0,,7459,3,0.5792,0.0,0.0,0.0
cell_00005946,29.50113605207717,-95.16144075708227,Residential,3,0.0,0.0,1.0,2010.0,8051,3,0.5149,0.0,0.0,0.0
cell_00005947,29.50113605207717,-95.15988569126984,Residential,12,0.0,0.0,1.0,2008.0,47449,12,-0.0,0.0,0.0,0.0
cell_00005948,29.50113605207717,-95.15833062545737,Residential,20,0.0,0.0,1.0,2010.0,79062,20,-0.0,0.0,0.0,0.0
cell_00005949,29.50113605207717,-95.1567755596449,Residential,16,0.0,0.0,1.0,2008.0,57591,16,0.1386,0.0,0.0,0.0
cell_00005950,29.50113605207717,-95.15522049383242,Residential,20,0.0,0.0,1.0,2015.0,94952,20,-0.0,0.0,0.0,0.0
cell_00005951,29.50113605207717,-95.15366542801996,Residential,6,0.0,0.0,1.0,,24179,6,0.4176,0.0,0.0,0.0
cell_00006625,29.502485034486053,-95.16144075708227,Residential,9,0.0,0.0,1.0,2011.0,33626,9,0.9875,0.0,0.0,0.0
cell_00006626,29.502485034486053,-95.15988569126984,Residential,17,0.0,0.0,1.0,2012.0,63443,17,-0.0,0.0,0.0,0.0
cell_00006627,29.502485034486053,-95.15833062545737,Residential,14,0.0,0.0,1.0,2008.0,52441,14,-0.0,0.0,0.0,0.0
cell_00006628,29.502485034486053,-95.1567755596449,Commercial,20,0.0,0.0,1.0,2016.0,84529,20,0.9884,0.0,0.0,0.0
cell_00006629,29.502485034486053,-95.15522049383242,Residential,22,0.0,0.0,1.0,2016.0,97259,22,-0.0,0.0,0.0,0.0
cell_00006630,29.502485034486053,-95.15366542801996,Commercial,4,0.0,0.0,1.0,2019.0,9242,4,0.2209,0.0,0.0,0.0
cell_00006631,29.502485034486053,-95.15211036220748,Residential,19,0.0,0.0,1.0,2019.0,79869,19,0.1051,0.0,0.0,0.0
cell_00006632,29.502485034486053,-95.15055529639504,Commercial,7,0.0,0.0,1.0,2006.0,37164,11,0.9292,0.0,0.0,0.0
cell_00007301,29.50383401689493,-95.16610595451972,Residential,5,88.89,0.0,1.0,,15688,5,-0.0,0.0,0.0,0.0
cell_00007302,29.50383401689493,-95.16455088870724,Residential,14,0.0,0.0,1.0,2017.0,43548,14,-0.0,0.0,0.0,0.0
cell_00007303,29.50383401689493,-95.16299582289476,Residential,3,0.0,0.0,1.0,,7461,3,-0.0,0.0,0.0,0.0
cell_00007304,29.50383401689493,-95.16144075708227,Residential,10,0.0,0.0,1.0,2011.0,50056,10,-0.0,0.0,0.0,0.0
cell_00007305,29.50383401689493,-95.15988569126984,Residential,20,0.0,0.0,1.0,2006.0,72588,20,-0.0,0.0,0.0,0.0
cell_00007306,29.50383401689493,-95.15833062545737,Residential,18,0.0,0.0,1.0,2006.0,63174,18,0.1215,0.0,0.0,0.0
cell_00007307,29.50383401689493,-95.1567755596449,Residential,20,0.0,0.0,1.0,2008.0,82002,20,0.2219,0.0,0.0,0.0
cell_00007308,29.50383401689493,-95.15522049383242,Residential,20,0.0,0.0,1.0,2016.0,90120,20,-0.0,0.0,0.0,0.0
cell_00007309,29.50383401689493,-95.15366542801996,Residential,12,0.0,0.0,1.0,2020.0,38851,12,0.4012,0.0,0.0,0.0
cell_00007310,29.50383401689493,-95.15211036220748,Institutional,22,0.0,0.0,1.0,2018.0,91886,22,0.9509,0.0,0.0,0.0
cell_00007311,29.50383401689493,-95.15055529639504,Residential,7,0.0,0.0,1.0,2016.0,37771,9,-0.0,0.0,0.0,0.0
cell_00007980,29.50518299930381,-95.16610595451972,Residential,12,0.0,0.0,1.0,2012.0,40587,12,-0.0,0.0,0.0,0.0
cell_00007981,29.50518299930381,-95.16455088870724,Residential,28,0.0,0.0,1.0,2011.0,88134,28,-0.0,0.0,0.0,0.0
