osm_id,osm_type,lat,lon,distance_m,primary_tag,primary_value,name,brand,shop,amenity,office,craft,tourism,leisure,cuisine,opening_hours,phone,website,wheelchair,outdoor_seating,takeaway,delivery,level,addr_street,addr_housenumber,addr_postcode,has_name,distance_band
10228962372,node,40.7589795,-73.9852208,13.5,leisure,outdoor_seating,,,,,,,,outdoor_seating,,,,,,,,,,,,,0,0-200m
1118420739,way,40.7587595,-73.9851461,16.1,leisure,garden,,,,,,,,garden,,,,,,,,,,,,,0,0-200m
2435110791,node,40.7587593,-73.9851462,16.1,tourism,artwork,George M. Cohan,,,,,,artwork,,,,,,,,,,,,,,1,0-200m
2639531695,node,40.7590569,-73.9849891,19.8,tourism,artwork,Francis P. Duffy,,,,,,artwork,,,,,,,,,,,,,,1,0-200m
796338420,way,40.7589488,-73.9853854,24.6,shop,newsagent,,,newsagent,,,,,,,,,,,,,,,,,,0,0-200m
7447580897,node,40.7588807,-73.9854028,25.6,tourism,information,Walk NYC,,,,,,information,,,,,,,,,,,,,,1,0-200m
258619240,way,40.7591532,-73.9849271,31.7,shop,ticket,TKTS,TKTS,ticket,,,,,,,"Mo, We-Sa 15:00-20:00; Tu 14:00-20:00; Su 15:00-19:00",+1-212-912-9770,https://www.tdf.org/tkts,,,,,,West 47th Street,201,10036,1,0-200m
1413533223,way,40.7591532,-73.9849271,31.7,tourism,viewpoint,,,,,,,viewpoint,,,,,,,,,,,,,,0,0-200m
2613887631,node,40.7588653,-73.9854906,33.1,shop,clothes,American Eagle Outfitters,American Eagle Outfitters,clothes,,,,,,,Mo-Th 10:00-21:00; Fr 08:00-17:00; Su 11:00-20:00,+1-212-205-7260,https://storelocations.ae.com/us/ny/new-york/1551-1555-broadway.html,,,,,,Broadway,1551-1555,10036,1,0-200m
3595084281,node,40.7591248,-73.9853772,34.2,shop,gift,Grand Slam New York,,gift,,,,,,,"Mo-Th 12:00-22:00; Fr,Sa 12:00-00:00; Su 12:00-24:00",+1-888-395-0515,https://www.grandslamnewyork.com/,,,,,,Broadway,1557,10036,1,0-200m
9472159125,node,40.7588805,-73.9855136,34.9,shop,clothes,Aerie,Aerie,clothes,,,,,,,,,,,,,,,,,,1,0-200m
1740694091,node,40.7587753,-73.98472,34.9,amenity,fast_food,McDonald's,McDonald's,,fast_food,,,,,burger,24/7,,http://www.mcnewyork.com/6971,,,yes,,,,,,1,0-200m
2689589692,node,40.7586261,-73.9848141,38.8,shop,clothes,Express,Express,clothes,,,,,,,"Fr, Sa 09:00-02:00; Mo-Th, Su 09:00-01:00",+1 646-448-8376,https://stores.express.com/us/ny/new-york/1552-north-broadway,,,,,,North Broadway,1552,10036,1,0-200m
368051619,node,40.7589003,-73.9846166,40.7,amenity,theatre,Palace Theater,,,theatre,,,,,,,,,,,,,,Broadway,1564,,1,0-200m
9674241492,node,40.7587927,-73.9846231,41.9,shop,clothes,Pelé Soccer,,clothes,,,,,,,,,,,,,,0,,,,1,0-200m
2689589690,node,40.7592453,-73.9853339,43.2,amenity,restaurant,Blue Fin,,,restaurant,,,,,seafood,,,https://www.bluefinnyc.com/,,,,,,Broadway,1567,10036,1,0-200m
1315783397,way,40.758485,-73.9852838,48.7,tourism,artwork,Times Square,,,,,,artwork,,,,,,,,,,,,,,1,0-200m
10791218142,node,40.7586585,-73.9856026,50.1,shop,mobile_phone,T-Mobile,T-Mobile,mobile_phone,,,,,,,,,https://www.t-mobile.com/stores/bd/t-mobile-new-york-ny-10036-4056,,,,,,Broadway,1535,10036,1,0-200m
1273406878,node,40.7590118,-73.9844836,53.4,tourism,hotel,Tempo by Hilton New York Times Square,Tempo,,,,,hotel,,,,+1-212-262-8100,https://www.hilton.com/en/hotels/nyctepo-tempo-new-york-times-square/,,,,,,Broadway,1568,10036,1,0-200m
13270526606,node,40.7593685,-73.9853155,55.2,amenity,restaurant,Dos Caminos,,,restaurant,,,,,mexican,,,,,,,,,,,,1,0-200m
12917522702,node,40.7584069,-73.9849369,56.5,shop,gift,,,gift,,,,,,,,,,,,,,,,,,0,0-200m
11904533394,node,40.7585627,-73.9856354,58.7,shop,cosmetics,Sephora,Sephora,cosmetics,,,,,,,,,,,,,,,Broadway,1535,10036,1,0-200m
2774949518,node,40.7582885,-73.9849989,68.5,shop,gift,Disney Store,Disney Store,gift,,,,,,,,,https://www.disneystore.com/,,,,,,Broadway,1540,10036,1,0-200m
1118420754,way,40.7595168,-73.9850421,68.8,leisure,garden,,,,,,,,garden,,,,,,,,,,,,,0,0-200m
11904533393,node,40.7584618,-73.9856847,69.3,shop,watches,Invicta,,watches,,,,,,,,,,,,,,,Broadway,1535,10036,1,0-200m
6418252593,node,40.7594748,-73.9847715,69.6,amenity,restaurant,Olive Garden,Olive Garden,,restaurant,,,,,italian,,,,,,,,,,,,1,0-200m
258619232,way,40.7593907,-73.9856571,72.0,tourism,hotel,W Times Square Hotel,W Hotels,,,,,hotel,,,,,,,,,,,,,,1,0-200m
266149327,way,40.7591832,-73.9858937,73.9,amenity,theatre,Lunt-Fontanne Theatre,,,theatre,,,,,,,,http://luntfontannetheatre.com/,,,,,,West 46th Street,205,10036,1,0-200m
10228962381,node,40.7582871,-73.9855328,77.3,leisure,outdoor_seating,,,,,,,,outdoor_seating,,,,,,,,,,,,,0,0-200m
2774949526,node,40.7581989,-73.9850824,78.0,shop,vacant,,,vacant,,,,,,,,,,,,,,,Broadway,1540,10036,0,0-200m
12244426994,node,40.7585073,-73.9858673,78.0,amenity,restaurant,Revel & Rye,,,restaurant,,,,,,,+1-212-704-8833,https://www.revelandrye.com/,,,,,7,Broadway,1535,11102,1,0-200m
6596037385,node,40.7592676,-73.984303,78.6,shop,confectionery,Hershey's Chocolate World,Hershey's,confectionery,,,,,,,,,,,,,,,,,,1,0-200m
11904533392,node,40.7583484,-73.9857286,81.0,shop,clothes,Levi's,Levi's,clothes,,,,,,,,,,,,,,,Broadway,1535,10036,1,0-200m
5985838985,node,40.7596521,-73.9852254,84.3,amenity,cafe,Starbucks,Starbucks,,cafe,,,,,coffee_shop,Mo-Th 05:30-00:00; Fr-Sa 05:30-02:00; Su 05:30-01:00,+1 212-541-7515,https://www.starbucks.com/store-locator/store/1005509/47th-broadway-1585-broadway-new-york-ny-100368200-us,,,yes,,,Broadway,1585,10036,1,0-200m
6308385086,node,40.7595892,-73.9846122,87.0,shop,clothes,Lids,Lids,clothes,,,,,,,,,,,,,,,,,,1,0-200m
266149308,way,40.7594728,-73.9858534,89.9,tourism,hotel,Cambria Hotel,Cambria Hotel,,,,,hotel,,,,,,,,,,,West 47th Street,224,10036,1,0-200m
11904533390,node,40.7580901,-73.9851597,90.2,shop,clothes,U.S. Polo Assn.,U.S. Polo Assn.,clothes,,,,,,,,,,,,,,,Broadway,1540,10036,1,0-200m
10228962376,node,40.75816,-73.9855455,90.4,tourism,information,,,,,,,information,,,,,,,,,,,,,,0,0-200m
12175585351,node,40.7589043,-73.9861848,91.4,amenity,theatre,Marquis Theatre,,,theatre,,,,,,,,https://broadwaydirect.com/theatre/marquis-theatre/,yes,,,,,West 46th Street,210,10036,1,0-200m
11904533391,node,40.7582271,-73.9857669,93.6,shop,watches,Swatch,Swatch,watches,,,,,,,,,,,,,,,Broadway,1535,10036,1,0-200m
368061366,node,40.7593341,-73.9841239,95.3,tourism,information,Times Square Museum & Visitor Center,,,,,,information,,,,,,,,,,,,,,1,0-200m
5083429924,node,40.7596799,-73.9845482,98.4,shop,ticket,Big bus welcome center,,ticket,,,,,,,Mo-Su 08:00-18:00,,,,,,,,7th Avenue,712,10036,1,0-200m
10861612276,node,40.7584383,-73.9840932,99.1,shop,jewelry,Top Quality Setting,,jewelry,,,,,,,Mo-We 10:00-18:00; Th 10:30-19:00; Fr 10:30-18:30; Sa off; Su off,+1-212-753-6966,https://topqualitysetting.com,,,,,,West 46th Street,151,10036,1,0-200m
