location,osm_id,name,lat,lon,label,distance_m,lot_area_sqft,highway_type,lanes,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,res_ratio,com_ratio,median_income,assess_per_sqft,year_built,pedestrian_rank,pedestrian_category,dist_subway_m,shops_within_100m,population_density,shop_mix_entropy
times_square,796338420,,40.7589488,-73.9853854,retail,18.5,1900.0,secondary,1.0,86.2,428.4,329.1,29.1,0.0,1.0,137772.0,4191.394736842105,2009.0,2,high,73.19,34,2488,1.5586881669025652
times_square,9472159125,Aerie,40.7588805,-73.9855136,retail,18.5,4350.0,secondary,1.0,99.4,430.6,324.3,33.8,0.0,1.0,137772.0,4576.0344827586205,2008.0,2,high,85.91,33,2488,1.5656990361004373
times_square,2613887631,American Eagle Outfitters,40.7588653,-73.9854906,retail,18.5,4350.0,secondary,1.0,98.9,428.0,322.1,31.3,0.0,1.0,137772.0,4576.0344827586205,2008.0,2,high,85.97,33,2488,1.5656990361004373
times_square,9674241492,Pelé Soccer,40.7587927,-73.9846231,retail,28.0,3234.0,secondary,3.0,67.2,373.1,304.0,44.2,0.0,1.0,137772.0,5984.833024118739,1926.0,1,highest,31.4,31,2488,1.5631283547979111
times_square,1740694091,McDonald's,40.7587753,-73.98472,food_drink,28.0,3234.0,secondary,3.0,70.4,376.7,302.4,35.9,0.0,1.0,137772.0,5984.833024118739,1926.0,1,highest,38.58,31,2488,1.5608178155856365
times_square,2689589692,Express,40.7586261,-73.9848141,retail,28.0,3234.0,secondary,1.0,88.4,369.3,286.4,31.7,0.0,1.0,137772.0,5984.833024118739,1926.0,1,highest,55.94,35,2488,1.5665905034741163
times_square,11904533394,Sephora,40.7585627,-73.9856354,retail,34.0,4350.0,secondary,1.0,130.2,414.4,293.3,46.7,0.0,1.0,15971.0,4576.0344827586205,2008.0,2,high,116.92,32,1040,1.5523431268304877
times_square,11904533393,Invicta,40.7584618,-73.9856847,retail,34.0,74287.0,secondary,1.0,141.2,410.5,284.0,56.2,0.0,1.0,15971.0,5308.185564096006,1995.0,1,highest,125.68,32,1040,1.55615898454425
times_square,10791218142,T-Mobile,40.7586585,-73.9856026,retail,34.0,4350.0,secondary,1.0,120.8,419.2,302.6,40.1,0.0,1.0,15971.0,4576.0344827586205,2008.0,2,high,110.03,32,1040,1.5605119961755882
times_square,2774949518,Disney Store,40.7582885,-73.9849989,retail,46.0,2090.0,secondary,5.0,128.7,353.9,250.9,53.8,0.0,1.0,15971.0,4969.808612440192,1939.0,1,highest,95.31,40,1040,1.5522116095454708
times_square,12917522702,,40.7584069,-73.9849369,retail,46.0,2090.0,secondary,1.0,114.6,359.0,263.2,43.0,0.0,1.0,15971.0,4969.808612440192,1939.0,2,high,81.49,35,1040,1.5542689966910723
times_square,258619240,TKTS,40.7591532,-73.9849271,retail,68.4,3324.0,residential,2.0,41.7,420.4,345.6,41.6,0.0,1.0,137772.0,1340.5234657039712,2008.0,1,highest,35.57,27,2488,1.5515878483368164
times_square,266149327,Lunt-Fontanne Theatre,40.7591832,-73.9858937,services,75.9,13957.0,secondary,1.0,115.8,477.0,296.9,78.6,0.0,1.0,137772.0,262.25549903274344,1910.0,2,high,93.35,30,2488,1.561359786637229
times_square,6418252593,Olive Garden,40.7594748,-73.9847715,food_drink,80.3,13899.0,residential,2.0,20.9,441.8,350.9,23.3,0.0,1.0,137772.0,3140.8865385999,1990.0,1,highest,6.75,31,2488,1.536353428182753
times_square,368051619,Palace Theater,40.7589003,-73.9846166,services,86.2,3324.0,secondary,3.0,55.3,382.2,316.0,47.3,0.0,1.0,137772.0,1340.5234657039712,2008.0,1,highest,23.36,28,2488,1.5613116549052577
times_square,1273406878,Tempo by Hilton New York Times Square,40.7590118,-73.9844836,services,86.2,21758.0,residential,1.0,42.9,385.6,328.4,62.5,0.0,1.0,137772.0,13894.12372460704,1989.0,1,highest,9.18,26,2488,1.558231855890965
times_square,6308385086,Lids,40.7595892,-73.9846122,retail,86.4,13899.0,secondary,3.0,22.3,445.4,356.2,37.1,0.0,1.0,137772.0,3140.8865385999,1990.0,1,highest,19.26,29,2488,1.5381801286636394
times_square,3595084281,Grand Slam New York,40.7591248,-73.9853772,retail,86.5,5200.0,secondary,1.0,76.0,442.3,332.8,45.0,0.0,1.0,137772.0,1606.5865384615386,1924.0,1,highest,58.47,36,2488,1.55751674559861
times_square,2689589690,Blue Fin,40.7592453,-73.9853339,food_drink,86.5,1503.0,residential,1.0,68.3,450.0,326.9,38.9,0.0,1.0,137772.0,3379.041916167665,1920.0,1,highest,47.6,32,2488,1.559011934314518
times_square,13270526606,Dos Caminos,40.7593685,-73.9853155,food_drink,86.5,1503.0,residential,1.0,64.7,459.5,319.6,28.3,0.0,1.0,137772.0,3379.041916167665,1920.0,1,highest,40.65,30,2488,1.5413858933979587
times_square,266149308,Cambria Hotel,40.7594728,-73.9858534,services,86.5,3300.0,residential,1.0,110.3,486.9,277.1,68.5,0.0,1.0,137772.0,833.4545454545455,1923.0,1,highest,84.42,30,2488,1.5631847821041318
times_square,258619232,W Times Square Hotel,40.7593907,-73.9856571,services,86.5,11293.0,residential,1.0,93.4,480.0,295.6,53.7,0.0,1.0,137772.0,7675.800584432834,2000.0,1,highest,68.43,28,2488,1.5567262123658376
times_square,11904533392,Levi's,40.7583484,-73.9857286,retail,92.6,74287.0,secondary,1.0,153.1,405.7,273.5,67.1,0.0,1.0,15971.0,5308.185564096006,1995.0,2,high,135.29,30,1040,1.5532456048447325
times_square,11904533391,Swatch,40.7582271,-73.9857669,retail,92.6,74287.0,secondary,1.0,165.5,400.4,262.3,79.0,0.0,1.0,15971.0,5308.185564096006,1995.0,2,high,145.59,28,1040,1.542032825869335
times_square,2722857800,Friedman's,40.75965,-73.985965,food_drink,100.8,3300.0,residential,1.0,122.7,466.0,257.3,79.1,0.0,1.0,137772.0,833.4545454545455,1923.0,1,highest,95.98,30,2488,1.566594981155112
times_square,5985838985,Starbucks,40.7596521,-73.9852254,food_drink,100.8,11293.0,living_street,1.0,63.9,479.9,308.0,21.6,0.0,1.0,137772.0,7675.800584432834,2000.0,1,highest,37.59,27,2488,1.5337643015687965
times_square,6596037385,Hershey's Chocolate World,40.7592676,-73.984303,food_drink,101.7,16066.0,residential,1.0,25.0,401.3,357.3,68.1,0.0,1.0,137772.0,4461.346943856592,1909.0,1,highest,29.98,33,2488,1.5512697416994865
times_square,10828709898,LINE FRIENDS,40.7578595,-73.9859259,retail,107.6,65764.0,secondary,1.0,206.4,390.1,231.8,119.7,0.0,1.0,15971.0,5547.739644790463,1970.0,1,highest,182.33,30,1040,1.5523431268304877
