location,osm_id,name,lat,lon,label,distance_m,lot_area_sqft,highway_type,lanes,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,res_ratio,com_ratio,median_income,assess_per_sqft,year_built,pedestrian_rank,pedestrian_category,dist_subway_m,shops_within_100m,population_density,shop_mix_entropy
harlem,11982036799,Top Choice 99¢ Plus,40.8116564,-73.9460305,retail,25.8,11411.0,primary,2.0,8.9,264.8,182.0,244.0,0.842665910947372,0.157334089052628,30667.0,417.97826658487423,2008.0,3,medium,409.12,4,7517,1.5545851693377997
harlem,11981765092,Clayton Deli,40.8113098,-73.9462795,retail,40.1,7500.0,residential,,41.2,308.7,147.6,206.5,0.844157316105633,0.155842683894367,30667.0,315.0,1910.0,3,medium,373.81,5,7517,1.5545851693377997
harlem,11981765094,Harlem Breakfast Club,40.8111327,-73.9464042,food_drink,40.1,7500.0,primary,3.0,63.3,331.0,132.1,188.3,0.844157316105633,0.155842683894367,30667.0,315.0,1910.0,3,medium,356.46,7,7517,1.5262349099495225
harlem,11981765093,Ms. Bubble,40.8112624,-73.9463129,services,40.1,7500.0,residential,,47.1,314.6,143.3,201.6,0.844157316105633,0.155842683894367,30667.0,315.0,1910.0,3,medium,369.12,6,7517,1.5545851693377997
harlem,11982036805,Perfect Grace Beauty Bar,40.8119396,-73.9458331,services,90.7,1869.0,residential,,39.8,229.2,212.7,229.5,0.8263687926843385,0.1736312073156615,30667.0,363.322632423756,1910.0,5,lowest,439.15,3,7517,1.4355205042826666
harlem,11981765081,Shiny Nail Spa,40.8105048,-73.9468761,services,118.6,1875.0,primary,2.0,17.8,366.7,102.8,135.8,0.9304589707927676,0.0695410292072322,30667.0,371.52,1910.0,3,medium,301.22,8,7517,1.4772170014624826
harlem,11981765082,Tax DRx,40.8105639,-73.9468317,services,118.6,1875.0,primary,2.0,24.6,371.4,103.3,139.6,0.9306518723994452,0.0693481276005547,30667.0,372.24,1910.0,3,medium,305.95,9,7517,1.5058231002082845
harlem,11980400026,Marseille Fashion,40.8102576,-73.9469818,retail,183.0,10000.0,residential,,19.4,345.2,100.2,118.9,0.8161983865198903,0.1838016134801096,30667.0,359.865,1910.0,3,medium,279.76,7,7517,1.505240814944148
harlem,11980400027,Jerk House Caribbean,40.8103162,-73.947018,food_drink,183.0,10000.0,primary,2.0,12.3,352.4,105.0,125.8,0.8161983865198903,0.1838016134801096,30667.0,359.865,1910.0,3,medium,286.96,7,7517,1.5058231002082845
harlem,6314496485,Tropical Grill,40.8104354,-73.9469283,food_drink,183.0,1875.0,primary,2.0,10.9,361.3,102.9,131.7,0.9304589707927676,0.0695410292072322,30667.0,371.52,1910.0,3,medium,295.82,7,7517,1.4772170014624826
harlem,11980400025,A&S Deli,40.8102571,-73.9470624,retail,183.0,10000.0,residential,,18.4,348.2,106.8,123.5,0.8161983865198903,0.1838016134801096,30667.0,359.865,1910.0,3,medium,282.76,7,7517,1.505240814944148
harlem,11980400028,Heart of Harlem,40.8103591,-73.9469252,services,183.0,10000.0,primary,2.0,13.2,353.5,99.2,124.6,0.8161983865198903,0.1838016134801096,30667.0,359.865,1910.0,3,medium,287.96,8,7517,1.4772170014624826
harlem,5004045121,American Legion Post 398,40.8139532,-73.9467615,food_drink,258.3,1799.0,residential,,119.4,190.8,131.8,276.5,0.0,1.0,58596.0,33.51862145636465,1910.0,4,low,340.09,0,5400,1.5566567074628228
harlem,11980400011,Dermatology Specialists,40.8096289,-73.947501,services,262.0,3364.0,residential,,63.4,308.9,147.3,124.6,0.8797572260086562,0.1202427739913437,56705.0,877.5267538644471,2016.0,2,high,246.3,7,3350,1.5058231002082845
harlem,12550855288,Shop Fair,40.8095106,-73.948298,retail,262.6,12479.0,primary,4.0,46.2,271.0,215.4,190.3,0.0,1.0,56705.0,426.4524400993669,1903.0,3,medium,287.94,11,3350,1.5205689178037254
harlem,12550855287,Alhambra Ballroom,40.8096578,-73.9482156,services,262.6,12479.0,residential,,57.1,279.6,204.8,184.6,0.0,1.0,56705.0,426.4524400993669,1903.0,2,high,292.39,7,3350,1.5205689178037254
harlem,13310953021,Modify preloved fashion,40.8102044,-73.9441012,retail,277.7,885.0,secondary,3.0,9.4,319.5,146.9,108.0,0.7549019607843137,0.2450980392156862,92132.0,391.5254237288136,1910.0,3,medium,272.99,6,5713,0.946372935985442
harlem,6296851635,Jacob Restaurant,40.8102607,-73.9439964,food_drink,277.7,1846.0,secondary,3.0,11.1,328.2,156.6,103.2,0.75,0.25,92132.0,313.24485373781147,1910.0,3,medium,282.53,6,5713,1.0408520829727552
harlem,11940452884,Pioneer Supermarket,40.8104444,-73.9431569,retail,296.4,12971.0,secondary,2.0,12.7,374.6,229.8,76.1,0.8433691549742142,0.1566308450257858,92132.0,749.2690617531416,2005.0,3,medium,333.69,7,5713,1.295461844238322
harlem,8270992264,National Jazz Museum in Harlem,40.8099499,-73.9430899,services,309.3,5258.0,residential,,61.1,329.8,230.9,22.5,0.8651762290407209,0.1348237709592791,92132.0,383.9292506656523,2014.0,3,medium,291.68,4,5713,1.1567796494470397
harlem,419367529,Lenox Coffee,40.810011,-73.9431823,food_drink,309.3,10978.0,residential,,52.6,331.5,222.9,32.5,0.8293009294419732,0.1706990705580268,92132.0,476.8804882492257,1921.0,3,medium,292.42,5,5713,1.0957952550009336
harlem,6296848316,Doctors Medical Group,40.8137417,-73.9445114,services,325.0,4992.0,primary,3.0,45.8,0.0,156.4,89.1,0.5347341610951926,0.4652658389048074,58596.0,327.2243589743589,2005.0,3,medium,284.13,3,5400,0.9852281360342516
harlem,6211784452,Bill's Place,40.8134547,-73.9436358,services,325.0,1249.0,residential,,97.0,80.3,125.7,36.2,0.0,1.0,58596.0,52.96236989591673,1910.0,3,medium,217.66,3,5400,1.4854752972273344
harlem,2562438633,Citibank,40.8092477,-73.9485008,services,328.3,12500.0,primary,,31.3,253.2,240.8,208.7,0.0,1.0,56705.0,458.964,1900.0,1,highest,286.69,14,3350,1.540057047151205
harlem,5402622059,Sushi Inoue,40.8108361,-73.9435614,food_drink,328.5,4996.0,secondary,2.0,45.6,332.8,211.2,128.4,0.861271676300578,0.1387283236994219,92132.0,242.29383506805445,1905.0,3,medium,356.18,6,5713,1.295461844238322
harlem,6680394972,Kennedy Chicken,40.8089411,-73.9486836,services,352.6,12749.0,primary,,21.5,241.4,268.7,214.5,0.0,1.0,56705.0,1319.1858184955684,1913.0,1,highest,283.83,14,3350,1.5410078709714834
harlem,6680394969,Planet Fitness,40.809035,-73.9490688,services,352.6,22571.0,primary,,36.3,207.7,265.3,199.7,0.0,1.0,56705.0,326.94829648664216,1973.0,1,highest,317.27,15,3350,1.5518324685542102
harlem,6680394970,Champs Sports,40.8090259,-73.9489416,services,352.6,22571.0,primary,,33.5,218.5,275.9,205.9,0.0,1.0,56705.0,326.94829648664216,1973.0,1,highest,307.38,15,3350,1.5647350905912576
