location,osm_id,name,lat,lon,label,distance_m,lot_area_sqft,highway_type,lanes,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,res_ratio,com_ratio,median_income,assess_per_sqft,year_built,pedestrian_rank,pedestrian_category,dist_subway_m,shops_within_100m,population_density,shop_mix_entropy
lower_east_side,248757328,Sushi On Jones,40.7217454,-73.9903154,food_drink,12.5,2112.0,residential,,117.8,339.3,238.8,174.9,0.4914004914004914,0.5085995085995086,55714.0,772.5852272727273,1901.0,3,medium,162.6,11,2942,1.485172066417248
lower_east_side,12022102856,JJ Murphy Gallery,40.7219332,-73.9903883,services,12.5,2112.0,residential,1.0,123.7,349.5,253.6,155.5,0.4914004914004914,0.5085995085995086,55714.0,772.5852272727273,1901.0,3,medium,153.19,7,2942,1.479749955621284
lower_east_side,9630440540,Bowery Showroom,40.7218988,-73.9902703,retail,12.5,1183.0,residential,1.0,113.5,353.2,255.3,165.3,0.568892955169259,0.4311070448307411,55714.0,1456.1284868977175,1901.0,3,medium,148.05,9,2942,1.4749091971665005
lower_east_side,9630440539,Rogue,40.7219194,-73.9903378,retail,12.5,2112.0,residential,1.0,119.3,353.7,254.4,159.6,0.4914004914004914,0.5085995085995086,55714.0,772.5852272727273,1901.0,3,medium,150.85,8,2942,1.479749955621284
lower_east_side,2554956143,Powers Lowenfels Gallery,40.7219487,-73.990434,services,12.5,2112.0,residential,1.0,127.6,345.4,253.3,151.5,0.4914004914004914,0.5085995085995086,55714.0,772.5852272727273,1901.0,3,medium,155.18,8,2942,1.4989263883044388
lower_east_side,4947115422,Spaghetti Incident,40.7223365,-73.9899431,food_drink,24.1,980.0,residential,,84.8,353.2,311.2,133.2,,,55714.0,242.44897959183675,,3,medium,96.66,19,2942,1.415339182857584
lower_east_side,2244694465,bOb Bar,40.7224339,-73.9899014,food_drink,24.1,3725.0,residential,,78.1,350.7,322.3,121.9,0.8661311914323963,0.1338688085676037,55714.0,280.1476510067114,1900.0,3,medium,88.34,19,2942,1.4050946259186994
lower_east_side,13540964638,Cherry Bomb,40.7222953,-73.9899612,services,24.1,980.0,residential,,88.0,354.3,306.5,138.0,,,55714.0,242.44897959183675,,3,medium,100.4,16,2942,1.424229639601276
lower_east_side,6236943855,Ms. Yoo,40.7211839,-73.9896938,food_drink,55.9,2200.0,primary,2.0,98.9,261.1,227.8,205.1,0.80004373018476,0.1999562698152399,55714.0,1448.1818181818182,1900.0,3,medium,188.76,46,2942,1.483927701197102
lower_east_side,6260920349,The Commission Social Club,40.7211381,-73.989103,retail,94.9,2698.0,primary,2.0,79.2,242.5,247.5,225.8,0.8000351895838832,0.1999648104161168,90222.0,217.32765011119344,1900.0,3,medium,183.91,59,3868,1.4599923685513685
lower_east_side,2555126645,Fierce Grace,40.721335,-73.9890032,services,94.9,2644.0,primary,2.0,55.8,262.7,236.8,202.5,0.0,1.0,90222.0,451.7019667170953,1920.0,3,medium,161.68,57,3868,1.4656967347983498
