location,osm_id,name,lat,lon,label,distance_m,lot_area_sqft,highway_type,lanes,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,res_ratio,com_ratio,median_income,assess_per_sqft,year_built,pedestrian_rank,pedestrian_category,dist_subway_m,shops_within_100m,population_density,shop_mix_entropy
west_side,1303316713,,40.7880955,-73.9764563,food_drink,25.1,21925.0,primary,4.0,30.7,171.3,186.7,196.4,0.95776830849406,0.0422316915059398,173490.0,1471.340935005701,1903.0,2,high,14.18,27,9200,1.4652127826443817
west_side,1821015958,Broad Nosh Bagel,40.7879675,-73.9764443,food_drink,25.1,21925.0,primary,4.0,33.3,171.2,198.9,182.9,0.95776830849406,0.0422316915059398,173490.0,1471.340935005701,1903.0,2,high,21.43,26,9200,1.4853713127232813
west_side,1825853231,Citibank,40.7880317,-73.9763655,services,25.1,21925.0,secondary,4.0,38.4,173.1,197.0,187.0,0.95776830849406,0.0422316915059398,173490.0,1471.340935005701,1903.0,2,high,11.78,27,9200,1.4787896437495645
west_side,1825853218,Citibank,40.7880383,-73.9763608,services,25.1,21925.0,secondary,4.0,38.7,172.3,196.7,187.6,0.95776830849406,0.0422316915059398,173490.0,1471.340935005701,1903.0,2,high,10.95,27,9200,1.4787896437495645
west_side,1288600479,,40.7886088,-73.9765,food_drink,38.7,30349.0,primary,4.0,24.1,131.5,142.1,251.4,0.8612040133779264,0.1387959866220735,171250.0,2382.083429437543,1987.0,2,high,21.16,25,10125,1.5099330495546366
west_side,11949550422,Juice Generation,40.7882001,-73.976958,food_drink,63.4,22950.0,primary,4.0,7.9,161.2,154.6,225.8,0.0,1.0,173490.0,475.3921568627451,1902.0,2,high,20.34,25,9200,1.485607217361703
west_side,11949550424,Safta's,40.7882908,-73.976882,food_drink,63.4,22950.0,primary,4.0,12.0,173.1,148.8,231.4,0.0,1.0,173490.0,475.3921568627451,1902.0,2,high,9.06,25,9200,1.5020715467884131
west_side,2758709704,Jeffrey Stein Salon,40.7882446,-73.9769207,services,63.4,22950.0,primary,4.0,9.6,167.1,151.7,228.5,0.0,1.0,173490.0,475.3921568627451,1902.0,2,high,14.67,26,9200,1.5020715467884131
west_side,2297514213,Upper 90 Soccer,40.7884138,-73.9771822,services,63.4,6130.0,secondary,4.0,22.0,173.0,125.1,255.9,1.0,0.0,173490.0,546.9004893964111,1910.0,2,high,26.17,23,9200,1.4795044539985425
west_side,2312065745,Sogno Pizza,40.7881539,-73.9769967,food_drink,63.4,22950.0,primary,4.0,10.2,155.1,157.8,223.1,0.0,1.0,173490.0,475.3921568627451,1902.0,2,high,26.31,26,9200,1.5033800354050555
west_side,1821015965,The Crossbar,40.7883801,-73.977098,food_drink,63.4,6130.0,secondary,4.0,14.9,172.6,131.5,249.0,1.0,0.0,173490.0,546.9004893964111,1910.0,2,high,18.69,25,9200,1.470587486819684
west_side,2312065720,Millennium Smoke & News,40.7880901,-73.9770502,retail,63.4,22950.0,primary,4.0,16.8,146.7,162.6,219.7,0.0,1.0,173490.0,475.3921568627451,1902.0,2,high,34.62,27,9200,1.502329266481479
west_side,11563331772,Tend,40.7887241,-73.9757894,services,66.7,67675.0,residential,1.0,29.5,82.1,185.6,252.6,0.8833085463409763,0.1166914536590237,171250.0,1628.222135205024,1920.0,3,medium,55.93,17,10125,1.4954669363630375
west_side,11662303368,Optyx,40.7890752,-73.9755044,services,81.3,20142.0,primary,4.0,26.9,36.3,195.7,291.0,0.8364654316719271,0.1635345683280729,122287.0,2323.279714030384,1984.0,2,high,69.6,22,8652,1.459309825630404
