cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0009_c0033,40.5609699,-73.9032349,Open Space,3
r0014_c0055,40.5677266,-73.8640108,Residential,5
r0014_c0056,40.5677266,-73.8622279,Residential,10
r0015_c0055,40.569078,-73.8640108,Residential,18
r0015_c0056,40.569078,-73.8622279,Residential,23
r0015_c0057,40.569078,-73.860445,Residential,17
r0015_c0058,40.569078,-73.8586621,Residential,8
r0016_c0054,40.5704293,-73.8657937,Open Space,7
r0016_c0055,40.5704293,-73.8640108,Residential,35
r0016_c0056,40.5704293,-73.8622279,Residential,18
r0016_c0057,40.5704293,-73.860445,Residential,23
r0016_c0058,40.5704293,-73.8586621,Residential,29
r0016_c0059,40.5704293,-73.8568792,Residential,29
r0016_c0060,40.5704293,-73.8550963,Residential,11
r0017_c0054,40.5717807,-73.8657937,Residential,26
r0017_c0055,40.5717807,-73.8640108,Residential,36
r0017_c0056,40.5717807,-73.8622279,Residential,47
r0017_c0057,40.5717807,-73.860445,Residential,25
r0017_c0058,40.5717807,-73.8586621,Residential,21
r0017_c0059,40.5717807,-73.8568792,Residential,35
r0017_c0060,40.5717807,-73.8550963,Residential,41
r0017_c0061,40.5717807,-73.8533134,Residential,33
r0017_c0062,40.5717807,-73.8515304,Residential,11
r0018_c0054,40.573132,-73.8657937,Open Space,12
r0018_c0055,40.573132,-73.8640108,Residential,27
r0018_c0056,40.573132,-73.8622279,Residential,34
r0018_c0057,40.573132,-73.860445,Residential,32
r0018_c0058,40.573132,-73.8586621,Residential,35
r0018_c0059,40.573132,-73.8568792,Residential,33
r0018_c0060,40.573132,-73.8550963,Residential,30
r0018_c0061,40.573132,-73.8533134,Residential,32
r0018_c0062,40.573132,-73.8515304,Residential,38
r0018_c0063,40.573132,-73.8497475,Residential,33
r0018_c0064,40.573132,-73.8479646,Residential,11
r0019_c0055,40.5744834,-73.8640108,Open Space,10
r0019_c0056,40.5744834,-73.8622279,Residential,42
r0019_c0057,40.5744834,-73.860445,Residential,32
r0019_c0058,40.5744834,-73.8586621,Residential,29
r0019_c0059,40.5744834,-73.8568792,Residential,37
r0019_c0060,40.5744834,-73.8550963,Residential,39
r0019_c0061,40.5744834,-73.8533134,Residential,33
r0019_c0062,40.5744834,-73.8515304,Residential,25
r0019_c0063,40.5744834,-73.8497475,Residential,34
r0019_c0064,40.5744834,-73.8479646,Residential,46
r0019_c0065,40.5744834,-73.8461817,Residential,45
r0019_c0066,40.5744834,-73.8443988,Open Space,14
r0020_c0055,40.5758348,-73.8640108,Mixed-Use,3
r0020_c0056,40.5758348,-73.8622279,Residential,19
r0020_c0057,40.5758348,-73.860445,Residential,39
r0020_c0058,40.5758348,-73.8586621,Residential,42
r0020_c0059,40.5758348,-73.8568792,Residential,40
r0020_c0060,40.5758348,-73.8550963,Residential,40
r0020_c0061,40.5758348,-73.8533134,Residential,38
r0020_c0062,40.5758348,-73.8515304,Residential,36
r0020_c0063,40.5758348,-73.8497475,Residential,30
r0020_c0064,40.5758348,-73.8479646,Mixed-Use,23
r0020_c0065,40.5758348,-73.8461817,Residential,45
r0020_c0066,40.5758348,-73.8443988,Residential,41
r0020_c0067,40.5758348,-73.8426159,Residential,28
r0020_c0068,40.5758348,-73.840833,Residential,9
r0021_c0057,40.5771861,-73.860445,Residential,16
r0021_c0058,40.5771861,-73.8586621,Residential,29
r0021_c0059,40.5771861,-73.8568792,Residential,38
r0021_c0060,40.5771861,-73.8550963,Institutional,27
r0021_c0061,40.5771861,-73.8533134,Residential,38
r0021_c0062,40.5771861,-73.8515304,Residential,31
r0021_c0063,40.5771861,-73.8497475,Residential,33
r0021_c0064,40.5771861,-73.8479646,Residential,32
r0021_c0065,40.5771861,-73.8461817,Residential,36
r0021_c0066,40.5771861,-73.8443988,Residential,20
r0021_c0067,40.5771861,-73.8426159,Residential,41
r0021_c0068,40.5771861,-73.840833,Residential,44
r0021_c0069,40.5771861,-73.8390501,Residential,29
r0021_c0070,40.5771861,-73.8372672,Residential,6
r0022_c0059,40.5785375,-73.8568792,Residential,35
r0022_c0060,40.5785375,-73.8550963,Residential,35
r0022_c0061,40.5785375,-73.8533134,Residential,33
r0022_c0062,40.5785375,-73.8515304,Residential,39
r0022_c0063,40.5785375,-73.8497475,Residential,48
r0022_c0064,40.5785375,-73.8479646,Residential,37
r0022_c0065,40.5785375,-73.8461817,Residential,41
r0022_c0066,40.5785375,-73.8443988,Residential,42
r0022_c0067,40.5785375,-73.8426159,Residential,33
r0022_c0068,40.5785375,-73.840833,Residential,26
r0022_c0069,40.5785375,-73.8390501,Residential,46
r0022_c0070,40.5785375,-73.8372672,Residential,35
r0022_c0071,40.5785375,-73.8354842,Institutional,10
r0022_c0072,40.5785375,-73.8337013,Institutional,5
r0023_c0060,40.5798888,-73.8550963,Residential,23
r0023_c0061,40.5798888,-73.8533134,Residential,46
r0023_c0062,40.5798888,-73.8515304,Residential,44
r0023_c0063,40.5798888,-73.8497475,Residential,36
r0023_c0064,40.5798888,-73.8479646,Residential,46
r0023_c0065,40.5798888,-73.8461817,Residential,48
r0023_c0066,40.5798888,-73.8443988,Residential,44
r0023_c0067,40.5798888,-73.8426159,Residential,38
r0023_c0068,40.5798888,-73.840833,Residential,39
r0023_c0069,40.5798888,-73.8390501,Residential,44
r0023_c0070,40.5798888,-73.8372672,Commercial,34
r0023_c0071,40.5798888,-73.8354842,Residential,44
r0023_c0072,40.5798888,-73.8337013,Residential,40
r0023_c0073,40.5798888,-73.8319184,Institutional,7
r0023_c0074,40.5798888,-73.8301355,Institutional,29
r0024_c0061,40.5812402,-73.8533134,Residential,10
r0024_c0062,40.5812402,-73.8515304,Residential,31
r0024_c0063,40.5812402,-73.8497475,Residential,42
r0024_c0064,40.5812402,-73.8479646,Residential,27
r0024_c0065,40.5812402,-73.8461817,Residential,32
r0024_c0066,40.5812402,-73.8443988,Residential,26
r0024_c0067,40.5812402,-73.8426159,Residential,33
r0024_c0068,40.5812402,-73.840833,Residential,28
r0024_c0069,40.5812402,-73.8390501,Residential,29
r0024_c0070,40.5812402,-73.8372672,Commercial,11
r0024_c0071,40.5812402,-73.8354842,Commercial,5
r0024_c0072,40.5812402,-73.8337013,Mixed-Use,15
r0024_c0073,40.5812402,-73.8319184,Institutional,19
r0024_c0074,40.5812402,-73.8301355,Residential,24
r0025_c0063,40.5825915,-73.8497475,Mixed-Use,3
r0025_c0069,40.5825915,-73.8390501,Commercial,4
r0025_c0070,40.5825915,-73.8372672,Commercial,7
r0025_c0071,40.5825915,-73.8354842,Mixed-Use,6
r0025_c0072,40.5825915,-73.8337013,Mixed-Use,3
r0025_c0074,40.5825915,-73.8301355,Mixed-Use,13
r0025_c0075,40.5825915,-73.8283526,Commercial,5
r0025_c0076,40.5825915,-73.8265697,Residential,3
r0025_c0079,40.5825915,-73.8212209,Residential,11
r0025_c0080,40.5825915,-73.819438,Mixed-Use,9
r0026_c0074,40.5839429,-73.8301355,Mixed-Use,5
r0026_c0076,40.5839429,-73.8265697,Mixed-Use,7
r0026_c0077,40.5839429,-73.8247868,Institutional,10
r0026_c0078,40.5839429,-73.8230039,Commercial,18
r0026_c0079,40.5839429,-73.8212209,Institutional,33
r0026_c0080,40.5839429,-73.819438,Residential,56
r0026_c0081,40.5839429,-73.8176551,Residential,56
r0026_c0082,40.5839429,-73.8158722,Residential,11
r0026_c0083,40.5839429,-73.8140893,Residential,12
r0027_c0077,40.5852942,-73.8247868,Residential,17
r0027_c0078,40.5852942,-73.8230039,Residential,76
r0027_c0079,40.5852942,-73.8212209,Residential,28
r0027_c0080,40.5852942,-73.819438,Residential,46
r0027_c0081,40.5852942,-73.8176551,Residential,46
r0027_c0082,40.5852942,-73.8158722,Residential,42
r0027_c0083,40.5852942,-73.8140893,Residential,51
r0027_c0084,40.5852942,-73.8123064,Residential,15
r0028_c0080,40.5866456,-73.819438,Industrial,9
r0028_c0081,40.5866456,-73.8176551,Industrial,5
r0028_c0082,40.5866456,-73.8158722,Mixed-Use,43
r0028_c0083,40.5866456,-73.8140893,Residential,44
r0028_c0086,40.5866456,-73.8087406,Residential,3
r0028_c0090,40.5866456,-73.8016089,Open Space,10
r0028_c0091,40.5866456,-73.799826,Open Space,5
r0029_c0081,40.5879969,-73.8176551,Institutional,9
r0029_c0082,40.5879969,-73.8158722,Residential,62
r0029_c0083,40.5879969,-73.8140893,Residential,49
r0029_c0084,40.5879969,-73.8123064,Mixed-Use,31
r0029_c0088,40.5879969,-73.8051747,Residential,9
r0029_c0089,40.5879969,-73.8033918,Residential,5
r0029_c0090,40.5879969,-73.8016089,Residential,36
r0029_c0091,40.5879969,-73.799826,Mixed-Use,48
r0029_c0092,40.5879969,-73.7980431,Residential,37
r0029_c0093,40.5879969,-73.7962602,Mixed-Use,9
r0029_c0094,40.5879969,-73.7944773,Residential,35
r0029_c0095,40.5879969,-73.7926944,Residential,26
r0030_c0081,40.5893483,-73.8176551,Mixed-Use,8
r0030_c0082,40.5893483,-73.8158722,Mixed-Use,21
r0030_c0083,40.5893483,-73.8140893,Residential,58
r0030_c0084,40.5893483,-73.8123064,Residential,65
r0030_c0085,40.5893483,-73.8105235,Mixed-Use,20
r0030_c0088,40.5893483,-73.8051747,Institutional,27
r0030_c0089,40.5893483,-73.8033918,Residential,84
r0030_c0090,40.5893483,-73.8016089,Institutional,11
r0030_c0091,40.5893483,-73.799826,Residential,27
r0030_c0092,40.5893483,-73.7980431,Residential,20
r0030_c0093,40.5893483,-73.7962602,Mixed-Use,12
r0030_c0094,40.5893483,-73.7944773,Residential,53
r0030_c0095,40.5893483,-73.7926944,Mixed-Use,37
