cell_id,amenity_density,amenity_ratio_food_drink
r0009_c0033,577.78,0.0
r0014_c0055,444.44,0.0
r0014_c0056,177.78,0.0
r0015_c0055,177.78,0.0
r0015_c0056,88.89,0.0
r0015_c0057,400.0,0.0
r0015_c0058,222.22,0.0
r0016_c0054,44.44,0.0
r0016_c0055,133.33,0.0
r0016_c0056,88.89,0.0
r0016_c0057,444.44,0.0
r0016_c0058,355.56,0.0
r0016_c0059,311.11,0.0
r0016_c0060,88.89,0.0
r0017_c0054,266.67,0.0
r0017_c0055,355.56,0.0
r0017_c0056,222.22,0.0
r0017_c0057,400.0,0.0
r0017_c0058,177.78,0.0
r0017_c0059,355.56,0.0
r0017_c0060,488.89,0.0
r0017_c0061,444.44,0.0
r0017_c0062,177.78,0.0
r0018_c0054,177.78,0.0
r0018_c0055,266.67,0.0
r0018_c0056,488.89,0.0
r0018_c0057,488.89,0.0
r0018_c0058,266.67,0.0
r0018_c0059,266.67,0.0
r0018_c0060,400.0,0.0
r0018_c0061,355.56,0.0
r0018_c0062,266.67,0.0
r0018_c0063,400.0,0.0
r0018_c0064,133.33,0.0
r0019_c0055,222.22,0.0
r0019_c0056,711.11,0.0
r0019_c0057,222.22,0.0
r0019_c0058,311.11,0.0
r0019_c0059,488.89,0.0
r0019_c0060,355.56,0.0
r0019_c0061,311.11,0.0
r0019_c0062,222.22,0.0
r0019_c0063,266.67,0.0
r0019_c0064,444.44,0.0
r0019_c0065,44.44,0.0
r0019_c0066,177.78,0.0
r0020_c0055,0.0,0.0
r0020_c0056,311.11,0.0
r0020_c0057,400.0,0.0
r0020_c0058,133.33,0.0
r0020_c0059,444.44,0.0
r0020_c0060,355.56,0.0
r0020_c0061,222.22,0.0
r0020_c0062,222.22,0.0
r0020_c0063,222.22,0.0
r0020_c0064,266.67,0.0
r0020_c0065,177.78,0.0
r0020_c0066,88.89,0.0
r0020_c0067,133.33,0.0
r0020_c0068,88.89,0.0
r0021_c0057,355.56,0.0
r0021_c0058,266.67,0.0
r0021_c0059,400.0,0.0
r0021_c0060,266.67,0.0
