cell_id,avg_floors,avg_yearbuilt,total_bldg_area,building_count
r0009_c0033,,,0.0,0
r0014_c0055,2.1,1935,16436.0,9
r0014_c0056,1.9,1948,22221.0,12
r0015_c0055,1.9,1942,43291.0,32
r0015_c0056,2.1,1932,76054.0,39
r0015_c0057,2.4,1949,67301.0,25
r0015_c0058,2.3,1952,36329.0,10
r0016_c0054,1.8,1981,13571.0,9
r0016_c0055,1.8,1955,71086.0,60
r0016_c0056,1.9,1931,42001.0,30
r0016_c0057,2.0,1934,64998.0,34
r0016_c0058,2.3,1946,88566.0,45
r0016_c0059,2.1,1938,55162.0,36
r0016_c0060,2.5,1964,31003.0,17
r0017_c0054,1.5,1946,44812.0,46
r0017_c0055,1.7,1945,62352.0,61
r0017_c0056,1.8,1941,89321.0,70
r0017_c0057,1.9,1946,68624.0,37
r0017_c0058,2.2,1938,55334.0,31
r0017_c0059,2.0,1940,71606.0,57
r0017_c0060,2.2,1931,92482.0,77
r0017_c0061,2.1,1949,77956.0,53
r0017_c0062,2.0,1954,24561.0,15
r0018_c0054,1.8,1951,17904.0,13
r0018_c0055,1.7,1950,66459.0,37
r0018_c0056,1.9,1935,68407.0,59
r0018_c0057,2.0,1923,73008.0,59
r0018_c0058,2.1,1930,69607.0,67
r0018_c0059,2.1,1936,82649.0,61
r0018_c0060,2.2,1934,73550.0,45
r0018_c0061,2.2,1931,70658.0,52
r0018_c0062,2.2,1936,94549.0,70
r0018_c0063,2.0,1940,80730.0,49
r0018_c0064,2.2,1939,25360.0,13
r0019_c0055,1.7,1958,13938.0,11
r0019_c0056,1.8,1954,78427.0,70
r0019_c0057,1.7,1938,56005.0,57
r0019_c0058,2.0,1938,66462.0,45
r0019_c0059,2.0,1930,78419.0,67
r0019_c0060,2.2,1928,87548.0,68
r0019_c0061,2.3,1932,77127.0,58
r0019_c0062,2.3,1936,94204.0,39
r0019_c0063,2.2,1932,87191.0,61
r0019_c0064,2.1,1941,100918.0,71
r0019_c0065,2.2,1963,107436.0,48
r0019_c0066,2.1,1952,35349.0,14
r0020_c0055,,,0.0,0
r0020_c0056,1.8,1944,38553.0,29
r0020_c0057,1.7,1937,64230.0,66
r0020_c0058,1.8,1940,84376.0,75
r0020_c0059,2.1,1938,92969.0,62
r0020_c0060,2.2,1931,73092.0,73
r0020_c0061,2.1,1933,76511.0,67
r0020_c0062,2.2,1929,83407.0,68
r0020_c0063,2.1,1927,75192.0,53
r0020_c0064,2.2,1939,82683.0,30
r0020_c0065,2.0,1950,110821.0,71
r0020_c0066,2.1,1938,113569.0,69
r0020_c0067,2.4,1961,242253.0,31
r0020_c0068,3.1,1946,151879.0,9
r0021_c0057,1.7,1943,33015.0,18
r0021_c0058,1.8,1944,100041.0,42
r0021_c0059,2.0,1936,74225.0,69
r0021_c0060,2.1,1933,142380.0,45
