cell_id,landuse_entropy
r0009_c0033,-0.0
r0014_c0055,-0.0
r0014_c0056,0.8758
r0015_c0055,-0.0
r0015_c0056,-0.0
r0015_c0057,-0.0
r0015_c0058,-0.0
r0016_c0054,0.213
r0016_c0055,-0.0
r0016_c0056,0.5005
r0016_c0057,-0.0
r0016_c0058,0.2529
r0016_c0059,0.5758
r0016_c0060,0.3634
r0017_c0054,-0.0
r0017_c0055,-0.0
r0017_c0056,0.2327
r0017_c0057,0.0986
r0017_c0058,-0.0
r0017_c0059,0.2266
r0017_c0060,-0.0
r0017_c0061,0.7269
r0017_c0062,0.5831
r0018_c0054,1.0404
r0018_c0055,1.1263
r0018_c0056,-0.0
r0018_c0057,-0.0
r0018_c0058,-0.0
r0018_c0059,-0.0
r0018_c0060,0.2669
r0018_c0061,0.1249
r0018_c0062,-0.0
r0018_c0063,0.5782
r0018_c0064,1.1048
r0019_c0055,1.3377
r0019_c0056,0.1414
r0019_c0057,0.1639
r0019_c0058,0.2848
r0019_c0059,-0.0
r0019_c0060,0.3858
r0019_c0061,0.5953
r0019_c0062,1.1914
r0019_c0063,0.4321
r0019_c0064,0.3299
r0019_c0065,0.9723
r0019_c0066,0.0796
r0020_c0055,-0.0
r0020_c0056,0.6504
r0020_c0057,0.1586
r0020_c0058,-0.0
r0020_c0059,0.4346
r0020_c0060,0.232
r0020_c0061,0.3591
r0020_c0062,0.21
r0020_c0063,0.2927
r0020_c0064,2.1319
r0020_c0065,0.7783
r0020_c0066,1.0933
r0020_c0067,2.0378
r0020_c0068,1.4353
r0021_c0057,0.9356
r0021_c0058,0.9511
r0021_c0059,0.2203
r0021_c0060,1.1975
r0021_c0061,0.5072
r0021_c0062,0.6233
r0021_c0063,0.4421
r0021_c0064,0.8198
r0021_c0065,0.6284
r0021_c0066,1.5367
r0021_c0067,1.2377
r0021_c0068,1.2426
r0021_c0069,1.957
r0021_c0070,0.9597
r0022_c0059,-0.0
r0022_c0060,0.1738
r0022_c0061,0.2195
r0022_c0062,0.1529
r0022_c0063,2.0319
r0022_c0064,0.7734
r0022_c0065,0.4223
r0022_c0066,0.9245
r0022_c0067,1.8051
r0022_c0068,1.6336
r0022_c0069,1.3106
r0022_c0070,2.197
r0022_c0071,1.6692
r0022_c0072,0.6723
r0023_c0060,0.5445
r0023_c0061,-0.0
r0023_c0062,0.8087
r0023_c0063,0.6167
r0023_c0064,0.2719
r0023_c0065,0.4174
r0023_c0066,0.6978
r0023_c0067,0.7915
r0023_c0068,1.1287
r0023_c0069,1.1986
r0023_c0070,1.7451
r0023_c0071,2.0011
r0023_c0072,1.7502
r0023_c0073,0.4548
r0023_c0074,1.4317
r0024_c0061,-0.0
r0024_c0062,-0.0
r0024_c0063,-0.0
r0024_c0064,1.2173
r0024_c0065,0.6585
r0024_c0066,0.38
r0024_c0067,0.6763
r0024_c0068,0.7463
r0024_c0069,2.1771
r0024_c0070,1.777
r0024_c0071,0.4391
r0024_c0072,0.8303
r0024_c0073,1.8917
r0024_c0074,1.3764
r0025_c0063,-0.0
r0025_c0069,0.8959
r0025_c0070,0.7284
r0025_c0071,1.2086
r0025_c0072,0.8919
r0025_c0074,1.8782
r0025_c0075,1.5573
r0025_c0076,0.8693
r0025_c0079,1.1966
r0025_c0080,1.1733
r0026_c0074,0.2332
r0026_c0076,0.7673
r0026_c0077,1.6661
r0026_c0078,1.882
r0026_c0079,2.2847
r0026_c0080,1.0202
r0026_c0081,1.6368
r0026_c0082,1.8281
r0026_c0083,1.5231
r0027_c0077,-0.0
r0027_c0078,1.0398
r0027_c0079,1.5484
r0027_c0080,2.2679
r0027_c0081,2.0647
r0027_c0082,1.3696
r0027_c0083,1.3712
r0027_c0084,1.4185
r0028_c0080,0.4579
r0028_c0081,1.4774
r0028_c0082,2.5498
r0028_c0083,2.2829
r0028_c0086,0.7738
r0028_c0090,0.2792
r0028_c0091,0.7101
r0029_c0081,1.2962
r0029_c0082,1.3006
r0029_c0083,2.4196
r0029_c0084,3.0289
r0029_c0088,0.2036
r0029_c0089,0.1674
r0029_c0090,1.2525
r0029_c0091,0.944
r0029_c0092,-0.0
r0029_c0093,1.1695
r0029_c0094,0.9952
r0029_c0095,0.9767
r0030_c0081,0.9405
r0030_c0082,1.6328
r0030_c0083,0.9312
r0030_c0084,1.661
r0030_c0085,2.3819
r0030_c0088,0.937
r0030_c0089,0.2358
r0030_c0090,0.6902
r0030_c0091,-0.0
r0030_c0092,0.9985
r0030_c0093,1.3893
r0030_c0094,-0.0
r0030_c0095,0.6928
r0030_c0096,0.9138
r0030_c0097,1.4926
r0031_c0083,0.4513
r0031_c0084,1.2329
r0031_c0085,2.1747
r0031_c0086,-0.0
r0031_c0087,0.8758
r0031_c0088,1.7773
r0031_c0089,2.7757
r0031_c0090,2.0669
r0031_c0091,1.4093
r0031_c0092,1.9238
r0031_c0093,1.7866
r0031_c0094,1.8302
r0031_c0095,0.3822
r0031_c0096,0.9722
r0031_c0097,0.8337
r0032_c0084,-0.0
r0032_c0085,1.2653
r0032_c0086,0.0429
r0032_c0087,0.231
r0032_c0089,0.6376
r0032_c0090,1.9982
r0032_c0091,2.4042
r0032_c0092,1.0712
r0032_c0093,2.2887
r0032_c0094,1.7729
r0032_c0095,1.7695
r0032_c0096,0.3732
r0032_c0097,1.821
r0032_c0098,1.3613
r0032_c0100,0.6437
r0032_c0101,0.4015
r0032_c0105,0.0767
r0032_c0114,1.1044
r0033_c0090,1.6157
r0033_c0091,1.1658
r0033_c0092,0.8453
r0033_c0093,2.3538
r0033_c0094,1.6177
r0033_c0095,1.6582
r0033_c0098,1.3076
r0033_c0100,2.3342
r0033_c0101,0.767
r0033_c0102,0.9442
r0033_c0103,1.7367
r0033_c0104,1.7755
r0033_c0105,2.0574
r0033_c0106,1.5306
r0033_c0107,1.0772
r0033_c0108,-0.0
r0033_c0111,1.244
r0033_c0112,1.1193
r0033_c0113,1.3429
r0033_c0114,1.393
r0033_c0115,0.9385
r0034_c0089,0.5231
r0034_c0090,1.8638
r0034_c0091,0.2638
r0034_c0092,1.3082
r0034_c0093,1.2964
r0034_c0094,1.3049
r0034_c0095,0.7776
r0034_c0096,0.8342
r0034_c0097,0.9208
r0034_c0100,1.7735
r0034_c0101,1.4527
r0034_c0102,1.2306
r0034_c0103,1.4199
r0034_c0104,1.3489
r0034_c0105,0.5612
r0034_c0106,0.08
r0034_c0107,1.094
r0034_c0108,1.6244
r0034_c0109,0.7493
r0034_c0111,1.4382
r0034_c0112,1.6077
r0034_c0113,1.8349
r0034_c0114,1.2909
r0034_c0115,1.0009
r0034_c0117,-0.0
r0034_c0123,0.9576
r0034_c0124,0.672
r0034_c0125,0.1003
r0035_c0088,0.7793
r0035_c0089,1.6334
r0035_c0090,1.2669
r0035_c0091,0.5368
r0035_c0092,0.168
r0035_c0093,1.2279
r0035_c0094,0.1143
r0035_c0095,0.9084
r0035_c0096,0.7955
r0035_c0097,-0.0
r0035_c0102,0.6848
r0035_c0103,0.4992
r0035_c0104,1.3784
r0035_c0105,2.0304
r0035_c0106,0.8812
r0035_c0107,0.7582
r0035_c0108,0.6682
r0035_c0109,1.2296
r0035_c0110,0.8886
r0035_c0111,1.4112
r0035_c0112,1.052
r0035_c0113,1.4113
r0035_c0114,1.5024
r0035_c0115,0.5277
r0035_c0117,1.8454
r0035_c0119,1.5376
r0035_c0120,1.8392
r0035_c0121,2.209
r0035_c0122,0.7009
r0035_c0123,0.9354
r0035_c0124,0.8176
r0035_c0125,1.0089
r0036_c0080,1.1344
r0036_c0088,0.4493
r0036_c0089,0.9189
r0036_c0090,0.9358
r0036_c0091,0.1603
r0036_c0092,0.873
r0036_c0093,0.4179
r0036_c0094,-0.0
r0036_c0095,0.7116
r0036_c0096,1.6864
r0036_c0102,0.7273
r0036_c0103,1.0291
r0036_c0104,1.1049
r0036_c0105,1.5063
r0036_c0107,0.7112
r0036_c0108,1.5699
r0036_c0109,0.8796
r0036_c0110,2.0073
r0036_c0111,1.9795
r0036_c0112,0.6954
r0036_c0113,1.0971
r0036_c0114,0.9681
r0036_c0115,0.2024
r0036_c0117,1.16
r0036_c0118,1.1399
r0036_c0119,1.6481
r0036_c0120,1.1225
r0036_c0121,0.6773
r0036_c0122,1.0134
r0036_c0123,0.7027
r0036_c0124,0.994
r0036_c0125,-0.0
r0037_c0078,0.2477
r0037_c0079,1.4422
r0037_c0080,1.131
r0037_c0089,-0.0
r0037_c0090,0.9262
r0037_c0091,0.7622
r0037_c0092,1.0084
r0037_c0093,0.511
r0037_c0094,0.9516
r0037_c0095,0.4702
r0037_c0096,0.5729
r0037_c0104,0.971
r0037_c0105,1.2115
r0037_c0110,1.8769
r0037_c0111,1.8115
r0037_c0112,1.1208
r0037_c0113,0.3027
r0037_c0114,-0.0
r0037_c0115,0.9772
r0037_c0116,1.7301
r0037_c0117,0.2877
r0037_c0118,1.2288
r0037_c0119,1.2522
r0037_c0120,1.2831
r0037_c0121,0.3232
r0037_c0122,0.2397
r0037_c0123,1.5428
r0037_c0124,0.161
r0037_c0125,0.7257
r0038_c0077,0.6217
r0038_c0078,0.9932
r0038_c0079,1.1917
r0038_c0080,1.8707
r0038_c0104,0.1297
r0038_c0105,0.8182
r0038_c0109,-0.0
r0038_c0110,0.7007
r0038_c0111,1.0565
r0038_c0112,0.7049
r0038_c0113,1.3598
r0038_c0114,1.0624
r0038_c0115,1.7127
r0038_c0116,2.2148
r0038_c0117,1.7207
r0038_c0118,1.836
r0038_c0119,2.0803
r0038_c0120,0.7728
r0038_c0121,1.4461
r0038_c0122,0.832
r0038_c0123,0.6962
r0038_c0124,-0.0
r0038_c0125,0.2999
r0039_c0078,0.6329
r0039_c0079,0.6406
r0039_c0080,1.5738
r0039_c0105,0.9854
r0039_c0109,0.8766
r0039_c0110,1.0045
r0039_c0111,0.1073
r0039_c0112,0.3188
r0039_c0113,1.654
r0039_c0114,1.4372
r0039_c0115,1.6468
r0039_c0116,2.3703
r0039_c0117,2.0714
r0039_c0118,2.9344
r0039_c0119,1.9448
r0039_c0120,1.9342
r0039_c0121,1.5063
r0039_c0122,0.4892
r0039_c0123,-0.0
r0039_c0124,0.3427
r0039_c0125,-0.0
r0040_c0078,0.9448
r0040_c0079,0.1633
r0040_c0080,1.0878
r0040_c0081,0.014
r0040_c0108,-0.0
r0040_c0109,1.2152
r0040_c0110,0.3482
r0040_c0111,-0.0
r0040_c0112,-0.0
r0040_c0113,0.5298
r0040_c0114,1.3003
r0040_c0115,0.9994
r0040_c0116,1.9339
r0040_c0117,1.2399
r0040_c0118,2.3839
r0040_c0119,2.1242
r0040_c0120,1.5561
r0040_c0121,2.1254
r0040_c0122,0.6884
r0040_c0123,-0.0
r0040_c0124,0.3448
r0040_c0125,0.023
r0041_c0078,0.9948
r0041_c0079,0.342
r0041_c0080,1.0
r0041_c0081,1.392
r0041_c0108,0.818
r0041_c0109,1.1439
r0041_c0110,1.1136
r0041_c0111,-0.0
r0041_c0112,0.4345
r0041_c0113,1.0751
r0041_c0114,0.8468
r0041_c0115,0.6822
r0041_c0116,1.9622
r0041_c0117,1.3623
r0041_c0118,2.0833
r0041_c0119,1.2925
r0041_c0120,1.6437
r0041_c0121,1.2406
r0041_c0122,1.1949
r0041_c0123,-0.0
r0041_c0124,0.1191
r0041_c0125,-0.0
r0042_c0078,0.7167
r0042_c0079,0.4407
r0042_c0080,1.0715
r0042_c0081,0.8827
r0042_c0082,0.9972
r0042_c0108,0.7263
r0042_c0109,0.4797
r0042_c0110,0.8441
r0042_c0111,0.8037
r0042_c0112,-0.0
r0042_c0113,0.5704
r0042_c0114,1.5095
r0042_c0115,1.5817
r0042_c0116,1.6237
r0042_c0117,0.3903
r0042_c0118,1.9564
r0042_c0119,1.5412
r0042_c0120,1.0938
r0042_c0121,0.9666
r0042_c0122,0.8153
r0042_c0123,-0.0
r0042_c0124,0.8014
r0043_c0079,1.3674
r0043_c0080,1.6221
r0043_c0081,1.0025
r0043_c0082,1.6624
r0043_c0108,1.0
r0043_c0109,0.2454
r0043_c0110,0.3252
r0043_c0111,0.4423
r0043_c0112,0.5211
r0043_c0113,0.9407
r0043_c0114,1.2212
r0043_c0115,1.5509
r0043_c0116,2.0905
r0043_c0117,2.0341
r0043_c0118,2.2378
r0043_c0119,2.1254
r0043_c0120,1.4656
r0043_c0121,0.6212
r0043_c0122,1.81
r0043_c0123,0.7917
r0044_c0079,-0.0
r0044_c0080,1.1317
r0044_c0081,0.5625
r0044_c0082,1.0814
r0044_c0108,0.5788
r0044_c0109,0.1082
r0044_c0110,0.4174
r0044_c0111,1.1793
r0044_c0112,-0.0
r0044_c0113,0.598
r0044_c0114,0.1756
r0044_c0115,0.9225
r0044_c0116,0.8907
r0044_c0117,2.1536
r0044_c0118,0.9531
r0044_c0119,1.2314
r0044_c0120,1.777
r0044_c0121,1.4042
r0044_c0122,0.5021
r0044_c0123,1.2159
r0045_c0080,1.0576
r0045_c0081,0.7661
r0045_c0108,1.3783
r0045_c0109,0.2868
r0045_c0110,0.4993
r0045_c0111,0.0348
r0045_c0114,0.9872
r0045_c0115,0.7674
r0045_c0116,1.2041
r0045_c0117,1.2142
r0045_c0119,1.6505
r0045_c0120,1.6628
r0045_c0121,1.4604
r0045_c0122,1.4824
r0046_c0080,0.7291
r0046_c0081,0.1955
r0046_c0106,-0.0
r0046_c0107,0.7272
r0046_c0108,0.062
r0046_c0109,0.1566
r0046_c0110,0.7757
r0046_c0111,1.0733
r0046_c0112,0.8034
r0046_c0120,1.3807
r0046_c0121,0.983
r0046_c0122,1.1337
r0047_c0079,0.9741
r0047_c0080,0.5917
r0047_c0107,-0.0
r0047_c0108,0.0562
r0047_c0109,-0.0
r0047_c0110,1.3844
r0047_c0120,1.5463
r0047_c0121,-0.0
r0048_c0078,0.9821
r0048_c0079,1.5081
r0048_c0080,0.7769
r0048_c0108,0.9962
r0048_c0109,1.5293
r0048_c0110,1.4731
r0049_c0079,0.482
r0050_c0079,0.2905
r0064_c0123,0.1721
r0064_c0124,2.3545
r0065_c0121,0.5615
r0065_c0124,1.9223
r0066_c0121,1.0583
r0066_c0122,1.4239
r0066_c0123,0.8118
r0067_c0122,0.9398
r0067_c0123,0.9398
r0069_c0123,0.5049
r0070_c0122,-0.0
r0070_c0123,-0.0
r0071_c0122,-0.0
r0071_c0123,-0.0
r0072_c0122,0.8847
r0072_c0123,-0.0
r0072_c0124,-0.0
r0073_c0065,0.0818
r0073_c0122,0.9631
r0074_c0065,-0.0
r0074_c0066,0.0324
r0074_c0067,0.3095
r0074_c0068,0.4135
r0074_c0069,-0.0
r0074_c0070,0.6858
r0075_c0064,-0.0
r0075_c0065,0.1255
r0075_c0066,-0.0
r0075_c0067,-0.0
r0075_c0068,0.0984
r0075_c0069,0.6648
r0075_c0070,1.1778
r0075_c0071,0.8207
r0075_c0072,0.5594
r0075_c0073,0.5078
r0075_c0074,0.5323
r0075_c0075,0.9918
r0075_c0076,1.3646
r0075_c0126,0.6393
r0075_c0127,1.5065
r0075_c0128,1.1464
r0075_c0129,1.413
r0075_c0130,0.7141
r0076_c0064,-0.0
r0076_c0065,-0.0
r0076_c0066,-0.0
r0076_c0067,-0.0
r0076_c0068,-0.0
r0076_c0069,1.4057
r0076_c0070,1.7178
r0076_c0071,0.1726
r0076_c0072,0.0539
r0076_c0073,0.5329
r0076_c0074,1.0252
r0076_c0075,1.3013
r0076_c0076,0.1304
r0076_c0126,0.8452
r0076_c0127,0.6768
r0076_c0128,0.6149
r0076_c0129,0.9788
r0076_c0130,0.9864
r0076_c0131,0.6432
r0076_c0132,1.3923
