cell_id,shop_density_km2,brand_ratio
r0009_c0033,0.0,0.0
r0014_c0055,0.0,0.0
r0014_c0056,0.0,0.0
r0015_c0055,0.0,0.0
r0015_c0056,0.0,0.0
r0015_c0057,0.0,0.0
r0015_c0058,0.0,0.0
r0016_c0054,0.0,0.0
r0016_c0055,0.0,0.0
r0016_c0056,0.0,0.0
r0016_c0057,0.0,0.0
r0016_c0058,0.0,0.0
r0016_c0059,0.0,0.0
r0016_c0060,0.0,0.0
r0017_c0054,0.0,0.0
r0017_c0055,0.0,0.0
r0017_c0056,0.0,0.0
r0017_c0057,0.0,0.0
r0017_c0058,0.0,0.0
r0017_c0059,0.0,0.0
r0017_c0060,0.0,0.0
r0017_c0061,0.0,0.0
r0017_c0062,0.0,0.0
r0018_c0054,0.0,0.0
r0018_c0055,0.0,0.0
r0018_c0056,0.0,0.0
r0018_c0057,0.0,0.0
r0018_c0058,0.0,0.0
r0018_c0059,0.0,0.0
r0018_c0060,0.0,0.0
r0018_c0061,0.0,0.0
r0018_c0062,0.0,0.0
r0018_c0063,0.0,0.0
r0018_c0064,0.0,0.0
r0019_c0055,0.0,0.0
r0019_c0056,0.0,0.0
r0019_c0057,0.0,0.0
r0019_c0058,0.0,0.0
r0019_c0059,0.0,0.0
r0019_c0060,0.0,0.0
r0019_c0061,0.0,0.0
r0019_c0062,0.0,0.0
r0019_c0063,0.0,0.0
r0019_c0064,0.0,0.0
r0019_c0065,0.0,0.0
r0019_c0066,0.0,0.0
r0020_c0055,0.0,0.0
r0020_c0056,0.0,0.0
r0020_c0057,0.0,0.0
r0020_c0058,0.0,0.0
r0020_c0059,0.0,0.0
r0020_c0060,0.0,0.0
r0020_c0061,0.0,0.0
r0020_c0062,0.0,0.0
r0020_c0063,0.0,0.0
r0020_c0064,0.0,0.0
r0020_c0065,0.0,0.0
r0020_c0066,0.0,0.0
r0020_c0067,0.0,0.0
r0020_c0068,0.0,0.0
r0021_c0057,0.0,0.0
r0021_c0058,0.0,0.0
r0021_c0059,0.0,0.0
r0021_c0060,0.0,0.0
r0021_c0061,0.0,0.0
r0021_c0062,0.0,0.0
r0021_c0063,0.0,0.0
r0021_c0064,0.0,0.0
r0021_c0065,0.0,0.0
r0021_c0066,0.0,0.0
r0021_c0067,0.0,0.0
r0021_c0068,0.0,0.0
r0021_c0069,0.0,0.0
r0021_c0070,0.0,0.0
r0022_c0059,0.0,0.0
r0022_c0060,0.0,0.0
r0022_c0061,0.0,0.0
r0022_c0062,0.0,0.0
r0022_c0063,177.78,0.0
r0022_c0064,0.0,0.0
r0022_c0065,0.0,0.0
