cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
r0009_c0033,40.5609699,-73.9032349,Open Space,3,577.78,0.0,,,0.0,0,-0.0,0.0,0.0,0.0
r0014_c0055,40.5677266,-73.8640108,Residential,5,444.44,0.0,2.1,1935.0,16436.0,9,-0.0,0.0,0.0,0.0
r0014_c0056,40.5677266,-73.8622279,Residential,10,177.78,0.0,1.9,1948.0,22221.0,12,0.8758,0.0,0.0,0.0
r0015_c0055,40.569078,-73.8640108,Residential,18,177.78,0.0,1.9,1942.0,43291.0,32,-0.0,0.0,0.0,0.0
r0015_c0056,40.569078,-73.8622279,Residential,23,88.89,0.0,2.1,1932.0,76054.0,39,-0.0,0.0,0.0,0.0
r0015_c0057,40.569078,-73.860445,Residential,17,400.0,0.0,2.4,1949.0,67301.0,25,-0.0,0.0,0.0,0.0
r0015_c0058,40.569078,-73.8586621,Residential,8,222.22,0.0,2.3,1952.0,36329.0,10,-0.0,0.0,0.0,0.0
r0016_c0054,40.5704293,-73.8657937,Open Space,7,44.44,0.0,1.8,1981.0,13571.0,9,0.213,0.0,0.0,0.0
r0016_c0055,40.5704293,-73.8640108,Residential,35,133.33,0.0,1.8,1955.0,71086.0,60,-0.0,0.0,0.0,0.0
r0016_c0056,40.5704293,-73.8622279,Residential,18,88.89,0.0,1.9,1931.0,42001.0,30,0.5005,0.0,0.0,0.0
r0016_c0057,40.5704293,-73.860445,Residential,23,444.44,0.0,2.0,1934.0,64998.0,34,-0.0,0.0,0.0,0.0
r0016_c0058,40.5704293,-73.8586621,Residential,29,355.56,0.0,2.3,1946.0,88566.0,45,0.2529,0.0,0.0,0.0
r0016_c0059,40.5704293,-73.8568792,Residential,29,311.11,0.0,2.1,1938.0,55162.0,36,0.5758,0.0,0.0,0.0
r0016_c0060,40.5704293,-73.8550963,Residential,11,88.89,0.0,2.5,1964.0,31003.0,17,0.3634,0.0,0.0,0.0
r0017_c0054,40.5717807,-73.8657937,Residential,26,266.67,0.0,1.5,1946.0,44812.0,46,-0.0,0.0,0.0,0.0
r0017_c0055,40.5717807,-73.8640108,Residential,36,355.56,0.0,1.7,1945.0,62352.0,61,-0.0,0.0,0.0,0.0
r0017_c0056,40.5717807,-73.8622279,Residential,47,222.22,0.0,1.8,1941.0,89321.0,70,0.2327,0.0,0.0,0.0
r0017_c0057,40.5717807,-73.860445,Residential,25,400.0,0.0,1.9,1946.0,68624.0,37,0.0986,0.0,0.0,0.0
r0017_c0058,40.5717807,-73.8586621,Residential,21,177.78,0.0,2.2,1938.0,55334.0,31,-0.0,0.0,0.0,0.0
r0017_c0059,40.5717807,-73.8568792,Residential,35,355.56,0.0,2.0,1940.0,71606.0,57,0.2266,0.0,0.0,0.0
r0017_c0060,40.5717807,-73.8550963,Residential,41,488.89,0.0,2.2,1931.0,92482.0,77,-0.0,0.0,0.0,0.0
r0017_c0061,40.5717807,-73.8533134,Residential,33,444.44,0.0,2.1,1949.0,77956.0,53,0.7269,0.0,0.0,0.0
r0017_c0062,40.5717807,-73.8515304,Residential,11,177.78,0.0,2.0,1954.0,24561.0,15,0.5831,0.0,0.0,0.0
r0018_c0054,40.573132,-73.8657937,Open Space,12,177.78,0.0,1.8,1951.0,17904.0,13,1.0404,0.0,0.0,0.0
r0018_c0055,40.573132,-73.8640108,Residential,27,266.67,0.0,1.7,1950.0,66459.0,37,1.1263,0.0,0.0,0.0
r0018_c0056,40.573132,-73.8622279,Residential,34,488.89,0.0,1.9,1935.0,68407.0,59,-0.0,0.0,0.0,0.0
r0018_c0057,40.573132,-73.860445,Residential,32,488.89,0.0,2.0,1923.0,73008.0,59,-0.0,0.0,0.0,0.0
r0018_c0058,40.573132,-73.8586621,Residential,35,266.67,0.0,2.1,1930.0,69607.0,67,-0.0,0.0,0.0,0.0
r0018_c0059,40.573132,-73.8568792,Residential,33,266.67,0.0,2.1,1936.0,82649.0,61,-0.0,0.0,0.0,0.0
r0018_c0060,40.573132,-73.8550963,Residential,30,400.0,0.0,2.2,1934.0,73550.0,45,0.2669,0.0,0.0,0.0
r0018_c0061,40.573132,-73.8533134,Residential,32,355.56,0.0,2.2,1931.0,70658.0,52,0.1249,0.0,0.0,0.0
r0018_c0062,40.573132,-73.8515304,Residential,38,266.67,0.0,2.2,1936.0,94549.0,70,-0.0,0.0,0.0,0.0
r0018_c0063,40.573132,-73.8497475,Residential,33,400.0,0.0,2.0,1940.0,80730.0,49,0.5782,0.0,0.0,0.0
r0018_c0064,40.573132,-73.8479646,Residential,11,133.33,0.0,2.2,1939.0,25360.0,13,1.1048,0.0,0.0,0.0
