tract_id,borough,tract_lat,tract_lon,zone_type,tract_lot_count
1000100,MN,40.694054,-74.043333,Mixed-Use,2
1000201,MN,40.7135133,-73.9859895,Mixed-Use,43
1000202,MN,40.7133794,-73.982513,Residential,51
1000500,MN,40.6905564,-74.01756,Institutional,4
1000600,MN,40.7133614,-73.9900428,Mixed-Use,162
1000700,MN,40.7059488,-74.0084402,Commercial,68
1000800,MN,40.7127927,-73.9951989,Mixed-Use,249
1000900,MN,40.7039835,-74.0113918,Commercial,99
1001001,MN,40.7159214,-73.9770387,Open Space,5
1001002,MN,40.7178138,-73.9769249,Residential,7
1001200,MN,40.7165079,-73.9827525,Residential,37
1001300,MN,40.7085837,-74.0130159,Commercial,85
1001401,MN,40.7149207,-73.9871077,Residential,9
1001402,MN,40.7182138,-73.9858289,Mixed-Use,89
1001501,MN,40.7089531,-74.0037251,Mixed-Use,143
1001502,MN,40.7084645,-74.0070197,Mixed-Use,133
1001600,MN,40.716121,-73.9923225,Mixed-Use,312
1001800,MN,40.7190903,-73.9910107,Mixed-Use,311
1002000,MN,40.720082,-73.9768781,Residential,3
1002100,MN,40.7146108,-74.0091137,Mixed-Use,178
1002201,MN,40.7199307,-73.9833189,Residential,103
1002202,MN,40.7213613,-73.9812291,Residential,97
1002400,MN,40.7253337,-73.9734155,Residential,7
1002500,MN,40.7091548,-73.9977792,Mixed-Use,7
1002601,MN,40.7223844,-73.9797719,Residential,145
1002602,MN,40.7243404,-73.9787519,Residential,200
1002700,MN,40.7126638,-73.9982039,Residential,50
1002800,MN,40.7265929,-73.977871,Residential,160
1002901,MN,40.7142862,-74.0014303,Institutional,17
1002902,MN,40.7153588,-73.998435,Mixed-Use,206
1003001,MN,40.7209077,-73.986922,Mixed-Use,218
1003002,MN,40.7228048,-73.98548,Mixed-Use,86
1003100,MN,40.717268,-74.0023522,Commercial,84
1003200,MN,40.7255523,-73.9837863,Mixed-Use,291
1003300,MN,40.7185408,-74.005831,Mixed-Use,368
1003400,MN,40.7287606,-73.9814696,Mixed-Use,334
1003601,MN,40.722156,-73.9912288,Residential,95
1003602,MN,40.7245936,-73.9898677,Mixed-Use,128
1003700,MN,40.7263009,-74.0062355,Mixed-Use,224
1003800,MN,40.7273414,-73.9882199,Mixed-Use,452
