tract_id,amenity_count_total,amenity_count_food_drink,amenity_count_retail,amenity_count_services,amenity_count_office,amenity_count_hotel,amenity_count_entertainment,amenity_count_education,amenity_count_healthcare,amenity_ratio_food_drink,amenity_ratio_retail,amenity_ratio_services,amenity_ratio_office,amenity_ratio_hotel,amenity_ratio_entertainment,amenity_ratio_education,amenity_ratio_healthcare,amenity_density
1000100,4,2,0,0,0,0,2,0,0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5.09
1000201,11,1,3,2,0,0,1,2,2,0.0909,0.2727,0.1818,0.0,0.0,0.0909,0.1818,0.1818,14.01
1000202,21,9,6,3,0,0,0,2,1,0.4286,0.2857,0.1429,0.0,0.0,0.0,0.0952,0.0476,26.74
1000500,24,9,0,4,0,0,9,2,0,0.375,0.0,0.1667,0.0,0.0,0.375,0.0833,0.0,30.56
1000600,71,37,18,6,3,0,2,2,3,0.5211,0.2535,0.0845,0.0423,0.0,0.0282,0.0282,0.0423,90.4
1000700,144,73,27,12,6,12,7,1,6,0.5069,0.1875,0.0833,0.0417,0.0833,0.0486,0.0069,0.0417,183.35
1000800,90,39,30,6,0,4,3,4,4,0.4333,0.3333,0.0667,0.0,0.0444,0.0333,0.0444,0.0444,114.59
1000900,135,74,15,15,10,5,5,5,6,0.5481,0.1111,0.1111,0.0741,0.037,0.037,0.037,0.0444,171.89
1001001,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001002,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.27
1001200,9,4,1,1,0,0,2,0,1,0.4444,0.1111,0.1111,0.0,0.0,0.2222,0.0,0.1111,11.46
1001300,140,57,44,9,9,9,4,3,5,0.4071,0.3143,0.0643,0.0643,0.0643,0.0286,0.0214,0.0357,178.25
1001401,35,17,8,3,1,0,2,2,2,0.4857,0.2286,0.0857,0.0286,0.0,0.0571,0.0571,0.0571,44.56
1001402,109,59,27,10,0,1,7,2,3,0.5413,0.2477,0.0917,0.0,0.0092,0.0642,0.0183,0.0275,138.78
1001501,85,48,20,3,1,2,3,5,3,0.5647,0.2353,0.0353,0.0118,0.0235,0.0353,0.0588,0.0353,108.23
1001502,214,104,42,28,7,8,4,13,8,0.486,0.1963,0.1308,0.0327,0.0374,0.0187,0.0607,0.0374,272.47
1001600,152,76,33,19,3,6,11,2,2,0.5,0.2171,0.125,0.0197,0.0395,0.0724,0.0132,0.0132,193.53
1001800,189,81,50,21,5,3,19,5,5,0.4286,0.2646,0.1111,0.0265,0.0159,0.1005,0.0265,0.0265,240.64
1002000,9,2,1,0,0,0,0,4,2,0.2222,0.1111,0.0,0.0,0.0,0.0,0.4444,0.2222,11.46
1002100,223,98,51,30,11,4,7,2,20,0.4395,0.2287,0.1345,0.0493,0.0179,0.0314,0.009,0.0897,283.93
1002201,52,24,6,14,0,0,5,3,0,0.4615,0.1154,0.2692,0.0,0.0,0.0962,0.0577,0.0,66.21
1002202,29,14,6,5,0,0,3,0,1,0.4828,0.2069,0.1724,0.0,0.0,0.1034,0.0,0.0345,36.92
1002400,6,1,1,0,0,0,2,1,1,0.1667,0.1667,0.0,0.0,0.0,0.3333,0.1667,0.1667,7.64
1002500,3,2,0,0,0,0,1,0,0,0.6667,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,3.82
1002601,16,3,4,2,1,0,2,2,2,0.1875,0.25,0.125,0.0625,0.0,0.125,0.125,0.125,20.37
