tract_id,avg_floors,avg_yearbuilt,lot_area_mean,total_bldg_area,building_count
1000100,,1900,1653038.0,1145016.0,23
1000201,5.4,1912,26085.0,1593392.0,43
1000202,5.8,1923,48481.0,3707226.0,78
1000500,3.2,1900,1934173.0,2636571.0,136
1000600,6.1,1927,11591.0,5890839.0,181
1000700,24.8,1933,28674.0,29583962.0,71
1000800,5.3,1919,5723.0,4382535.0,259
1000900,14.8,1914,27234.0,22902593.0,101
1001001,6.0,1932,516784.0,1279058.0,8
1001002,5.9,1933,183780.0,3156180.0,24
1001200,6.8,1945,24664.0,2399316.0,37
1001300,20.4,1939,27150.0,26128932.0,95
1001401,8.7,1951,82155.0,2208447.0,12
1001402,6.6,1935,9175.0,3268028.0,90
1001501,9.1,1911,16143.0,10703228.0,169
1001502,15.1,1935,11231.0,15884776.0,147
1001600,5.2,1916,4477.0,3858375.0,338
1001800,5.6,1921,4535.0,5322404.0,334
1002000,9.5,1927,252429.0,1797649.0,19
1002100,10.0,1917,11168.0,17959547.0,185
1002201,5.3,1935,12661.0,3407448.0,110
1002202,5.6,1941,3596.0,1454509.0,98
1002400,11.3,1949,132306.0,1450209.0,28
1002500,6.5,1941,289781.0,1515392.0,18
1002601,4.9,1930,5476.0,1866820.0,118
1002602,5.0,1924,3799.0,2404674.0,195
1002700,4.9,1907,7172.0,964791.0,55
1002800,5.8,1930,8844.0,4117809.0,181
1002901,12.9,1945,50274.0,6682831.0,25
1002902,5.3,1918,4143.0,3972774.0,248
1003001,5.3,1921,3804.0,3398908.0,252
1003002,5.4,1921,6257.0,1777551.0,104
1003100,8.9,1913,16416.0,9379535.0,81
1003200,5.2,1906,5802.0,4153942.0,304
1003300,6.4,1896,5845.0,13883793.0,375
1003400,5.0,1911,3443.0,3906521.0,381
1003601,6.0,1930,5920.0,2583787.0,97
1003602,5.1,1908,4539.0,2070383.0,128
1003700,7.0,1906,15070.0,16405835.0,220
1003800,5.1,1897,3114.0,5447507.0,485
1003900,6.4,1905,8670.0,11000832.0,245
1004001,5.2,1910,4159.0,2214744.0,173
1004002,5.3,1903,4021.0,2513865.0,160
1004100,5.2,1914,3561.0,5491103.0,388
1004200,7.3,1928,6972.0,3830205.0,73
1004300,5.4,1913,4372.0,5259792.0,254
1004400,7.0,1932,529102.0,8942926.0,55
1004500,5.9,1891,4832.0,3733405.0,139
1004700,5.2,1895,4132.0,5347181.0,300
1004800,5.4,1910,5067.0,5469388.0,254
1004900,5.3,1892,4297.0,7649656.0,368
1005000,6.5,1899,5925.0,7233052.0,191
1005200,8.0,1893,6640.0,8011683.0,166
1005400,8.5,1908,6636.0,10066462.0,199
1005501,10.5,1930,35576.0,5440839.0,37
1005502,5.9,1897,4323.0,4073191.0,166
1005600,13.0,1917,13417.0,11833797.0,93
1005700,9.0,1904,12770.0,6166738.0,68
1005800,8.7,1904,6449.0,11234646.0,196
1005900,7.5,1896,9313.0,5206813.0,117
1006000,9.0,1960,387062.0,3297165.0,24
1006100,7.4,1914,6046.0,6672838.0,173
1006200,15.1,1953,122588.0,10239448.0,42
1006300,5.2,1876,4140.0,7029244.0,349
1006400,7.0,1935,7804.0,7302631.0,180
1006500,5.0,1887,5423.0,4865775.0,321
1006600,7.2,1931,7968.0,7102530.0,182
1006700,4.1,1877,2998.0,3758766.0,420
1006800,8.0,1929,6106.0,9581928.0,199
1006900,6.1,1919,38931.0,5352447.0,93
1007001,6.7,1933,12144.0,2780842.0,55
1007002,5.2,1916,3532.0,3287086.0,189
1007100,4.4,1871,3475.0,4855894.0,360
1007200,7.7,1925,4788.0,9998393.0,245
1007300,4.0,1874,2598.0,3916429.0,502
1007400,13.5,1931,7094.0,14431232.0,170
1007500,4.5,1902,8982.0,3610839.0,263
1007600,10.7,1923,6755.0,13531294.0,182
1007700,4.4,1876,3160.0,4498360.0,396
1007800,8.7,1932,7971.0,7223552.0,149
1007900,4.4,1892,12094.0,6265450.0,276
1008000,7.8,1905,4482.0,12501640.0,266
1008100,5.8,1919,4813.0,6979217.0,299
1008200,13.6,1932,8435.0,15657447.0,142
1008300,5.3,1917,10240.0,7256061.0,134
1008400,11.9,1935,8313.0,11103413.0,171
1008601,16.2,1967,38233.0,3077755.0,20
1008602,39.0,1952,399888.0,2400000.0,8
1008603,9.5,1927,8656.0,5324570.0,89
1008700,5.9,1921,4699.0,6468466.0,287
1008800,16.6,1942,14598.0,14616919.0,83
1008900,4.4,1887,3763.0,4153219.0,349
1009000,12.1,1934,7541.0,14151087.0,171
1009100,7.9,1925,5923.0,9765969.0,226
1009200,16.6,1942,20993.0,18274971.0,78
1009300,5.5,1890,7067.0,6232635.0,208
1009400,16.6,1940,11105.0,17641535.0,87
1009500,9.7,1930,6164.0,11880103.0,219
1009600,12.9,1932,8307.0,17422227.0,143
1009700,6.0,1910,21457.0,5632419.0,73
1009800,6.8,1922,4138.0,9196873.0,324
1009901,6.5,1952,33864.0,10840412.0,141
1009902,9.8,1954,25683.0,8209488.0,73
1009903,21.9,1970,73682.0,21010172.0,55
1010000,17.3,1945,13129.0,17249657.0,84
1010100,10.1,1935,18049.0,12172176.0,89
1010200,16.7,1941,11496.0,17648277.0,103
1010300,11.4,1939,24178.0,13342774.0,65
1010400,13.8,1937,13085.0,17852582.0,110
1010601,11.8,1929,7897.0,8752181.0,96
1010602,9.5,1935,13897.0,4479564.0,65
1010801,9.2,1932,8442.0,5465057.0,70
1010802,8.1,1919,5082.0,3139699.0,77
1010803,9.6,1931,6372.0,3783121.0,61
1010900,13.7,1927,9566.0,18534742.0,124
1011000,6.5,1913,4905.0,6817484.0,265
1011100,10.3,1938,8192.0,10428090.0,159
1011201,16.1,1938,9992.0,6649504.0,44
1011202,20.3,1954,12792.0,8274566.0,42
1011203,13.2,1943,8419.0,6881843.0,58
1011300,16.5,1937,11698.0,19728068.0,110
1011401,10.5,1914,6726.0,7106524.0,102
1011402,6.8,1911,4036.0,5414515.0,167
1011500,12.3,1945,10612.0,8873133.0,123
1011600,9.0,1932,24974.0,7748788.0,88
1011700,14.0,1974,47679.0,5471330.0,36
1011800,7.6,1922,8735.0,8739159.0,172
1011900,14.6,1937,14360.0,19986712.0,89
1012000,6.2,1902,4816.0,7265567.0,248
1012101,5.9,1931,5455.0,3677761.0,137
1012102,4.9,1914,4283.0,3688986.0,175
1012200,6.5,1900,127971.0,8015630.0,366
1012400,9.2,1929,8198.0,10292977.0,134
1012500,14.5,1944,11693.0,19247642.0,104
1012601,8.4,1929,6345.0,5143718.0,113
1012602,7.4,1927,5172.0,4765018.0,127
1012700,5.2,1920,3884.0,6849786.0,399
1012800,6.9,1905,4502.0,8779011.0,276
1012901,9.3,1944,29853.0,7309765.0,100
1012902,5.1,1937,17429.0,4302919.0,139
1013000,7.4,1904,4806.0,8724990.0,248
1013100,19.1,1944,21614.0,20150954.0,65
1013201,6.9,1931,6853.0,2365010.0,84
1013202,8.2,1917,20967.0,2037652.0,28
1013203,6.0,1928,3854.0,2165883.0,98
1013300,5.3,1924,5431.0,5587773.0,266
1013400,6.9,1922,4839.0,8914844.0,285
1013501,6.5,1950,38282.0,4386626.0,71
1013502,10.3,1953,39649.0,8318677.0,61
1013601,12.6,1930,41155.0,1906895.0,19
1013602,9.4,1936,7467.0,3152761.0,62
1013603,7.7,1933,7362.0,2803444.0,56
1013604,6.1,1919,3471.0,3040622.0,154
1013700,19.9,1938,11654.0,23374135.0,132
1013800,6.3,1926,4261.0,8449811.0,319
1013900,7.2,1926,7326.0,9440207.0,212
1014000,6.9,1919,4330.0,8236678.0,296
1014200,7.3,1910,4257.0,8108371.0,277
