tract_id,landuse_entropy,landuse_hhi
1000100,0.4276,0.0269
1000201,2.0937,0.3196
1000202,1.8345,0.3339
1000500,-0.0,1.0
1000600,2.1382,0.3304
1000700,1.8604,0.3032
1000800,2.3294,0.2717
1000900,1.8318,0.358
1001001,0.6568,0.7603
1001002,0.4325,0.8815
1001200,2.5428,0.2352
1001300,1.8315,0.4106
1001401,1.1985,0.5351
1001402,2.339,0.2784
1001501,2.5257,0.1919
1001502,2.2725,0.2537
1001600,2.4762,0.2348
1001800,2.3456,0.2745
1002000,0.4958,0.8434
1002100,1.9868,0.2884
1002201,2.1768,0.2569
1002202,2.2848,0.249
1002400,1.5073,0.4053
1002500,1.605,0.3755
1002601,2.4944,0.2106
1002602,2.388,0.2311
1002700,2.0603,0.3259
1002800,2.5109,0.2138
1002901,1.1114,0.4927
1002902,2.1661,0.2874
1003001,2.3101,0.2399
1003002,1.9113,0.3592
1003100,1.589,0.5072
1003200,2.3226,0.2248
1003300,2.4512,0.236
1003400,2.0784,0.3127
1003601,2.2523,0.2481
1003602,2.7109,0.1782
1003700,2.5867,0.209
1003800,2.2023,0.2974
1003900,2.2988,0.2437
1004001,2.419,0.2235
1004002,2.1062,0.2725
1004100,1.7822,0.4194
1004200,2.3678,0.2139
1004300,1.9219,0.3617
1004400,0.9449,0.5911
1004500,1.8474,0.3608
1004700,1.947,0.3274
1004800,2.609,0.1785
1004900,2.1736,0.2642
1005000,2.8997,0.1542
1005200,2.1706,0.2761
1005400,1.9709,0.3293
1005501,1.5798,0.4712
1005502,2.0876,0.2728
1005600,1.9466,0.3131
1005700,2.1392,0.2726
1005800,1.6673,0.4203
1005900,2.0757,0.2682
1006000,0.9964,0.5025
1006100,2.3305,0.2242
1006200,1.4053,0.5569
1006300,2.5736,0.1881
1006400,2.2612,0.2457
1006500,2.4218,0.2271
1006600,2.1167,0.2767
1006700,2.704,0.1884
1006800,2.2617,0.2291
1006900,1.6801,0.5131
1007001,1.494,0.532
1007002,2.4321,0.2216
1007100,2.5587,0.2074
1007200,2.5205,0.2155
1007300,2.3276,0.2336
1007400,1.5768,0.4416
1007500,2.5205,0.2252
1007600,1.4754,0.5353
1007700,2.6368,0.1893
1007800,2.7044,0.1864
1007900,2.8522,0.1634
1008000,2.2617,0.2519
1008100,2.0781,0.3015
1008200,1.6429,0.4471
1008300,2.254,0.2919
1008400,1.9392,0.3469
1008601,2.4704,0.2235
1008602,0.6702,0.7105
1008603,2.4838,0.2536
1008700,2.4898,0.2132
1008800,2.3014,0.2472
1008900,2.5515,0.1914
1009000,2.3463,0.2458
1009100,2.1931,0.2539
1009200,1.3522,0.4995
1009300,1.7609,0.4124
1009400,0.7296,0.791
1009500,2.0129,0.3093
1009600,0.8977,0.7082
1009700,1.9378,0.312
1009800,2.2731,0.2554
1009901,2.0676,0.3581
1009902,2.6135,0.1789
1009903,2.5234,0.2051
1010000,1.354,0.516
1010100,2.0448,0.2961
1010200,0.93,0.6905
1010300,2.1984,0.3048
1010400,1.3989,0.5191
1010601,1.7588,0.4649
1010602,2.4445,0.2157
1010801,2.3624,0.2265
1010802,1.9799,0.3232
1010803,1.89,0.3348
1010900,0.9212,0.7454
1011000,2.5979,0.2038
1011100,2.714,0.1804
1011201,1.5309,0.3381
1011202,1.3915,0.4889
1011203,1.7197,0.3576
1011300,0.7263,0.7673
1011401,1.9432,0.3136
1011402,2.4275,0.2164
1011500,1.9696,0.3273
1011600,1.2078,0.6085
1011700,2.217,0.3347
1011800,2.0823,0.3302
1011900,0.6808,0.802
1012000,2.2431,0.2356
1012101,2.3861,0.2314
1012102,2.2267,0.2876
1012200,0.2694,0.9396
1012400,2.407,0.2135
1012500,0.9921,0.6618
1012601,1.6736,0.3758
1012602,2.2132,0.2643
1012700,2.3968,0.2303
1012800,2.1709,0.2656
1012901,2.0992,0.3398
1012902,2.0464,0.384
1013000,2.2523,0.2559
1013100,1.1079,0.6078
1013201,2.3629,0.2199
1013202,2.0888,0.2717
1013203,2.1197,0.2622
1013300,2.4287,0.2197
1013400,2.2187,0.2607
1013501,2.2977,0.2925
1013502,1.8294,0.326
1013601,1.0581,0.6215
1013602,1.5555,0.3889
1013603,1.97,0.2767
1013604,1.8372,0.3135
1013700,1.6454,0.3594
1013800,2.1166,0.2708
1013900,2.3208,0.2377
1014000,2.0776,0.3039
1014200,2.2634,0.2524
1014401,1.9357,0.3217
1014402,2.1783,0.2458
1014500,1.7255,0.3478
1014601,2.2095,0.2926
1014602,2.0134,0.2832
1014700,1.0413,0.5126
1014801,1.9526,0.312
1014802,1.9378,0.3315
1014900,2.1986,0.2529
1015001,1.6695,0.3672
1015002,1.6387,0.4197
1015101,1.7624,0.39
1015102,2.3911,0.2199
1015200,2.5578,0.1987
1015301,2.3222,0.2281
1015302,1.8676,0.3644
1015401,1.9829,0.2889
1015402,2.1399,0.2714
1015403,1.214,0.4608
1015501,0.6714,0.7306
1015502,1.9175,0.3073
1015601,2.4826,0.2257
1015602,1.3706,0.4482
1015700,2.1319,0.2666
1015801,2.2836,0.2333
1015802,2.2891,0.2266
1015900,0.4365,0.8934
1016001,2.1867,0.2537
1016002,1.9255,0.2897
1016100,2.2279,0.2518
1016200,2.2196,0.2729
1016300,1.8265,0.4549
1016400,2.1444,0.3035
1016500,1.9363,0.3246
1016600,2.7742,0.1792
1016700,1.1314,0.656
1016800,1.7299,0.3823
1016900,2.3623,0.2166
1017000,2.2967,0.2827
1017100,2.2518,0.2423
1017200,2.7003,0.1751
1017300,2.3882,0.2189
1017401,2.0693,0.2817
1017402,1.5317,0.4537
1017500,2.0753,0.2804
1017700,1.9657,0.2974
1017800,2.865,0.1713
1017900,1.9668,0.3176
1018000,2.036,0.345
1018100,1.9161,0.3013
1018200,2.1075,0.321
1018300,2.1319,0.3045
1018400,1.9551,0.3469
1018500,1.851,0.3525
1018600,1.4153,0.5074
1018700,2.1265,0.3041
1018800,2.5273,0.2299
1018900,1.8202,0.4169
1019000,2.0818,0.2662
1019100,1.865,0.3747
1019200,2.259,0.303
1019300,2.4356,0.2256
1019400,2.4042,0.2623
1019500,1.2585,0.616
1019600,2.9202,0.1585
1019701,1.231,0.4989
1019702,1.6762,0.3529
1019800,2.1995,0.3176
1019900,2.0436,0.3297
1020000,2.6479,0.1846
1020101,1.4874,0.4832
1020102,2.0247,0.2934
1020300,0.6926,0.7912
1020500,1.2326,0.5061
1020600,2.6617,0.2074
1020701,1.4803,0.4695
1020800,2.3777,0.2665
1020901,1.7952,0.4088
1021000,1.1242,0.4872
1021100,1.7415,0.448
1021200,2.0295,0.3236
1021303,2.8943,0.1544
1021400,2.0985,0.2936
1021500,1.8867,0.4284
1021600,2.0966,0.2894
1021703,0.4942,0.8091
1021800,2.5313,0.2052
1021900,2.9273,0.1531
1022000,2.2902,0.2455
1022102,1.7441,0.4491
1022200,2.5125,0.2198
1022301,2.7641,0.1706
1022302,2.0659,0.2993
1022400,2.2436,0.2376
1022500,2.2462,0.2558
1022600,2.3602,0.2407
1022700,2.4662,0.2051
1022800,2.4378,0.2352
1022900,2.4198,0.2317
1023000,2.3626,0.2406
1023100,2.5136,0.2199
1023200,2.6436,0.194
1023300,1.7556,0.052
1023400,2.077,0.2853
1023501,2.6025,0.2124
1023502,2.1679,0.2692
1023600,2.474,0.2423
1023700,2.006,0.3779
1023802,-0.0,1.0
1023803,0.7587,0.6577
1023804,0.842,0.7403
1023900,2.2972,0.2442
1024000,0.8314,0.7019
1024100,2.2488,0.2335
1024200,2.7868,0.1678
1024301,2.6699,0.1865
1024302,1.4006,0.4768
1024500,2.0345,0.2997
1024700,2.0585,0.3138
1024900,1.8445,0.3969
1025100,2.0187,0.3808
1025300,2.2465,0.2671
1025500,1.5956,0.4901
1025700,2.6824,0.1693
1025900,1.8267,0.342
1026100,2.2217,0.2717
1026300,2.2935,0.265
1026500,2.6327,0.1797
1026700,1.7291,0.3501
1026900,2.5295,0.2035
1027100,2.5658,0.193
1027300,2.2183,0.2551
1027500,1.1613,0.5663
1027700,1.4734,0.4312
1027900,2.5104,0.2267
1028100,1.3667,0.466
1028300,2.0457,0.3386
1028500,2.3722,0.2536
1028700,1.569,0.5203
1029100,2.0372,0.2958
1029300,2.1585,0.263
1029500,2.1352,0.2661
1029700,0.142,0.9645
1029900,2.3083,0.3175
1030300,2.5837,0.2122
1030700,2.048,0.3802
1030900,2.3026,0.1181
1031100,0.0012,0.9998
1031703,1.3896,0.0516
1031704,1.5031,0.4567
1031900,0.5159,0.7959
