tract_id,dist_subway_mean,dist_bus_mean,transit_stop_count,intersection_density
1000100,,,0,194.8
1000201,493.5,469.2,66,1147.2
1000202,697.9,426.7,47,920.6
1000500,,,0,6201.9
1000600,470.9,488.6,87,1791.4
1000700,484.6,529.6,205,2869.9
1000800,669.6,432.2,84,2527.4
1000900,490.1,439.1,161,3228.9
1001001,,543.9,25,546.2
1001002,,572.9,29,569.1
1001200,567.3,532.0,68,981.7
1001300,420.5,499.1,228,7589.8
1001401,452.0,485.4,82,1161.2
1001402,505.2,550.1,98,1096.3
1001501,565.0,554.2,196,2597.4
1001502,461.6,515.1,230,2734.9
1001600,533.2,447.6,103,1944.2
1001800,552.2,524.7,120,1264.3
1002000,,527.3,30,557.7
1002100,422.3,411.5,193,3984.0
1002201,471.9,549.1,72,812.3
1002202,662.4,551.2,72,671.0
1002400,,529.6,33,392.2
1002500,716.4,553.1,69,1373.8
1002601,777.4,513.9,61,623.9
1002602,716.8,465.7,63,604.8
1002700,661.9,519.4,121,3134.7
1002800,558.7,457.3,67,607.3
1002901,601.7,543.2,195,2635.6
1002902,575.0,525.1,131,2764.2
1003001,456.2,531.4,89,998.2
1003002,524.2,536.3,90,797.0
1003100,510.7,572.7,169,1915.0
1003200,635.9,544.2,105,593.3
1003300,490.5,538.2,149,2331.3
1003400,373.2,492.9,89,707.9
1003601,463.4,502.8,108,1089.9
1003602,579.1,520.4,131,989.3
1003700,497.2,527.3,77,1401.8
1003800,606.5,531.9,138,863.3
1003900,566.4,598.3,97,2535.0
1004001,538.1,515.2,124,723.2
1004002,451.5,499.9,125,811.1
1004100,551.2,598.7,150,1594.1
1004200,411.5,479.4,119,953.7
1004300,496.4,543.8,128,968.9
1004400,644.0,565.2,45,566.6
1004500,485.6,587.5,135,1058.1
1004700,498.7,536.5,119,1819.5
1004800,547.8,558.2,129,816.1
1004900,546.0,524.3,125,886.2
1005000,503.9,539.1,140,989.3
1005200,515.7,549.7,160,1096.3
1005400,520.9,581.0,169,790.7
1005501,512.6,539.9,128,986.8
