tract_id,hotel_count,tourism_poi_count,tourism_density,tourism_ratio
1000100,0,11,14.01,2.75
1000201,0,0,0.0,0.0
1000202,0,0,0.0,0.0
1000500,0,15,19.1,0.625
1000600,0,4,5.09,0.0563
1000700,12,37,47.11,0.2569
1000800,4,10,12.73,0.1111
1000900,5,28,35.65,0.2074
1001001,0,0,0.0,0.0
1001002,0,0,0.0,0.0
1001200,0,0,0.0,0.0
1001300,9,32,40.74,0.2286
1001401,0,1,1.27,0.0286
1001402,1,2,2.55,0.0183
1001501,2,20,25.46,0.2353
1001502,8,21,26.74,0.0981
1001600,6,13,16.55,0.0855
1001800,3,15,19.1,0.0794
1002000,0,0,0.0,0.0
1002100,4,26,33.1,0.1166
1002201,0,5,6.37,0.0962
1002202,0,0,0.0,0.0
1002400,0,0,0.0,0.0
1002500,0,2,2.55,0.6667
1002601,0,1,1.27,0.0625
1002602,0,0,0.0,0.0
1002700,0,6,7.64,0.1538
1002800,0,2,2.55,0.0476
1002901,0,28,35.65,3.1111
1002902,2,17,21.65,0.068
1003001,5,16,20.37,0.1067
1003002,0,4,5.09,0.0488
1003100,3,27,34.38,0.2269
1003200,0,5,6.37,0.041
1003300,2,15,19.1,0.2143
1003400,0,0,0.0,0.0
1003601,6,15,19.1,0.2083
1003602,0,6,7.64,0.0769
1003700,5,15,19.1,0.2419
1003800,1,5,6.37,0.0202
1003900,0,8,10.19,0.1333
1004001,1,4,5.09,0.0212
1004002,1,3,3.82,0.0345
1004100,6,11,14.01,0.0412
1004200,2,3,3.82,0.0291
1004300,2,7,8.91,0.0303
1004400,0,1,1.27,0.5
1004500,4,13,16.55,0.0793
1004700,5,19,24.19,0.1387
1004800,1,2,2.55,0.0303
1004900,1,16,20.37,0.0884
1005000,2,2,2.55,0.0215
1005200,0,3,3.82,0.0226
1005400,1,3,3.82,0.0259
1005501,0,2,2.55,0.0377
1005502,2,8,10.19,0.0769
1005600,1,30,38.2,0.3371
1005700,1,6,7.64,0.0909
1005800,7,12,15.28,0.0678
1005900,0,5,6.37,0.1316
1006000,0,1,1.27,0.2
1006100,0,7,8.91,0.0483
1006200,0,1,1.27,0.1667
1006300,2,5,6.37,0.0581
1006400,0,1,1.27,0.0089
1006500,0,3,3.82,0.0165
1006600,0,7,8.91,0.0714
1006700,0,2,2.55,0.0164
1006800,7,16,20.37,0.125
1006900,0,8,10.19,0.5714
1007001,0,2,2.55,0.0606
1007002,0,2,2.55,0.0247
1007100,0,2,2.55,0.0235
1007200,4,8,10.19,0.0635
1007300,0,3,3.82,0.0333
1007400,11,19,24.19,0.1195
1007500,0,1,1.27,0.0233
1007600,13,26,33.1,0.1238
1007700,0,4,5.09,0.0755
1007800,0,0,0.0,0.0
1007900,2,15,19.1,0.2941
1008000,5,16,20.37,0.1404
1008100,0,3,3.82,0.0588
1008200,10,18,22.92,0.1417
1008300,6,15,19.1,0.1163
1008400,22,31,39.47,0.1975
1008601,0,1,1.27,0.1111
1008602,1,29,36.92,3.2222
1008603,1,5,6.37,0.3846
1008700,1,6,7.64,0.075
1008800,3,7,8.91,0.1346
1008900,2,3,3.82,0.0732
1009000,2,4,5.09,0.0755
1009100,9,11,14.01,0.1111
1009200,12,19,24.19,0.1173
1009300,1,2,2.55,0.0667
1009400,1,3,3.82,0.0213
1009500,9,11,14.01,0.11
1009600,10,25,31.83,0.1232
1009700,1,11,14.01,0.3235
1009800,2,2,2.55,0.0364
1009901,2,80,101.86,0.8247
1009902,1,52,66.21,0.5417
1009903,3,12,15.28,0.4138
1010000,9,12,15.28,0.1714
1010100,3,10,12.73,0.0847
1010200,4,10,12.73,0.1064
1010300,2,6,7.64,0.0822
1010400,7,16,20.37,0.2078
1010601,0,2,2.55,0.6667
1010602,0,1,1.27,0.0233
1010801,1,2,2.55,0.0526
1010802,0,0,0.0,0.0
1010803,0,1,1.27,0.0238
1010900,3,7,8.91,0.049
1011000,2,3,3.82,0.0638
1011100,12,14,17.83,0.175
1011201,7,13,16.55,0.1757
1011202,2,9,11.46,0.1667
1011203,3,5,6.37,0.0735
1011300,10,21,26.74,0.1135
1011401,5,15,19.1,0.3947
1011402,0,1,1.27,0.0139
1011500,18,20,25.46,0.202
1011600,0,0,0.0,0.0
1011700,1,2,2.55,0.1333
1011800,0,1,1.27,0.0169
1011900,13,20,25.46,0.1449
1012000,0,3,3.82,0.0484
1012101,8,10,12.73,0.0877
1012102,1,1,1.27,0.0141
1012200,1,25,31.83,0.7353
1012400,1,4,5.09,0.0833
1012500,21,35,44.56,0.2869
1012601,0,0,0.0,0.0
1012602,0,0,0.0,0.0
1012700,2,3,3.82,0.0536
1012800,0,1,1.27,0.0185
1012901,0,5,6.37,0.2778
1012902,4,4,5.09,0.1333
1013000,2,17,21.65,0.425
1013100,9,15,19.1,0.1128
1013201,0,0,0.0,0.0
1013202,0,0,0.0,0.0
1013203,0,0,0.0,0.0
1013300,1,1,1.27,0.0137
