tract_id,pedestrian_rank_mean,pedestrian_rank_max,pct_high_traffic_segments
1000100,5,5,0.0
1000201,4,2,3.4
1000202,3,3,0.0
1000500,5,5,0.0
1000600,3,2,29.3
1000700,2,1,75.5
1000800,3,2,17.7
1000900,2,1,65.4
1001001,3,3,0.0
1001002,3,3,0.0
1001200,3,3,0.0
1001300,2,1,70.4
1001401,3,2,43.8
1001402,3,2,19.0
1001501,3,1,46.5
1001502,2,1,97.8
1001600,3,2,23.3
1001800,3,2,34.8
1002000,4,3,0.0
1002100,2,1,90.8
1002201,3,2,11.4
1002202,3,3,0.0
1002400,3,2,1.9
1002500,4,3,0.0
1002601,4,3,0.0
1002602,3,3,0.0
1002700,3,2,18.3
1002800,3,2,6.4
1002901,3,2,53.6
1002902,2,1,70.6
1003001,3,2,34.6
1003002,3,2,19.7
1003100,2,1,78.9
1003200,3,1,34.8
1003300,2,2,66.2
1003400,3,2,28.9
1003601,3,2,21.3
1003602,3,2,41.8
1003700,3,2,47.5
1003800,3,1,44.8
1003900,3,2,25.5
1004001,2,1,56.0
1004002,3,1,32.0
1004100,2,2,86.4
1004200,2,1,60.0
1004300,2,1,95.0
1004400,3,2,63.3
1004500,2,1,100.0
1004700,2,1,67.1
1004800,3,1,19.0
1004900,2,1,65.8
1005000,3,1,15.6
1005200,2,1,95.2
1005400,2,1,75.0
1005501,2,1,54.8
1005502,2,2,76.5
1005600,2,1,68.6
1005700,2,1,54.4
1005800,1,1,91.9
1005900,3,1,51.4
1006000,3,2,27.5
1006100,2,1,71.1
1006200,3,3,0.0
1006300,3,2,52.0
1006400,3,2,41.7
1006500,3,2,49.5
1006600,3,2,15.2
1006700,3,2,5.9
1006800,3,2,37.5
1006900,3,2,7.0
1007001,3,3,0.0
1007002,3,2,25.0
1007100,3,2,32.7
1007200,3,2,18.2
1007300,3,2,19.7
1007400,2,1,92.3
1007500,3,2,10.0
1007600,1,1,100.0
1007700,3,1,9.4
1007800,3,2,11.8
1007900,3,1,24.1
1008000,3,2,22.9
1008100,2,1,100.0
1008200,2,1,75.0
1008300,2,1,95.5
1008400,1,1,100.0
1008601,3,2,6.2
1008602,2,2,93.8
1008603,3,2,35.7
1008700,3,2,36.7
1008800,2,1,64.4
1008900,2,2,51.4
1009000,2,1,82.6
1009100,2,1,89.5
1009200,2,1,81.8
1009300,2,2,60.7
1009400,2,1,97.1
1009500,2,1,92.6
1009600,1,1,100.0
1009700,2,1,54.2
1009800,2,1,52.6
1009901,3,2,35.5
1009902,3,2,15.9
1009903,3,2,46.5
1010000,2,1,51.6
1010100,2,1,100.0
1010200,2,1,84.7
1010300,3,1,62.8
1010400,2,1,100.0
1010601,3,2,10.0
1010602,3,2,35.7
1010801,3,2,40.0
1010802,2,2,89.5
1010803,2,1,77.8
1010900,1,1,100.0
1011000,2,2,65.2
1011100,3,2,57.4
1011201,2,1,84.2
1011202,2,1,100.0
1011203,2,1,75.0
1011300,1,1,100.0
1011401,2,2,76.7
1011402,3,2,58.3
1011500,4,2,23.1
1011600,3,2,5.0
1011700,3,2,12.1
1011800,3,2,28.1
1011900,2,1,100.0
1012000,3,2,28.9
1012101,2,1,77.8
1012102,3,2,13.6
1012200,3,2,46.9
1012400,3,2,9.5
1012500,2,1,96.7
1012601,3,2,40.0
1012602,2,2,55.6
1012700,3,2,29.4
1012800,3,2,30.8
1012901,3,3,0.0
1012902,3,3,0.0
1013000,3,2,40.3
1013100,2,1,97.7
1013201,3,2,12.5
1013202,4,3,0.0
1013203,3,2,33.3
1013300,3,2,17.4
1013400,3,2,44.0
1013501,3,3,0.0
1013502,3,2,21.8
1013601,3,3,0.0
1013602,4,3,0.0
1013603,4,3,0.0
1013604,4,3,0.0
1013700,1,1,100.0
1013800,3,2,33.3
1013900,3,2,42.1
1014000,3,2,36.1
1014200,3,2,33.3
1014401,3,3,0.0
1014402,3,3,0.0
1014500,2,1,50.8
1014601,3,2,30.8
1014602,3,2,26.7
1014700,3,2,33.3
1014801,3,2,40.6
1014802,3,2,36.0
1014900,3,1,50.0
1015001,3,2,56.8
1015002,3,2,29.4
1015101,3,2,23.6
1015102,3,2,19.4
1015200,3,3,0.0
1015301,2,2,64.0
1015302,3,2,41.9
1015401,3,2,30.8
1015402,3,2,7.7
1015403,3,2,28.6
1015501,3,2,20.6
1015502,3,2,17.2
1015601,3,2,13.0
1015602,3,2,4.3
1015700,3,2,45.5
1015801,3,2,14.3
1015802,3,2,3.8
1015900,3,2,36.2
1016001,3,2,48.6
1016002,3,2,4.2
1016100,3,2,40.5
1016200,3,3,0.0
1016300,3,2,6.2
1016400,3,3,0.0
1016500,3,2,34.5
1016600,3,3,0.0
1016700,3,2,7.5
1016800,3,3,0.0
1016900,3,2,29.7
1017000,3,3,0.0
1017100,3,2,21.2
1017200,3,3,0.0
1017300,3,2,41.2
1017401,3,3,0.0
1017402,4,3,0.0
1017500,3,2,15.8
1017700,3,2,7.8
1017800,3,3,0.0
1017900,3,2,22.2
1018000,3,2,8.3
1018100,3,2,29.3
1018200,3,2,21.8
1018300,3,2,20.0
1018400,3,3,0.0
1018500,3,2,8.9
1018600,3,3,0.0
1018700,3,2,19.7
1018800,4,3,0.0
1018900,3,3,0.0
1019000,4,3,0.0
1019100,3,2,18.7
1019200,3,2,1.2
1019300,4,3,0.0
1019400,3,2,4.3
1019500,3,2,15.7
1019600,3,2,17.5
1019701,3,3,0.0
1019702,3,2,3.1
1019800,3,1,26.4
1019900,3,2,13.2
1020000,3,1,14.3
1020101,3,3,0.0
1020102,3,2,11.9
1020300,4,2,9.8
1020500,3,2,8.1
1020600,4,3,0.0
1020701,3,3,0.0
1020800,4,2,4.2
1020901,3,1,21.3
1021000,4,3,0.0
1021100,3,2,17.7
1021200,4,3,0.0
1021303,3,3,0.0
1021400,4,3,0.0
1021500,3,2,18.4
1021600,3,3,0.0
1021703,3,2,8.8
1021800,3,3,0.0
1021900,3,2,6.5
1022000,4,3,0.0
1022102,3,2,14.3
1022200,2,1,53.3
1022301,3,3,0.0
1022302,3,3,0.0
1022400,3,2,9.8
1022500,3,2,7.4
1022600,4,3,0.0
1022700,3,2,6.1
1022800,3,3,0.0
1022900,3,2,49.3
1023000,4,3,0.0
1023100,3,3,0.0
1023200,3,3,0.0
1023300,3,2,11.4
1023400,3,3,0.0
1023501,4,3,0.0
1023502,3,3,0.0
1023600,4,3,0.0
1023700,3,2,11.4
1023802,3,3,0.0
1023803,3,3,0.0
1023804,3,3,0.0
1023900,3,3,0.0
1024000,5,5,0.0
1024100,3,2,9.8
1024200,3,2,33.8
1024301,4,3,0.0
1024302,3,3,0.0
1024500,3,2,16.1
1024700,3,3,0.0
1024900,3,3,0.0
1025100,3,2,10.6
1025300,3,2,14.0
