tract_id,shop_count,shop_density_km2,shop_type_entropy,brand_ratio
1000100,0,0.0,0.0,0.0
1000201,5,6.37,1.9219,0.0
1000202,10,12.73,2.4464,0.0
1000500,0,0.0,0.0,0.0
1000600,32,40.74,4.1136,0.0312
1000700,40,50.93,3.8939,0.175
1000800,45,57.3,4.2734,0.0222
1000900,32,40.74,3.9764,0.1562
1001001,0,0.0,0.0,0.0
1001002,1,1.27,-0.0,0.0
1001200,4,5.09,2.0,0.25
1001300,49,62.39,3.7232,0.3673
1001401,9,11.46,2.4194,0.3333
1001402,53,67.48,4.6217,0.0943
1001501,24,30.56,3.6887,0.125
1001502,77,98.04,4.4659,0.2078
1001600,77,98.04,4.8751,0.0
1001800,93,118.41,4.6859,0.0215
1002000,1,1.27,-0.0,0.0
1002100,88,112.05,4.7183,0.1477
1002201,26,33.1,3.2712,0.0
1002202,14,17.83,3.4677,0.0714
1002400,3,3.82,1.585,0.0
1002500,1,1.27,-0.0,0.0
1002601,6,7.64,1.9183,0.0
1002602,12,15.28,2.7516,0.0
1002700,16,20.37,3.4528,0.0625
1002800,16,20.37,3.25,0.125
1002901,6,7.64,1.7925,0.0
1002902,112,142.6,4.2669,0.0179
1003001,51,64.94,3.8533,0.0392
1003002,39,49.66,4.1661,0.0769
1003100,55,70.03,4.2175,0.0727
1003200,30,38.2,4.0281,0.0
1003300,17,21.65,3.2928,0.2353
1003400,50,63.66,4.1464,0.08
1003601,22,28.01,3.8231,0.0909
1003602,38,48.38,4.3065,0.0263
1003700,14,17.83,3.4677,0.1429
1003800,92,117.14,4.6738,0.0217
1003900,23,29.28,3.3275,0.0
1004001,94,119.68,4.5393,0.0638
1004002,29,36.92,3.9783,0.0345
1004100,170,216.45,5.11,0.0235
1004200,29,36.92,4.0178,0.069
1004300,160,203.72,3.9329,0.1375
1004400,1,1.27,-0.0,0.0
1004500,117,148.97,4.1855,0.1111
1004700,86,109.5,3.8262,0.1279
1004800,34,43.29,3.8337,0.0882
1004900,122,155.34,3.3451,0.418
1005000,30,38.2,3.9899,0.1667
1005200,63,80.21,3.6154,0.5873
1005400,59,75.12,4.6277,0.4407
1005501,25,31.83,3.6676,0.4
1005502,46,58.57,3.9232,0.0217
1005600,36,45.84,4.2919,0.3889
1005700,27,34.38,3.9121,0.3333
1005800,60,76.39,5.0106,0.3667
1005900,16,20.37,3.625,0.0625
1006000,0,0.0,0.0,0.0
1006100,63,80.21,4.7285,0.3175
1006200,2,2.55,1.0,0.0
1006300,40,50.93,4.2726,0.175
1006400,59,75.12,4.2837,0.0508
1006500,36,45.84,4.4058,0.0278
1006600,66,84.03,4.0515,0.0909
1006700,32,40.74,4.1167,0.0625
1006800,34,43.29,3.9957,0.0294
1006900,5,6.37,1.9219,0.0
1007001,13,16.55,3.0851,0.0769
1007002,36,45.84,3.6513,0.1944
1007100,29,36.92,4.0994,0.1034
1007200,53,67.48,4.2113,0.0377
1007300,32,40.74,3.6258,0.1562
1007400,54,68.75,4.1178,0.1481
1007500,8,10.19,3.0,0.0
1007600,97,123.5,4.9146,0.0928
1007700,19,24.19,3.5111,0.0526
1007800,44,56.02,3.5704,0.0909
1007900,23,29.28,3.969,0.5217
1008000,39,49.66,3.4583,0.1026
1008100,15,19.1,3.5899,0.2
1008200,35,44.56,4.5007,0.2286
1008300,31,39.47,3.8331,0.4516
1008400,52,66.21,4.2287,0.4038
1008601,5,6.37,1.371,0.0
1008602,2,2.55,1.0,0.0
1008603,5,6.37,2.3219,0.0
1008700,37,47.11,4.1753,0.1351
1008800,13,16.55,3.3927,0.2308
1008900,13,16.55,3.3347,0.0
1009000,17,21.65,3.2928,0.1765
1009100,44,56.02,4.5077,0.1818
1009200,37,47.11,3.8482,0.3243
1009300,12,15.28,3.585,0.0
1009400,61,77.67,3.2736,0.6393
1009500,48,61.12,4.2764,0.0417
1009600,78,99.31,3.9857,0.2436
1009700,14,17.83,2.9502,0.1429
1009800,14,17.83,2.9852,0.1429
1009901,4,5.09,1.5,0.25
1009902,22,28.01,3.4753,0.4545
1009903,8,10.19,2.75,0.25
1010000,10,12.73,3.1219,0.2
1010100,51,64.94,3.9641,0.5686
1010200,51,64.94,4.0991,0.6078
1010300,13,16.55,3.3927,0.1538
1010400,21,26.74,3.1776,0.381
1010601,1,1.27,-0.0,1.0
1010602,23,29.28,3.7081,0.1304
1010801,18,22.92,3.6835,0.1667
1010802,24,30.56,4.0016,0.1667
1010803,30,38.2,4.1647,0.1667
1010900,74,94.22,4.2366,0.2162
1011000,21,26.74,4.2971,0.1429
1011100,26,33.1,3.3927,0.0385
1011201,25,31.83,3.7835,0.16
1011202,26,33.1,2.5843,0.6154
1011203,29,36.92,3.8799,0.3448
1011300,71,90.4,4.0817,0.1972
1011401,15,19.1,2.8662,0.3333
1011402,44,56.02,4.5443,0.2727
1011500,28,35.65,3.8927,0.0714
1011600,2,2.55,1.0,0.0
1011700,7,8.91,2.1281,0.2857
1011800,28,35.65,3.8658,0.0714
1011900,37,47.11,3.7496,0.5676
1012000,34,43.29,4.0533,0.2941
1012101,27,34.38,3.8805,0.2222
1012102,17,21.65,3.7345,0.2353
1012200,23,29.28,1.8582,0.3913
1012400,17,21.65,3.6169,0.0
1012500,36,45.84,3.4563,0.2778
1012601,38,48.38,3.704,0.0526
1012602,24,30.56,4.1368,0.3333
1012700,14,17.83,3.182,0.0714
1012800,31,39.47,3.8213,0.129
1012901,4,5.09,2.0,0.5
1012902,13,16.55,3.1808,0.2308
1013000,22,28.01,2.5479,0.1818
1013100,26,33.1,4.1039,0.1538
1013201,20,25.46,3.3219,0.1
1013202,2,2.55,1.0,0.0
1013203,23,29.28,3.969,0.0
1013300,13,16.55,2.8731,0.0769
1013400,50,63.66,4.6635,0.06
1013501,5,6.37,1.371,0.6
1013502,13,16.55,2.9312,0.3077
1013601,0,0.0,0.0,0.0
1013602,4,5.09,2.0,0.0
1013603,18,22.92,3.5724,0.1667
1013604,5,6.37,1.9219,0.0
1013700,37,47.11,4.4996,0.2703
1013800,30,38.2,4.0696,0.0667
1013900,33,42.02,3.9085,0.1515
1014000,33,42.02,4.1014,0.2424
1014200,10,12.73,1.761,0.3
1014401,5,6.37,2.3219,0.4
1014402,16,20.37,3.4528,0.0625
1014500,42,53.48,4.1826,0.5238
1014601,46,58.57,4.3089,0.1087
1014602,17,21.65,3.5725,0.1176
1014700,6,7.64,2.2516,0.3333
1014801,39,49.66,4.163,0.5641
1014802,42,53.48,4.1345,0.1905
1014900,3,3.82,0.9183,0.0
1015001,15,19.1,1.9899,0.2667
1015002,4,5.09,2.0,0.5
1015101,5,6.37,1.9219,0.0
1015102,6,7.64,2.585,0.1667
1015200,8,10.19,2.4056,0.0
1015301,11,14.01,2.5503,0.2727
1015302,22,28.01,3.2656,0.5909
1015401,25,31.83,3.7337,0.08
1015402,12,15.28,3.085,0.0833
1015403,15,19.1,3.2402,0.1333
