tract_id,borough,tract_lat,tract_lon,zone_type,tract_lot_count,amenity_count_total,amenity_count_food_drink,amenity_count_retail,amenity_count_services,amenity_count_office,amenity_count_hotel,amenity_count_entertainment,amenity_count_education,amenity_count_healthcare,amenity_ratio_food_drink,amenity_ratio_retail,amenity_ratio_services,amenity_ratio_office,amenity_ratio_hotel,amenity_ratio_entertainment,amenity_ratio_education,amenity_ratio_healthcare,amenity_density,avg_floors,avg_yearbuilt,lot_area_mean,total_bldg_area,building_count,landuse_entropy,landuse_hhi,dist_subway_mean,dist_bus_mean,transit_stop_count,intersection_density,hotel_count,tourism_poi_count,tourism_density,tourism_ratio,pedestrian_rank_mean,pedestrian_rank_max,pct_high_traffic_segments,shop_count,shop_density_km2,shop_type_entropy,brand_ratio
1000100,MN,40.694054,-74.043333,Mixed-Use,2,4,2,0,0,0,0,2,0,0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5.09,,1900,1653038.0,1145016.0,23,0.4276,0.0269,,,0,194.8,0,11,14.01,2.75,5,5,0.0,0,0.0,0.0,0.0
1000201,MN,40.7135133,-73.9859895,Mixed-Use,43,11,1,3,2,0,0,1,2,2,0.0909,0.2727,0.1818,0.0,0.0,0.0909,0.1818,0.1818,14.01,5.4,1912,26085.0,1593392.0,43,2.0937,0.3196,493.5,469.2,66,1147.2,0,0,0.0,0.0,4,2,3.4,5,6.37,1.9219,0.0
1000202,MN,40.7133794,-73.982513,Residential,51,21,9,6,3,0,0,0,2,1,0.4286,0.2857,0.1429,0.0,0.0,0.0,0.0952,0.0476,26.74,5.8,1923,48481.0,3707226.0,78,1.8345,0.3339,697.9,426.7,47,920.6,0,0,0.0,0.0,3,3,0.0,10,12.73,2.4464,0.0
1000500,MN,40.6905564,-74.01756,Institutional,4,24,9,0,4,0,0,9,2,0,0.375,0.0,0.1667,0.0,0.0,0.375,0.0833,0.0,30.56,3.2,1900,1934173.0,2636571.0,136,-0.0,1.0,,,0,6201.9,0,15,19.1,0.625,5,5,0.0,0,0.0,0.0,0.0
1000600,MN,40.7133614,-73.9900428,Mixed-Use,162,71,37,18,6,3,0,2,2,3,0.5211,0.2535,0.0845,0.0423,0.0,0.0282,0.0282,0.0423,90.4,6.1,1927,11591.0,5890839.0,181,2.1382,0.3304,470.9,488.6,87,1791.4,0,4,5.09,0.0563,3,2,29.3,32,40.74,4.1136,0.0312
1000700,MN,40.7059488,-74.0084402,Commercial,68,144,73,27,12,6,12,7,1,6,0.5069,0.1875,0.0833,0.0417,0.0833,0.0486,0.0069,0.0417,183.35,24.8,1933,28674.0,29583962.0,71,1.8604,0.3032,484.6,529.6,205,2869.9,12,37,47.11,0.2569,2,1,75.5,40,50.93,3.8939,0.175
1000800,MN,40.7127927,-73.9951989,Mixed-Use,249,90,39,30,6,0,4,3,4,4,0.4333,0.3333,0.0667,0.0,0.0444,0.0333,0.0444,0.0444,114.59,5.3,1919,5723.0,4382535.0,259,2.3294,0.2717,669.6,432.2,84,2527.4,4,10,12.73,0.1111,3,2,17.7,45,57.3,4.2734,0.0222
1000900,MN,40.7039835,-74.0113918,Commercial,99,135,74,15,15,10,5,5,5,6,0.5481,0.1111,0.1111,0.0741,0.037,0.037,0.037,0.0444,171.89,14.8,1914,27234.0,22902593.0,101,1.8318,0.358,490.1,439.1,161,3228.9,5,28,35.65,0.2074,2,1,65.4,32,40.74,3.9764,0.1562
1001001,MN,40.7159214,-73.9770387,Open Space,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1932,516784.0,1279058.0,8,0.6568,0.7603,,543.9,25,546.2,0,0,0.0,0.0,3,3,0.0,0,0.0,0.0,0.0
1001002,MN,40.7178138,-73.9769249,Residential,7,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.27,5.9,1933,183780.0,3156180.0,24,0.4325,0.8815,,572.9,29,569.1,0,0,0.0,0.0,3,3,0.0,1,1.27,-0.0,0.0
1001200,MN,40.7165079,-73.9827525,Residential,37,9,4,1,1,0,0,2,0,1,0.4444,0.1111,0.1111,0.0,0.0,0.2222,0.0,0.1111,11.46,6.8,1945,24664.0,2399316.0,37,2.5428,0.2352,567.3,532.0,68,981.7,0,0,0.0,0.0,3,3,0.0,4,5.09,2.0,0.25
1001300,MN,40.7085837,-74.0130159,Commercial,85,140,57,44,9,9,9,4,3,5,0.4071,0.3143,0.0643,0.0643,0.0643,0.0286,0.0214,0.0357,178.25,20.4,1939,27150.0,26128932.0,95,1.8315,0.4106,420.5,499.1,228,7589.8,9,32,40.74,0.2286,2,1,70.4,49,62.39,3.7232,0.3673
1001401,MN,40.7149207,-73.9871077,Residential,9,35,17,8,3,1,0,2,2,2,0.4857,0.2286,0.0857,0.0286,0.0,0.0571,0.0571,0.0571,44.56,8.7,1951,82155.0,2208447.0,12,1.1985,0.5351,452.0,485.4,82,1161.2,0,1,1.27,0.0286,3,2,43.8,9,11.46,2.4194,0.3333
1001402,MN,40.7182138,-73.9858289,Mixed-Use,89,109,59,27,10,0,1,7,2,3,0.5413,0.2477,0.0917,0.0,0.0092,0.0642,0.0183,0.0275,138.78,6.6,1935,9175.0,3268028.0,90,2.339,0.2784,505.2,550.1,98,1096.3,1,2,2.55,0.0183,3,2,19.0,53,67.48,4.6217,0.0943
1001501,MN,40.7089531,-74.0037251,Mixed-Use,143,85,48,20,3,1,2,3,5,3,0.5647,0.2353,0.0353,0.0118,0.0235,0.0353,0.0588,0.0353,108.23,9.1,1911,16143.0,10703228.0,169,2.5257,0.1919,565.0,554.2,196,2597.4,2,20,25.46,0.2353,3,1,46.5,24,30.56,3.6887,0.125
1001502,MN,40.7084645,-74.0070197,Mixed-Use,133,214,104,42,28,7,8,4,13,8,0.486,0.1963,0.1308,0.0327,0.0374,0.0187,0.0607,0.0374,272.47,15.1,1935,11231.0,15884776.0,147,2.2725,0.2537,461.6,515.1,230,2734.9,8,21,26.74,0.0981,2,1,97.8,77,98.04,4.4659,0.2078
